Motif;StartSec;EndSec
Geschwisterliebe;4.142292;5.571361
Geschwisterliebe;5.751604;7.0765
Geschwisterliebe;7.243604;8.916642
Geschwisterliebe;8.242729;9.953743
Geschwisterliebe;9.262342;10.97766
Geschwisterliebe;10.301;12.4204
Geschwisterliebe;14.696;16.01557
Geschwisterliebe;16.182;17.48914
Geschwisterliebe;17.654;19.30736
Geschwisterliebe;18.62769;20.45555
Geschwisterliebe;19.69009;21.53619
Geschwisterliebe;20.84;22.74988
Geschwisterliebe;25.478;26.8695
Geschwisterliebe;31.7;32.97428
Geschwisterliebe;33.135;34.51406
Geschwisterliebe;37.752;40.6389
Geschwisterliebe;40.806;43.4691
Geschwisterliebe;46.707;48.56403
Geschwisterliebe;47.81589;49.71621
Geschwisterliebe;48.94809;50.8901
Geschwisterliebe;50.102;52.08812
Geschwisterliebe;51.28415;53.35485
Geschwisterliebe;69.75;72.50934
Geschwisterliebe;72.677;75.44947
Geschwisterliebe;1683.401;1689.3
Geschwisterliebe;1689.3;1695.175
Geschwisterliebe;2484.95;2490.398
Geschwisterliebe;2488.6;2492.925
Geschwisterliebe;3146.635;3149.875
Geschwisterliebe;3149.875;3152.864
Geschwisterliebe;3152.864;3155.531
Geschwisterliebe;3155.864;3158.22
Geschwisterliebe;3158.509;3161.109
Geschwisterliebe;3161.109;3163.265
Geschwisterliebe;3163.265;3165.209
Geschwisterliebe;3165.454;3167.409
Geschwisterliebe;3167.9;3169.376
Geschwisterliebe;3168.533;3170.466
Geschwisterliebe;3169.8;3171.544
Geschwisterliebe;3170.799;3173.009
Geschwisterliebe;3172.033;3173.722
Geschwisterliebe;3173.5;3174.166
Geschwisterliebe;3174.166;3174.832
Geschwisterliebe;3174.832;3175.498
Geschwisterliebe;3189.5;3190.921
Geschwisterliebe;3191.1;3192.432
Geschwisterliebe;3195.7;3197.21
Geschwisterliebe;3197.4;3198.91
Geschwisterliebe;3199.1;3200.343
Geschwisterliebe;3199.633;3201.403
Geschwisterliebe;3200.7;3202.473
Geschwisterliebe;3201.754;3203.617
Geschwisterliebe;3207.6;3209.376
Geschwisterliebe;3209.6;3210.932
Geschwisterliebe;3214;3215.173
Geschwisterliebe;3214.503;3216.216
Geschwisterliebe;3215.509;3217.274
Geschwisterliebe;3216.569;3218.317
Geschwisterliebe;3217.622;3219.377
Geschwisterliebe;3218.667;3220.492
Geschwisterliebe;3219.732;3221.847
Geschwisterliebe;3226.566;3227.51
Geschwisterliebe;3227.132;3228.832
Geschwisterliebe;3229.939;3230.837
Geschwisterliebe;3230.478;3232.325
Geschwisterliebe;3239.1;3240.232
Geschwisterliebe;3240.8;3241.873
Geschwisterliebe;3242.411;3243.911
Geschwisterliebe;3244.1;3245.343
Geschwisterliebe;3245.7;3247.032
Geschwisterliebe;3247.2;3248.369
Geschwisterliebe;3248.704;3249.992
Geschwisterliebe;3250.155;3250.983
Geschwisterliebe;3250.983;3251.994
Geschwisterliebe;3251.994;3253.031
Geschwisterliebe;3253.031;3254.465
Geschwisterliebe;3253.745;3255.187
Geschwisterliebe;3255.367;3256.765
Geschwisterliebe;3255.906;3258.664
Geschwisterliebe;3257.398;3259.522
Geschwisterliebe;3264.256;3266.177
Geschwisterliebe;3270.456;3274.194
Geschwisterliebe;3304.1;3307.097
Geschwisterliebe;3307.1;3309.997
Geschwisterliebe;3310;3312.897
Geschwisterliebe;3312.9;3315.298
Geschwisterliebe;3315.3;3317.598
Geschwisterliebe;3317.6;3319.998
Geschwisterliebe;3327.5;3335.998
Geschwisterliebe;3335.998;3342.998
Geschwisterliebe;3342.998;3348.942
Geschwisterliebe;3388.298;3392.566
Geschwisterliebe;3393.432;3399.379
Geschwisterliebe;3399.379;3403.197
Geschwisterliebe;3404.998;3408.797
Geschwisterliebe;3416.398;3420.297
Geschwisterliebe;3427.974;3432.097
Geschwisterliebe;3450.366;3452.297
Geschwisterliebe;3452.3;3454.267
Geschwisterliebe;3712;3724.097
Geschwisterliebe;3724.1;3733.097
Geschwisterliebe;3733.1;3743.299
Geschwisterliebe;3749.1;3759.298
Geschwisterliebe;3763;3773.7
Geschwisterliebe;4647.703;4650.109
Geschwisterliebe;4649.309;4651.356
Geschwisterliebe;4651.356;4653.175
Geschwisterliebe;4654.9;4656.7
Geschwisterliebe;4657.3;4659.025
Geschwisterliebe;4658.45;4660.175
Geschwisterliebe;4714.1;4716.725
Geschwisterliebe;4715.85;4720.05
Geschwisterliebe;4789.1;4790.683
Geschwisterliebe;4804.7;4806.45
Geschwisterliebe;4809.255;4811.008
Geschwisterliebe;4836.1;4837.601
Geschwisterliebe;4837.101;4838.676
Geschwisterliebe;4861.3;4862.9
Geschwisterliebe;4865.45;4867
Geschwisterliebe;4999.9;5000.95
Geschwisterliebe;5000.6;5001.625
Geschwisterliebe;5001.3;5002.275
Geschwisterliebe;5001.95;5002.95
Geschwisterliebe;5010.8;5012.779
Geschwisterliebe;5011.565;5014.642
Geschwisterliebe;5013.227;5016.8
Geschwisterliebe;5015.161;5019.075
Geschwisterliebe;5027.3;5028.4
Geschwisterliebe;5027.85;5029.498
Geschwisterliebe;5028.95;5030.889
Geschwisterliebe;5030.194;5032.275
Geschwisterliebe;5031.583;5033.803
Geschwisterliebe;5033.04;5035.325
Geschwisterliebe;5195.9;5201.333
Geschwisterliebe;5198.089;5205.6
Geschwisterliebe;5202.389;5209.457
Geschwisterliebe;5211.127;5217.214
Geschwisterliebe;5215.927;5218.762
Liebe;402.17;407.847
Liebe;407.85;414.277
Liebe;543.31;549.2271
Liebe;548.2447;555.2469
Liebe;555.25;560.2575
Liebe;557.79;560.6916
Liebe;562.86;569.5468
Liebe;1695.175;1702.65
Liebe;1700.3;1709.05
Liebe;1706.65;1716.563
Liebe;3274.6;3279.498
Liebe;3278.698;3283
Liebe;3281.9;3285.4
Liebe;3284.1;3287.566
Liebe;3286.7;3290.232
Liebe;3289.3;3294.897
Liebe;3292.1;3298.696
Liebe;3494.399;3497.199
Liebe;3497.699;3500.433
Liebe;3506.4;3509.055
Liebe;3509.055;3512.432
Liebe;3617.699;3625.865
Liebe;3768.8;3779.396
Liebe;3779.4;3784.977
Liebe;3782.955;3789.308
Liebe;3787;3794.403
Liebe;3794.403;3808.393
Liebe;4440.2;4448.05
Liebe;4446.675;4452.758
Liebe;5049.2;5056.625
Liebe;5054.75;5061.75
Liebe;5058.5;5067.387
Liebe;5063.7;5069.594
Liebe;5082.6;5086.696
Nibelungenhass;2601.888;2604.816
Nibelungenhass;2604.938;2607.799
Nibelungenhass;2607.925;2610.716
Nibelungenhass;2610.837;2613.699
Nibelungenhass;2613.825;2616.699
Nibelungenhass;2616.825;2619.449
Nibelungenhass;2619.562;2622.316
Nibelungenhass;2622.438;2625.132
Nibelungenhass;2646.913;2649.716
Nibelungenhass;2649.837;2652.65
Nibelungenhass;2649.837;2652.532
Nibelungenhass;2652.65;2655.249
Nibelungenhass;2655.362;2658.237
Nibelungenhass;2658.237;2661.05
Riesen;2200.4;2202.4
Riesen;2211.05;2212.796
Ring;842.78;849.015
Ring;848.28;857.165
Ring;1906.1;1914.096
Ring;2130.6;2137.2
Ring;2139.6;2145.897
Ring;2157.8;2162.55
Ring;2162.55;2170.137
Ring;2191.9;2196.197
Ring;2479.125;2481.15
Schicksal;3801.8;3814.8
Schicksal;3823.4;3834.975
Schicksal;3866;3877.725
Schicksal;3885.7;3897.075
Schicksal;3955.6;3967.6
Schicksal;3975.552;3986.525
Schicksal;4018.1;4028.95
Schicksal;4033.3;4044.525
Schicksal;4095.7;4102.601
Schicksal;4105.003;4113.425
Schicksal;4115.9;4122.15
Schicksal;4119.6;4125.05
Schicksal;4511.4;4517.675
Schicksal;4518.1;4525.05
Schicksal;4540.6;4544.9
Schicksal;4560.4;4564.425
Schicksal;4565;4569.125
Schicksal;4593.9;4598.997
Schicksal;4610.4;4614.712
Schicksal;4615;4619.698
Schicksal;4749.7;4754.675
Schicksal;5034.565;5043.725
Schicksal;5044.3;5052.962
Schicksal;5103.7;5113.096
Schicksal;5455.4;5465.425
Schicksal;5466.1;5476.69
Schicksal;5500;5506.05
Schicksal;5507.4;5513.575
Schicksal;5515;5532.341
Schwert;0.928;4.140874
Schwert;11.65431;14.69447
Schwert;29.84106;32.97428
Schwert;63.86136;66.87564
Schwert;624.11;629.6367
Schwert;810.2;817.755
Schwert;971.42;976.2576
Schwert;1252.9;1256.098
Schwert;2523.625;2527.598
Schwert;2805.4;2808.598
Schwert;3551.6;3554.4
Schwert;3689.725;3692.512
Schwert;4625.262;4630.998
Schwert;4905.07;4907.625
Schwert;5230.869;5233.098
Schwert;5235.2;5237.574
Schwert;5384.637;5388.898
Schwert;5393.381;5397.6
Schwert;5400.988;5404.325
Schwert;5415.55;5420.975
Schwert;5423.788;5425.65
Unmuth;994.935;1000.303
Unmuth;1003.95;1009.125
Unmuth;1012.8;1018.025
Unmuth;1021.6;1026.3
Unmuth;1025.1;1028.65
Unmuth;1042.469;1048.487
Unmuth;1141.2;1157.075
Unmuth;1169.25;1180.763
Unmuth;1197.35;1204.175
Unmuth;1218.65;1229.072
Unmuth;1239.75;1243.338
Unmuth;1243.55;1246.8
Unmuth;1247;1250.35
Unmuth;1249.5;1252.05
Unmuth;1388;1402.996
Unmuth;1489.8;1499.5
Unmuth;1497.1;1504.2
Unmuth;1501.9;1511.495
Unmuth;1520.95;1529.575
Unmuth;1537.4;1546.175
Unmuth;1553.75;1562.25
Unmuth;1565.2;1574.3
Unmuth;1577.35;1588.007
Unmuth;1811.5;1827.295
Unmuth;1872.434;1877.5
Unmuth;2262.098;2264.9
Unmuth;2279;2281.25
