Motif;StartSec;EndSec
Feuerzauber;3401.365;3404.65
Feuerzauber;3406.6;3409.85
Feuerzauber;3504.6;3508.075
Feuerzauber;3510.1;3513.475
Horn;432.77;434.335
Horn;435.83;437.255
Horn;438.67;439.699
Horn;439.7;440.669
Horn;440.67;441.205
Horn;441.205;441.7389
Horn;441.74;442.25
Horn;442.25;442.759
Horn;442.76;444.215
Horn;446.7;447.659
Horn;447.66;448.7389
Horn;448.74;450.21
Horn;451.7;452.679
Horn;452.68;453.719
Horn;453.72;454.699
Horn;454.7;455.729
Horn;455.73;456.729
Horn;456.73;457.709
Horn;463.13;464.2289
Horn;464.23;465.3888
Horn;465.39;465.93
Horn;465.93;466.4689
Horn;466.47;466.97
Horn;466.97;467.469
Horn;467.47;468.6288
Horn;468.63;469.609
Horn;470.14;470.6689
Horn;471.255;471.8388
Horn;489.77;493.0389
Horn;696.05;698.0589
Horn;3699.5;3701.05
Horn;3702.5;3704.05
Horn;3733.6;3735.3
Horn;3742;3742.999
Horn;3743;3744.099
Horn;3744.1;3745.65
Horn;3748.2;3749.299
Horn;3749.3;3750.399
Horn;3751.5;3753.05
Horn;3767.3;3768.9
Horn;3770.4;3771.85
Horn;4644.1;4645.699
Horn;4645.2;4646.699
Horn;4647.2;4648.699
Horn;4649.2;4650.8
Jugendkraft;528.512;529.8394
Jugendkraft;529.84;531.1893
Jugendkraft;531.19;531.8593
Jugendkraft;531.86;532.5893
Jugendkraft;532.59;533.2493
Jugendkraft;533.25;533.9293
Jugendkraft;536.55;537.9393
Jugendkraft;539.27;540.5194
Jugendkraft;541.86;542.4794
Jugendkraft;542.48;543.1893
Jugendkraft;543.19;543.8793
Jugendkraft;543.88;544.5793
Jugendkraft;544.58;545.2194
Jugendkraft;545.22;545.9293
Jugendkraft;545.93;546.6293
Jugendkraft;546.63;547.2694
Jugendkraft;547.27;547.9393
Jugendkraft;547.94;548.6293
Jugendkraft;548.63;549.2594
Jugendkraft;549.26;549.9593
Jugendkraft;549.96;551.2993
Jugendkraft;552.576;553.8993
Jugendkraft;553.9;555.2893
Jugendkraft;555.29;555.9394
Jugendkraft;555.94;556.5794
Jugendkraft;569.216;570.5593
Jugendkraft;571.89;573.3093
Jugendkraft;573.31;574.7093
Jugendkraft;574.71;575.3793
Jugendkraft;575.38;576.0393
Jugendkraft;576.04;576.7593
Jugendkraft;576.76;577.3994
Jugendkraft;580.15;581.4993
Jugendkraft;581.5;582.8493
Jugendkraft;582.85;584.2493
Jugendkraft;584.25;585.5993
Jugendkraft;585.6;586.9993
Jugendkraft;587;588.3793
Jugendkraft;588.38;589.7293
Jugendkraft;589.73;591.1593
Jugendkraft;619.05;620.6894
Jugendkraft;646.88;648.3792
Jugendkraft;774.043;775.316
Jugendkraft;781.1096;782.4694
Jugendkraft;788.1597;789.566
Jugendkraft;795.2497;796.5827
Jugendkraft;797.2597;797.959
Jugendkraft;797.96;798.6193
Jugendkraft;798.62;799.3093
Jugendkraft;799.31;799.9494
Jugendkraft;799.95;800.6193
Jugendkraft;800.62;801.2993
Jugendkraft;801.3;801.9294
Jugendkraft;801.93;802.5394
Jugendkraft;802.54;803.1594
Jugendkraft;803.16;803.8193
Jugendkraft;803.82;804.4793
Jugendkraft;821.77;823.2692
Jugendkraft;823.27;824.5693
Jugendkraft;830.19;831.7592
Jugendkraft;1079.766;1080.633
Jugendkraft;1163.4;1164.699
Jugendkraft;1164.7;1165.899
Jugendkraft;1165.9;1167.199
Jugendkraft;1554.9;1556.099
Jugendkraft;1556.1;1557.399
Jugendkraft;1557.4;1558.699
Jugendkraft;1558.7;1559.999
Jugendkraft;1560;1561.199
Jugendkraft;1561.2;1562.499
Jugendkraft;1562.5;1563.699
Jugendkraft;1563.7;1564.899
Jugendkraft;1600;1600.999
Jugendkraft;1601.366;1602.766
Jugendkraft;1603.433;1604.766
Jugendkraft;1605.433;1606.766
Jugendkraft;1607.4;1607.999
Jugendkraft;2942.3;2943.499
Jugendkraft;2943.5;2944.799
Jugendkraft;2944.8;2945.983
Jugendkraft;2945.984;2946.602
Jugendkraft;2946.603;2947.199
Jugendkraft;2947.2;2947.818
Jugendkraft;2947.819;2948.415
Jugendkraft;2948.416;2949.099
Jugendkraft;2949.1;2949.699
Jugendkraft;2949.7;2950.999
Jugendkraft;2951;2952.341
Jugendkraft;2952.341;2953.599
Jugendkraft;2953.6;2954.899
Jugendkraft;2954.9;2956.245
Jugendkraft;2956.245;2957.499
Jugendkraft;2957.5;2958.698
Jugendkraft;3195.1;3195.799
Jugendkraft;3195.8;3196.399
Jugendkraft;3196.4;3197.099
Jugendkraft;3197.1;3197.699
Jugendkraft;3199.6;3200.199
Jugendkraft;3200.2;3200.899
Jugendkraft;3200.9;3201.499
Jugendkraft;3201.5;3202.199
Jugendkraft;3202.2;3202.999
Jugendkraft;3208.8;3209.45
Jugendkraft;3210.1;3210.7
Jugendkraft;3211.3;3212.599
Jugendkraft;3240.2;3240.8
Jugendkraft;3241.4;3242.1
Jugendkraft;3242.8;3243.4
Jugendkraft;3243.4;3243.999
Jugendkraft;3263.6;3264.15
Jugendkraft;3264.15;3264.699
Jugendkraft;3264.7;3265.298
Jugendkraft;3265.3;3265.896
Jugendkraft;3295.25;3295.899
Jugendkraft;3295.9;3296.55
Jugendkraft;3296.55;3297.199
Jugendkraft;3354.15;3354.799
Jugendkraft;3355.35;3355.899
Jugendkraft;3355.9;3356.55
Jugendkraft;3356.55;3357.199
Jugendkraft;3357.8;3358.399
Jugendkraft;3358.4;3359
Jugendkraft;3359;3359.599
Jugendkraft;3616;3616.699
Jugendkraft;3616.7;3617.399
Jugendkraft;3617.4;3618.099
Jugendkraft;3618.1;3618.699
Jugendkraft;3618.7;3619.399
Jugendkraft;3619.4;3620.099
Jugendkraft;3620.1;3620.799
Jugendkraft;3620.8;3621.399
Jugendkraft;3622.1;3622.699
Jugendkraft;3645.4;3646.699
Jugendkraft;3646.7;3647.999
Liebe;1278.95;1283.35
Liebe;1283.35;1288.388
Liebe;1286.2;1291.811
Liebe;1289.7;1293.908
Liebe;1293.077;1298.067
Liebe;1299.733;1304.356
Mime;591.16;591.8893
Mime;591.89;592.7891
Mime;592.79;593.5592
Mime;593.56;594.3992
Mime;594.4;595.2691
Mime;595.27;596.1991
Mime;596.2;597.0292
Mime;597.03;597.8692
Mime;597.87;598.7491
Mime;598.75;599.6891
Mime;599.69;600.5991
Mime;600.6;601.569
Mime;601.57;602.559
Mime;602.56;603.549
Mime;603.55;604.549
Mime;604.55;605.6589
Mime;624.01;624.8392
Mime;625.58;626.4591
Mime;627.15;627.9792
Mime;627.98;628.7492
Mime;628.75;629.5692
Mime;629.57;630.4691
Mime;630.47;631.429
Mime;631.43;632.2991
Mime;632.3;633.259
Mime;633.26;634.229
Mime;634.23;635.1391
Mime;635.14;636.0091
Mime;636.01;636.8791
Mime;636.88;637.8291
Mime;637.83;638.7091
Mime;638.71;639.6091
Mime;639.61;640.5191
Mime;640.52;641.3492
Mime;643.34;644.1991
Mime;644.2;645.149
Mime;645.15;646.0191
Mime;646.02;646.8791
Mime;651.08;651.795
Mime;651.795;652.5086
Mime;652.51;653.21
Mime;653.21;653.9086
Mime;653.91;654.635
Mime;654.635;655.3586
Mime;655.36;656.04
Mime;656.04;656.7186
Mime;656.72;657.48
Mime;657.48;658.2385
Mime;658.24;658.925
Mime;658.925;659.6086
Mime;659.61;660.295
Mime;660.295;660.9786
Mime;660.98;661.655
Mime;662.33;663.03
Mime;663.73;664.415
Mime;665.1;665.81
Mime;666.52;667.33
Mime;667.33;668.1384
Mime;669.27;670.3989
Mime;671.55;672.6189
Mime;673.62;674.6789
Mime;675.72;676.5991
Mime;677.74;678.8089
Mime;679.82;680.7091
Mime;681.78;682.829
Mime;683.86;684.9789
Mime;685.97;687.019
Mime;688.02;688.9391
Mime;689.98;691.029
Mime;692.04;693.0989
Mime;694.09;695.089
Mime;696.05;696.9491
Mime;698.06;699.039
Mime;700.09;701.119
Mime;703.17;704.1091
Mime;704.11;705.2189
Mime;708.24;709.249
Mime;709.25;710.3389
Mime;710.34;711.2791
Mime;711.28;712.319
Mime;712.32;713.339
Mime;715.35;716.389
Mime;716.39;717.4889
Mime;717.49;718.6588
Mime;718.66;719.689
Mime;719.69;720.679
Mime;720.68;721.7589
Mime;721.76;722.8489
Mime;722.85;723.9189
Mime;723.92;725.0089
Mime;725.01;726.049
Mime;727.21;728.3988
Mime;729.43;730.5289
Mime;731.59;732.549
Mime;732.55;733.6489
Mime;734.79;735.9089
Mime;737.2897;737.949
Mime;737.95;739.0689
Mime;739.4363;740.1689
Mime;740.17;741.169
Mime;741.4997;742.159
Mime;743.5597;744.259
Mime;745.6463;746.319
Mime;747.8396;748.6787
Mime;749.1962;750.2285
Mime;775.65;776.699
Mime;776.7;777.719
Mime;777.72;778.739
Mime;778.74;779.729
Mime;779.73;780.749
Mime;782.79;783.6292
Mime;783.63;784.8088
Mime;784.81;785.7591
Mime;785.76;786.799
Mime;786.8;787.809
Mime;789.92;790.7691
Mime;790.77;791.9189
Mime;791.92;792.929
Mime;792.93;793.949
Mime;793.95;794.909
Mime;804.48;805.2093
Mime;805.97;806.7292
Mime;807.46;808.1693
Mime;808.17;808.9692
Mime;808.97;809.8192
Mime;809.82;810.6791
Mime;810.68;811.5991
Mime;811.6;812.4192
Mime;812.42;813.379
Mime;813.38;814.3191
Mime;814.32;815.3789
Mime;815.38;816.2791
Mime;816.28;817.239
Mime;817.24;818.0991
Mime;818.1;818.9991
Mime;819;819.8891
Mime;819.89;820.8291
Mime;884.51;885.2692
Mime;885.27;885.9693
Mime;885.97;886.6493
Mime;886.65;887.3893
Mime;887.39;888.1992
Mime;888.99;889.8991
Mime;1187.2;1187.95
Mime;1187.95;1188.698
Mime;1188.7;1189.4
Mime;1189.4;1190.099
Mime;1190.1;1190.8
Mime;1190.8;1191.499
Mime;1191.5;1192.25
Mime;1192.25;1192.998
Mime;1193;1193.75
Mime;1193.75;1194.498
Mime;1194.5;1195.3
Mime;1195.3;1196.098
Mime;1197.6;1198.4
Mime;1198.4;1199.198
Mime;1199.2;1199.95
Mime;1199.95;1200.698
Mime;1200.7;1201.4
Mime;1201.4;1202.099
Mime;1202.1;1202.9
Mime;1202.9;1203.698
Mime;1203.7;1204.438
Mime;1456.4;1458.499
Mime;1458.5;1459.499
Mime;2958.699;2959.399
Mime;2959.4;2959.999
Mime;2960;2960.699
Mime;2960.7;2961.299
Mime;2961.3;2961.899
Mime;2961.9;2962.599
Mime;2962.6;2963.199
Mime;2963.2;2963.799
Mime;2963.8;2964.399
Mime;2964.4;2965.099
Mime;3270.3;3271.7
Mime;3271.7;3272.498
Mime;3273.25;3274.8
Mime;3274.8;3275.598
Mime;3276.4;3278.1
Mime;3278.55;3280.15
Mime;3333.9;3334.55
Mime;3334.55;3335.199
Mime;3335.2;3335.8
Mime;3335.8;3336.399
Mime;3337.6;3338.25
Mime;3338.25;3338.899
Mime;3338.9;3339.5
Mime;3339.5;3340.099
Mime;3340.1;3340.7
Mime;3348.1;3348.699
Mime;3348.7;3349.899
Mime;3623.5;3624.099
Mime;3624.1;3624.799
Mime;3625.5;3626.199
Mime;3626.2;3626.899
Mime;3626.9;3627.699
Mime;3627.7;3628.399
Mime;3628.4;3629.099
Mime;3629.1;3629.699
Mime;3629.7;3630.399
Mime;3635.7;3636.399
Mime;3637.2;3637.799
Mime;3638.5;3639.099
Mime;3639.1;3639.799
Mime;3639.8;3640.499
Mime;3640.5;3641.199
Mime;3641.2;3641.899
Mime;3641.9;3642.599
Mime;3642.6;3643.299
Mime;3643.3;3643.999
Mime;3644;3644.699
Mime;3648.7;3649.299
Mime;3649.3;3649.999
Mime;3650;3650.799
Nibelungen;94.78875;97.8651
Nibelungen;98.4291;101.3482
Nibelungen;101.6256;103.0083
Nibelungen;103.01;104.7982
Nibelungen;104.8;106.4284
Nibelungen;107.29;109.8683
Nibelungen;110.4261;113.3282
Nibelungen;113.6072;114.9983
Nibelungen;115;116.6084
Nibelungen;116.61;118.1884
Nibelungen;125.12;126.9282
Nibelungen;126.93;128.5684
