Motif;StartSec;EndSec
Feuerzauber;162.73;164.9178
Feuerzauber;166.96;169.1678
Feuerzauber;1484.1;1486.997
Feuerzauber;1489.5;1492.297
Feuerzauber;4237.8;4244.098
Feuerzauber;4246.2;4251.35
Feuerzauber;4254.4;4260.698
Feuerzauber;4262.7;4267.9
Feuerzauber;4317.3;4321.9
Feuerzauber;4328.8;4333.5
Horn;222.93;225.2531
Horn;225.04;226.9581
Horn;226.96;228.948
Horn;278.44;280.3581
Horn;280.36;282.2081
Horn;282.21;284.3479
Horn;568.85;572.3803
Horn;580.7175;584.385
Horn;583.38;587.04
Horn;586.05;588.0274
Horn;588.665;590.5675
Horn;590.57;592.9776
Horn;592.98;595.2777
Horn;595.28;597.5977
Horn;597.6;599.8677
Horn;599.87;601.05
Horn;601.05;602.2276
Horn;602.23;606.3281
Horn;606.33;611.9495
Horn;612.91;616.6328
Horn;649.79;654.0777
Horn;654.08;656.2378
Horn;658.88;660.7803
Horn;663.41;665.3902
Horn;665.64;667.6202
Horn;667.87;670.019
Horn;674.8;676.9312
Horn;679.49;681.5768
Horn;684.12;686.2512
Horn;686.52;688.4647
Horn;688.71;690.9078
Horn;690.91;693.2876
Horn;693.29;695.4279
Horn;699.55;701.6679
Horn;701.67;703.668
Horn;1905;1907.662
Horn;1918.2;1922
Horn;1930.4;1932.798
Horn;1935.6;1938.397
Horn;1945.223;1947.941
Horn;1955.857;1958.31
Horn;2024.8;2027.295
Horn;2035.1;2037.595
Horn;2252.477;2254.795
Horn;2291.4;2293.596
Horn;4317.3;4322.898
Horn;4328.8;4334.498
Horn;4344.5;4354.925
Nibelungen;1025.2;1026.998
Nibelungen;1027.6;1029.398
Nibelungen;1029.975;1031.698
Nibelungen;1031.7;1033.998
Nibelungen;1036.4;1038.798
Nibelungen;1038.8;1041.198
Nibelungen;1052;1054.097
Nibelungen;1054.1;1056.597
Nibelungen;1059.1;1061.597
Nibelungen;1064.875;1066.897
Nibelungen;1067.6;1069.697
Nibelungen;1070.5;1072.897
Nibelungen;1107.15;1108.697
Nibelungen;1108.7;1111.198
Nibelungen;1760.45;1762.698
Nibelungen;1775.9;1778.198
Nibelungenhass;1942.5;1948.628
Nibelungenhass;1948.628;1954.014
Nibelungenhass;1954.014;1958.95
Nibelungenhass;4823.106;4826.499
Nibelungenhass;4826.65;4830.015
Nibelungenhass;4830.163;4833.182
Nibelungenhass;4833.312;4836.882
Nibelungenhass;4863.675;4869.432
Nibelungenhass;4877.288;4882.099
Ring;41.774;43.82894
Ring;287.1;291.7577
Ring;291.76;294.1276
Ring;294.13;296.2079
Ring;296.21;300.8777
Ring;707.87;709.7681
Ring;709.77;711.6481
Ring;1111.2;1115.525
Ring;1766.15;1772.05
Ring;2242.35;2251.316
Ring;2257.469;2261.999
Ring;2282.15;2290.3
Ring;2296.25;2300.625
Ring;2518.9;2530.596
Ring;2539.2;2544.925
Ring;2552.9;2560.2
Ring;2561.2;2565.795
Ring;3683.627;3691.425
Ring;3691.425;3700.596
Ring;3894.5;3896.598
Ring;3916.2;3919.898
Ring;3950.1;3951.898
Ring;3951.9;3953.898
Ring;3979.605;3982.098
Ring;3982.1;3984.597
Ring;3984.6;3986.898
Ring;4659.2;4660.998
Ring;4662.9;4664.698
Ring;4691.4;4692.975
Ring;4695.3;4696.575
Ritt;849.56;851.04
Ritt;853.21;854.6371
Ritt;884.1825;885.6475
Ritt;903.21;904.575
Ritt;2635.498;2636.298
Ritt;2637.565;2638.198
Ritt;2655.332;2656.666
Ritt;2662.399;2663.798
Ritt;2664.366;2665.498
Ritt;2682.197;2683.998
Ritt;2684;2685.598
Ritt;2685.6;2687.298
Ritt;2687.3;2688.898
Ritt;2688.9;2690.399
Ritt;2690.4;2691.998
Ritt;2712.732;2713.298
Ritt;2714.232;2714.699
Ritt;2715.899;2716.498
Ritt;2717.499;2717.999
Ritt;3771.4;3772.898
Ritt;3772.9;3774.798
Ritt;3774.8;3776.598
Ritt;3776.6;3778.175
Schicksal;3400.3;3409.996
Schicksal;3414.6;3425.104
Schwert;222.7141;224.3353
Schwert;225.04;226.3187
Schwert;278.44;279.7187
Schwert;322.56;324.4681
Schwert;468.4675;473.2072
Schwert;699.216;701.6679
Schwert;1012.1;1016.675
Schwert;1600.862;1602.525
Schwert;4902.45;4906.698
Schwert;4935.525;4938.85
Siegfried;796.42;809.865
Siegfried;820.2625;829.6413
Siegfried;873.11;885.6475
Siegfried;2041.575;2064.123
Siegfried;2264.48;2274.795
Siegfried;2302.925;2313.595
Siegfried;2910.388;2924.025
Siegfried;4310.8;4315.198
Siegfried;4340.075;4346.598
Unmuth;3053.363;3062.412
Unmuth;3071.425;3081.562
Unmuth;3121.984;3127.727
Unmuth;3139.571;3144.433
Unmuth;3155.833;3159.714
Unmuth;3160.9;3163.514
Unmuth;3597.396;3604.05
Unmuth;3618.22;3621.464
Unmuth;3622.4;3625.8
Unmuth;3755.787;3760.05
Unmuth;3763.688;3767.85
Unmuth;3798.425;3804.425
Unmuth;3804.738;3810.6
Unmuth;3810.6;3815.43
Vertrag;1586.8;1589.599
Vertrag;1609.3;1613.4
Vertrag;1634.35;1638.398
Vertrag;1653.2;1659.321
Vertrag;1693.4;1700.098
Vertrag;1717.9;1722.498
Vertrag;2271.125;2279.595
Vertrag;2309.775;2320.162
Vertrag;3198;3207.695
Vertrag;4902.7;4906.698
Walhall-b;2177;2185.75
Walhall-b;3181.7;3184.35
Walhall-b;3192.2;3202.55
Walhall-b;3207.7;3210.3
Walhall-b;3218.7;3228.995
Walhall-b;3257.1;3259.55
Walhall-b;3267.6;3278.329
