Motif;StartSec;EndSec
Geschwisterliebe;6.562292;8.009121
Geschwisterliebe;8.191604;9.64944
Geschwisterliebe;9.833311;11.52774
Geschwisterliebe;10.83929;12.63144
Geschwisterliebe;11.89564;13.68654
Geschwisterliebe;13.001;15.19679
Geschwisterliebe;17.63701;18.99937
Geschwisterliebe;19.1712;20.62823
Geschwisterliebe;20.812;22.45579
Geschwisterliebe;21.7717;23.67258
Geschwisterliebe;22.86139;24.76731
Geschwisterliebe;24.08;25.94324
Geschwisterliebe;28.718;30.18054
Geschwisterliebe;34.90299;36.45878
Geschwisterliebe;36.655;38.02251
Geschwisterliebe;41.181;44.25935
Geschwisterliebe;44.42399;47.36458
Geschwisterliebe;50.78601;52.43038
Geschwisterliebe;51.76236;53.50064
Geschwisterliebe;52.78713;54.60403
Geschwisterliebe;53.859;55.71071
Geschwisterliebe;54.97655;56.753
Geschwisterliebe;74.43;77.62178
Geschwisterliebe;77.817;80.72699
Geschwisterliebe;1488.505;1494.96
Geschwisterliebe;1494.96;1501.01
Geschwisterliebe;2228.278;2233.618
Geschwisterliebe;2231.96;2236.57
Geschwisterliebe;2858.18;2860.705
Geschwisterliebe;2860.705;2862.558
Geschwisterliebe;2862.558;2864.096
Geschwisterliebe;2864.287;2865.785
Geschwisterliebe;2865.972;2867.723
Geschwisterliebe;2867.723;2869.288
Geschwisterliebe;2869.288;2870.781
Geschwisterliebe;2870.97;2872.388
Geschwisterliebe;2872.74;2874.03
Geschwisterliebe;2873.293;2875.039
Geschwisterliebe;2874.4;2876.024
Geschwisterliebe;2875.359;2877.126
Geschwisterliebe;2876.391;2877.675
Geschwisterliebe;2877.495;2878.036
Geschwisterliebe;2878.036;2878.577
Geschwisterliebe;2878.577;2879.118
Geschwisterliebe;2893.16;2894.563
Geschwisterliebe;2894.74;2896.125
Geschwisterliebe;2899.44;2900.808
Geschwisterliebe;2900.98;2902.348
Geschwisterliebe;2902.52;2903.732
Geschwisterliebe;2903.039;2904.71
Geschwisterliebe;2904.08;2905.702
Geschwisterliebe;2905.026;2906.914
