Motif;StartSec;EndSec
Feuerzauber;1604.02;1606.845
Feuerzauber;1608.3;1610.935
Feuerzauber;1618.8;1622.01
Feuerzauber;1767.28;1771.345
Feuerzauber;1776.76;1780.725
Feuerzauber;1820.76;1823.158
Feuerzauber;1826.4;1828.78
Feuerzauber;1829.12;1831.412
Feuerzauber;1840;1842.711
Feuerzauber;1842.713;1845.517
Horn;1767.28;1770.537
Horn;1776.76;1780.062
Horn;1788.84;1790.94
Horn;1799.05;1800.517
Horn;1801.965;1803.407
Horn;1807.68;1809.037
Horn;1810.5;1811.957
Horn;1817.74;1818.495
Horn;1818.495;1819.25
Horn;1819.25;1821.102
Horn;1823.5;1824.225
Horn;1824.225;1824.95
Horn;1824.95;1826.74
Horn;1831.74;1833.16
Horn;1834.58;1835.935
Horn;1837.29;1837.967
Horn;1837.967;1838.645
Horn;1838.645;1839.997
Jugendkraft;1322.94;1323.93
Jugendkraft;1323.93;1324.918
Jugendkraft;1324.92;1325.77
Jugendkraft;1325.77;1326.618
Jugendkraft;1326.62;1327.275
Jugendkraft;1327.275;1327.93
Jugendkraft;1327.93;1328.585
Nibelungen;1237.18;1239.338
Nibelungen;1239.34;1240.699
Ring;462.975;465.1331
Ring;464.8667;467.2883
Ring;471.4;473.7437
Ring;473.5;475.715
Ring;488.32;494.2415
Ring;493.59;498.8573
Ring;786.76;789.3245
Ring;917.86;921.8473
Ring;919.9387;922.1178
Ring;922.12;924.2679
Ring;924.27;926.3979
Ring;926.4;928.3114
Ring;928.3133;930.278
Ritt;2.416185;3.490247
Ritt;3.490247;4.56216
Ritt;4.564308;5.649079
Ritt;5.483605;6.397387
Ritt;6.402902;7.451848
Ritt;7.451848;8.498696
Ritt;8.500794;9.492897
Ritt;9.492897;10.48302
Ritt;10.485;11.4055
Ritt;11.4055;12.32417
Ritt;12.32601;13.35
Ritt;13.35;14.37195
Ritt;14.374;15.29899
Ritt;15.29899;16.22214
Ritt;16.22399;17.22749
Ritt;17.22749;18.22899
Ritt;18.231;19.2545
Ritt;19.2545;20.27596
Ritt;20.278;21.2105
Ritt;21.2105;22.14113
Ritt;22.14299;23.102
Ritt;23.102;24.05908
Ritt;24.061;25.0015
Ritt;25.0015;25.94011
Ritt;25.942;26.8625
Ritt;26.8625;27.78116
Ritt;27.783;28.7675
Ritt;28.7675;29.75003
Ritt;29.752;30.736
Ritt;30.736;31.71803
Ritt;31.72;32.66751
Ritt;32.66751;33.61312
Ritt;33.61501;34.61051
Ritt;34.61051;35.60402
Ritt;35.60601;36.5725
Ritt;36.5725;37.53707
Ritt;37.539;38.5185
Ritt;38.5185;39.49604
Ritt;39.498;40.472
Ritt;40.472;41.44406
Ritt;45.509;47.53198
Ritt;47.534;49.34218
Ritt;49.34399;51.30405
Ritt;51.30601;53.26405
Ritt;53.26601;55.26401
Ritt;55.26601;57.28298
Ritt;57.285;59.11717
Ritt;59.119;61.06505
Ritt;61.067;63.073
Ritt;63.07501;65.00966
Ritt;65.0116;66.85616
Ritt;66.858;68.85101
Ritt;68.853;70.81504
Ritt;70.817;72.71411
Ritt;72.71601;74.65706
Ritt;74.659;76.59806
Ritt;76.6;78.56104
Ritt;78.563;80.42514
Ritt;80.42701;82.3261
Ritt;82.328;84.324
Ritt;84.326;86.25582
