Motif;StartSec;EndSec
Horn;416.033;418.2112
Horn;418.2133;422.418
Horn;737.29;740.6825
Horn;761.94;763.6383
Horn;763.64;765.4682
Horn;765.47;767.2482
Horn;767.25;769.1081
Horn;928.0727;930.9783
Horn;931.5328;934.2828
Horn;934.8891;937.6784
Horn;937.68;940.9386
Horn;1220.57;1223.618
Horn;1226.68;1229.758
Horn;1229.76;1235.859
Horn;3064.358;3065.492
Horn;3542.592;3545.668
Liebe;2642.52;2647.146
Mannen;1096.68;1098.879
Mannen;1098.88;1099.749
Mannen;1099.75;1100.679
Mannen;1100.68;1102.499
Mannen;1102.5;1103.559
Mannen;1103.56;1104.399
Mannen;1104.4;1105.339
Mannen;1105.34;1106.239
Mannen;1106.24;1107.299
Mannen;1107.3;1108.179
Mannen;1108.18;1109.199
Mannen;1109.2;1110.159
Mannen;1110.16;1111.079
Mannen;1111.08;1111.999
Mannen;1112;1112.979
Mannen;1112.98;1113.859
Mannen;1113.86;1114.799
Mannen;1114.8;1116.758
Mannen;1116.759;1118.939
Mannen;1118.94;1119.819
Mannen;1119.82;1120.799
Mannen;1120.8;1121.979
Mannen;1121.98;1122.779
Mannen;1123.88;1124.759
Mannen;1125.803;1126.839
Mannen;1126.84;1127.739
Mannen;1127.74;1128.739
Mannen;1182.5;1184.599
Mannen;1184.6;1185.569
Mannen;1185.57;1186.599
Mannen;1186.6;1187.499
Mannen;1187.5;1188.559
Mannen;1188.56;1190.486
Mannen;1195.86;1197.939
Mannen;1197.94;1199.919
Mannen;1199.92;1200.799
Mannen;1200.8;1201.799
Mannen;1201.8;1202.759
Mannen;1202.76;1203.699
Mannen;1203.7;1204.699
Mannen;1204.7;1205.759
Mannen;1237.204;1238.299
Mannen;1238.3;1239.379
Mannen;1239.38;1240.379
Mannen;1240.38;1241.379
Mannen;1241.38;1243.319
Mannen;1243.32;1244.299
Mannen;1244.3;1245.239
Mannen;1260.04;1263.058
Mannen;1263.06;1266.039
Mannen;1278.42;1279.985
Mannen;1281.68;1283.198
Mannen;1299.04;1302.198
Mannen;1302.2;1305.139
Mannen;1305.64;1307.652
Mannen;1322.69;1325.839
Mannen;1423.96;1427.058
Mannen;1427.06;1430.278
Mannen;1434.84;1437.918
Mannen;1437.92;1440.699
Mannen;1440.7;1441.659
Mannen;1441.66;1442.639
Mannen;1442.64;1443.599
Mannen;1443.6;1444.599
Mannen;1444.6;1445.619
Mannen;1445.62;1448.358
Mannen;1449.22;1451.559
Mannen;2238.78;2240.658
Mannen;2240.66;2242.463
Mannen;2242.465;2243.323
Mannen;2243.323;2244.178
Mannen;2244.18;2245.15
Mannen;2245.15;2246.118
Mannen;2246.12;2246.85
Mannen;2247.58;2248.5
Mannen;2249.42;2250.21
Mannen;2251;2251.87
Mannen;2277.02;2277.99
Mannen;2278.96;2279.88
Mannen;2394.944;2395.942
Mannen;2395.942;2396.938
Mannen;2396.94;2397.757
Mannen;2397.76;2398.575
Nibelungenhass;1.473;6.622979
Nibelungenhass;6.059546;10.75261
Nibelungenhass;21.47464;26.84786
Nibelungenhass;52.41238;58.21012
Nibelungenhass;57.60764;62.91742
Nibelungenhass;62.35062;67.2406
Nibelungenhass;66.71492;71.32009
Nibelungenhass;70.80448;75.52009
Nibelungenhass;74.97409;80.06909
Nibelungenhass;79.50747;84.50334
Nibelungenhass;83.94534;89.00935
Nibelungenhass;88.43866;93.61586
Nibelungenhass;93.06279;97.8661
Nibelungenhass;97.30836;102.5396
Nibelungenhass;101.9786;106.8304
Nibelungenhass;106.2846;111.2864
Nibelungenhass;110.7241;115.8497
Nibelungenhass;115.2648;120.3524
Nibelungenhass;177.5547;179.5762
Nibelungenhass;179.9825;182.015
Nibelungenhass;182.3885;184.0795
Nibelungenhass;184.4583;186.7575
Nibelungenhass;189.94;194.2898
Nibelungenhass;193.7858;198.0014
Nibelungenhass;231.494;234.7567
Nibelungenhass;239.45;243.6577
Nibelungenhass;243.1551;247.7294
Nibelungenhass;247.2364;249.39
Nibelungenhass;254.96;259.0222
Nibelungenhass;259.0222;263.2155
Nibelungenhass;291.7826;293.7978
Nibelungenhass;293.9639;295.7722
Nibelungenhass;300.8423;302.7439
Nibelungenhass;302.9248;305.0417
Nibelungenhass;303.823;307.1477
Nibelungenhass;307.15;309.874
Nibelungenhass;309.5888;311.8487
Nibelungenhass;311.5955;313.9443
Nibelungenhass;313.6709;316.211
Nibelungenhass;315.948;318.1505
Nibelungenhass;317.891;320.3691
Nibelungenhass;320.1017;322.288
Nibelungenhass;338.5256;340.5012
Nibelungenhass;344.1296;347.3462
Nibelungenhass;355.3026;359.056
Nibelungenhass;368.4507;372.176
Nibelungenhass;432.812;436.9461
Nibelungenhass;436.2439;441.2568
Nibelungenhass;440.5196;446.0608
Nibelungenhass;464.43;466.779
Nibelungenhass;481.0459;482.785
Nibelungenhass;485.34;487.9716
Nibelungenhass;487.3644;490.2469
Nibelungenhass;489.7725;492.1593
Nibelungenhass;491.8212;494.3392
Nibelungenhass;493.9586;496.7193
Nibelungenhass;496.3384;498.8705
Nibelungenhass;520.3609;525.0193
Nibelungenhass;524.5867;528.7406
Nibelungenhass;528.2043;533.6654
Nibelungenhass;532.9459;537.2558
Nibelungenhass;536.7309;540.8331
Nibelungenhass;540.2527;545.2212
Nibelungenhass;544.5275;549.1701
Nibelungenhass;548.4449;553.5852
Nibelungenhass;581.9929;584.7484
Nibelungenhass;586.053;588.2378
Nibelungenhass;1948.19;1950.652
Nibelungenhass;1953.18;1955.479
Nibelungenhass;1955.58;1957.753
Nibelungenhass;1957.847;1959.904
Nibelungenhass;1959.994;1962.093
Nibelungenhass;1964.455;1966.681
Nibelungenhass;1966.779;1968.744
Nibelungenhass;1968.829;1970.903
Nibelungenhass;1970.995;1973.077
Nibelungenhass;1973.169;1975.456
Nibelungenhass;1975.557;1977.776
Nibelungenhass;1977.872;1980.176
Nibelungenhass;1980.277;1982.943
Nibelungenhass;1983.062;1985.652
Nibelungenhass;1985.429;1988.016
Nibelungenhass;1987.825;1990.299
Nibelungenhass;1990.11;1992.688
Nibelungenhass;1995.34;1997.489
Nibelungenhass;1997.275;2000.086
Nibelungenhass;1999.87;2002.553
Nibelungenhass;2002.35;2004.995
Nibelungenhass;2004.792;2007.4
Nibelungenhass;2007.201;2010.049
Nibelungenhass;2009.825;2013.266
Nibelungenhass;2074.417;2076.195
Nibelungenhass;2075.769;2077.048
Nibelungenhass;2077.871;2079.238
Nibelungenhass;2084.148;2085.438
Nibelungenhass;2163.66;2166.216
Nibelungenhass;2165.58;2169.229
Nibelungenhass;2178.36;2180.858
Nibelungenhass;2180.28;2186.444
Nibelungenhass;2410.6;2412.338
Nibelungenhass;2412.34;2413.938
Nibelungenhass;2413.94;2415.678
Nibelungenhass;2417.451;2419.298
Nibelungenhass;2838.715;2841.957
Nibelungenhass;2841.96;2844.904
Nibelungenhass;2850.571;2853.397
Nibelungenhass;2853.4;2856.737
Nibelungenhass;2862.42;2865.917
Nibelungenhass;2867.512;2871.67
Nibelungenhass;2872.99;2877.255
Nibelungenhass;3163.182;3165.816
Nibelungenhass;3165.928;3168.413
Nibelungenhass;3168.522;3170.94
Nibelungenhass;3171.046;3173.509
Nibelungenhass;3173.618;3176.022
Nibelungenhass;3176.128;3178.872
Nibelungenhass;3558.78;3560.821
Nibelungenhass;3560.823;3562.786
Nibelungenhass;3562.787;3564.558
Ring;145.84;150.1577
Ring;154.68;159.695
Ring;164.04;168.9851
Ring;172.9967;175.4956
Ring;175.3275;177.5547
Ring;226.47;228.5879
Ring;312.7587;313.9443
Ring;314.945;316.211
Ring;396.9875;398.3119
Ring;400.075;401.3375
Ring;401.3375;402.5975
Ring;402.6;404.3743
Ring;404.73;406.7483
Ring;407.0367;409.0346
Ring;471.698;473.9977
Ring;474;475.8659
Ring;1910.86;1912.48
Ring;2035.42;2036.57
Ring;2037.26;2038.46
Ring;2039.18;2040.07
Ring;2042.024;2043.086
Ring;2045.08;2046.208
Ring;2046.885;2048.145
Ring;2048.9;2050.562
Ring;2053.02;2056.326
Ring;2057.085;2060.444
Ring;2107.82;2108.83
Ring;2109.84;2110.84
Ring;2111.84;2112.83
Ring;2112.83;2113.818
Ring;2121.56;2122.65
Ring;2123.74;2124.69
Ring;3434.08;3437.998
Ring;3438;3442.477
Schicksal;1806.74;1814.976
Schicksal;1873.115;1882.292
Schicksal;2912.12;2919.858
Schicksal;2920.234;2925.877
Schicksal;2928.848;2934.657
Schicksal;2938.9;2944.518
Schwert;324.4;327.615
Schwert;388.9521;391.885
Schwert;496.24;499.4703
Schwert;895.1827;898.5588
Schwert;1771.445;1774.352
Schwert;2333.18;2338.619
Schwert;2343.634;2349.69
Schwert;2350.988;2354.702
Schwert;2370.122;2372.955
Schwert;2380.93;2385.818
Schwert;3196.702;3200.625
Siegfried;2088.235;2093.543
Siegfried;3078.321;3083.398
Siegfried;3125.968;3133.011
Siegfried;3138.573;3144.317
Siegfried;3191.467;3195.773
Vertrag;391.885;396.4513
Vertrag;2333.64;2337.178
