Motif;StartSec;EndSec
Nibelungen;3127.66;3129.718
Nibelungen;3129.72;3131.498
Nibelungen;4013.18;4014.798
Nibelungen;4014.8;4016.299
Nibelungen;4016.3;4018.038
Nibelungen;4018.04;4019.658
Nibelungen;4019.66;4021.159
Nibelungen;4021.16;4022.858
Nibelungen;4024.58;4026.158
Nibelungen;4026.16;4027.659
Nibelungen;4027.66;4029.338
Nibelungen;4029.34;4030.759
Nibelungen;4030.76;4032.309
Nibelungen;4032.31;4033.978
Nibelungen;4033.98;4035.379
Nibelungen;4035.38;4036.958
Nibelungen;4036.96;4038.538
Nibelungen;4038.54;4040.238
Nibelungen;4040.24;4041.738
Nibelungen;4041.74;4043.298
Nibelungen;4043.3;4044.858
Nibelungen;4044.86;4046.458
Nibelungen;4046.46;4048.058
Nibelungen;4048.06;4049.459
Nibelungen;4049.46;4051.058
Nibelungen;4051.06;4052.559
Nibelungen;4052.56;4054.198
Nibelungen;4054.2;4055.798
Nibelungen;4055.8;4057.299
Nibelungen;4057.3;4058.918
Nibelungen;4058.92;4060.518
Nibelungen;4060.52;4062.178
Nibelungen;4062.18;4063.599
Nibelungen;4063.6;4065.236
Nibelungen;4065.238;4066.738
Nibelungen;4066.74;4068.199
Nibelungen;4068.2;4069.698
Nibelungen;4069.7;4071.278
Nibelungen;4248.92;4250.738
Nibelungen;4250.74;4252.418
Nibelungen;4254.3;4256.009
Nibelungen;4256.011;4257.758
Nibelungen;4257.76;4259.488
Nibelungen;4259.489;4261.138
Nibelungen;4261.14;4262.798
Nibelungen;4262.8;4264.478
Nibelungen;4264.48;4266.218
Nibelungen;4266.22;4267.958
Nibelungen;4267.96;4269.598
Nibelungen;4269.6;4271.378
Nibelungen;4271.38;4273.058
Nibelungen;4273.06;4274.758
Nibelungen;4274.76;4276.338
Nibelungen;4276.34;4278.25
Nibelungen;4278.252;4279.998
Nibelungen;4280;4281.718
Nibelungen;4281.72;4283.378
Nibelungen;4283.38;4285.298
Nibelungen;4292.022;4293.758
Nibelungen;4293.76;4295.481
Nibelungen;4295.483;4297.038
Nibelungen;4374.52;4376.398
Nibelungen;4376.4;4378.058
Nibelungen;4378.06;4379.738
Nibelungen;4379.74;4381.318
Nibelungen;4381.32;4383.098
Nibelungen;4383.1;4384.539
Nibelungen;4384.54;4386.298
Nibelungen;4386.3;4387.739
Nibelungen;4387.74;4389.378
Nibelungen;4389.38;4390.751
Nibelungen;4390.752;4392.638
Nibelungen;4392.64;4394.318
Nibelungen;4394.32;4395.898
Nibelungen;4395.9;4397.458
Nibelungen;4397.46;4399.018
Nibelungen;4399.02;4400.414
Nibelungen;4400.415;4401.958
Nibelungen;4401.96;4403.308
Nibelungen;4403.31;4404.679
Nibelungen;4404.68;4406.059
Nibelungen;4406.06;4407.339
Nibelungen;4407.34;4408.619
Nibelungen;4408.62;4409.919
Nibelungen;4409.92;4411.359
Nibelungen;4411.36;4412.599
Nibelungen;4412.6;4413.859
Nibelungen;4413.86;4415.199
Nibelungen;4415.2;4416.479
Nibelungen;4416.48;4417.579
Nibelungen;4417.58;4419.078
Nibelungen;4419.08;4420.099
Nibelungen;4420.1;4421.429
Nibelungen;4421.43;4422.699
Nibelungen;4422.7;4423.959
Nibelungen;4423.96;4425.239
Nibelungen;4425.24;4426.319
Nibelungen;4426.32;4427.519
Nibelungen;4427.52;4428.659
Nibelungen;4428.66;4429.959
Nibelungen;4429.96;4431.259
Nibelungen;4431.26;4432.788
Nibelungen;4449.96;4451.609
Nibelungen;4456.425;4457.956
Nibelungen;4462.615;4465.079
Nibelungen;4479.365;4481.359
Nibelungen;4570.88;4572.159
Nibelungen;4572.16;4573.299
Nibelungen;4573.3;4574.439
Nibelungen;4574.44;4575.659
Nibelungen;4587.169;4588.359
Nibelungen;4588.36;4589.599
Nibelungen;4589.6;4590.739
Nibelungen;4590.74;4591.939
Nibelungen;4591.94;4593.059
Nibelungen;4593.06;4594.399
Nibelungen;4594.4;4595.539
Nibelungen;4595.54;4596.859
Nibelungen;4596.86;4597.919
Nibelungen;4597.92;4599.179
Nibelungen;4599.18;4600.379
Nibelungen;4600.38;4601.619
Nibelungen;4601.62;4602.979
Nibelungen;4602.98;4604.059
Nibelungen;4604.06;4605.199
Nibelungen;4605.2;4606.479
Nibelungen;4606.48;4607.559
Nibelungen;4607.56;4608.839
Nibelungen;4709.711;4710.979
Nibelungen;4710.98;4712.139
Nibelungen;4712.14;4713.279
Nibelungen;4713.28;4714.499
Nibelungen;4714.5;4715.679
Nibelungen;4715.68;4716.859
Nibelungen;4716.86;4718.099
Nibelungen;4718.1;4719.159
Nibelungen;5092.139;5095.1
Nibelungen;5095.372;5098.12
Nibelungen;5098.379;5101.236
Nibelungen;5101.513;5104.48
Nibelungen;5126.579;5129.9
Nibelungen;5130.172;5133.003
Nibelungen;5133.288;5136.48
Nibelungen;5136.766;5138.958
Nibelungen;5272.603;5273.979
Nibelungen;5273.98;5275.384
Nibelungen;5526.36;5528.205
Nibelungen;5528.207;5529.958
Nibelungen;5529.96;5531.598
Nibelungen;5531.6;5533.238
Nibelungen;5533.24;5534.778
Nibelungen;5534.78;5536.538
Nibelungen;5536.54;5538.258
Nibelungen;5538.26;5539.798
Nibelungen;5539.8;5541.299
Nibelungen;5541.3;5543.018
Nibelungen;5543.02;5544.558
Nibelungen;5544.56;5546.158
Nibelungen;5546.16;5547.758
Nibelungen;5547.76;5549.386
Nibelungen;5549.388;5550.978
Nibelungen;5550.98;5552.578
Nibelungen;5552.58;5554.178
Nibelungen;5554.18;5555.718
Nibelungen;5555.72;5557.248
Nibelungen;5557.25;5559.158
Nibelungen;5892.24;5894.118
Nibelungen;5894.12;5896.178
Nibelungen;5896.18;5898.118
Nibelungen;5898.12;5900.225
Nibelungen;5900.227;5901.978
Nibelungen;5901.98;5903.938
Nibelungen;5903.94;5905.658
Nibelungen;5905.66;5907.437
Nibelungen;5907.439;5909.318
Nibelungen;5915.18;5916.778
Nibelungen;5916.78;5918.563
Nibelungen;5918.564;5920.51
Nibelungen;5920.512;5922.338
Nibelungen;5922.34;5924.198
Nibelungen;5924.2;5926.058
Nibelungen;5926.06;5927.798
Nibelungen;5927.8;5929.638
Nibelungen;5929.64;5931.338
Nibelungen;5931.34;5932.918
Nibelungen;5932.92;5934.818
Nibelungen;5934.82;5936.458
Nibelungen;5936.46;5938.058
Nibelungen;5938.06;5939.938
Nibelungen;5939.94;5941.658
Nibelungen;5941.66;5943.538
Nibelungen;5943.54;5945.238
Nibelungen;5945.24;5946.838
Nibelungen;5946.84;5948.478
Nibelungen;5948.48;5950.233
Nibelungen;5950.235;5951.898
Nibelungen;5951.9;5953.538
Nibelungen;5953.54;5955.258
Nibelungen;5955.26;5956.778
Nibelungen;5956.78;5958.538
Nibelungen;5958.54;5960.318
Nibelungen;5960.32;5961.918
Nibelungen;5961.92;5963.553
Nibelungen;5963.555;5965.23
Nibelungen;5965.231;5966.778
Nibelungen;5966.78;5968.432
Nibelungen;5968.433;5969.899
Nibelungen;5973.099;5974.665
Nibelungen;5974.667;5976.178
Nibelungen;5976.18;5977.679
Nibelungen;5977.68;5979.358
Nibelungen;5979.36;5980.898
Nibelungen;5980.9;5982.731
Nibelungen;5982.733;5984.258
Nibelungen;5984.26;5985.938
Nibelungen;5985.94;5987.598
Nibelungen;5987.6;5989.378
Nibelungen;5989.38;5991.151
Nibelungen;6930.432;6932.645
Nibelungen;6934.923;6937.12
Nibelungen;6939.29;6941.45
Nibelungen;6942.54;6944.698
Nibelungen;6944.7;6946.858
Nibelungen;6946.86;6948.998
Nibelungen;6953.52;6955.698
Nibelungen;6957.88;6960.098
Nibelungen;6960.1;6962.138
Nibelungen;6962.14;6964.483
Nibelungen;6964.485;6966.598
Nibelungen;6966.6;6968.725
Nibelungen;6968.727;6970.918
Nibelungen;6970.92;6973.063
Nibelungen;6973.065;6974.132
Nibelungen;6997.628;6999.998
Nibelungen;7000;7002.153
Nibelungen;7030.42;7032.878
Nibelungen;7032.88;7035.106
Nibelungen;7035.108;7037.598
Nibelungen;7037.6;7040.457
Nibelungen;7126.82;7128.878
Nibelungen;7128.88;7130.978
Nibelungen;7649.198;7650.453
Nibelungen;7651.588;7652.718
Nibelungen;7653.84;7654.958
Nibelungen;7656.12;7657.278
Nibelungen;7660.807;7661.918
Nibelungen;7663.12;7664.318
Nibelungenhass;6337.425;6340.526
Nibelungenhass;6346.347;6349.866
Nibelungenhass;6356.108;6359.731
Nibelungenhass;6359.873;6362.981
Nibelungenhass;6363.117;6366.169
Nibelungenhass;6366.302;6369.649
Nibelungenhass;6426.062;6428.756
Nibelungenhass;6428.873;6431.552
Nibelungenhass;6431.67;6435.169
Nibelungenhass;6435.328;6438.132
Nibelungenhass;6438.25;6441.032
Nibelungenhass;6441.155;6443.886
Nibelungenhass;6444.005;6446.676
Nibelungenhass;6446.793;6449.46
Nibelungenhass;6449.577;6452.287
Nibelungenhass;6452.406;6455.292
Nibelungenhass;6455.42;6457.838
Nibelungenhass;6457.941;6460.657
Nibelungenhass;6681.474;6684.558
Nibelungenhass;6684.435;6687.201
Nibelungenhass;6687.094;6689.545
Nibelungenhass;6689.45;6692.103
Nibelungenhass;7365.588;7369.065
Nibelungenhass;7369.215;7372.875
Nibelungenhass;7373.038;7377.135
Nibelungenhass;7680.759;7682.315
Nibelungenhass;7682.001;7683.567
Nibelungenhass;7683.256;7684.602
Nibelungenhass;7684.344;7685.633
Nibelungenhass;7773.316;7776.176
Nibelungenhass;7776.293;7778.862
Nibelungenhass;7778.975;7781.567
Nibelungenhass;7781.681;7784.136
Nibelungenhass;7784.243;7785.833
Nibelungenhass;7785.514;7787.102
Nibelungenhass;7786.787;7788.392
Nibelungenhass;7788.071;7789.677
Nibelungenhass;7789.358;7790.931
Nibelungenhass;7790.618;7792.18
Nibelungenhass;7791.87;7793.471
Nibelungenhass;7793.149;7794.757
Riesen;1667.34;1668.3
Riesen;1915.868;1917.576
Riesen;1917.82;1919.035
Riesen;1963.68;1964.67
Riesen;1965;1965.967
Riesen;1966.29;1967.483
Riesen;1967.88;1969.11
Riesen;1969.52;1970.375
Riesen;1998.98;2010.116
Riesen;2010.12;2019.086
Riesen;2017.18;2024.596
Riesen;2039.38;2049.517
Riesen;2049.52;2056.217
Riesen;2084.1;2091.328
Riesen;2299.38;2302.757
Riesen;2302.76;2305.617
Riesen;2398.34;2400.867
Riesen;2400.869;2403.158
Riesen;2405.32;2407.857
Riesen;2410.4;2412.798
Riesen;2453.62;2456.257
Riesen;2458.42;2461.117
Riesen;2733.66;2736.757
Riesen;2736.76;2739.957
Riesen;3374.52;3378.57
Riesen;3383.92;3387.057
Riesen;3398.64;3403.06
Riesen;3415.92;3419.6
Riesen;5573.46;5577.036
Riesen;5577.04;5580.518
Riesen;5580.521;5583.697
Riesen;5583.7;5586.797
Riesen;5597.54;5600.657
Riesen;5600.66;5603.357
Riesen;5603.36;5606.557
Riesen;5606.56;5609.237
Riesen;5619.94;5621.84
Riesen;5622.98;5624.642
Riesen;5625.64;5628.497
Riesen;5628.5;5631.177
Riesen;5631.18;5632.63
Riesen;5634.08;5635.51
Riesen;5636.94;5639.577
Riesen;5639.58;5642.297
Riesen;6607.86;6611.037
Riesen;6611.04;6614.337
Riesen;6614.34;6617.257
Riesen;6617.26;6620.297
Riesen;6620.3;6623.157
Riesen;6623.16;6626.192
Riesen;6626.195;6629.277
Riesen;6629.28;6632.077
Riesen;6632.08;6634.897
Riesen;6634.9;6638.057
Riesen;6638.06;6640.957
Riesen;6640.96;6644.017
Riesen;6644.02;6646.997
Riesen;6647;6649.717
Riesen;6649.72;6653.037
Riesen;6653.04;6656.077
Riesen;6656.08;6659.037
Riesen;6659.04;6661.757
Riesen;6661.76;6664.777
Riesen;6664.78;6667.707
Riesen;6667.71;6670.737
Riesen;6670.74;6673.377
Riesen;6673.38;6676.237
Riesen;6771.06;6773.997
Riesen;6892.02;6894.825
Riesen;6894.828;6897.283
Riesen;6897.285;6899.738
Riesen;6899.74;6902.018
Riesen;6902.02;6904.378
Riesen;6918.18;6919.29
Riesen;6920.4;6921.5
Riesen;6922.6;6923.71
Riesen;6924.82;6926
Riesen;6951.3;6953.518
Riesen;6953.52;6955.698
Riesen;6955.7;6957.878
Riesen;6957.88;6960.098
Riesen;6997.628;6998.814
Riesen;7000;7001.077
Riesen;7002.155;7003.208
Riesen;7647.94;7649.198
Riesen;7650.456;7651.588
Riesen;7652.72;7653.84
Riesen;7654.96;7656.12
Riesen;7657.28;7659.691
Riesen;7659.693;7661.918
Riesen;7661.92;7664.318
Riesen;7664.32;7666.738
Riesen;7666.74;7669.098
Riesen;7794.76;7796.083
Riesen;7796.083;7797.402
Riesen;7797.405;7798.692
Riesen;7798.692;7799.977
Ring;1029.219;1032.556
Ring;1033.58;1035.975
Ring;1092.467;1097.019
Ring;1180.16;1183.592
Ring;1184.3;1187.683
Ring;1188.349;1192.594
Ring;1192.84;1198.379
Ring;1251.58;1255.602
Ring;1393.31;1401.036
Ring;1408.76;1417.116
Ring;1425.118;1433.875
Ring;1433.88;1442.766
Ring;1528.54;1534.011
Ring;1534.362;1539.755
Ring;1733.86;1740.277
Ring;1743.34;1752.836
Ring;2931;2935.222
Ring;2935.224;2939.313
Ring;3062.278;3065.646
Ring;3066.58;3070.059
Ring;3071.02;3073.158
Ring;3075.3;3080.078
Ring;3080.08;3084.836
Ring;3085.12;3089.827
Ring;3090.1;3094.632
Ring;3094.82;3099.831
Ring;3157.02;3161.463
Ring;3161.465;3166.428
Ring;3182.28;3186.427
Ring;3186.68;3191.191
Ring;3218.9;3222.338
Ring;3279.24;3283.098
Ring;3283.1;3287.278
Ring;3403.06;3407.277
Ring;3475.34;3478.121
Ring;3478.54;3481.898
Ring;3821.92;3828.35
Ring;3898.1;3904.497
Ring;4006.92;4008.505
Ring;4010.14;4011.614
Ring;4227.86;4230.339
Ring;4230.34;4232.639
Ring;4363.8;4370.806
Ring;4486.46;4489.099
Ring;4489.1;4491.399
Ring;4492.52;4495.039
Ring;4495.04;4497.419
Ring;4544.04;4546.519
Ring;4546.52;4548.859
Ring;4667.72;4676.717
Ring;4700.6;4701.679
Ring;4701.68;4702.919
Ring;4702.92;4703.979
Ring;4703.98;4705.104
Ring;4705.105;4706.159
Ring;4706.16;4707.678
Ring;4707.68;4708.699
Ring;4708.7;4709.71
Ring;4873.064;4875.339
Ring;4875.34;4877.629
Ring;4883.9;4885.216
Ring;5117.1;5123.358
Ring;5504.28;5505.786
Ring;5505.6;5506.916
Ring;5506.72;5508.119
Ring;5507.9;5509.436
Ring;5509.22;5510.732
Ring;5510.52;5512.016
Ring;5511.8;5513.293
Ring;5513.1;5514.497
Ring;5514.26;5515.873
Ring;5515.685;5517.03
Ring;5516.82;5518.303
Ring;5518.085;5519.649
Ring;5519.4;5520.899
Ring;5824.26;5831.935
Ring;5870.14;5878.353
Ring;6019.493;6025.027
Ring;6025.332;6029.665
Ring;6029.665;6035.897
Ring;6161.02;6165.677
Ring;6163.1;6168.349
Ring;6210.265;6216.654
Ring;6301.2;6311.38
Ring;6411.5;6418.595
Ring;6418.595;6425.685
Ring;7177.24;7178.957
Ring;7178.959;7180.998
Ring;7181;7182.978
Ring;7427.42;7441.445
Ring;7685.635;7687.918
Ring;7687.92;7690.078
Ring;7690.08;7692.318
Ring;7694.465;7696.398
Ring;7696.4;7698.678
Ring;7715.851;7723.616
Ring;7807.72;7813.7
Ring;7813.7;7820
Ring;7872.44;7884.897
Ring;8175.54;8180.351
Ring;8180.354;8185.318
Ring;8185.32;8190.925
Ring;8190.927;8196.162
Ring;8290.241;8292.854
Ring;8294.031;8297.566
Ring;8297.88;8301.186
Ring;8301.5;8303.578
Ring;8303.58;8305.238
Ring;8305.24;8308.005
Schwert;8216.826;8224.716
Schwert;8234.42;8240.986
Vertrag;1656.72;1664.823
Vertrag;1673.52;1681.455
Vertrag;1684.184;1689.7
Vertrag;1856.405;1862.31
Vertrag;2021.893;2030.192
Vertrag;2097.79;2105.166
Vertrag;2135.58;2141.862
Vertrag;2151.88;2158.415
Vertrag;2188.36;2195.193
Vertrag;2479.047;2483.655
Vertrag;2648.89;2654.35
Vertrag;6244.804;6249.738
Vertrag;7573.142;7578.18
Walhall-b;1461.64;1465.396
Walhall-b;1468.25;1471.554
Walhall-b;1471.557;1474.777
Walhall-b;1474.78;1477.581
Walhall-b;1477.584;1480.517
Walhall-b;1480.52;1483.833
Walhall-b;1483.836;1487.077
Walhall-b;1487.08;1490.137
Walhall-b;1493.16;1496.377
Walhall-b;1499.4;1502.657
Walhall-b;1540.1;1542.708
Walhall-b;1542.711;1545.497
Walhall-b;1574.74;1578.296
Walhall-b;1581.5;1584.697
Walhall-b;1584.7;1587.497
Walhall-b;1587.5;1590.637
Walhall-b;1590.64;1593.537
Walhall-b;1593.54;1596.657
Walhall-b;1596.66;1599.597
Walhall-b;1599.6;1602.757
Walhall-b;1605.66;1609.004
Walhall-b;1611.86;1615.202
Walhall-b;1618;1620.977
Walhall-b;1821.492;1823.698
Walhall-b;1823.7;1825.738
Walhall-b;1825.74;1828.078
Walhall-b;2056.22;2059.16
Walhall-b;2066.521;2070.865
Walhall-b;2073.4;2076.916
Walhall-b;2285.04;2286.856
Walhall-b;2557.94;2559.4
Walhall-b;2562.66;2564.2
Walhall-b;2586.1;2588.398
Walhall-b;2590.46;2593.097
Walhall-b;2593.1;2595.418
Walhall-b;2595.42;2597.758
Walhall-b;2600.18;2602.438
Walhall-b;3421.7;3424.325
Walhall-b;4963.92;4966.757
Walhall-b;4966.76;4969.327
Walhall-b;4969.33;4972.017
Walhall-b;4972.02;4974.92
Walhall-b;4989.36;4992.837
Walhall-b;4992.84;4996.376
Walhall-b;5047.18;5048.196
Walhall-b;7863.601;7865.417
Walhall-b;7866.507;7868.403
Walhall-b;7869.54;7872.437
Walhall-b;8090.8;8093.697
Walhall-b;8096.44;8099.457
Walhall-b;8099.46;8102.157
Walhall-b;8102.16;8105.116
Walhall-b;8105.119;8107.989
Walhall-b;8107.992;8110.699
Walhall-b;8110.702;8113.857
Walhall-b;8113.86;8116.737
Walhall-b;8119.46;8122.557
Walhall-b;8125.34;8128.705
Walhall-b;8134.148;8137.045
Walhall-b;8137.048;8139.729
Walhall-b;8139.732;8142.657
Walhall-b;8142.66;8145.577
Walhall-b;8148.329;8151.097
Walhall-b;8153.94;8157.006
Walhall-b;8157.009;8160.077
Walhall-b;8160.08;8163.117
Walhall-b;8260.92;8262.998
Walhall-b;8265.22;8267.538
Walhall-b;8267.54;8269.656
Walhall-b;8269.658;8271.806
Walhall-b;8271.808;8274.238
Walhall-b;8274.24;8276.478
Walhall-b;8276.48;8278.638
Walhall-b;8278.64;8280.898
Walhall-b;8283.18;8285.638
Walhall-b;8373.3;8375.658
Walhall-b;8375.66;8377.758
Walhall-b;8377.76;8379.798
Walhall-b;8379.8;8381.978
Walhall-b;8381.98;8384.198
Walhall-b;8384.2;8386.19
Walhall-b;8386.192;8388.418
Walhall-b;8388.42;8390.69
Walhall-b;8390.692;8392.538
Walhall-b;8392.54;8394.798
Walhall-b;8394.8;8396.918
Walhall-b;8396.92;8398.898
Walhall-b;8442.64;8444.938
Walhall-b;8444.94;8447.338
Walhall-b;8447.34;8449.738
Walhall-b;8449.74;8452.297
Walhall-b;8452.3;8454.798
Walhall-b;8454.8;8457.457
Walhall-b;8457.46;8460.117
Walhall-b;8460.12;8462.877
