Motif;StartSec;EndSec
Geschwisterliebe;4.362292;5.791361
Geschwisterliebe;5.971604;7.25929
Geschwisterliebe;7.421701;9.028079
Geschwisterliebe;8.382133;10.0138
Geschwisterliebe;9.356653;11.05476
Geschwisterliebe;10.34385;12.52264
Geschwisterliebe;14.61501;15.96068
Geschwisterliebe;16.1304;17.3768
Geschwisterliebe;17.534;19.10207
Geschwisterliebe;18.47506;20.03246
Geschwisterliebe;19.4122;21.00605
Geschwisterliebe;20.34399;22.13989
Geschwisterliebe;24.798;26.19128
Geschwisterliebe;30.86;32.15204
Geschwisterliebe;32.315;33.52267
Geschwisterliebe;36.461;39.48142
Geschwisterliebe;39.666;42.20914
Geschwisterliebe;45.40601;46.9495
Geschwisterliebe;46.31843;47.99045
Geschwisterliebe;47.29649;48.96771
Geschwisterliebe;48.339;49.94449
Geschwisterliebe;49.28206;51.08134
Geschwisterliebe;67.71;70.38728
Geschwisterliebe;70.5504;73.20051
Geschwisterliebe;1498.818;1506.4
Geschwisterliebe;1506.4;1512.485
Geschwisterliebe;2258.34;2263.238
Geschwisterliebe;2261.54;2266.051
Geschwisterliebe;2894.112;2896.56
Geschwisterliebe;2896.56;2898.469
Geschwisterliebe;2898.469;2900.203
Geschwisterliebe;2900.42;2901.805
Geschwisterliebe;2901.972;2903.922
Geschwisterliebe;2903.922;2905.348
Geschwisterliebe;2905.348;2906.836
Geschwisterliebe;2907.027;2908.463
Geschwisterliebe;2908.82;2910.11
Geschwisterliebe;2909.373;2911.075
Geschwisterliebe;2910.48;2912.004
Geschwisterliebe;2911.372;2913.11
Geschwisterliebe;2912.373;2913.655
Geschwisterliebe;2913.48;2914.006
Geschwisterliebe;2914.006;2914.532
Geschwisterliebe;2914.532;2915.058
Geschwisterliebe;2928.9;2930.303
Geschwisterliebe;2930.48;2931.865
Geschwisterliebe;2935.14;2936.596
Geschwisterliebe;2936.78;2938.165
Geschwisterliebe;2938.34;2939.614
Geschwisterliebe;2938.886;2940.603
Geschwisterliebe;2939.98;2941.56
Geschwisterliebe;2940.914;2942.624
Geschwisterliebe;2946.38;2947.925
Geschwisterliebe;2948.12;2949.221
Geschwisterliebe;2952.32;2953.431
Geschwisterliebe;2952.796;2954.401
Geschwisterliebe;2953.749;2955.38
Geschwisterliebe;2954.727;2956.357
Geschwisterliebe;2955.706;2957.357
Geschwisterliebe;2956.684;2958.395
Geschwisterliebe;2957.694;2959.568
Geschwisterliebe;2963.759;2964.692
Geschwisterliebe;2964.319;2965.932
Geschwisterliebe;2966.973;2967.828
Geschwisterliebe;2967.486;2969.119
Geschwisterliebe;2975.62;2976.845
Geschwisterliebe;2977.46;2978.306
Geschwisterliebe;2978.731;2980.13
Geschwisterliebe;2980.306;2981.545
Geschwisterliebe;2981.9;2983.214
Geschwisterliebe;2983.38;2984.546
Geschwisterliebe;2984.88;2986.105
Geschwisterliebe;2986.26;2987.135
Geschwisterliebe;2987.135;2988.148
Geschwisterliebe;2988.148;2989.083
Geschwisterliebe;2989.083;2990.405
Geschwisterliebe;2989.739;2991.031
Geschwisterliebe;2991.176;2992.23
Geschwisterliebe;2991.612;2993.313
Geschwisterliebe;2992.591;2993.89
Geschwisterliebe;2998.293;3000.164
Geschwisterliebe;3004.364;3007.805
Geschwisterliebe;3033.54;3036.257
Geschwisterliebe;3036.26;3038.578
Geschwisterliebe;3038.58;3041.018
Geschwisterliebe;3041.02;3042.878
Geschwisterliebe;3042.88;3045.158
Geschwisterliebe;3045.16;3047.158
Geschwisterliebe;3053.08;3060.765
Geschwisterliebe;3060.765;3066.572
Geschwisterliebe;3066.572;3072.038
Geschwisterliebe;3109.63;3112.968
Geschwisterliebe;3113.655;3117.766
Geschwisterliebe;3117.766;3120.918
Geschwisterliebe;3122.153;3125.557
Geschwisterliebe;3131.292;3134.098
Geschwisterliebe;3140.237;3143.377
Geschwisterliebe;3158.246;3160.037
Geschwisterliebe;3160.04;3161.674
Geschwisterliebe;3427.24;3437.717
Geschwisterliebe;3437.72;3446.238
Geschwisterliebe;3446.24;3456.499
Geschwisterliebe;3461.08;3469.64
Geschwisterliebe;3474.38;3484.33
Geschwisterliebe;4252.93;4254.817
Geschwisterliebe;4254.19;4256.06
Geschwisterliebe;4256.06;4257.835
Geschwisterliebe;4259.44;4261.195
Geschwisterliebe;4261.78;4263.363
Geschwisterliebe;4262.835;4264.443
Geschwisterliebe;4312.565;4314.631
Geschwisterliebe;4313.943;4317.25
Geschwisterliebe;4364.96;4366.633
Geschwisterliebe;4379.312;4380.865
Geschwisterliebe;4383.39;4384.88
Geschwisterliebe;4406.192;4407.695
Geschwisterliebe;4407.194;4408.662
Geschwisterliebe;4429.166;4430.595
Geschwisterliebe;4432.95;4434.32
Geschwisterliebe;4565.5;4566.685
Geschwisterliebe;4566.29;4567.42
Geschwisterliebe;4567.08;4568.1
Geschwisterliebe;4567.76;4568.805
Geschwisterliebe;4577.08;4579.128
Geschwisterliebe;4577.895;4580.75
Geschwisterliebe;4579.545;4582.31
Geschwisterliebe;4581.12;4584
Geschwisterliebe;4590.038;4590.909
Geschwisterliebe;4590.473;4591.778
Geschwisterliebe;4591.344;4592.859
Geschwisterliebe;4592.319;4593.935
Geschwisterliebe;4593.398;4595.259
Geschwisterliebe;4594.598;4596.577
Geschwisterliebe;4742.66;4747.683
Geschwisterliebe;4744.649;4751.885
Geschwisterliebe;4748.729;4755.685
Geschwisterliebe;4757.5;4763.76
Geschwisterliebe;4762.48;4765.335
Liebe;373.23;378.8571
Liebe;378.86;384.497
Liebe;504.15;508.5049
Liebe;507.8699;513.5275
Liebe;513.53;518.0478
Liebe;515.81;518.3837
Liebe;520.06;524.7777
Liebe;1512.485;1522.465
Liebe;1519.27;1529.69
Liebe;1527.01;1538.717
Liebe;3008.22;3012.798
Liebe;3012.045;3016.05
Liebe;3015.04;3018.247
Liebe;3017.06;3020.122
Liebe;3019.434;3022.299
Liebe;3021.5;3026.338
Liebe;3023.9;3028.478
Liebe;3199.526;3202.086
Liebe;3202.632;3204.999
Liebe;3210.74;3213.731
Liebe;3213.731;3217.079
Liebe;3324.006;3330.516
Liebe;3479.68;3489.711
Liebe;3489.715;3494.7
Liebe;3492.98;3498.35
Liebe;3496.42;3502.744
Liebe;3502.744;3514.435
Liebe;4068.42;4074.51
Liebe;4073.465;4078.28
Liebe;4607;4613.39
Liebe;4611.8;4617.38
Liebe;4614.98;4621.945
Liebe;4618.82;4623.815
Liebe;4635.82;4639.416
Nibelungenhass;2376.582;2379.536
Nibelungenhass;2379.662;2382.656
Nibelungenhass;2382.787;2385.496
Nibelungenhass;2385.613;2388.342
Nibelungenhass;2388.463;2391.452
Nibelungenhass;2391.585;2394.396
Nibelungenhass;2394.517;2397.329
Nibelungenhass;2397.453;2400.352
Nibelungenhass;2421.277;2423.906
Nibelungenhass;2424.02;2426.565
Nibelungenhass;2424.02;2426.459
