Motif;StartSec;EndSec
Feuerzauber;1613.82;1617.1
Feuerzauber;1619.02;1622.08
Feuerzauber;1631.24;1634.9
Feuerzauber;1776.92;1780.86
Feuerzauber;1786.26;1790.074
Feuerzauber;1832.325;1834.876
Feuerzauber;1838.14;1840.678
Feuerzauber;1841.04;1843.543
Feuerzauber;1852.5;1855.377
Feuerzauber;1855.38;1858.297
Horn;1776.92;1780.097
Horn;1786.26;1789.357
Horn;1799.05;1801.398
Horn;1809.865;1811.327
Horn;1812.855;1814.377
Horn;1818.85;1820.317
Horn;1821.74;1823.157
Horn;1829.26;1830.026
Horn;1830.026;1830.793
Horn;1830.793;1832.689
Horn;1835.24;1835.965
Horn;1835.965;1836.69
Horn;1836.69;1838.503
Horn;1843.9;1845.33
Horn;1846.76;1848.18
Horn;1849.6;1850.325
Horn;1850.325;1851.05
Horn;1851.05;1852.497
Jugendkraft;1332.86;1333.85
Jugendkraft;1333.85;1334.838
Jugendkraft;1334.84;1335.66
Jugendkraft;1335.66;1336.478
Jugendkraft;1336.48;1337.073
Jugendkraft;1337.073;1337.665
Jugendkraft;1337.665;1338.258
Nibelungen;1251.56;1253.418
Nibelungen;1253.42;1254.605
Ring;455.22;457.87
Ring;457.58;460.185
Ring;464.58;466.8025
Ring;466.55;468.8256
Ring;481.7;488.206
Ring;487.458;493.5169
Ring;798.58;801.37
Ring;932.708;936.4037
Ring;934.89;936.6183
Ring;936.62;938.9177
Ring;938.92;941.2177
Ring;941.22;942.8783
Ring;942.88;944.9579
Ritt;1.714739;2.85487
Ritt;2.85487;3.99272
Ritt;3.995;5.038062
Ritt;4.878951;5.757599
Ritt;5.762902;6.7639
Ritt;6.7639;7.762896
Ritt;7.764898;8.844949
Ritt;8.844949;9.92284
Ritt;9.925;10.851
Ritt;10.851;11.77515
Ritt;11.777;12.763
Ritt;12.763;13.74703
Ritt;13.749;14.7265
Ritt;14.7265;15.70204
Ritt;15.70399;16.7235
Ritt;16.7235;17.74096
Ritt;17.743;18.6725
Ritt;18.6725;19.60014
Ritt;19.602;20.6645
Ritt;20.6645;21.72487
Ritt;21.727;22.66101
Ritt;22.66101;23.59314
Ritt;23.59501;24.56151
Ritt;24.56151;25.52607
Ritt;25.528;26.508
Ritt;26.508;27.48604
Ritt;27.488;28.441
Ritt;28.441;29.39209
Ritt;29.394;30.397
Ritt;30.397;31.39799
Ritt;31.4;32.3875
Ritt;32.3875;33.37303
Ritt;33.375;34.3405
Ritt;34.3405;35.30408
Ritt;35.30601;36.3125
Ritt;36.3125;37.31699
Ritt;37.319;38.303
Ritt;38.303;39.28504
Ritt;39.28701;40.2455
Ritt;40.2455;41.20207
Ritt;45.329;47.19213
Ritt;47.19399;49.14204
Ritt;49.14399;51.06141
Ritt;51.06333;52.88518
Ritt;52.887;54.86403
Ritt;54.86601;56.70417
Ritt;56.70601;58.66903
Ritt;58.671;60.57109
Ritt;60.57299;62.41266
Ritt;62.4145;64.30011
Ritt;64.302;66.13617
Ritt;66.138;68.0431
Ritt;68.04501;69.96708
Ritt;69.969;71.84062
Ritt;71.84249;73.62522
Ritt;73.627;75.45316
Ritt;75.45499;77.35209
Ritt;77.35399;79.26509
Ritt;79.26701;81.10616
Ritt;81.108;83.02408
Ritt;83.026;84.87914
Ritt;84.881;86.73415
Ritt;86.73601;88.56917
Ritt;88.571;90.50007
Ritt;90.502;92.38611
Ritt;92.388;94.20818
Ritt;94.21;96.16804
Ritt;96.17;97.97819
Ritt;100.3325;101.808
Ritt;104.04;105
Schicksal;123.13;129.358
Schicksal;131.515;137.728
Schicksal;294.1;298.6402
Schicksal;546.62;554.6559
Schicksal;554.66;561.3467
Schicksal;639.7;646.245
Schicksal;687.47;694.3012
Schicksal;697.6;701.9778
Schicksal;705.55;709.7588
Schicksal;731.47;737.967
Schicksal;1956.68;1965.496
Schicksal;2023.92;2032.058
Schicksal;2576.98;2588.831
Schicksal;2596.77;2605.123
Schicksal;2646.77;2654.196
Schicksal;3182.02;3188.497
Schicksal;3347.06;3351.878
Schicksal;4100.7;4105
Schicksal;4293.76;4297.403
Schicksal;4321.07;4326.478
Schwert;915.0819;917.9208
Schwert;934.6173;936.9075
Schwert;1119.462;1121.786
Schwert;1230.713;1234.519
Schwert;1692.906;1695.538
Schwert;2267.141;2272.7
Schwert;2498.149;2501.515
Siegfried;906.3388;911.0679
Siegfried;948.675;952.6125
Siegfried;1645.71;1649.462
Siegfried;1652.275;1655.132
Siegfried;1658.895;1662.757
Siegfried;1743.945;1747.793
Siegfried;1750.522;1753.118
Siegfried;1795.107;1802.177
Siegfried;1805.033;1808.766
Siegfried;1813.999;1817.748
Siegfried;1822.805;1827.77
Siegfried;1825.89;1832.322
Siegfried;1903.048;1906.936
Siegfried;1912.525;1916.277
Siegfried;2922.935;2928.63
Siegfried;2930.036;2935.42
Siegfried;2936.718;2942.363
Siegfried;2943.825;2949.521
Siegfried;3064.22;3067.736
Siegfried;4368.28;4376.145
Siegfried;4376.474;4383.89
Siegfried;4390.838;4394.555
Siegfried;4502.145;4504.355
Siegfried;4508.24;4510.089
Siegfried;4517.859;4522.579
Unmuth;17.743;20.6645
Unmuth;1441.446;1446.626
Unmuth;1455.079;1460.257
Unmuth;1465.746;1470.967
Unmuth;1483.24;1486.274
Unmuth;1492.16;1495.506
Unmuth;1519.66;1522.786
Unmuth;1523.36;1525.783
Unmuth;1555.86;1558.395
Unmuth;1558.14;1559.415
Unmuth;1563.33;1565.665
Unmuth;1565.4;1566.717
Vertrag;29.394;33.37303
Vertrag;33.375;37.31699
Vertrag;37.319;41.20207
Vertrag;41.20399;45.32696
Vertrag;43.28601;45.32696
Vertrag;127.3775;131.5128
Vertrag;135.75;139.8579
Vertrag;139.86;142.41
Vertrag;141.92;146.0775
Vertrag;232.493;236.3481
Vertrag;236.35;242.0666
Vertrag;383.3;394.5165
Vertrag;790.48;794.4479
Vertrag;1546.64;1551.098
Vertrag;1661.52;1665.598
Vertrag;1675.94;1680.038
Vertrag;1700.06;1703.517
Waberlohe;537.2114;540.625
Waberlohe;540.625;544.0925
Waberlohe;544.0925;547.6019
Waberlohe;551.5757;554.6559
Waberlohe;1881.42;1886.91
Waberlohe;1884.6;1888.455
Waberlohe;1888.455;1891.943
Waberlohe;1890.78;1896.977
Waberlohe;1894.655;1897.81
Waberlohe;1897.81;1901.085
Waberlohe;1900.3;1906.936
Waberlohe;1907.755;1911.362
Waberlohe;1910.975;1916.277
Waberlohe;1917.115;1921.2
Waberlohe;1920.41;1924.092
Waberlohe;1934.44;1940.839
Waberlohe;1938.931;1943.263
Waberlohe;1946.564;1952.417
Waberlohe;1962.44;1968.957
Waberlohe;1978.28;1984.248
Waberlohe;2029.375;2032.931
Waberlohe;2032.931;2036.505
Waberlohe;2036.505;2040.363
Waberlohe;2039.4;2044.342
Waberlohe;2043.25;2050.414
Waberlohe;2423.58;2427.458
Waberlohe;2425.66;2427.89
Waberlohe;2456.122;2459.991
Waberlohe;2459.4;2462.572
Waberlohe;2461.765;2467.904
Waberlohe;4069.32;4073.515
Waberlohe;4076.86;4081.687
Waberlohe;4093.565;4096.203
Waberlohe;4097.609;4101.35
Waberlohe;4115.825;4120.055
Waberlohe;4178.37;4180.145
Waberlohe;4179.72;4181.855
Waberlohe;4181.42;4183.535
Walhall-b;1411.74;1417.883
Walhall-b;3637.918;3652.023
