Motif;StartSec;EndSec
Feuerzauber;1831.22;1833.506
Feuerzauber;1834.52;1836.759
Feuerzauber;1837.88;1840.086
Feuerzauber;1841.22;1843.373
Feuerzauber;3279.02;3284.687
Feuerzauber;3286.51;3291.743
Feuerzauber;3310.3;3318.036
Feuerzauber;3318.04;3324.13
Feuerzauber;4020.61;4024.53
Feuerzauber;4087.98;4091.7
Feuerzauber;4101.92;4104.808
Feuerzauber;4137.32;4140.976
Horn;1.286;5.750789
Horn;5.753208;10.48985
Horn;27.491;34.11801
Horn;81.295;85.30091
Horn;343.95;347.9078
Horn;1131.9;1135.925
Horn;1139.12;1144.559
Horn;1180.035;1185.357
Horn;1185.36;1190.478
Horn;1190.48;1193.037
Horn;1193.04;1195.583
Horn;1195.585;1198.038
Horn;1198.04;1202.995
Horn;1202.997;1205.358
Horn;1205.36;1207.708
Horn;1207.71;1212.797
Horn;1222.32;1228.55
Horn;1235.78;1238.657
Horn;1281.93;1283.877
Horn;1283.88;1285.761
Horn;1291.54;1294.137
Horn;1294.14;1296.727
Horn;1296.73;1299.118
Horn;2624.82;2626.362
Horn;2627.905;2629.252
Horn;2647.807;2649.233
Horn;2653.23;2654.525
Horn;2655.82;2657
Horn;2819.44;2820.52
Horn;2821.6;2822.7
Horn;2928.02;2928.96
Liebe;2403.003;2410.975
Liebe;2408.597;2420.123
Nibelungen;736.53;738.3582
Nibelungen;738.36;740.358
Nibelungen;1472.91;1475.686
Nibelungen;1479.12;1480.85
Nibelungen;1480.851;1482.259
Nibelungen;1482.26;1484.094
Nibelungen;1484.096;1485.618
Nibelungen;1504.705;1506.438
Nibelungen;1506.44;1507.973
Nibelungen;1512.8;1514.298
Nibelungen;1514.3;1516.018
Nibelungen;1526.501;1527.999
Nibelungen;1528;1529.598
Nibelungen;1529.6;1531.079
Nibelungen;1531.08;1532.628
Nibelungen;1532.63;1534.019
Nibelungen;1534.02;1534.8
Nibelungen;1706.8;1708.318
Nibelungen;1708.32;1709.756
Nibelungen;1709.757;1712.253
Nibelungen;1712.255;1715.117
Ring;476.35;480.478
Ring;480.48;482.468
Ring;482.47;484.6578
Ring;638.5;642.6579
Ring;642.66;646.6381
Ring;657.47;661.828
Ring;663.86;668.1679
Ring;688.18;690.5865
Ring;690.89;693.3054
Ring;693.61;695.901
Ring;696.19;699.0671
Ring;700.44;704.5273
Ring;704.53;707.2373
Ring;718.23;721.0072
Ring;721.01;723.5774
Ring;800.27;804.1279
Ring;804.13;807.8081
Ring;818.06;821.4763
Ring;826.57;830.0263
Ring;830.81;836.4501
Ring;896.6533;898.4223
Ring;898.4223;900.648
Ring;973.86;975.9879
Ring;975.99;978.1379
Ring;978.14;980.138
Ring;980.14;982.2579
Ring;982.26;984.298
Ring;984.3;986.3579
Ring;986.36;988.5378
Ring;988.54;990.8227
Ring;990.825;992.7031
Ring;992.705;994.7579
Ring;2996.06;2998.757
Ring;3003.317;3005.887
Ring;3007;3008.918
Ring;3008.92;3010.718
Ring;3022.453;3024.139
Ring;3024.38;3025.959
Ring;3026.185;3027.065
Ring;3027.065;3027.927
Ring;3763.62;3766.663
Ring;3769.06;3773.878
Ring;3855.48;3860.597
Schicksal;766.18;773.33
Schicksal;1957.6;1965.334
Schicksal;1996.8;2008.334
Schicksal;2013.36;2021.56
Schicksal;2122.1;2129.596
Schicksal;2224.5;2235.315
Schicksal;2695.42;2705.276
Schicksal;3075.567;3083.296
Schicksal;3090.38;3098.356
Schicksal;3201.44;3208.97
Schicksal;3212.76;3219.816
