Motif;StartSec;EndSec
Nibelungen;3027.42;3029.638
Nibelungen;3029.64;3031.678
Nibelungen;3869.24;3870.918
Nibelungen;3870.92;3872.618
Nibelungen;3872.62;3874.298
Nibelungen;3874.3;3875.818
Nibelungen;3875.82;3877.618
Nibelungen;3877.62;3879.358
Nibelungen;3880.94;3882.638
Nibelungen;3882.64;3884.298
Nibelungen;3884.3;3886.063
Nibelungen;3886.065;3887.618
Nibelungen;3887.62;3889.378
Nibelungen;3889.38;3891.078
Nibelungen;3891.08;3892.798
Nibelungen;3892.8;3894.366
Nibelungen;3894.368;3895.759
Nibelungen;3895.76;3897.55
Nibelungen;3897.552;3899.838
Nibelungen;3899.84;3901.319
Nibelungen;3901.32;3903.078
Nibelungen;3903.08;3904.638
Nibelungen;3904.64;3905.699
Nibelungen;3905.7;3907.298
Nibelungen;3907.3;3908.938
Nibelungen;3908.94;3911.078
Nibelungen;3911.08;3912.598
Nibelungen;3912.6;3914.513
Nibelungen;3914.515;3916.112
Nibelungen;3916.113;3917.798
Nibelungen;3917.8;3919.518
Nibelungen;3919.52;3921.258
Nibelungen;3921.26;3922.878
Nibelungen;3922.88;3924.458
Nibelungen;3924.46;3926.098
Nibelungen;3926.1;3927.745
Nibelungen;3927.746;3929.318
Nibelungen;3929.32;3930.903
Nibelungen;4089.26;4091.078
Nibelungen;4091.08;4092.818
Nibelungen;4094.58;4096.329
Nibelungen;4096.331;4097.998
Nibelungen;4098;4099.708
Nibelungen;4099.709;4101.338
Nibelungen;4101.34;4103.018
Nibelungen;4103.02;4104.638
Nibelungen;4104.64;4106.378
Nibelungen;4106.38;4108.013
Nibelungen;4108.015;4109.638
Nibelungen;4109.64;4111.358
Nibelungen;4111.36;4112.978
Nibelungen;4112.98;4114.645
Nibelungen;4114.647;4116.378
Nibelungen;4116.38;4118.03
Nibelungen;4118.032;4119.726
Nibelungen;4119.727;4121.458
Nibelungen;4121.46;4123.358
Nibelungen;4123.36;4124.998
Nibelungen;4131.76;4133.538
Nibelungen;4133.54;4135.541
Nibelungen;4135.543;4137.395
Nibelungen;4220.02;4221.918
Nibelungen;4221.92;4223.658
Nibelungen;4223.66;4225.488
Nibelungen;4225.49;4227.138
Nibelungen;4227.14;4229.038
Nibelungen;4229.04;4230.742
Nibelungen;4230.744;4232.398
Nibelungen;4232.4;4234.028
Nibelungen;4234.03;4235.848
Nibelungen;4235.85;4237.698
Nibelungen;4237.7;4239.238
Nibelungen;4239.24;4240.958
Nibelungen;4240.96;4242.618
Nibelungen;4242.62;4244.178
Nibelungen;4244.18;4245.858
Nibelungen;4245.86;4247.219
Nibelungen;4247.22;4248.778
Nibelungen;4248.78;4250.008
Nibelungen;4250.01;4251.219
Nibelungen;4251.22;4252.619
Nibelungen;4252.62;4253.899
Nibelungen;4253.9;4255.079
Nibelungen;4255.08;4256.239
Nibelungen;4256.24;4257.579
Nibelungen;4257.58;4258.739
Nibelungen;4258.74;4259.999
Nibelungen;4260;4261.259
Nibelungen;4261.26;4262.399
Nibelungen;4262.4;4263.699
Nibelungen;4263.7;4264.999
Nibelungen;4265;4266.099
Nibelungen;4266.1;4267.359
Nibelungen;4267.36;4268.544
Nibelungen;4268.545;4269.759
Nibelungen;4269.76;4270.939
Nibelungen;4270.94;4272.039
Nibelungen;4272.04;4273.119
Nibelungen;4273.12;4274.199
Nibelungen;4274.2;4275.559
Nibelungen;4275.56;4276.779
Nibelungen;4276.78;4278.119
Nibelungen;4295.6;4297.076
Nibelungen;4302.095;4303.549
Nibelungen;4309.055;4311.47
Nibelungen;4327.68;4329.898
Nibelungen;4422.645;4423.899
Nibelungen;4423.9;4424.939
Nibelungen;4424.94;4426.099
Nibelungen;4426.1;4427.179
Nibelungen;4438.979;4440.099
Nibelungen;4440.1;4441.266
Nibelungen;4441.267;4442.319
Nibelungen;4442.32;4443.499
Nibelungen;4443.5;4444.519
Nibelungen;4444.52;4445.719
Nibelungen;4445.72;4446.799
Nibelungen;4446.8;4448.019
Nibelungen;4448.02;4449.179
Nibelungen;4449.18;4450.344
Nibelungen;4450.345;4451.499
Nibelungen;4451.5;4452.516
Nibelungen;4452.517;4453.699
Nibelungen;4453.7;4454.919
Nibelungen;4454.92;4455.959
Nibelungen;4455.96;4457.199
Nibelungen;4457.2;4458.279
Nibelungen;4458.28;4459.419
Nibelungen;4547.68;4548.699
Nibelungen;4548.7;4549.959
Nibelungen;4549.96;4551.159
Nibelungen;4551.16;4552.459
Nibelungen;4552.46;4553.587
Nibelungen;4553.589;4554.959
Nibelungen;4554.96;4556.039
Nibelungen;4556.04;4557.196
Nibelungen;4922.499;4925.38
Nibelungen;4925.612;4928.52
Nibelungen;4928.759;4931.61
Nibelungen;4931.859;4934.835
Nibelungen;4957.479;4960.45
Nibelungen;4960.699;4963.8
Nibelungen;4964.125;4967.31
Nibelungen;4967.592;4969.818
Nibelungen;5093.363;5094.819
Nibelungen;5094.82;5096.099
Nibelungen;5334.3;5336.005
Nibelungen;5336.007;5337.813
Nibelungen;5337.815;5339.538
Nibelungen;5339.54;5340.979
Nibelungen;5340.98;5342.713
Nibelungen;5342.715;5344.488
Nibelungen;5344.49;5346.118
Nibelungen;5346.12;5347.71
Nibelungen;5347.712;5348.699
Nibelungen;5348.7;5350.698
Nibelungen;5350.7;5352.278
Nibelungen;5352.28;5354.058
Nibelungen;5354.06;5356.138
Nibelungen;5356.14;5357.559
Nibelungen;5357.56;5359.078
Nibelungen;5359.08;5360.758
Nibelungen;5360.76;5362.358
Nibelungen;5362.36;5364.078
Nibelungen;5364.08;5365.698
Nibelungen;5365.7;5367.119
Nibelungen;5686.46;5688.618
Nibelungen;5688.62;5690.478
Nibelungen;5690.48;5692.578
Nibelungen;5692.58;5694.458
Nibelungen;5694.46;5696.365
Nibelungen;5696.367;5698.418
Nibelungen;5698.42;5700.276
Nibelungen;5700.278;5702.1
