Motif;StartSec;EndSec
Horn;2190.36;2195.778
Horn;2198.223;2202.004
Horn;2211.209;2215.699
Horn;2267.293;2270.124
Horn;2270.125;2272.539
Horn;2274.837;2276.879
Horn;2290.615;2292.16
Horn;2431.16;2433.419
Horn;2449.76;2452.079
Horn;3576.19;3577.717
Horn;3579.11;3580.497
Horn;3581.87;3583.237
Horn;3584.63;3586.017
Horn;3587.457;3590.307
Horn;3591.72;3594.277
Horn;3595.77;3599.797
Horn;3603.69;3605.017
Horn;3606.19;3607.358
Horn;3608.57;3609.778
Horn;3611.138;3612.493
Horn;3613.718;3614.938
Horn;3616.26;3617.577
Horn;3618.938;3620.292
Horn;3621.51;3622.723
Horn;3623.962;3625.198
Horn;3626.56;3627.917
Horn;3629.32;3630.717
Jugendkraft;1264.853;1267.199
Jugendkraft;1267.78;1269.768
Jugendkraft;1444.22;1445.539
Jugendkraft;1445.54;1447.118
Jugendkraft;1447.12;1448.299
Mime;1498.21;1500.05
Mime;1500.4;1501.39
Mime;1501.72;1502.43
Mime;1502.43;1503.139
Mime;1503.14;1503.78
Mime;1503.78;1504.419
Mime;1504.42;1505.04
Mime;1505.04;1505.659
Mime;1506.38;1507.099
Mime;1507.85;1508.598
Mime;1509.282;1509.963
Mime;1574.485;1575.293
Mime;1575.293;1576.098
Mime;1576.1;1576.683
Mime;1576.683;1577.266
Mime;1577.267;1578.043
Mime;1578.043;1578.818
Mime;1578.82;1579.48
Mime;1579.48;1580.139
Mime;1580.14;1580.92
Mime;1580.92;1581.698
Mime;1581.7;1582.45
Mime;1582.45;1583.198
Mime;1583.2;1583.9
Mime;1583.9;1584.599
Mime;1584.6;1585.4
Mime;1585.4;1586.198
Nibelungen;1277.066;1278.198
Nibelungen;1278.793;1279.978
Nibelungen;1541.445;1542.539
Nibelungen;1542.54;1543.599
Nibelungen;1672.807;1675.278
Nibelungen;1676.03;1678.199
Nibelungen;1678.2;1679.519
Nibelungen;1679.52;1680.779
Nibelungen;1680.78;1681.999
Nibelungen;1682;1683.219
Nibelungen;1683.22;1684.479
Nibelungen;2916.23;2917.239
Nibelungen;2920.66;2921.979
Nibelungen;3546.71;3548.717
Nibelungen;3551.736;3553.777
Nibelungen;3554.425;3555.07
Nibelungen;3574.66;3576.572
Nibelungen;3577.72;3579.457
Nibelungen;3580.5;3582.212
Nibelungen;3583.24;3584.977
Nibelungen;3586.02;3587.817
Nibelungen;3590.307;3591.717
Nibelungen;3594.28;3595.77
Nibelungen;3602.36;3604.023
Nibelungen;3605.02;3606.483
Nibelungen;3607.36;3608.873
Nibelungen;3609.78;3611.478
Nibelungen;3612.496;3614.024
Nibelungen;3614.94;3616.59
Nibelungen;3617.58;3619.277
Nibelungen;3620.295;3621.814
Nibelungen;3622.725;3624.272
Nibelungen;3625.2;3626.9
Nibelungen;3627.92;3629.67
Nibelungen;3695.767;3697.588
Nibelungen;3700.898;3702.715
Nibelungen;3824.652;3826.14
Nibelungen;3828.165;3829.5
Nibelungen;3831.458;3833.165
Nibelungenhass;208.045;210.6183
Nibelungenhass;210.7331;213.4199
Nibelungenhass;213.5381;216.1391
Nibelungenhass;216.2525;218.8474
Nibelungenhass;218.9613;221.7574
Nibelungenhass;221.8812;224.5241
Nibelungenhass;224.6387;227.0708
Nibelungenhass;227.1763;229.5475
Nibelungenhass;229.6513;231.9531
Nibelungenhass;232.0536;234.5746
Nibelungenhass;234.6866;237.0775
Nibelungenhass;237.1813;239.6891
Nibelungenhass;239.8;241.605
Nibelungenhass;290.3902;293.1023
Nibelungenhass;293.23;295.6009
Nibelungenhass;295.7013;298.2824
Nibelungenhass;298.3975;300.8975
Nibelungenhass;301.0062;303.6374
Nibelungenhass;303.7538;306.0409
Nibelungenhass;306.1388;308.9123
Nibelungenhass;309.0375;311.1343
Nibelungenhass;311.2212;313.4209
Nibelungenhass;313.5188;315.9092
Nibelungenhass;409.7015;411.7681
Nibelungenhass;411.8658;413.9587
Nibelungenhass;414.0496;415.69
Nibelungenhass;415.2013;416.6677
Nibelungenhass;602.6175;604.8642
Nibelungenhass;604.9613;607.1159
Nibelungenhass;607.21;609.3109
Nibelungenhass;624.5158;626.5227
Nibelungenhass;629.065;631.4292
Nibelungenhass;639.0675;641.2243
Nibelungenhass;641.3163;643.5309
Nibelungenhass;643.6287;645.6077
Nibelungenhass;645.6928;647.8641
Nibelungenhass;647.9608;650.1046
Nibelungenhass;650.1982;652.1454
Nibelungenhass;652.2296;654.0544
Nibelungenhass;654.1337;656.2359
Nibelungenhass;1196.372;1199.159
Nibelungenhass;1202.405;1204.774
Nibelungenhass;2483.169;2485.959
Nibelungenhass;2486.9;2489.795
Nibelungenhass;2490.732;2493.372
Nibelungenhass;2494.255;2496.925
Nibelungenhass;2497.84;2500.735
Nibelungenhass;2501.677;2504.362
Nibelungenhass;2505.259;2507.959
Nibelungenhass;2508.829;2511.256
Nibelungenhass;2512.087;2514.714
Nibelungenhass;2515.588;2518.199
Nibelungenhass;2519.1;2521.995
Nibelungenhass;2549.815;2552.665
Nibelungenhass;2553.635;2556.665
Nibelungenhass;2557.626;2560.206
Nibelungenhass;2561.097;2563.962
Nibelungenhass;2564.897;2567.582
Nibelungenhass;2568.542;2571.812
Nibelungenhass;2572.834;2575.489
Nibelungenhass;2636.81;2639.861
Nibelungenhass;2640.032;2644.039
Nibelungenhass;2644.215;2647.889
Nibelungenhass;2648.048;2651.735
Nibelungenhass;2651.898;2655.196
Nibelungenhass;2655.338;2658.721
Nibelungenhass;2658.871;2661.802
Nibelungenhass;2661.927;2665.315
Nibelungenhass;2665.468;2668.919
Riesen;2579.84;2581.73
Riesen;2581.73;2584.107
Riesen;2587.52;2589.495
Riesen;2590.68;2592.73
Riesen;2600.54;2602.24
Riesen;2602.24;2603.937
Ring;101.8995;108.2897
Ring;120.38;127.2603
Ring;231.1563;236.5637
Ring;236.8725;243.3625
Ring;653.425;658.6575
Ring;658.6575;663.0143
Ring;1000.82;1003.919
Ring;1003.92;1007.11
Ring;1058;1061.082
Ring;2603.94;2606.175
Ring;2606.92;2609.11
Ring;2609.84;2612.815
Ring;2970.154;2974.545
Ring;2974.8;2979.053
Ring;2979.32;2983.716
Ring;2983.98;2989.08
Ring;2989.4;2994.413
Ring;3672.02;3677.177
Ring;3677.18;3681.618
Ritt;328.4792;329.5284
Ritt;330.231;331.6331
Ritt;332.2029;333.3383
Ritt;333.8728;334.9384
Ritt;335.4495;336.4685
Ritt;336.9728;337.9785
Ritt;338.4762;339.4685
Ritt;340.0128;341.0984
Ritt;341.617;342.6509
Ritt;343.1545;344.1585
Ritt;344.6195;345.5386
Ritt;346.0495;347.0685
Ritt;347.6028;348.6684
Ritt;349.2294;350.3483
Ritt;350.8362;351.8085
Ritt;352.2762;353.2086
Ritt;353.7595;354.8584
Ritt;355.3595;356.3585
Ritt;356.8649;357.8746
Ritt;1132.186;1133.119
Ritt;1134.019;1134.886
Ritt;1135.755;1136.625
Ritt;1137.505;1138.395
Ritt;1139.275;1140.145
Ritt;1141.075;1142.065
Ritt;1142.97;1143.79
Ritt;1144.69;1145.67
Ritt;1146.64;1147.6
Ritt;1148.537;1149.45
Ritt;1150.4;1151.387
Ritt;1152.315;1153.185
Ritt;1154.07;1154.97
Ritt;1155.925;1156.935
Ritt;1157.935;1158.925
Ritt;1159.91;1160.89
Schwert;724.31;728.9425
Schwert;997.027;999.0695
Schwert;1122.699;1125.365
Schwert;2011.133;2014.558
Schwert;2286.469;2289.098
Schwert;2420.341;2423.064
Schwert;2464.42;2466.759
Schwert;2630.62;2636.981
Schwert;2742.402;2745.738
Schwert;3039.198;3043.61
Siegfried;2229.114;2237.336
Siegfried;2241.258;2253.472
Siegfried;2532.948;2541.951
Siegfried;2540.577;2547.7
Siegfried;2701.47;2712.872
Siegfried;4014.668;4020.538
Unmuth;749.2425;757.8475
Vertrag;539.79;543.7445
Vertrag;592.2725;598.59
Waberlohe;1279.98;1283.62
Waberlohe;1286.756;1291.018
Waberlohe;1293;1297.411
Waberlohe;1295.28;1299.055
Waberlohe;1297.413;1302.34
Waberlohe;1464.5;1466.541
Waberlohe;1465.86;1467.547
Waberlohe;1467.223;1468.84
Waberlohe;1468.52;1470.16
Waberlohe;4022.954;4027.032
Waberlohe;4025.02;4028.652
Waberlohe;4028.24;4035.236
Waberlohe;4031.54;4035.645
Waldweben;1588.92;1593.138
Waldweben;1593.14;1597.338
Waldweben;1614.76;1619.218
Waldweben;1619.22;1623.678
Waldweben;1623.68;1628.038
Waldweben;1628.04;1632.278
Waldweben;1632.28;1636.898
Waldweben;1636.9;1641.238
Waldweben;1641.24;1645.398
Waldweben;1645.4;1649.778
Waldweben;1649.78;1654.118
Waldweben;1654.12;1658.478
Waldweben;1658.48;1663.237
Waldweben;1663.24;1667.546
Waldweben;1694.68;1700.143
Waldweben;1700.145;1704.798
Waldweben;1704.8;1706.778
Waldweben;1706.78;1709.218
Waldweben;1709.22;1710.878
Waldweben;1710.88;1713.397
Waldweben;1713.4;1715.738
Waldweben;1715.74;1718.297
Waldweben;1732;1735.077
Waldweben;1735.08;1737.577
Waldweben;1737.58;1739.978
Waldweben;1739.98;1742.537
Waldweben;1742.54;1744.858
Waldweben;1744.86;1747.737
Waldweben;1747.74;1750.777
Waldweben;1883.335;1888.697
Waldweben;1888.7;1892.98
Waldweben;1892.981;1895.657
Waldweben;1895.66;1898.118
Waldweben;1898.12;1903.437
Waldweben;1903.44;1905.937
Waldweben;1905.94;1910.938
Waldweben;1910.94;1915.458
Waldweben;1915.46;1918.097
Waldweben;1918.1;1920.458
Waldweben;1920.46;1922.598
Waldweben;1922.6;1925.137
Waldweben;1925.14;1927.179
Waldweben;1927.181;1929.658
Waldweben;1929.66;1932.058
Waldweben;1932.06;1934.384
