Motif;StartSec;EndSec
Horn;877.6;878.67
Horn;879.74;880.78
Horn;1340.783;1341.843
Horn;1795.12;1800.892
Horn;1800.895;1804.92
Horn;1812.963;1818.059
Horn;1847.981;1852.239
Horn;1852.24;1857.279
Horn;1858.385;1862.199
Horn;1862.2;1868.03
Liebe;1555.94;1563.88
Ring;811.916;815.6962
Ring;815.7;819.5861
Ring;837.5075;841.6858
Ring;841.69;845.3563
Ring;845.36;849.1862
Ring;1449.72;1453.94
Ring;1485.832;1488.178
Ring;2026.5;2032.097
Ring;2032.1;2034.997
Ring;2035;2037.691
Ring;2037.693;2043.537
Ring;2043.54;2046.437
Ritt;1506.38;1507.637
Ritt;1508.768;1509.894
Ritt;1510.473;1512.198
Ritt;1530.85;1532.11
Ritt;1533.28;1534.36
Ritt;1535.375;1536.325
Ritt;1537.35;1538.998
Ritt;1539;1540.5
Ritt;1541;1542.361
Ritt;1542.815;1544.35
Ritt;1544.862;1546.33
Ritt;1546.82;1547.82
Ritt;1552.205;1553.718
Ritt;1556.495;1558.158
Ritt;1563.28;1565.078
Schicksal;70.252;78.20718
Schicksal;105.7141;110.7856
Schicksal;571.82;578.9264
Schicksal;582.031;587.3378
Schicksal;774.8;781.8049
Schicksal;938.56;946.0441
Schicksal;946.048;953.3563
Schicksal;1366.33;1371.878
Schwert;871.5612;873.8906
Siegfried;1343.696;1348.218
Siegfried;1345.868;1349.787
Siegfried;1370.88;1375.076
Siegfried;1456.163;1465.038
Vertrag;273.9598;279.2913
Vertrag;552.2275;555.675
Vertrag;659.44;663.7031
Vertrag;663.705;667.758
Vertrag;688.06;692.218
Vertrag;692.22;696.2978
