Motif;StartSec;EndSec
Nibelungen;3518.32;3520.937
Nibelungen;3520.94;3523.378
Nibelungen;4472.2;4473.978
Nibelungen;4473.98;4475.778
Nibelungen;4475.78;4477.698
Nibelungen;4477.7;4479.478
Nibelungen;4479.48;4481.258
Nibelungen;4481.26;4482.978
Nibelungen;4484.7;4486.498
Nibelungen;4486.5;4488.318
Nibelungen;4488.32;4490.178
Nibelungen;4490.18;4491.778
Nibelungen;4491.78;4493.529
Nibelungen;4493.53;4495.578
Nibelungen;4495.58;4497.318
Nibelungen;4497.32;4499.132
Nibelungen;4499.133;4501.098
Nibelungen;4501.1;4502.87
Nibelungen;4502.872;4504.577
Nibelungen;4504.579;4506.358
Nibelungen;4506.36;4508.058
Nibelungen;4508.06;4509.818
Nibelungen;4509.82;4511.518
Nibelungen;4511.52;4513.218
Nibelungen;4513.22;4514.918
Nibelungen;4514.92;4516.678
Nibelungen;4516.68;4518.104
Nibelungen;4518.105;4519.838
Nibelungen;4519.84;4521.518
Nibelungen;4521.52;4523.298
Nibelungen;4523.3;4525.178
Nibelungen;4525.18;4526.898
Nibelungen;4526.9;4528.688
Nibelungen;4528.69;4530.458
Nibelungen;4530.46;4532.242
Nibelungen;4532.244;4533.958
Nibelungen;4533.96;4535.658
Nibelungen;4535.66;4537.303
Nibelungen;4718.8;4720.818
Nibelungen;4720.82;4722.658
Nibelungen;4724.57;4726.469
Nibelungen;4726.471;4728.378
Nibelungen;4728.38;4730.318
Nibelungen;4730.32;4732.178
Nibelungen;4732.18;4734.098
Nibelungen;4734.1;4735.968
Nibelungen;4735.97;4737.898
Nibelungen;4737.9;4739.818
Nibelungen;4739.82;4741.698
Nibelungen;4741.7;4743.718
Nibelungen;4743.72;4745.638
Nibelungen;4745.64;4747.538
Nibelungen;4747.54;4749.478
Nibelungen;4749.48;4751.49
Nibelungen;4751.492;4753.438
Nibelungen;4753.44;4755.458
Nibelungen;4755.46;4757.618
Nibelungen;4757.62;4759.478
Nibelungen;4767.22;4769.418
Nibelungen;4769.42;4771.301
Nibelungen;4771.303;4773.275
Nibelungen;4844.72;4846.438
Nibelungen;4846.44;4848.198
Nibelungen;4848.2;4850.018
Nibelungen;4850.02;4851.638
Nibelungen;4851.64;4853.438
Nibelungen;4853.44;4855.102
Nibelungen;4855.104;4856.758
Nibelungen;4856.76;4858.338
Nibelungen;4858.34;4860.298
Nibelungen;4860.3;4861.878
Nibelungen;4861.88;4863.558
Nibelungen;4863.56;4865.258
Nibelungen;4865.26;4866.978
Nibelungen;4866.98;4868.638
Nibelungen;4868.64;4870.139
Nibelungen;4870.14;4871.658
Nibelungen;4871.66;4873.178
Nibelungen;4873.18;4874.608
Nibelungen;4874.61;4876.019
Nibelungen;4876.02;4877.319
Nibelungen;4877.32;4878.459
Nibelungen;4878.46;4879.699
Nibelungen;4879.7;4880.759
Nibelungen;4880.76;4882.059
Nibelungen;4882.06;4883.259
Nibelungen;4883.26;4884.579
Nibelungen;4884.58;4885.739
Nibelungen;4885.74;4887.01
Nibelungen;4887.012;4888.099
Nibelungen;4888.1;4889.379
Nibelungen;4889.38;4890.579
Nibelungen;4890.58;4891.959
Nibelungen;4891.96;4893.159
Nibelungen;4893.16;4894.419
Nibelungen;4894.42;4895.619
Nibelungen;4895.62;4896.839
Nibelungen;4896.84;4898.039
Nibelungen;4898.04;4899.379
Nibelungen;4899.38;4900.639
Nibelungen;4900.64;4901.819
Nibelungen;4901.82;4903.099
Nibelungen;4918.28;4919.623
Nibelungen;4924.005;4925.335
Nibelungen;4929.55;4931.815
Nibelungen;4945.56;4947.599
Nibelungen;5039.87;5041.339
Nibelungen;5041.34;5042.619
Nibelungen;5042.62;5043.879
Nibelungen;5043.88;5045.059
Nibelungen;5057.879;5059.339
Nibelungen;5059.34;5060.799
Nibelungen;5060.8;5061.979
Nibelungen;5061.98;5063.459
Nibelungen;5063.46;5064.649
Nibelungen;5064.65;5066.039
Nibelungen;5066.04;5067.319
Nibelungen;5067.32;5068.659
Nibelungen;5068.66;5069.929
Nibelungen;5069.93;5071.339
Nibelungen;5071.34;5072.639
Nibelungen;5072.64;5074.019
Nibelungen;5074.02;5075.399
Nibelungen;5075.4;5076.619
Nibelungen;5076.62;5077.939
Nibelungen;5077.94;5079.199
Nibelungen;5079.2;5080.539
Nibelungen;5080.54;5081.759
Nibelungen;5184.451;5185.839
Nibelungen;5185.84;5187.338
Nibelungen;5187.34;5188.759
Nibelungen;5188.76;5190.258
Nibelungen;5190.26;5191.798
Nibelungen;5191.8;5193.718
Nibelungen;5193.72;5195.398
Nibelungen;5195.4;5197.018
Nibelungen;5614.632;5617.61
Nibelungen;5617.879;5620.71
Nibelungen;5620.939;5623.74
Nibelungen;5624.006;5627.13
Nibelungen;5650.699;5653.55
Nibelungen;5653.812;5656.84
Nibelungen;5657.132;5660
Nibelungen;5660.232;5662.478
Nibelungen;5787.957;5789.678
Nibelungen;5789.68;5791.278
Nibelungen;6040.86;6043.238
Nibelungen;6043.24;6045.138
Nibelungen;6045.14;6047.218
Nibelungen;6047.22;6049.398
Nibelungen;6049.4;6051.078
Nibelungen;6051.08;6053.498
Nibelungen;6053.5;6055.378
Nibelungen;6055.38;6059.696
Nibelungen;6059.7;6061.658
Nibelungen;6061.66;6064.307
Nibelungen;6064.31;6065.579
Nibelungen;6065.58;6067.178
