Motif;StartSec;EndSec
Horn;912.84;914.1
Horn;915.36;916.6025
Horn;1399.533;1400.558
Horn;1907.88;1914.357
Horn;1914.36;1918.77
Horn;1929.768;1935.059
Horn;1964.441;1968.415
Horn;1968.416;1973.079
Horn;1974.09;1977.699
Horn;1977.7;1983.319
Liebe;1642.04;1651.34
Ring;846.48;850.486
Ring;850.49;854.446
Ring;871.24;875.0862
Ring;875.09;878.9761
Ring;878.98;883.0309
Ring;1527.38;1531.884
Ring;1566.385;1568.914
Ring;2142.737;2147.857
Ring;2147.86;2150.597
Ring;2150.6;2153.237
Ring;2153.24;2158.757
Ring;2158.76;2161.412
Ritt;1588.79;1590.037
Ritt;1591.04;1592.038
Ritt;1592.64;1594.438
Ritt;1615.27;1616.45
Ritt;1617.57;1618.63
Ritt;1619.705;1620.795
Ritt;1621.87;1623.458
Ritt;1623.46;1625.155
Ritt;1625.72;1627.31
Ritt;1627.84;1629.52
Ritt;1630.08;1631.804
Ritt;1632.378;1633.359
Ritt;1637.758;1639.372
Ritt;1642.495;1643.858
Ritt;1650.61;1652.797
Schicksal;78.17147;87.34073
Schicksal;118.3939;124.1556
Schicksal;601.18;607.8666
Schicksal;611.0492;617.2175
Schicksal;809.76;816.2451
Schicksal;975.28;982.6763
Schicksal;982.68;990.4366
Schicksal;1429.26;1435.973
Schwert;905.8356;908.4365
Siegfried;1402.747;1407.478
Siegfried;1405.037;1409.085
Siegfried;1434.738;1439.515
Siegfried;1534.374;1543.698
Vertrag;297.39;302.166
Vertrag;581.2225;584.725
Vertrag;692.1975;696.6979
Vertrag;696.7;700.8079
Vertrag;721.19;725.088
Vertrag;725.09;729.0501
