Motif;StartSec;EndSec
Nibelungen;3293.4;3295.598
Nibelungen;3295.6;3297.598
Nibelungen;4235.3;4236.898
Nibelungen;4236.9;4238.398
Nibelungen;4238.4;4239.898
Nibelungen;4239.9;4241.398
Nibelungen;4241.4;4242.799
Nibelungen;4242.8;4244.398
Nibelungen;4245.9;4247.398
Nibelungen;4247.4;4248.898
Nibelungen;4248.9;4250.299
Nibelungen;4250.3;4251.798
Nibelungen;4251.8;4253.298
Nibelungen;4253.3;4254.798
Nibelungen;4254.8;4256.298
Nibelungen;4256.3;4257.699
Nibelungen;4257.7;4259.198
Nibelungen;4259.2;4260.698
Nibelungen;4260.7;4262.099
Nibelungen;4262.1;4263.599
Nibelungen;4263.6;4265.099
Nibelungen;4265.1;4266.599
Nibelungen;4266.6;4267.999
Nibelungen;4268;4269.498
Nibelungen;4269.5;4270.998
Nibelungen;4271;4272.498
Nibelungen;4272.5;4273.998
Nibelungen;4274;4275.399
Nibelungen;4275.4;4276.799
Nibelungen;4276.8;4278.199
Nibelungen;4278.2;4279.698
Nibelungen;4279.7;4281.099
Nibelungen;4281.1;4282.499
Nibelungen;4282.5;4283.899
Nibelungen;4283.9;4285.299
Nibelungen;4285.3;4286.699
Nibelungen;4286.7;4288.099
Nibelungen;4288.1;4289.499
Nibelungen;4462.9;4464.798
Nibelungen;4464.8;4466.598
Nibelungen;4468.5;4470.298
Nibelungen;4470.3;4471.998
Nibelungen;4472;4473.798
Nibelungen;4473.8;4475.598
Nibelungen;4475.6;4477.298
Nibelungen;4477.3;4478.998
Nibelungen;4479;4480.798
Nibelungen;4480.8;4482.498
Nibelungen;4482.5;4484.198
Nibelungen;4484.2;4485.998
Nibelungen;4486;4487.598
Nibelungen;4487.6;4489.298
Nibelungen;4489.3;4490.998
Nibelungen;4491;4492.598
Nibelungen;4492.6;4494.398
Nibelungen;4494.4;4496.098
Nibelungen;4496.1;4497.798
Nibelungen;4497.8;4499.498
Nibelungen;4506.7;4508.598
Nibelungen;4508.6;4510.498
Nibelungen;4510.5;4512.398
Nibelungen;4586.8;4588.598
Nibelungen;4588.6;4590.498
Nibelungen;4590.5;4592.298
Nibelungen;4592.3;4593.998
Nibelungen;4594;4595.798
Nibelungen;4595.8;4597.498
Nibelungen;4597.5;4599.298
Nibelungen;4599.3;4600.998
Nibelungen;4601;4602.698
Nibelungen;4602.7;4604.358
Nibelungen;4604.359;4606.098
Nibelungen;4606.1;4607.798
Nibelungen;4607.8;4609.598
Nibelungen;4609.6;4611.398
Nibelungen;4611.4;4613.098
Nibelungen;4613.1;4614.599
Nibelungen;4614.6;4615.899
Nibelungen;4615.9;4617.199
Nibelungen;4617.2;4618.399
Nibelungen;4618.4;4619.599
Nibelungen;4619.6;4620.799
Nibelungen;4620.8;4621.999
Nibelungen;4622;4623.099
Nibelungen;4623.1;4624.299
Nibelungen;4624.3;4625.499
Nibelungen;4625.5;4626.599
Nibelungen;4626.6;4627.699
Nibelungen;4627.7;4628.799
Nibelungen;4628.8;4629.999
Nibelungen;4630;4631.199
Nibelungen;4631.2;4632.199
Nibelungen;4632.2;4633.199
Nibelungen;4633.2;4634.399
Nibelungen;4634.4;4635.399
Nibelungen;4635.4;4636.499
Nibelungen;4636.5;4637.599
Nibelungen;4637.6;4638.699
Nibelungen;4638.7;4639.699
Nibelungen;4639.7;4640.899
Nibelungen;4640.9;4641.999
Nibelungen;4642;4643.099
Nibelungen;4658.475;4659.882
Nibelungen;4664.6;4666.066
Nibelungen;4670.675;4673.15
Nibelungen;4687.25;4689.099
Nibelungen;4772;4773.199
Nibelungen;4773.2;4774.299
Nibelungen;4774.3;4775.399
Nibelungen;4775.4;4776.499
Nibelungen;4788.4;4789.699
Nibelungen;4789.7;4790.799
Nibelungen;4790.8;4791.799
Nibelungen;4791.8;4792.899
Nibelungen;4792.9;4793.999
Nibelungen;4794;4795.099
Nibelungen;4795.1;4796.299
