Motif;StartSec;EndSec
Feuerzauber;1984.54;1987.233
Feuerzauber;1988.5;1991.068
Feuerzauber;1992.165;1994.615
Feuerzauber;1995.887;1998.246
Feuerzauber;3544.16;3550.002
Feuerzauber;3551.8;3557.503
Feuerzauber;3576.86;3585.016
Feuerzauber;3585.02;3591.18
Feuerzauber;4284.938;4288.545
Feuerzauber;4343.28;4346.745
Feuerzauber;4357.533;4360.528
Feuerzauber;4396.7;4400.59
Horn;0.708;5.522942
Horn;5.5261;9.347406
Horn;26.058;32.48114
Horn;80.92701;85.19135
Horn;361.41;365.8879
Horn;1220.14;1223.377
Horn;1226.2;1231.304
Horn;1267.06;1271.878
Horn;1271.88;1276.478
Horn;1276.48;1278.709
Horn;1278.712;1281.186
Horn;1281.189;1283.518
Horn;1283.52;1288.178
Horn;1288.18;1290.398
Horn;1290.4;1292.618
Horn;1292.62;1297.378
Horn;1306.48;1312.25
Horn;1319.043;1321.89
Horn;1366.634;1368.353
Horn;1368.355;1370.354
Horn;1376;1378.657
Horn;1378.66;1381.158
Horn;1381.16;1383.573
Horn;2879.26;2881.492
Horn;2883.725;2886.392
Horn;2907.9;2909.37
Horn;2913.755;2915.168
Horn;2916.58;2917.78
Horn;3075.188;3076.134
Horn;3077.08;3078.21
Horn;3178.9;3179.89
Liebe;2625.98;2636.93
Liebe;2633.875;2647.207
Nibelungen;794.13;796.4577
Nibelungen;796.46;798.5779
Nibelungen;1569.43;1572.418
Nibelungen;1576.2;1578.138
Nibelungen;1578.14;1579.803
Nibelungen;1579.804;1581.754
Nibelungen;1581.756;1583.718
Nibelungen;1602.12;1604.038
Nibelungen;1604.04;1605.778
Nibelungen;1611.94;1613.898
Nibelungen;1613.9;1615.878
Nibelungen;1629.58;1631.488
Nibelungen;1631.49;1633.438
Nibelungen;1633.44;1635.158
Nibelungen;1635.16;1637.178
Nibelungen;1637.18;1638.918
Nibelungen;1638.92;1639.9
Nibelungen;1849.04;1850.798
Nibelungen;1850.8;1852.438
Nibelungen;1852.44;1855.377
Nibelungen;1855.38;1858.497
Ring;502.21;506.5778
Ring;506.58;508.6879
Ring;508.69;510.8578
Ring;682.76;687.4579
Ring;687.46;692.2978
Ring;704.91;709.5476
Ring;711.76;716.2278
Ring;738.47;741.3116
Ring;741.67;744.5649
Ring;744.93;747.7006
Ring;748.05;751.3067
Ring;752.885;757.5869
Ring;757.59;760.597
Ring;773.21;776.177
Ring;776.18;779.0571
Ring;865.19;869.7876
Ring;869.79;874.3277
Ring;885.2;888.5238
Ring;893.37;896.7844
Ring;897.555;902.8501
Ring;969.77;971.5287
Ring;971.5287;973.9678
Ring;1051.78;1053.988
Ring;1053.99;1056.274
Ring;1056.277;1058.498
Ring;1058.5;1060.818
Ring;1060.82;1063.098
Ring;1063.1;1065.278
Ring;1065.28;1067.536
Ring;1067.539;1069.738
Ring;1069.74;1072.058
Ring;1072.06;1074.238
Ring;3247.14;3249.894
Ring;3254.717;3257.247
Ring;3258.36;3260.438
Ring;3260.44;3262.158
Ring;3273.5;3275.233
Ring;3275.48;3276.985
Ring;3277.2;3278.12
Ring;3278.12;3279.022
Ring;4039.74;4042.695
Ring;4045.18;4050.397
Ring;4131.14;4135.618
Schicksal;827.19;833.465
Schicksal;2132;2138.856
Schicksal;2170.46;2181.974
Schicksal;2187.12;2198.275
Schicksal;2317.12;2325.996
Schicksal;2424.928;2437.774
Schicksal;2954.811;2962.456
Schicksal;3330.447;3337.857
Schicksal;3344.86;3353.197
Schicksal;3458.04;3467.056
Schicksal;3470.7;3478.467
Schicksal;3482.2;3491.295
Schicksal;3811.62;3818.857
Schicksal;3824.66;3828.333
Schicksal;3832.94;3839.111
Schicksal;3840.795;3844.03
Schicksal;3846.79;3850.175
Schicksal;3849.2;3852.978
Schicksal;3861.451;3874.043
Schicksal;3878.035;3887.196
Schicksal;3891.06;3900.443
Schwert;905.5558;907.788
Schwert;1653.476;1655.738
Schwert;2674.038;2684.455
Schwert;3287.032;3294.924
Schwert;3701.056;3707.487
Siegfried;899.265;902.8501
Siegfried;2105.129;2109.052
Siegfried;2351.102;2354.985
Siegfried;2359.174;2362.665
Siegfried;2366.843;2373.2
Siegfried;2374.831;2379.491
Siegfried;2705.897;2726.935
Siegfried;2736.23;2752.715
Siegfried;3079.057;3083.185
Siegfried;3548.204;3567.226
Siegfried;3584.504;3599.965
Siegfried;4260.91;4264.83
Siegfried;4265.99;4274.519
Siegfried;4324.88;4337.311
Siegfried;4518.115;4522.478
Vertrag;879.4164;882.11
Vertrag;4150.155;4156.418
Waberlohe;2026.924;2032.409
Waberlohe;2031.04;2037.388
Waberlohe;2035.042;2040.945
Waberlohe;2038.568;2044.372
Waberlohe;2042.104;2047.339
Waberlohe;2045.418;2049.63
Waberlohe;2048.421;2053.16
Waberlohe;2052.011;2058.057
Waldweben;1726.735;1729.198
Waldweben;1729.2;1731.974
Waldweben;1731.977;1734.378
Waldweben;1734.38;1737.237
Waldweben;1737.24;1739.303
Waldweben;1739.305;1742.197
Waldweben;1742.2;1744.478
Waldweben;1744.48;1747.777
Waldweben;1747.78;1750.357
Waldweben;1750.36;1753.177
Waldweben;1753.18;1755.593
Waldweben;1755.595;1758.137
Waldweben;1758.14;1760.737
Waldweben;1760.74;1763.437
Waldweben;1763.44;1765.518
Waldweben;1765.52;1768.637
Waldweben;1768.64;1771.197
Waldweben;1771.2;1773.877
Waldweben;1773.88;1776.178
Waldweben;1787.7;1790.457
Waldweben;1790.46;1792.977
Waldweben;1792.98;1795.617
Waldweben;1795.62;1798.297
Waldweben;1798.3;1800.857
Waldweben;1800.86;1803.657
Waldweben;1803.66;1806.118
Waldweben;1806.12;1808.598
Waldweben;1808.6;1811.137
Waldweben;1811.14;1813.677
Waldweben;1813.68;1816.187
Waldweben;1816.19;1819.437
Waldweben;1819.44;1822.057
Waldweben;1822.06;1825.596
Waldweben;1825.6;1828.337
Waldweben;1828.34;1831.037
Waldweben;1831.04;1833.837
Waldweben;1833.84;1836.218
Waldweben;1931.5;1933.648
Waldweben;1933.65;1936.637
Waldweben;1936.64;1939.157
Waldweben;1939.16;1941.717
Waldweben;1941.72;1944.237
Waldweben;1944.24;1946.997
Waldweben;1947;1949.458
Waldweben;1949.46;1951.878
Walhall-b;3972.68;3978.854
Walhall-b;4510.38;4514.998
Walhall-b;4515;4522.478
