Motif;StartSec;EndSec
Feuerzauber;1717.65;1720.625
Feuerzauber;1722.5;1725.525
Feuerzauber;1734.9;1738.728
Feuerzauber;1902.5;1906.65
Feuerzauber;1912.5;1916.725
Feuerzauber;1962.2;1964.912
Feuerzauber;1968.4;1971.025
Feuerzauber;1971.4;1973.938
Feuerzauber;1983.4;1986.397
Feuerzauber;1986.4;1989.397
Horn;1902.5;1905.797
Horn;1912.5;1915.897
Horn;1926.3;1928.7
Horn;1937.7;1939.397
Horn;1941;1942.597
Horn;1947.5;1949.097
Horn;1950.7;1952.297
Horn;1959;1959.8
Horn;1959.8;1960.6
Horn;1960.6;1962.588
Horn;1965.3;1966.075
Horn;1966.075;1966.85
Horn;1966.85;1968.775
Horn;1974.3;1975.85
Horn;1977.4;1978.9
Horn;1980.4;1981.15
Horn;1981.15;1981.9
Horn;1981.9;1983.397
Jugendkraft;1423.3;1424.25
Jugendkraft;1424.25;1425.198
Jugendkraft;1425.2;1426.15
Jugendkraft;1426.15;1427.098
Jugendkraft;1427.1;1427.766
Jugendkraft;1427.766;1428.432
Jugendkraft;1428.432;1429.098
Nibelungen;1344.7;1346.698
Nibelungen;1346.7;1348.032
Ring;504.8;507.2538
Ring;506.92;510.02
Ring;515.12;517.5838
Ring;517.33;519.6337
Ring;533.34;541.246
Ring;540.398;546.9169
Ring;862.86;866.1313
Ring;1018.2;1023.737
Ring;1021.2;1024.097
Ring;1024.1;1027.097
Ring;1027.1;1029.697
Ring;1029.7;1032.497
Ring;1032.5;1035.027
Ritt;1.682993;2.773651
Ritt;2.773651;3.862127
Ritt;3.864308;5.090679
Ritt;4.903605;5.936667
Ritt;5.942902;6.9939
Ritt;6.9939;8.042796
Ritt;8.044898;9.088946
Ritt;9.088946;10.13091
Ritt;10.13299;11.1895
Ritt;11.1895;12.2439
Ritt;12.24601;13.27751
Ritt;13.27751;14.30694
Ritt;14.309;15.3665
Ritt;15.3665;16.42188
Ritt;16.42399;17.45749
Ritt;17.45749;18.48893
Ritt;18.491;19.5145
Ritt;19.5145;20.53596
