Motif;StartSec;EndSec
Nibelungen;3114.2;3116.398
Nibelungen;3116.4;3118.458
Nibelungen;3973.34;3974.958
Nibelungen;3974.96;3976.678
Nibelungen;3976.68;3978.498
Nibelungen;3978.5;3980.298
Nibelungen;3980.3;3981.838
Nibelungen;3981.84;3983.598
Nibelungen;3985.4;3987.078
Nibelungen;3987.08;3988.838
Nibelungen;3988.84;3990.358
Nibelungen;3990.36;3991.998
Nibelungen;3992;3993.718
Nibelungen;3993.72;3995.458
Nibelungen;3995.46;3997.138
Nibelungen;3997.14;3998.698
Nibelungen;3998.7;4000.338
Nibelungen;4000.34;4002.038
Nibelungen;4002.04;4003.698
Nibelungen;4003.7;4005.298
Nibelungen;4005.3;4006.958
Nibelungen;4006.96;4008.558
Nibelungen;4008.56;4010.158
Nibelungen;4010.16;4012.098
Nibelungen;4012.1;4013.683
Nibelungen;4013.685;4015.099
Nibelungen;4015.1;4016.938
Nibelungen;4016.94;4018.618
Nibelungen;4018.62;4020.158
Nibelungen;4020.16;4021.918
Nibelungen;4021.92;4023.498
Nibelungen;4023.5;4025.138
Nibelungen;4025.14;4026.778
Nibelungen;4026.78;4028.558
Nibelungen;4028.56;4030.123
Nibelungen;4030.124;4031.698
Nibelungen;4031.7;4033.258
Nibelungen;4033.26;4034.878
Nibelungen;4190.06;4191.958
Nibelungen;4191.96;4193.718
Nibelungen;4195.58;4197.369
Nibelungen;4197.371;4199.078
Nibelungen;4199.08;4200.768
Nibelungen;4200.769;4202.418
Nibelungen;4202.42;4204.138
Nibelungen;4204.14;4205.718
Nibelungen;4205.72;4207.398
Nibelungen;4207.4;4209.058
Nibelungen;4209.06;4210.738
Nibelungen;4210.74;4212.378
Nibelungen;4212.38;4214.098
Nibelungen;4214.1;4215.818
Nibelungen;4215.82;4217.558
Nibelungen;4217.56;4219.258
Nibelungen;4219.26;4221.218
Nibelungen;4221.22;4223.078
Nibelungen;4223.08;4224.958
Nibelungen;4224.96;4226.558
Nibelungen;4234.03;4236.058
Nibelungen;4236.06;4237.921
Nibelungen;4237.923;4239.815
Nibelungen;4319.72;4321.438
Nibelungen;4321.44;4323.278
Nibelungen;4323.28;4325.178
Nibelungen;4325.18;4326.579
Nibelungen;4326.58;4328.278
Nibelungen;4328.28;4329.763
