Motif;StartSec;EndSec
Horn;2294.9;2300.198
Horn;2303.123;2307.374
Horn;2317.89;2322.704
Horn;2384;2398.524
Horn;2398.525;2400.819
Horn;2402.898;2404.819
Horn;2417.318;2418.925
Horn;2568.9;2571.199
Horn;2589.04;2591.439
Horn;3793.23;3794.737
Horn;3796.08;3797.417
Horn;3798.72;3800.017
Horn;3801.293;3802.564
Horn;3803.853;3806.34
Horn;3807.54;3809.898
Horn;3811.14;3814.678
Horn;3818.11;3819.358
Horn;3820.56;3821.758
Horn;3822.94;3824.118
Horn;3825.389;3826.654
Horn;3827.959;3829.257
Horn;3830.46;3831.658
Horn;3833.119;3834.575
Horn;3835.549;3836.518
Horn;3837.814;3839.105
Horn;3840.353;3841.595
Horn;3842.979;3844.357
Jugendkraft;1346.106;1348.679
Jugendkraft;1349.32;1351.562
Jugendkraft;1538.02;1539.479
Jugendkraft;1539.48;1540.879
Jugendkraft;1540.88;1542.199
Mime;1594.98;1596.995
Mime;1597.4;1598.379
Mime;1598.705;1599.402
Mime;1599.402;1600.099
Mime;1600.1;1600.85
Mime;1600.85;1601.598
Mime;1601.6;1602.33
Mime;1602.33;1603.059
Mime;1603.86;1604.658
Mime;1605.33;1605.999
Mime;1606.772;1607.543
Mime;1677.56;1678.29
Mime;1678.29;1679.019
Mime;1679.02;1679.77
Mime;1679.77;1680.518
Mime;1680.52;1681.35
Mime;1681.35;1682.178
Mime;1682.18;1682.92
Mime;1682.92;1683.659
Mime;1683.66;1684.44
Mime;1684.44;1685.218
Mime;1685.22;1686.04
Mime;1686.04;1686.858
Mime;1686.86;1687.68
Mime;1687.68;1688.498
Mime;1688.5;1689.33
Mime;1689.33;1690.158
Nibelungen;1359.806;1361.178
Nibelungen;1361.839;1363.158
Nibelungen;1643.3;1644.978
Nibelungen;1644.98;1645.892
Nibelungen;1772.47;1775.198
Nibelungen;1776.03;1778.458
Nibelungen;1778.46;1780.078
Nibelungen;1780.08;1781.598
Nibelungen;1781.6;1782.779
Nibelungen;1782.78;1784.059
Nibelungen;1784.06;1785.319
Nibelungen;3101.72;3102.859
Nibelungen;3106.48;3107.639
Nibelungen;3764.945;3767.057
Nibelungen;3770.154;3771.958
Nibelungen;3772.571;3773.182
