Motif;StartSec;EndSec
Horn;937.43;938.705
Horn;939.98;941.255
Horn;1399.59;1400.678
Horn;1841.2;1848.436
Horn;1848.44;1853.49
Horn;1862.763;1868.439
Horn;1894.881;1898.259
Horn;1898.26;1902.559
Horn;1903.28;1906.619
Horn;1906.62;1911.566
Liebe;1615.16;1622.585
Ring;867.8;871.9471
Ring;871.9512;875.8461
Ring;895.06;899.3257
Ring;899.33;902.6567
Ring;902.66;906.2714
Ring;1508.68;1512.35
Ring;1543.16;1545.241
Ring;2049.715;2054.83
Ring;2054.832;2057.551
Ring;2057.553;2060.077
Ring;2060.08;2065.477
Ring;2065.48;2068.057
Ritt;1562.39;1563.578
Ritt;1564.698;1565.814
Ritt;1566.413;1568.198
Ritt;1588.605;1589.935
Ritt;1591.15;1592.25
Ritt;1593.36;1594.48
Ritt;1595.575;1597.178
Ritt;1597.18;1598.777
Ritt;1599.31;1600.738
Ritt;1601.213;1602.853
Ritt;1603.4;1605.046
Ritt;1605.595;1606.638
Ritt;1611.201;1612.823
Ritt;1615.662;1617.165
Ritt;1622.062;1623.628
Schicksal;76.05299;84.58099
Schicksal;117.167;123.5993
Schicksal;620.72;628.0861
Schicksal;630.6;636.7175
Schicksal;829.64;836.7366
Schicksal;996.84;1003.017
Schicksal;1003.02;1009.771
Schicksal;1426.72;1432.513
Schwert;930.3775;932.9688
Siegfried;1402.693;1407.088
Siegfried;1404.841;1408.589
Siegfried;1431.448;1435.86
Siegfried;1514.595;1523.358
Vertrag;306.85;312.5459
Vertrag;599.9075;603.925
Vertrag;713.12;717.3979
Vertrag;717.4;721.6879
Vertrag;740.39;744.4981
Vertrag;744.5;748.4881
