Motif;StartSec;EndSec
Geschwisterliebe;3.862292;5.154075
Geschwisterliebe;5.317002;6.418804
Geschwisterliebe;6.55777;8.051076
Geschwisterliebe;7.448373;8.987465
Geschwisterliebe;8.363206;9.888856
Geschwisterliebe;9.301;11.16712
Geschwisterliebe;13.356;14.52305
Geschwisterliebe;14.67024;15.86172
Geschwisterliebe;16.012;17.46938
Geschwisterliebe;16.86714;18.50968
Geschwisterliebe;17.81615;19.49292
Geschwisterliebe;18.858;20.56328
Geschwisterliebe;22.971;24.34297
Geschwisterliebe;28.72;29.95876
Geschwisterliebe;30.115;31.40526
Geschwisterliebe;34.312;37.06651
Geschwisterliebe;37.226;39.77868
Geschwisterliebe;43.10601;44.43071
Geschwisterliebe;43.86924;45.50297
Geschwisterliebe;44.78813;46.49026
Geschwisterliebe;45.862;47.46403
Geschwisterliebe;46.80439;48.58624
Geschwisterliebe;64.6855;67.42934
Geschwisterliebe;67.597;70.32491
Geschwisterliebe;1492.055;1498.565
Geschwisterliebe;1498.565;1504.855
Geschwisterliebe;2266.595;2272.158
Geschwisterliebe;2270.18;2275.325
Geschwisterliebe;2902.075;2904.736
Geschwisterliebe;2904.736;2906.492
Geschwisterliebe;2906.492;2908.207
Geschwisterliebe;2908.426;2910.002
Geschwisterliebe;2910.196;2912.211
Geschwisterliebe;2912.211;2913.625
Geschwisterliebe;2913.625;2915.115
Geschwisterliebe;2915.307;2916.836
Geschwisterliebe;2917.22;2918.37
Geschwisterliebe;2917.713;2919.446
Geschwisterliebe;2918.7;2920.564
Geschwisterliebe;2919.819;2921.67
Geschwisterliebe;2920.933;2922.218
Geschwisterliebe;2922.04;2922.573
Geschwisterliebe;2922.573;2923.106
Geschwisterliebe;2923.106;2923.638
Geschwisterliebe;2936.84;2938.1
Geschwisterliebe;2938.259;2939.681
Geschwisterliebe;2942.82;2944.188
Geschwisterliebe;2944.36;2945.692
Geschwisterliebe;2945.86;2947.057
Geschwisterliebe;2946.373;2948.085
Geschwisterliebe;2947.4;2949.116
Geschwisterliebe;2948.427;2950.153
Geschwisterliebe;2953.84;2955.243
Geschwisterliebe;2955.42;2956.645
Geschwisterliebe;2959.9;2961.154
Geschwisterliebe;2960.437;2962.28
Geschwisterliebe;2961.513;2963.391
Geschwisterliebe;2962.663;2964.3
Geschwisterliebe;2963.694;2965.298
Geschwisterliebe;2964.604;2966.372
Geschwisterliebe;2965.645;2967.607
Geschwisterliebe;2971.647;2972.59
Geschwisterliebe;2972.213;2973.742
Geschwisterliebe;2974.69;2975.464
Geschwisterliebe;2975.154;2976.785
Geschwisterliebe;2983.312;2984.383
Geschwisterliebe;2984.92;2985.82
Geschwisterliebe;2986.271;2987.671
Geschwisterliebe;2987.847;2989.147
Geschwisterliebe;2989.52;2990.822
Geschwisterliebe;2990.986;2992.336
Geschwisterliebe;2992.724;2993.751
Geschwisterliebe;2993.88;2994.779
Geschwisterliebe;2994.779;2995.833
Geschwisterliebe;2995.833;2996.832
Geschwisterliebe;2996.832;2998.134
Geschwisterliebe;2997.486;2998.781
Geschwisterliebe;2998.942;3000.098
Geschwisterliebe;2999.424;3001.238
Geschwisterliebe;3000.478;3001.811
Geschwisterliebe;3005.83;3007.563
Geschwisterliebe;3010.967;3014.053
Geschwisterliebe;3042.64;3045.058
Geschwisterliebe;3045.06;3047.122
Geschwisterliebe;3047.124;3049.298
Geschwisterliebe;3049.3;3051.058
Geschwisterliebe;3051.06;3052.858
Geschwisterliebe;3052.86;3054.598
Geschwisterliebe;3059.42;3065.87
Geschwisterliebe;3065.87;3071.551
Geschwisterliebe;3071.551;3076.731
Geschwisterliebe;3108.139;3111.919
Geschwisterliebe;3112.678;3117.485
Geschwisterliebe;3117.485;3120.937
Geschwisterliebe;3122.592;3126.257
Geschwisterliebe;3133.365;3136.454
Geschwisterliebe;3143.432;3147.077
Geschwisterliebe;3164.466;3166.177
Geschwisterliebe;3166.18;3167.964
Geschwisterliebe;3423.7;3432.978
Geschwisterliebe;3432.98;3441.051
Geschwisterliebe;3441.054;3448.839
Geschwisterliebe;3453.26;3461.772
Geschwisterliebe;3464.54;3473.641
Geschwisterliebe;4206.541;4208.064
Geschwisterliebe;4207.558;4209.293
Geschwisterliebe;4209.293;4211.03
Geschwisterliebe;4212.56;4214.075
Geschwisterliebe;4214.58;4216.365
Geschwisterliebe;4215.77;4217.485
Geschwisterliebe;4269.78;4272.135
Geschwisterliebe;4271.35;4274.82
Geschwisterliebe;4321.96;4323.618
Geschwisterliebe;4337.8;4339.465
Geschwisterliebe;4342.075;4343.638
Geschwisterliebe;4367.84;4369.475
Geschwisterliebe;4368.93;4370.555
Geschwisterliebe;4393.32;4394.851
Geschwisterliebe;4397.362;4398.895
Geschwisterliebe;4528.3;4529.322
Geschwisterliebe;4528.981;4529.987
Geschwisterliebe;4529.663;4530.636
Geschwisterliebe;4530.311;4531.285
Geschwisterliebe;4538.98;4540.822
Geschwisterliebe;4539.72;4542.287
Geschwisterliebe;4541.184;4543.864
Geschwisterliebe;4542.664;4545.553
Geschwisterliebe;4551.96;4552.93
Geschwisterliebe;4552.445;4553.898
Geschwisterliebe;4553.415;4554.97
Geschwisterliebe;4554.435;4556.038
Geschwisterliebe;4555.505;4557.2
Geschwisterliebe;4556.62;4558.358
Geschwisterliebe;4695.18;4699.825
Geschwisterliebe;4697.12;4702.925
Geschwisterliebe;4700.59;4705.833
Geschwisterliebe;4707.31;4712.255
Geschwisterliebe;4711.264;4713.539
Liebe;385.25;391.887
Liebe;391.89;397.9092
Liebe;521.13;526.2575
Liebe;525.415;531.5875
Liebe;531.59;536.4078
Liebe;534.17;536.8167
Liebe;538.86;544.0974
Liebe;1504.855;1513.54
Liebe;1510.83;1521.08
Liebe;1518.62;1528.523
Liebe;3014.428;3019.437
Liebe;3018.598;3022.746
Liebe;3021.492;3025.24
Liebe;3024;3027.282
Liebe;3026.48;3029.751
Liebe;3028.888;3034.337
Liebe;3031.48;3036.778
Liebe;3207.579;3210.719
Liebe;3211.359;3214.386
Liebe;3221.06;3224.292
Liebe;3224.292;3228.025
Liebe;3330.026;3336.966
Liebe;3469.5;3479.096
Liebe;3479.1;3484.568
Liebe;3482.595;3488.36
Liebe;3486.54;3492.258
Liebe;3492.258;3502.655
Liebe;4016.5;4022.204
Liebe;4021.356;4025.378
Liebe;4569.22;4576.335
Liebe;4574.61;4581.173
Liebe;4578.06;4585.99
Liebe;4583.04;4587.755
Liebe;4598.82;4602.576
Nibelungenhass;2381.855;2384.749
Nibelungenhass;2384.867;2387.919
Nibelungenhass;2388.055;2391.126
Nibelungenhass;2391.26;2394.438
Nibelungenhass;2394.578;2397.865
Nibelungenhass;2398.009;2401.356
Nibelungenhass;2401.503;2404.589
Nibelungenhass;2404.722;2408.185
Nibelungenhass;2428.601;2431.479
Nibelungenhass;2431.605;2434.605
Nibelungenhass;2431.605;2434.479
Nibelungenhass;2434.605;2437.204
Nibelungenhass;2437.316;2440.354
Nibelungenhass;2440.354;2443.733
Riesen;1999.82;2001.36
Riesen;2008.28;2009.917
Ring;785.62;791.2475
Ring;790.65;796.55
Ring;1719.82;1727.576
Ring;1924.448;1929.96
Ring;1932.3;1938.897
Ring;1953.24;1959.137
