Motif;StartSec;EndSec
Feuerzauber;1964.8;1967.553
Feuerzauber;1968.98;1971.626
Feuerzauber;1973.04;1975.779
Feuerzauber;1977.02;1979.686
Feuerzauber;3582.76;3588.6
Feuerzauber;3590.4;3596.127
Feuerzauber;3616.4;3625.099
Feuerzauber;3625.104;3631.75
Feuerzauber;4332.26;4336.03
Feuerzauber;4396.06;4400.055
Feuerzauber;4411.34;4414.534
Feuerzauber;4455.58;4459.835
Horn;0.439;5.838257
Horn;5.841604;11.26846
Horn;31.591;39.86054
Horn;93.24701;97.61081
Horn;372.885;377.2277
Horn;1205.26;1209.283
Horn;1212.92;1218.839
Horn;1256.08;1261.218
Horn;1261.22;1266.038
Horn;1266.04;1268.554
Horn;1268.557;1271.105
Horn;1271.108;1273.617
Horn;1273.62;1278.458
Horn;1278.46;1280.818
Horn;1280.82;1283.148
Horn;1283.15;1288.378
Horn;1298.04;1304.49
Horn;1311.97;1314.947
Horn;1358.36;1360.457
Horn;1360.46;1362.47
Horn;1368.32;1371.117
Horn;1371.12;1373.817
Horn;1373.82;1376.098
Horn;2854.56;2856.744
Horn;2858.927;2860.834
Horn;2880.447;2882.003
Horn;2885.98;2887.315
Horn;2888.65;2889.925
Horn;3078;3079.22
Horn;3080.44;3081.83
Horn;3194.38;3195.8
Liebe;2594.855;2605.925
Liebe;2602.833;2616.862
Nibelungen;778.49;780.538
Nibelungen;780.54;782.6179
Nibelungen;1562.41;1565.745
Nibelungen;1569.9;1572.118
Nibelungen;1572.12;1574.053
Nibelungen;1574.055;1576.025
Nibelungen;1576.027;1578.138
Nibelungen;1597.94;1600.078
Nibelungen;1600.08;1601.978
Nibelungen;1607.86;1609.518
Nibelungen;1609.52;1611.278
Nibelungen;1623.7;1625.418
Nibelungen;1625.42;1627.212
Nibelungen;1627.213;1628.878
Nibelungen;1628.88;1630.658
Nibelungen;1630.66;1632.119
Nibelungen;1632.12;1632.99
Nibelungen;1826.7;1828.678
Nibelungen;1828.68;1830.398
Nibelungen;1830.4;1834.026
Nibelungen;1834.03;1837.437
Ring;504.03;508.338
Ring;508.34;510.368
Ring;510.37;512.5278
Ring;674.3;678.6177
Ring;678.62;683.2279
Ring;694.59;698.648
Ring;700.88;705.1079
Ring;726.1;728.7462
Ring;729.08;731.5753
Ring;731.89;734.2166
Ring;734.51;737.4071
Ring;738.925;743.3271
Ring;743.33;746.4269
Ring;758.77;761.4973
Ring;761.5;764.0574
Ring;847.07;851.6479
Ring;851.65;855.8678
Ring;866.9;870.1788
