Motif;StartSec;EndSec
Feuerzauber;3375.028;3377.398
Feuerzauber;3377.4;3379.578
Feuerzauber;3379.58;3381.778
Feuerzauber;3381.78;3383.953
Feuerzauber;3383.955;3387.277
Feuerzauber;3388.314;3391.61
Feuerzauber;3392.7;3394.958
Feuerzauber;3394.96;3397.038
Feuerzauber;3397.04;3399.218
Feuerzauber;3399.22;3401.777
Feuerzauber;3401.78;3404.158
Feuerzauber;3404.16;3406.498
Feuerzauber;3406.5;3408.773
Feuerzauber;3528.12;3530.418
Feuerzauber;3530.42;3532.651
Feuerzauber;3532.653;3535.217
Feuerzauber;3535.22;3537.018
Feuerzauber;3537.02;3539.86
Feuerzauber;3541.42;3544.41
Feuerzauber;3546.18;3548.463
Feuerzauber;3548.465;3550.778
Feuerzauber;3550.78;3552.04
Feuerzauber;4267.47;4270.318
Feuerzauber;4274.22;4277.095
Feuerzauber;4298.52;4302.84
Feuerzauber;4304.32;4307.783
Feuerzauber;4310.056;4314.23
Feuerzauber;4315.66;4319.191
Feuerzauber;4321.325;4324.707
Feuerzauber;4326.82;4329.557
Feuerzauber;4329.56;4332.377
Feuerzauber;4332.38;4336.096
Feuerzauber;4336.1;4339.676
Feuerzauber;4339.68;4343.356
Feuerzauber;4343.36;4347.181
Feuerzauber;4347.185;4350.896
Feuerzauber;4350.9;4354.496
Feuerzauber;4354.5;4357.877
Feuerzauber;4357.88;4361.476
Feuerzauber;4361.48;4364.817
Feuerzauber;4364.82;4368.676
Feuerzauber;4368.68;4372.716
Feuerzauber;4372.72;4376.296
Feuerzauber;4376.3;4380.116
Feuerzauber;4380.12;4383.936
Feuerzauber;4383.94;4387.576
Feuerzauber;4387.58;4391.176
Feuerzauber;4391.18;4394.896
Feuerzauber;4394.9;4398.956
Feuerzauber;4398.96;4402.796
Feuerzauber;4402.8;4406.536
Feuerzauber;4406.54;4410.156
Feuerzauber;4410.16;4413.836
Feuerzauber;4413.84;4417.436
Feuerzauber;4417.44;4421.056
Feuerzauber;4421.06;4425.076
Feuerzauber;4425.08;4428.696
Feuerzauber;4428.7;4432.137
Feuerzauber;4432.14;4435.768
Feuerzauber;4435.772;4439.416
Feuerzauber;4439.42;4443.276
Feuerzauber;4443.28;4446.916
Feuerzauber;4446.92;4450.456
Feuerzauber;4450.46;4454.116
Feuerzauber;4454.12;4457.736
Feuerzauber;4457.74;4461.476
Feuerzauber;4461.48;4465.136
Feuerzauber;4465.14;4468.716
Feuerzauber;4468.72;4472.496
Feuerzauber;4472.5;4476.196
Feuerzauber;4476.2;4480.006
Feuerzauber;4480.01;4483.758
Feuerzauber;4483.761;4487.996
Feuerzauber;4488;4490.118
Feuerzauber;4490.12;4494.835
Feuerzauber;4494.84;4497.537
Geschwisterliebe;423.26;428.5887
Geschwisterliebe;618.09;619.6912
Geschwisterliebe;925.28;927.3823
Geschwisterliebe;927.88;930.4158
Liebe;2973.34;2983.355
Ring;877.7633;882.0079
Ritt;9.671178;10.79333
Ritt;11.35212;12.46633
Ritt;13.07773;14.29717
Ritt;14.85745;15.97433
Ritt;16.56975;17.75722
Ritt;18.33875;19.49826
Ritt;20.11239;21.33716
Ritt;21.91808;23.07624
Ritt;29.18005;30.41415
Ritt;31.00841;32.19322
Ritt;32.79807;34.0042
Ritt;34.6114;35.82218
Ritt;41.91473;43.12619
Ritt;43.68278;44.79233
Ritt;45.3984;46.60719
Ritt;47.17377;48.30329
Ritt;48.9317;50.18512
Ritt;54.44909;55.60526
Ritt;56.23737;57.49811
Ritt;58.14336;59.43007
Ritt;65.64304;66.91908
Ritt;124.246;125.5381
Ritt;126.1694;127.4281
Ritt;129.9243;131.233
Ritt;131.861;133.1131
Ritt;133.7161;134.9182
Ritt;188.9861;190.1982
Ritt;190.8061;192.0182
Ritt;192.5961;193.7483
Ritt;194.3561;195.5682
Ritt;196.186;197.4181
Ritt;198.0194;199.2182
Ritt;199.8028;200.9682
Ritt;201.5761;202.7882
Ritt;203.3628;204.5083
Ritt;205.146;206.4181
Ritt;207.0327;208.2582
Ritt;208.8461;210.0182
Ritt;210.6161;211.8082
Ritt;212.3994;213.5782
Ritt;214.1961;215.4281
Ritt;216.0361;217.2482
Ritt;217.8128;218.9383
Ritt;219.6193;220.978
Ritt;221.5494;222.6883
Ritt;223.3393;224.638
Ritt;393.6927;394.8583
Ritt;395.2696;396.0888
Ritt;396.5196;397.3787
Ritt;397.8295;398.7287
Ritt;399.1596;400.0187
Ritt;400.4129;401.1988
Ritt;401.6529;402.5586
Ritt;402.9629;403.7688
Ritt;404.1929;405.0387
Ritt;405.4796;406.3587
Ritt;406.7829;407.6287
Ritt;408.0795;408.9787
Ritt;409.4029;410.2487
Ritt;410.6729;411.5187
