Motif;StartSec;EndSec
Feuerzauber;3788.275;3791.815
Feuerzauber;3794.14;3797.79
Feuerzauber;3893.1;3896.925
Feuerzauber;3899.16;3902.495
Horn;535.23;537.01
Horn;538.6;540.28
Horn;541.84;543.0588
Horn;543.06;544.2089
Horn;544.21;544.78
Horn;544.78;545.3489
Horn;545.35;545.885
Horn;545.885;546.4189
Horn;546.42;548.12
Horn;550.79;552.0487
Horn;552.05;553.2788
Horn;553.28;554.825
Horn;556.5;557.5989
Horn;557.6;558.7688
Horn;558.77;559.8789
Horn;559.88;560.909
Horn;560.91;561.909
Horn;561.91;563.1288
Horn;569.12;570.159
Horn;570.16;571.3688
Horn;571.37;571.975
Horn;571.975;572.5788
Horn;572.58;573.125
Horn;573.125;573.6689
Horn;573.67;574.9487
Horn;574.95;575.989
Horn;576.575;577.1588
Horn;577.8;578.4387
Horn;597.17;600.8954
Horn;815.23;817.5889
Horn;4099.88;4101.49
Horn;4103.16;4104.93
Horn;4136.78;4138.57
Horn;4145.92;4147.059
Horn;4147.06;4148.339
Horn;4148.34;4149.93
Horn;4152.56;4153.779
Horn;4153.78;4154.899
Horn;4156.04;4157.66
Horn;4172.98;4174.75
Horn;4176.44;4177.992
Horn;5121.84;5123.579
Horn;5123.02;5124.679
Horn;5125.12;5126.739
Horn;5127.24;5128.919
Jugendkraft;638.97;640.2894
Jugendkraft;640.29;641.6993
Jugendkraft;641.7;642.3394
Jugendkraft;642.34;643.0093
Jugendkraft;643.01;643.6893
Jugendkraft;643.69;644.3593
Jugendkraft;647.05;648.4093
Jugendkraft;649.81;651.0393
Jugendkraft;652.45;653.0694
Jugendkraft;653.07;653.7693
Jugendkraft;653.77;654.4893
Jugendkraft;654.49;655.1094
Jugendkraft;655.11;655.7993
Jugendkraft;655.8;656.4494
Jugendkraft;656.45;657.1093
Jugendkraft;657.11;657.7993
Jugendkraft;657.8;658.4793
Jugendkraft;658.48;659.1194
Jugendkraft;659.12;659.9092
Jugendkraft;659.91;660.4894
Jugendkraft;660.49;661.9092
Jugendkraft;663.22;664.5093
Jugendkraft;664.51;665.9793
Jugendkraft;665.98;666.6393
Jugendkraft;666.64;667.2894
Jugendkraft;679.93;681.4893
Jugendkraft;682.72;684.1492
Jugendkraft;684.15;685.5093
Jugendkraft;685.51;686.1394
Jugendkraft;686.14;686.8293
Jugendkraft;686.83;687.4794
Jugendkraft;687.48;688.1593
Jugendkraft;690.91;692.2593
Jugendkraft;692.26;693.6293
Jugendkraft;693.63;695.0693
Jugendkraft;695.07;696.4593
Jugendkraft;696.46;697.7993
Jugendkraft;697.8;699.2792
Jugendkraft;699.28;700.6093
Jugendkraft;700.61;702.0992
Jugendkraft;731.95;733.4492
Jugendkraft;761.81;763.1993
Jugendkraft;897.4363;898.796
Jugendkraft;904.8563;906.2894
Jugendkraft;912.2063;913.6126
Jugendkraft;919.5896;921.0693
Jugendkraft;921.763;922.429
Jugendkraft;922.43;923.2492
Jugendkraft;923.25;923.8994
Jugendkraft;923.9;924.4594
Jugendkraft;924.46;925.1693
Jugendkraft;925.17;925.8393
Jugendkraft;925.84;926.5493
Jugendkraft;926.55;927.1594
Jugendkraft;927.16;927.7794
Jugendkraft;927.78;928.5193
Jugendkraft;928.52;929.1993
Jugendkraft;947.61;949.1492
Jugendkraft;949.15;950.4893
Jugendkraft;956.35;957.8592
Jugendkraft;1246.845;1247.9
Jugendkraft;1341.1;1342.534
Jugendkraft;1342.535;1343.999
Jugendkraft;1344;1345.379
Jugendkraft;1774.12;1775.459
Jugendkraft;1775.46;1776.819
Jugendkraft;1776.82;1778.099
Jugendkraft;1778.1;1779.439
Jugendkraft;1779.44;1780.699
Jugendkraft;1780.7;1781.959
Jugendkraft;1781.96;1783.259
Jugendkraft;1783.26;1784.559
Jugendkraft;1821.62;1822.659
Jugendkraft;1822.986;1824.373
Jugendkraft;1825.066;1826.439
Jugendkraft;1827.153;1828.473
Jugendkraft;1829.126;1829.819
Jugendkraft;3283.84;3285.259
Jugendkraft;3285.26;3286.599
Jugendkraft;3286.6;3287.959
Jugendkraft;3287.96;3288.599
Jugendkraft;3288.6;3289.224
Jugendkraft;3289.225;3289.718
Jugendkraft;3289.719;3290.375
Jugendkraft;3290.376;3291.099
Jugendkraft;3291.1;3291.839
Jugendkraft;3291.84;3293.119
Jugendkraft;3293.12;3294.481
Jugendkraft;3294.481;3295.799
Jugendkraft;3295.8;3297.179
Jugendkraft;3297.18;3298.519
Jugendkraft;3298.52;3299.899
Jugendkraft;3299.9;3301.159
Jugendkraft;3553.84;3554.559
Jugendkraft;3554.56;3555.119
Jugendkraft;3555.12;3555.819
Jugendkraft;3555.82;3556.459
Jugendkraft;3558.54;3559.139
Jugendkraft;3559.14;3559.879
Jugendkraft;3559.88;3560.579
Jugendkraft;3560.58;3561.159
Jugendkraft;3561.16;3561.859
Jugendkraft;3568.147;3568.763
Jugendkraft;3569.38;3570.06
Jugendkraft;3570.74;3572.238
Jugendkraft;3601.14;3601.79
Jugendkraft;3602.44;3603.16
Jugendkraft;3603.88;3604.6
Jugendkraft;3604.6;3605.319
Jugendkraft;3625.86;3626.61
Jugendkraft;3626.61;3627.359
