Motif;StartSec;EndSec
Feuerzauber;2014.54;2016.993
Feuerzauber;2018.28;2020.706
Feuerzauber;2021.96;2024.313
Feuerzauber;2025.58;2028.026
Feuerzauber;3718.38;3724.49
Feuerzauber;3726.48;3732.582
Feuerzauber;3752.74;3761.376
Feuerzauber;3761.38;3767.82
Feuerzauber;4478.3;4482.005
Feuerzauber;4541.14;4544.69
Feuerzauber;4554.44;4557.297
Feuerzauber;4593.84;4597.755
Horn;2.1678;7.338517
Horn;7.341604;11.79391
Horn;29.911;37.30054
Horn;89.70701;93.87469
Horn;389.19;393.5277
Horn;1280.14;1283.501
Horn;1286.43;1291.719
Horn;1326.68;1331.103
Horn;1331.105;1335.678
Horn;1335.68;1337.758
Horn;1337.76;1340.018
Horn;1340.02;1342.324
Horn;1342.327;1346.918
Horn;1346.92;1349.038
Horn;1349.04;1351.418
Horn;1351.42;1355.918
Horn;1365.02;1370.86
Horn;1377.6;1380.302
Horn;1422.295;1424.018
Horn;1424.02;1425.82
Horn;1431.1;1433.478
Horn;1433.48;1435.878
Horn;1435.88;1438.038
Horn;2971.8;2973.652
Horn;2975.505;2977.262
Horn;2998.047;2999.443
Horn;3003.3;3004.54
Horn;3005.78;3006.91
Horn;3185.145;3186.233
Horn;3187.32;3188.34
Horn;3311.04;3312.43
Liebe;2697.265;2707.97
Liebe;2704.84;2719.095
Nibelungen;824.71;826.6581
Nibelungen;826.66;828.7479
Nibelungen;1622.47;1625.678
Nibelungen;1629.38;1631.438
Nibelungen;1631.44;1633.198
Nibelungen;1633.2;1635.284
Nibelungen;1635.287;1637.378
Nibelungen;1655.54;1657.458
Nibelungen;1657.46;1659.294
Nibelungen;1664.56;1666.258
Nibelungen;1666.26;1667.938
Nibelungen;1679.461;1680.939
Nibelungen;1680.94;1682.678
Nibelungen;1682.68;1684.218
Nibelungen;1684.22;1685.938
Nibelungen;1685.94;1687.658
Nibelungen;1687.66;1688.43
Nibelungen;1880.12;1881.758
Nibelungen;1881.76;1883.338
Nibelungen;1883.34;1886.677
Nibelungen;1886.68;1889.777
Ring;539.39;543.178
Ring;543.18;544.9882
Ring;544.99;546.958
Ring;723.22;726.9381
Ring;726.94;731.1079
Ring;742.61;746.9279
Ring;749.34;754.1276
Ring;776.46;778.7954
Ring;779.09;781.4066
Ring;781.6988;784.0975
Ring;784.4;786.9807
Ring;788.3117;792.5071
Ring;792.51;795.1374
Ring;806.024;808.5974
Ring;808.6;811.3572
Ring;893.51;897.7079
Ring;897.71;901.808
Ring;912.96;916.9937
Ring;922.85;926.8325
Ring;927.86;934.4747
Ring;1005.26;1007.441
Ring;1007.441;1010.168
Ring;1096.54;1099.008
Ring;1099.01;1101.534
Ring;1101.537;1103.938
Ring;1103.94;1106.298
Ring;1106.3;1108.857
Ring;1108.86;1111.397
Ring;1111.4;1113.858
Ring;1113.86;1116.318
Ring;1116.32;1118.598
Ring;1118.6;1121.157
Ring;3384.62;3387.452
Ring;3392.837;3395.912
Ring;3397.3;3399.738
Ring;3399.74;3401.819
Ring;3416.073;3418.302
Ring;3418.62;3420.422
Ring;3420.68;3421.76
Ring;3421.76;3422.818
Ring;4231.34;4233.904
Ring;4236;4240.778
Ring;4322.9;4327.138
Schicksal;856.58;863.01
Schicksal;2169.14;2177.558
Schicksal;2211.06;2223.374
Schicksal;2228.94;2241.374
Schicksal;2369.08;2378.336
Schicksal;2484.76;2498.234
Schicksal;3052.2;3064.014
Schicksal;3481.147;3488.557
Schicksal;3495.7;3504.496
Schicksal;3626.5;3636.235
Schicksal;3641.024;3648.796
Schicksal;3653.58;3663.415
Schicksal;3997.853;4005.217
Schicksal;4010.018;4013.455
Schicksal;4017.14;4023.07
Schicksal;4024.62;4027.598
Schicksal;4030.117;4033.515
Schicksal;4032.54;4036.917
Schicksal;4045.36;4060.435
Schicksal;4064.58;4073.656
Schicksal;4078.3;4088.744
Schwert;937.8757;940.7675
Schwert;1700.729;1702.738
Schwert;2743.692;2753.23
Schwert;3432.765;3442.875
Schwert;3878.995;3884.268
Siegfried;930.2575;934.4747
Siegfried;2137.216;2142.498
Siegfried;2406.196;2410.261
Siegfried;2414.311;2418.002
Siegfried;2422.197;2428.65
Siegfried;2430.289;2434.825
Siegfried;2778.405;2803.094
Siegfried;2814.675;2833.774
Siegfried;3189.105;3193.905
Siegfried;3722.5;3742.325
Siegfried;3760.824;3777.245
Siegfried;4452.997;4457.292
Siegfried;4458.642;4467.61
Siegfried;4520.055;4534.56
Siegfried;4721.475;4727.197
Vertrag;906.7539;909.655
Vertrag;4340.345;4346.757
Waberlohe;2062.121;2066.71
Waberlohe;2065.594;2070.809
Waberlohe;2068.864;2073.765
Waberlohe;2071.788;2076.343
Waberlohe;2074.675;2078.726
Waberlohe;2077.152;2080.43
Waberlohe;2079.555;2082.963
Waberlohe;2082.146;2086.538
Waldweben;1765.52;1767.618
Waldweben;1767.62;1770.157
Waldweben;1770.16;1772.318
Waldweben;1772.32;1775.017
Waldweben;1775.02;1777.338
Waldweben;1777.34;1779.625
Waldweben;1779.627;1781.818
Waldweben;1781.82;1784.457
Waldweben;1784.46;1786.838
Waldweben;1786.84;1789.657
Waldweben;1789.66;1791.988
Waldweben;1791.99;1794.338
Waldweben;1794.34;1796.718
Waldweben;1796.72;1799.018
Waldweben;1799.02;1801.158
Waldweben;1801.16;1804.321
Waldweben;1804.324;1806.997
Waldweben;1807;1809.517
Waldweben;1809.52;1811.998
Waldweben;1822.46;1824.977
Waldweben;1824.98;1827.298
Waldweben;1827.3;1829.578
Waldweben;1829.58;1832.038
Waldweben;1832.04;1834.318
Waldweben;1834.32;1836.778
Waldweben;1836.78;1839.238
Waldweben;1839.24;1841.777
Waldweben;1841.78;1843.958
Waldweben;1843.96;1846.617
Waldweben;1846.62;1848.918
Waldweben;1848.92;1851.857
Waldweben;1851.86;1854.497
Waldweben;1854.5;1857.817
Waldweben;1857.82;1860.757
Waldweben;1860.76;1863.477
Waldweben;1863.48;1866.157
Waldweben;1866.16;1868.558
Waldweben;1961.98;1963.958
Waldweben;1963.96;1966.557
Waldweben;1966.56;1968.798
Waldweben;1968.8;1970.798
Waldweben;1970.8;1973.317
Waldweben;1973.32;1976.097
Waldweben;1976.1;1978.358
Waldweben;1978.36;1981.037
Walhall-b;4162.6;4169.606
Walhall-b;4712.56;4717.938
Walhall-b;4717.94;4727.197
