Motif;StartSec;EndSec
Geschwisterliebe;412.69;423.4074
Geschwisterliebe;675.384;685.0813
Geschwisterliebe;688.08;692.2317
Geschwisterliebe;699.2654;708.6606
Geschwisterliebe;703.88;710.1051
Geschwisterliebe;1035.181;1040.594
Geschwisterliebe;2004.78;2014.46
Geschwisterliebe;2022.12;2032.576
Geschwisterliebe;2027.86;2037.712
Geschwisterliebe;2033.04;2040.358
Geschwisterliebe;3329.92;3332.46
Geschwisterliebe;3333.742;3337.185
Geschwisterliebe;3342.48;3347.819
Geschwisterliebe;3361.58;3364.586
Geschwisterliebe;3368.82;3371.75
Geschwisterliebe;3370.54;3373.556
Liebe;423.89;428.75
Liebe;427.01;432.445
Liebe;647.67;652.965
Liebe;661.7484;666.66
Liebe;664.93;670.1
Liebe;668.39;673.597
Liebe;759.28;766.55
Liebe;764.83;773.3124
Liebe;887.47;892.975
Liebe;891.21;896.6433
Liebe;894.74;900.1233
Liebe;1171.078;1176.176
Liebe;1174.733;1180.717
Liebe;1460.5;1465.839
Liebe;1464.02;1469.479
Liebe;1546.291;1551.695
Liebe;2223.733;2228.297
Liebe;2233.625;2239.12
Liebe;2966.2;2970.978
Liebe;2970.98;2976.118
Liebe;2984.98;2989.466
Liebe;2989.468;2994.198
Liebe;2994.2;2998.538
Liebe;2998.54;3003.018
Liebe;3013.98;3016.584
Liebe;3017.98;3020.759
Liebe;3026.072;3029.622
Liebe;3060.64;3064.898
Liebe;3064.9;3068.585
Liebe;3097.258;3100.805
Liebe;3105.84;3109.492
Liebe;3132.66;3135.022
Liebe;3191.065;3195.309
Liebe;3193.8;3198.671
Liebe;3219.9;3223.778
Liebe;3222.08;3226.278
Liebe;3375.527;3379.641
Liebe;3639.19;3642.956
Liebe;3642.345;3645.77
Liebe;3671.6;3673.37
Liebe;3672.62;3674.032
Liebe;3687.96;3689.105
Liebe;3688.458;3690.283
Liebe;3689.552;3690.683
Schwert;2040;2047.117
Schwert;2047.117;2055.675
Schwert;2061.66;2071.367
Schwert;2126.423;2129.996
Schwert;2150.7;2153.877
Schwert;2162.005;2165.485
Schwert;2170.02;2175.217
Schwert;2288.405;2293.098
Schwert;2304.32;2308.618
Schwert;2316.262;2320.538
Schwert;2330.9;2335.943
Schwert;2348.63;2353.418
Schwert;2353.142;2357.718
Schwert;2372.355;2376.782
Schwert;2396.46;2401.117
Schwert;2417.993;2422.738
Schwert;2518.766;2522.878
Schwert;2628.106;2633.473
Schwert;2632.446;2636.955
Schwert;2636.607;2641.138
Schwert;2640.777;2645.318
Schwert;2644.979;2649.138
Schwert;2654.929;2662.456
Schwert;2694.68;2702.016
Schwert;3381.007;3384.405
Schwert;3384.733;3388.065
Schwert;3509.575;3511.059
Schwert;3512.44;3514.52
Schwert;3518.17;3520.12
Schwert;3521.12;3525.34
Schwert;3586.36;3591.101
Schwert;3591.586;3595.059
Schwert;3628.823;3632.586
Schwert;3682.799;3685.499
Schwert;3685.499;3687.959
Vertrag;1054.426;1063.997
Vertrag;2187.58;2192.838
Vertrag;3521.32;3525.34
Walhall-b;1438.9;1446.159
Walhall-b;2565.285;2568.557
Walhall-b;2571.88;2574.877
Walhall-b;2574.88;2578.117
Walhall-b;2578.12;2580.899
Walhall-b;2580.902;2583.817
Walhall-b;2583.82;2586.645
Walhall-b;2586.648;2589.417
Walhall-b;2589.42;2592.237
Walhall-b;2595.2;2598.297
Walhall-b;2601.468;2604.197
Walhall-b;2708.98;2711.777
Walhall-b;2714.08;2716.458
Walhall-b;2718.72;2721.217
Walhall-b;2723.528;2725.818
Walhall-b;3264.1;3266.51
Walhall-b;3269.14;3271.931
Walhall-b;3271.933;3274.777
Walhall-b;3274.78;3277.551
Walhall-b;3277.554;3280.474
Walhall-b;3280.477;3284.556
Walhall-b;3390.9;3393.085
Walhall-b;3395.204;3397.167
Walhall-b;3399.398;3401.937
Walhall-b;3404.028;3406.018
Walhall-b;3407.72;3409.735
Walhall-b;3411.298;3413.038
Walhall-b;3414.54;3416.398
Walhall-b;3465.216;3466.421
Walhall-b;3466.421;3467.66
Walhall-b;3467.66;3469.48
