Motif;StartSec;EndSec
Horn;2328.06;2332.078
Horn;2333.26;2335.754
Horn;2343.61;2346.958
Horn;2401.6;2404.339
Horn;2404.34;2407.019
Horn;2409.709;2412.159
Horn;2428.115;2430.09
Horn;2562.52;2564.679
Horn;2581.86;2584.159
Horn;3739.59;3741.137
Horn;3742.51;3743.877
Horn;3745.34;3746.797
Horn;3748.14;3749.477
Horn;3750.818;3753.528
Horn;3754.9;3757.417
Horn;3758.78;3762.637
Horn;3766.36;3767.657
Horn;3768.93;3770.197
Horn;3771.55;3772.897
Horn;3774.2;3775.497
Horn;3776.85;3778.197
Horn;3779.53;3780.857
Horn;3782.16;3783.457
Horn;3784.835;3786.207
Horn;3787.615;3789.017
Horn;3790.33;3791.637
Horn;3793.26;3794.877
Jugendkraft;1386.406;1389.112
Jugendkraft;1389.8;1392.265
Jugendkraft;1577.9;1579.279
Jugendkraft;1579.28;1580.499
Jugendkraft;1580.5;1581.829
Mime;1637.117;1639.095
Mime;1639.52;1640.6
Mime;1640.96;1641.76
Mime;1641.76;1642.558
Mime;1642.56;1643.36
Mime;1643.36;1644.158
Mime;1644.16;1644.9
Mime;1644.9;1645.639
Mime;1646.45;1647.258
Mime;1648.03;1648.798
Mime;1649.641;1650.48
Mime;1719.9;1720.6
Mime;1720.6;1721.299
Mime;1721.3;1722.02
Mime;1722.02;1722.739
Mime;1722.74;1723.51
Mime;1723.51;1724.278
Mime;1724.28;1725.12
Mime;1725.12;1725.958
Mime;1725.96;1726.72
Mime;1726.72;1727.478
Mime;1727.48;1728.3
Mime;1728.3;1729.118
Mime;1729.12;1730.04
Mime;1730.04;1730.958
Mime;1730.96;1731.77
Mime;1731.77;1732.578
Nibelungen;1401.433;1402.898
Nibelungen;1403.646;1405.138
Nibelungen;1686.05;1687.338
Nibelungen;1687.34;1688.265
Nibelungen;1815.82;1818.418
Nibelungen;1819.19;1821.578
Nibelungen;1821.58;1823.218
Nibelungen;1823.22;1824.818
Nibelungen;1824.82;1826.418
Nibelungen;1826.42;1827.918
Nibelungen;1827.92;1829.319
Nibelungen;3057.58;3058.779
Nibelungen;3062.82;3064.119
Nibelungen;3709.585;3711.577
Nibelungen;3714.915;3716.877
Nibelungen;3717.55;3718.22
Nibelungen;3738.04;3739.977
Nibelungen;3741.14;3742.852
Nibelungen;3743.88;3745.705
Nibelungen;3746.8;3748.475
Nibelungen;3749.48;3751.152
Nibelungen;3753.528;3754.897
Nibelungen;3757.42;3758.78
Nibelungen;3765.06;3766.685
Nibelungen;3767.66;3769.247
Nibelungen;3770.2;3771.887
Nibelungen;3772.9;3774.525
Nibelungen;3775.5;3777.188
Nibelungen;3778.2;3779.863
Nibelungen;3780.86;3782.485
Nibelungen;3783.46;3785.179
Nibelungen;3786.21;3787.966
Nibelungen;3789.02;3790.657
Nibelungen;3791.64;3793.665
Nibelungen;3878.12;3880.525
Nibelungen;3884.72;3887.09
Nibelungen;4013.198;4014.87
Nibelungen;4017.019;4018.61
Nibelungen;4020.979;4022.892
Nibelungenhass;235.7413;238.509
Nibelungenhass;238.6325;241.2741
Nibelungenhass;241.3887;244.129
Nibelungenhass;244.25;247.0507
Nibelungenhass;247.1737;249.9974
Nibelungenhass;250.1213;252.6743
Nibelungenhass;252.7844;255.4928
Nibelungenhass;255.6128;258.0525
Nibelungenhass;258.1575;260.5608
Nibelungenhass;260.6662;263.0875
Nibelungenhass;263.1938;266.0187
Nibelungenhass;266.1451;268.6777
Nibelungenhass;268.7864;270.859
Nibelungenhass;334.4281;337.2356
Nibelungenhass;337.365;340.0408
Nibelungenhass;340.1562;342.9074
Nibelungenhass;343.0288;345.5141
Nibelungenhass;345.6212;348.2641
Nibelungenhass;348.3813;350.9958
Nibelungenhass;351.11;353.4825
Nibelungenhass;353.585;355.9308
Nibelungenhass;356.0337;358.6641
Nibelungenhass;358.7812;360.9709
Nibelungenhass;471.9627;474.3408
Nibelungenhass;474.4512;476.8792
Nibelungenhass;476.985;478.775
Nibelungenhass;478.2487;479.8275
Nibelungenhass;672.39;674.6442
Nibelungenhass;674.7437;676.9975
Nibelungenhass;677.0962;679.2642
Nibelungenhass;696.1037;698.6858
Nibelungenhass;701.605;704.2924
Nibelungenhass;713.3925;716.0408
Nibelungenhass;716.1537;718.5184
Nibelungenhass;718.6206;721.3948
Nibelungenhass;721.5194;723.6976
Nibelungenhass;723.7887;726.3507
Nibelungenhass;726.4662;728.601
Nibelungenhass;728.6913;730.8926
Nibelungenhass;730.99;733.0876
Nibelungenhass;1304.255;1307.346
Nibelungenhass;1310.694;1313.674
Nibelungenhass;2613.873;2616.343
Nibelungenhass;2617.145;2619.431
Nibelungenhass;2620.249;2623.039
Nibelungenhass;2623.95;2626.575
Nibelungenhass;2627.467;2630.242
Nibelungenhass;2631.205;2634.325
Nibelungenhass;2635.322;2638.052
Nibelungenhass;2638.952;2641.592
Nibelungenhass;2642.484;2645.231
Nibelungenhass;2646.142;2648.852
Nibelungenhass;2649.764;2652.558
Nibelungenhass;2683.991;2686.076
Nibelungenhass;2686.845;2689.605
Nibelungenhass;2690.459;2692.619
Nibelungenhass;2693.372;2695.826
Nibelungenhass;2696.625;2698.911
Nibelungenhass;2699.691;2702.136
Nibelungenhass;2702.947;2705.362
Nibelungenhass;2764.915;2767.831
Nibelungenhass;2767.994;2771.162
Nibelungenhass;2771.297;2774.732
Nibelungenhass;2774.885;2778.222
Nibelungenhass;2778.368;2781.582
Nibelungenhass;2781.722;2784.946
Nibelungenhass;2785.087;2788.267
Nibelungenhass;2788.406;2791.681
Nibelungenhass;2791.826;2794.991
Riesen;2708.68;2710.56
Riesen;2710.56;2712.853
Riesen;2715.747;2717.792
Riesen;2719.02;2721.07
Riesen;2728.496;2730.118
Riesen;2730.118;2731.737
Ring;112.3795;120.3252
Ring;135.34;142.649
Ring;259.725;265.3922
Ring;265.7687;272.915
Ring;730.12;735.76
Ring;735.76;740.3476
Ring;1088;1091.818
Ring;1091.82;1095.498
Ring;1147.72;1150.395
Ring;2731.74;2734.289
Ring;2735.139;2737.675
Ring;2738.52;2741.495
Ring;3115.56;3120.189
Ring;3120.44;3125.045
Ring;3125.3;3129.693
Ring;3129.98;3134.649
Ring;3134.94;3139.356
Ring;3848.12;3854.684
Ring;3854.688;3860.837
Ritt;375.5386;376.5867
Ritt;377.2216;378.4881
Ritt;379.106;380.3381
Ritt;380.9061;382.0383
Ritt;382.6261;383.7982
Ritt;384.3927;385.5782
Ritt;386.1228;387.2084
Ritt;387.7927;388.9582
Ritt;389.4928;390.5584
Ritt;391.1194;392.2383
Ritt;392.7595;393.7984
Ritt;394.3561;395.4683
Ritt;396.0561;397.2282
Ritt;397.8094;398.9683
Ritt;399.5603;400.7409
Ritt;401.2712;402.3284
Ritt;402.9028;404.0483
Ritt;404.6194;405.7583
Ritt;406.3261;407.4583
Ritt;1227.445;1228.375
Ritt;1229.305;1230.235
Ritt;1231.17;1232.11
Ritt;1233.05;1233.99
Ritt;1234.932;1235.876
Ritt;1236.816;1237.752
Ritt;1238.715;1239.705
Ritt;1240.675;1241.625
Ritt;1242.603;1243.608
Ritt;1244.573;1245.498
Ritt;1246.44;1247.4
Ritt;1248.395;1249.425
Ritt;1250.38;1251.26
Ritt;1252.145;1253.035
Ritt;1254.075;1255.265
Ritt;1256.32;1257.24
Schwert;807.63;812.2844
Schwert;1084.082;1086.078
Schwert;1217.788;1220.485
Schwert;2143.902;2147.713
Schwert;2422.882;2425.878
Schwert;2551.317;2553.996
Schwert;2596.504;2598.959
Schwert;2759.66;2765.078
Schwert;2870.741;2873.639
Schwert;3183.725;3188.298
Siegfried;2358.278;2367.386
Siegfried;2371.028;2385.859
Siegfried;2664.79;2675.86
Siegfried;2674.375;2682.115
Siegfried;2829.119;2841.31
Siegfried;4213.273;4219.438
Unmuth;834.485;844.44
Vertrag;606.39;610.8478
Vertrag;662.49;668.7425
Waberlohe;1405.14;1409.465
Waberlohe;1413.18;1418.287
Waberlohe;1420.704;1425.798
Waberlohe;1423.34;1427.7
Waberlohe;1425.8;1430.83
Waberlohe;1599.7;1602.25
Waberlohe;1601.48;1603.4
Waberlohe;1603.02;1604.935
Waberlohe;1604.54;1606.515
Waberlohe;4222.119;4225.779
Waberlohe;4224.11;4227.094
Waberlohe;4226.78;4232.397
Waberlohe;4229.296;4232.735
Waldweben;1735.16;1739.458
Waldweben;1739.46;1743.418
Waldweben;1760.2;1764.518
Waldweben;1764.52;1768.593
Waldweben;1768.595;1772.818
Waldweben;1772.82;1777.218
Waldweben;1777.22;1781.058
Waldweben;1781.06;1785.398
Waldweben;1785.4;1789.598
Waldweben;1789.6;1793.658
Waldweben;1793.66;1797.751
Waldweben;1797.753;1801.958
Waldweben;1801.96;1806.298
Waldweben;1806.3;1810.798
Waldweben;1835.04;1839.782
Waldweben;1839.785;1844.378
Waldweben;1844.38;1848.016
Waldweben;1848.02;1850.238
Waldweben;1850.24;1851.998
Waldweben;1852;1855.177
Waldweben;1855.18;1857.777
Waldweben;1857.78;1860.397
Waldweben;1871.995;1874.837
Waldweben;1874.84;1877.158
Waldweben;1877.16;1879.298
Waldweben;1879.3;1881.538
Waldweben;1881.54;1884.018
Waldweben;1884.02;1886.418
Waldweben;1886.42;1888.997
Waldweben;2010.06;2015.617
Waldweben;2015.62;2020.44
Waldweben;2020.442;2022.698
Waldweben;2022.7;2025.797
Waldweben;2025.8;2030.954
Waldweben;2030.956;2033.158
Waldweben;2033.16;2039.237
Waldweben;2039.24;2044.177
Waldweben;2044.18;2046.659
Waldweben;2046.662;2049.337
Waldweben;2049.34;2051.498
Waldweben;2051.5;2054.257
Waldweben;2054.26;2056.738
Waldweben;2056.74;2059.158
Waldweben;2059.16;2061.947
Waldweben;2061.95;2064.763
Waldweben;2064.766;2067.617
Waldweben;2067.62;2069.858
Waldweben;2069.86;2072.877
Waldweben;2072.88;2075.557
Waldweben;2078.22;2080.398
Waldweben;2080.4;2082.977
Waldweben;2082.98;2085.837
Waldweben;2085.84;2087.538
Waldweben;2087.54;2089.498
Waldweben;2089.5;2091.898
Waldweben;2091.9;2094.018
Waldweben;2094.02;2096.178
Waldweben;2096.18;2099.117
Waldweben;2099.12;2101.538
Waldweben;2101.54;2104.097
Waldweben;2243.3;2245.897
Waldweben;2245.9;2247.918
Waldweben;2247.92;2250.477
Waldweben;2250.48;2252.487
Waldweben;2252.489;2255.059
Waldweben;2255.061;2257.478
Waldweben;2257.48;2259.638
Waldweben;2259.64;2261.598
Waldweben;2261.6;2263.918
Waldweben;2263.92;2266.378
Waldweben;2266.38;2268.378
Waldweben;2268.38;2270.578
Waldweben;2877.8;2879.998
Waldweben;2880;2881.891
Waldweben;2881.893;2884.338
Waldweben;2884.34;2886.418
Waldweben;2886.42;2888.818
