Motif;StartSec;EndSec
Horn;417.5519;420.1283
Horn;420.1308;424.5577
Horn;762.42;765.9
Horn;788.77;790.5382
Horn;790.54;792.528
Horn;792.53;794.3782
Horn;794.38;796.2481
Horn;968.5946;971.6181
Horn;972.1728;975.2026
Horn;975.8424;978.8782
Horn;978.88;982.3784
Horn;1255.24;1258.299
Horn;1261.42;1264.279
Horn;1264.28;1270.189
Horn;3066.66;3067.98
Horn;3522.6;3525.638
Liebe;2634.76;2640.315
Mannen;1134.88;1137.039
Mannen;1137.04;1137.919
Mannen;1137.92;1138.839
Mannen;1138.84;1140.759
Mannen;1140.76;1141.779
Mannen;1141.78;1142.699
Mannen;1142.7;1143.659
Mannen;1143.66;1144.459
Mannen;1144.46;1145.479
Mannen;1145.48;1146.379
Mannen;1146.38;1147.479
Mannen;1147.48;1148.339
Mannen;1148.34;1149.299
Mannen;1149.3;1150.219
Mannen;1150.22;1151.059
Mannen;1151.06;1152.039
Mannen;1152.04;1152.979
Mannen;1152.98;1154.818
Mannen;1154.819;1156.999
Mannen;1157;1157.919
Mannen;1157.92;1158.819
Mannen;1158.82;1159.799
Mannen;1159.8;1160.779
Mannen;1161.78;1162.699
Mannen;1163.9;1164.645
Mannen;1164.646;1165.619
Mannen;1165.62;1166.619
Mannen;1219.11;1221.079
Mannen;1221.08;1222.039
Mannen;1222.04;1222.959
Mannen;1222.96;1223.899
Mannen;1223.9;1224.979
Mannen;1224.98;1226.772
Mannen;1231.78;1233.459
Mannen;1233.46;1235.259
Mannen;1235.26;1236.219
Mannen;1236.22;1237.179
Mannen;1237.18;1238.139
Mannen;1238.14;1239.119
Mannen;1239.12;1240.059
Mannen;1240.06;1240.919
Mannen;1271.404;1272.279
Mannen;1272.28;1273.279
Mannen;1273.28;1274.259
Mannen;1274.26;1275.219
Mannen;1275.22;1277.059
Mannen;1277.06;1277.939
Mannen;1277.94;1278.839
Mannen;1292.713;1295.379
Mannen;1295.38;1298.259
Mannen;1310.092;1311.565
Mannen;1312.96;1314.618
Mannen;1329.62;1332.359
Mannen;1332.36;1335.239
Mannen;1335.74;1337.632
Mannen;1351.43;1354.359
Mannen;1445.213;1448.219
Mannen;1448.22;1451.079
Mannen;1455.32;1458.139
Mannen;1458.14;1460.659
Mannen;1460.66;1461.619
Mannen;1461.62;1462.499
Mannen;1462.5;1463.499
Mannen;1463.5;1464.379
Mannen;1464.38;1465.299
Mannen;1465.3;1467.939
Mannen;1468.66;1470.759
Mannen;2221.28;2223.238
Mannen;2223.24;2224.852
Mannen;2224.853;2225.707
Mannen;2225.707;2226.558
Mannen;2226.56;2227.42
Mannen;2227.42;2228.278
Mannen;2228.28;2229.15
Mannen;2230.02;2230.93
Mannen;2231.84;2232.77
Mannen;2233.7;2234.6
Mannen;2256.913;2257.847
Mannen;2258.78;2259.7
Mannen;2376.399;2377.349
Mannen;2377.349;2378.298
Mannen;2378.3;2379.226
Mannen;2379.23;2380.154
Nibelungenhass;0.1414545;4.915062
Nibelungenhass;4.344871;9.552782
Nibelungenhass;22.42979;27.58913
Nibelungenhass;53.76562;58.75865
Nibelungenhass;58.19493;63.62759
Nibelungenhass;63.05927;67.82973
Nibelungenhass;67.28859;72.29046
Nibelungenhass;71.74274;76.59845
Nibelungenhass;76.04683;81.11464
Nibelungenhass;80.56307;85.4298
Nibelungenhass;84.87365;89.98885
Nibelungenhass;89.4548;93.96342
Nibelungenhass;93.4451;98.3198
Nibelungenhass;97.76092;102.8933
Nibelungenhass;102.3448;107.1074
Nibelungenhass;106.5508;111.7738
Nibelungenhass;111.2374;115.6793
Nibelungenhass;115.1601;119.8289
Nibelungenhass;175.9849;178.3423
Nibelungenhass;178.795;180.9524
Nibelungenhass;181.3808;183.4966
Nibelungenhass;183.9399;186.4772
Nibelungenhass;190.38;194.7516
Nibelungenhass;194.2633;198.1924
Nibelungenhass;231.454;234.457
Nibelungenhass;238.19;242.4086
Nibelungenhass;241.942;245.8748
Nibelungenhass;245.4449;247.365
Nibelungenhass;252.91;256.8419
Nibelungenhass;256.8419;260.4362
Nibelungenhass;287.9488;290.1975
Nibelungenhass;290.405;292.6675
Nibelungenhass;297.8434;299.9777
Nibelungenhass;300.1875;302.6482
Nibelungenhass;301.23;305.1473
Nibelungenhass;305.15;307.6969
Nibelungenhass;307.3824;310.3413
Nibelungenhass;310.0157;312.9032
Nibelungenhass;312.5813;315.485
Nibelungenhass;315.1694;317.9412
Nibelungenhass;317.6375;320.3475
Nibelungenhass;320.0412;322.6875
Nibelungenhass;338.842;340.4205
Nibelungenhass;344.0412;347.1415
Nibelungenhass;355.0251;358.8159
Nibelungenhass;366.2192;369.4765
Nibelungenhass;435.6571;439.3476
Nibelungenhass;438.7392;442.9267
Nibelungenhass;442.3339;446.7127
Nibelungenhass;465.27;468.0506
Nibelungenhass;482.4444;484.2875
Nibelungenhass;487.29;490.2375
Nibelungenhass;489.635;492.3798
Nibelungenhass;491.8925;494.7377
Nibelungenhass;494.3421;497.1348
Nibelungenhass;496.7224;499.6722
Nibelungenhass;499.2652;501.994
Nibelungenhass;524.0608;528.3195
Nibelungenhass;527.9031;532.0047
Nibelungenhass;531.5351;535.8847
Nibelungenhass;535.2777;539.2631
Nibelungenhass;538.7419;543.1015
Nibelungenhass;542.5011;547.488
Nibelungenhass;546.8246;551.0171
Nibelungenhass;550.3785;554.8478
Nibelungenhass;582.4403;585.3359
Nibelungenhass;586.7561;589.4478
Nibelungenhass;1929.143;1931.535
Nibelungenhass;1933.919;1935.999
Nibelungenhass;1936.09;1938.476
Nibelungenhass;1938.582;1940.716
Nibelungenhass;1940.807;1942.896
Nibelungenhass;1945.133;1947.299
Nibelungenhass;1947.395;1949.492
Nibelungenhass;1949.583;1951.642
Nibelungenhass;1951.732;1953.683
Nibelungenhass;1953.767;1956.003
Nibelungenhass;1956.102;1958.233
Nibelungenhass;1958.325;1960.516
Nibelungenhass;1960.613;1962.78
Nibelungenhass;1962.874;1964.777
Nibelungenhass;1964.616;1966.85
Nibelungenhass;1966.676;1968.966
Nibelungenhass;1968.79;1971.111
Nibelungenhass;1973.66;1975.526
Nibelungenhass;1975.34;1977.733
Nibelungenhass;1977.55;1979.864
Nibelungenhass;1979.688;1981.969
Nibelungenhass;1981.794;1984.223
Nibelungenhass;1984.034;1986.383
Nibelungenhass;1986.206;1988.801
Nibelungenhass;2050.452;2052.209
Nibelungenhass;2051.785;2053.058
Nibelungenhass;2053.855;2055.178
Nibelungenhass;2060.325;2061.531
Nibelungenhass;2142.632;2145.26
Nibelungenhass;2144.593;2148.508
Nibelungenhass;2158.198;2160.672
Nibelungenhass;2160.12;2167.773
Nibelungenhass;2393.2;2395.078
Nibelungenhass;2395.08;2396.798
Nibelungenhass;2396.8;2398.978
Nibelungenhass;2400.771;2402.718
Nibelungenhass;2839.54;2842.97
Nibelungenhass;2842.973;2846.137
Nibelungenhass;2852.155;2855.217
Nibelungenhass;2855.22;2858.597
Nibelungenhass;2864.44;2867.867
Nibelungenhass;2870.206;2874.658
Nibelungenhass;2876.052;2880.758
Nibelungenhass;3162.197;3164.698
Nibelungenhass;3164.804;3167.319
Nibelungenhass;3167.43;3169.942
Nibelungenhass;3170.053;3172.479
Nibelungenhass;3172.585;3174.949
