Motif;StartSec;EndSec
Feuerzauber;1643.8;1646.64
Feuerzauber;1648.32;1651.415
Feuerzauber;1660.48;1664.19
Feuerzauber;1813.5;1817.07
Feuerzauber;1821.88;1825.209
Feuerzauber;1861.66;1863.795
Feuerzauber;1866.52;1868.607
Feuerzauber;1868.905;1870.983
Feuerzauber;1878.42;1880.957
Feuerzauber;1880.96;1883.457
Horn;1813.5;1816.337
Horn;1821.88;1824.543
Horn;1832.695;1834.499
Horn;1841.7;1842.977
Horn;1844.307;1845.632
Horn;1849.52;1850.777
Horn;1852.07;1853.357
Horn;1858.88;1859.575
Horn;1859.575;1860.27
Horn;1860.27;1861.965
Horn;1864.1;1864.705
Horn;1864.705;1865.31
Horn;1865.31;1866.818
Horn;1871.28;1872.5
Horn;1873.72;1874.94
Horn;1876.16;1876.725
Horn;1876.725;1877.29
Horn;1877.29;1878.418
Jugendkraft;1360.2;1361.17
Jugendkraft;1361.17;1362.138
Jugendkraft;1362.14;1363.1
Jugendkraft;1363.1;1364.058
Jugendkraft;1364.06;1364.719
Jugendkraft;1364.719;1365.379
Jugendkraft;1365.379;1366.038
Nibelungen;1275.4;1277.238
Nibelungen;1277.24;1278.532
Ring;462.7;465.295
Ring;464.98;467.805
Ring;472.38;474.7925
Ring;474.53;476.9375
Ring;491.4475;498.005
Ring;497.25;503.0372
Ring;811.28;814.33
Ring;955.92;960.5387
Ring;958.71;960.7979
Ring;960.8;963.4074
Ring;963.41;966.0174
Ring;966.02;968.2078
Ring;968.21;970.5177
Ritt;3.254739;4.342925
Ritt;4.342925;5.428935
Ritt;5.431111;6.570868
Ritt;6.397007;7.357107
Ritt;7.362902;8.461848
Ritt;8.461848;9.558596
Ritt;9.560794;10.5329
Ritt;10.5329;11.50306
Ritt;11.505;12.53502
Ritt;12.53502;13.56297
Ritt;13.56503;14.59702
Ritt;14.59702;15.62694
Ritt;15.629;16.6365
Ritt;16.6365;17.64198
Ritt;17.64399;18.6665
Ritt;18.6665;19.68696
Ritt;19.689;20.6635
Ritt;20.6635;21.63606
Ritt;21.638;22.616
Ritt;22.616;23.59203
Ritt;23.59399;24.826
Ritt;24.826;26.05554
Ritt;26.058;26.812
Ritt;26.812;27.5645
Ritt;27.56601;28.5745
Ritt;28.5745;29.58098
Ritt;29.583;30.5985
Ritt;30.5985;31.61197
Ritt;31.614;32.607
Ritt;32.607;33.59801
Ritt;33.6;34.6075
Ritt;34.6075;35.61299
Ritt;35.615;36.5705
Ritt;36.5705;37.5241
Ritt;37.52601;38.5525
Ritt;38.5525;39.57695
Ritt;39.579;40.583
Ritt;40.583;41.585
Ritt;41.58701;42.6005
Ritt;42.6005;43.61197
Ritt;47.749;49.71203
Ritt;49.71399;51.64307
Ritt;51.645;53.72792
Ritt;53.73;55.67606
Ritt;55.678;57.72396
Ritt;57.72601;59.70403
Ritt;59.70601;61.73697
Ritt;61.739;63.70503
Ritt;63.707;65.59711
Ritt;65.599;67.71588
Ritt;67.718;69.69602
Ritt;69.698;71.77093
Ritt;71.773;73.70206
Ritt;73.70399;75.67404
Ritt;75.67601;77.60507
Ritt;77.607;79.57302
Ritt;79.57499;81.63893
Ritt;81.641;83.64499
Ritt;83.647;85.56309
Ritt;85.56501;87.65591
Ritt;87.658;89.65899
Ritt;89.661;91.665
Ritt;91.66701;93.659
Ritt;93.661;95.60406
Ritt;95.60601;97.58602
Ritt;97.588;99.52806
Ritt;99.53;101.6978
Ritt;101.7;103.6281
Ritt;106.1463;107.663
Ritt;110.2075;111.2025
Schicksal;130.27;136.798
Schicksal;139.12;145.8379
Schicksal;299.34;305.0577
Schicksal;556.62;562.8085
Schicksal;562.8114;569.2367
Schicksal;651.19;657.57
Schicksal;695.52;701.5452
Schicksal;704.61;709.0893
Schicksal;712.83;716.9468
Schicksal;739.37;745.5973
Schicksal;1981.352;1989.476
Schicksal;2056.74;2066.623
Schicksal;2659;2669.761
Schicksal;2675.65;2684.517
Schicksal;2730.34;2738.476
Schicksal;3314.363;3320.137
Schicksal;3486.42;3491.638
Schicksal;4301.377;4306.175
Schicksal;4513.12;4517.023
Schicksal;4543.07;4548.718
Schwert;933.3475;937.3885
Schwert;958.3613;961.1262
Schwert;1141.725;1143.891
Schwert;1253.313;1257.206
Schwert;1724.589;1727.635
Schwert;2321.342;2326.435
Schwert;2584.729;2588.061
Siegfried;923.2275;928.3477
Siegfried;974.5917;978.8881
Siegfried;1674.913;1679.037
Siegfried;1681.913;1684.737
Siegfried;1688.64;1692.59
Siegfried;1777.399;1781.93
Siegfried;1784.918;1787.638
Siegfried;1829.65;1835.098
Siegfried;1837.34;1840.74
Siegfried;1845.303;1848.575
Siegfried;1853.037;1857.55
Siegfried;1855.862;1861.657
Siegfried;1927.39;1931.316
Siegfried;1936.735;1940.537
Siegfried;3015.998;3022.09
Siegfried;3023.479;3029.532
Siegfried;3031.056;3037.19
Siegfried;3038.862;3046.07
Siegfried;3184.36;3188.016
Siegfried;4589.98;4598.57
Siegfried;4598.909;4606.89
Siegfried;4614.047;4617.895
Siegfried;4738.52;4741.045
Siegfried;4746.1;4748.624
Siegfried;4758.57;4764.578
Unmuth;19.689;22.616
Unmuth;1475.615;1480.932
Unmuth;1489.507;1494.665
Unmuth;1500.246;1506.006
Unmuth;1517.94;1521.059
Unmuth;1526.683;1529.659
Unmuth;1552.06;1555.152
Unmuth;1555.84;1558.386
Unmuth;1588.62;1591.05
Unmuth;1590.78;1592.13
Unmuth;1596.11;1598.392
Unmuth;1598.13;1599.43
Vertrag;31.614;35.61299
Vertrag;35.615;39.57695
Vertrag;39.579;43.61197
Vertrag;43.614;47.74695
Vertrag;45.697;47.74695
Vertrag;134.7663;139.1177
Vertrag;143.73;147.9079
Vertrag;147.91;150.35
Vertrag;149.86;154.1075
Vertrag;240.58;244.7678
Vertrag;244.77;249.1077
Vertrag;394.24;404.3865
Vertrag;802.52;807.0676
Vertrag;1580.099;1584.148
Vertrag;1691.14;1695.733
Vertrag;1706.22;1710.578
Vertrag;1732.589;1735.957
Waberlohe;547.4764;550.8525
Waberlohe;550.8525;554.01
Waberlohe;554.01;557.4319
Waberlohe;560.6036;562.8085
Waberlohe;1904.7;1910.29
Waberlohe;1907.98;1911.88
Waberlohe;1911.88;1915.63
Waberlohe;1914.34;1921.217
Waberlohe;1918.64;1922.01
Waberlohe;1922.01;1925.24
Waberlohe;1924.38;1931.316
Waberlohe;1932.1;1935.588
Waberlohe;1935.205;1940.537
Waberlohe;1941.315;1945.233
Waberlohe;1944.437;1948.092
Waberlohe;1959.245;1965.619
Waberlohe;1963.791;1968.011
Waberlohe;1971.317;1977.011
Waberlohe;1986.63;1993.103
Waberlohe;2002.269;2008.553
Waberlohe;2063.172;2067.581
Waberlohe;2067.581;2071.475
Waberlohe;2071.475;2075.575
Waberlohe;2074.58;2079.655
Waberlohe;2078.56;2086.165
Waberlohe;2502.28;2506.838
Waberlohe;2504.66;2507.375
Waberlohe;2535.88;2539.59
Waberlohe;2538.7;2543.235
Waberlohe;2542.26;2549.975
Waberlohe;4269.38;4273.18
Waberlohe;4276.225;4280.782
Waberlohe;4293.57;4296.56
Waberlohe;4298.04;4302.058
Waberlohe;4317.279;4320.384
Waberlohe;4383.505;4385.625
Waberlohe;4385.14;4387.645
Waberlohe;4387.08;4389.895
Walhall-b;1443.64;1450.433
Walhall-b;3801.565;3816.263
