Motif;StartSec;EndSec
Feuerzauber;163.5;165.5979
Feuerzauber;167.605;169.578
Feuerzauber;1392.923;1395.617
Feuerzauber;1398.08;1400.462
Feuerzauber;3867.193;3872.758
Feuerzauber;3874.7;3879.15
Feuerzauber;3882.14;3887.758
Feuerzauber;3889.72;3894.57
Feuerzauber;3943.36;3948.21
Feuerzauber;3954.62;3959.34
Horn;222.97;225.2409
Horn;225.02;227.008
Horn;227.01;229.2137
Horn;279.52;281.7187
Horn;281.7209;283.6481
Horn;283.65;285.7102
Horn;544.91;548.3032
Horn;555.3475;558.9187
Horn;557.9175;561.6012
Horn;560.5925;562.6073
Horn;563.21;565.0076
Horn;565.01;567.5175
Horn;567.52;570.0275
Horn;570.03;572.2578
Horn;572.26;574.7175
Horn;574.72;575.9297
Horn;575.9297;577.1369
Horn;577.1394;581.6078
Horn;581.61;587.3081
Horn;588.6061;592.599
Horn;627.63;631.8477
Horn;631.85;633.6793
Horn;636.3031;638.0764
Horn;640.59;642.3482
Horn;642.57;644.5946
Horn;644.85;646.8658
Horn;651.46;653.5464
Horn;655.85;657.7533
Horn;660.18;662.1869
Horn;662.44;664.1982
Horn;664.42;666.438
Horn;666.44;668.6578
Horn;668.66;670.678
Horn;674.85;676.848
Horn;676.85;678.898
Horn;1866.4;1868.608
Horn;1877.685;1880.815
Horn;1887.78;1890.377
Horn;1892.26;1894.633
Horn;1900.46;1902.556
Horn;1908.919;1910.894
Horn;1965.59;1967.576
Horn;1972.648;1974.512
Horn;2150.535;2152.172
Horn;2180.1;2181.936
Horn;3943.36;3949.258
Horn;3954.62;3960.278
Horn;3969.48;3977.744
Nibelungen;974.69;976.4576
Nibelungen;977.0309;978.7411
Nibelungen;979.3576;981.1975
Nibelungen;981.2;983.4577
Nibelungen;986.06;988.1579
Nibelungen;988.16;990.6175
Nibelungen;1001.327;1003.147
Nibelungen;1003.15;1005.538
Nibelungen;1007.94;1010.457
Nibelungen;1013.931;1015.48
Nibelungen;1016.132;1018.077
Nibelungen;1018.69;1020.518
Nibelungen;1048.48;1049.877
Nibelungen;1049.88;1052.378
Nibelungen;1709.543;1711.958
Nibelungen;1723.933;1725.858
Nibelungenhass;1898.36;1903.108
Nibelungenhass;1903.108;1907.435
Nibelungenhass;1907.435;1911.433
Nibelungenhass;4426.242;4429.179
Nibelungenhass;4429.315;4432.302
Nibelungenhass;4432.432;4435.286
Nibelungenhass;4435.41;4438.903
Nibelungenhass;4462.398;4466.579
Nibelungenhass;4473.557;4477.469
Ring;42.222;44.49473
Ring;287.94;292.1578
Ring;292.16;294.5876
Ring;294.59;296.6379
Ring;296.64;301.5277
Ring;683.23;685.2879
Ring;685.29;687.1681
Ring;1052.38;1056.543
Ring;1715.57;1720.425
Ring;2143.09;2149.715
Ring;2154.598;2158.098
Ring;2172.699;2179.18
Ring;2183.885;2187.267
Ring;2349.561;2359.156
Ring;2366.42;2370.77
Ring;2376.98;2383.32
Ring;2384.2;2387.736
Ring;3358.06;3364.752
Ring;3364.752;3373.176
Ring;3549.2;3551.148
Ring;3571.127;3574.898
Ring;3604.3;3605.878
Ring;3605.88;3608.058
Ring;3632.51;3634.718
Ring;3634.72;3636.778
Ring;3636.78;3638.898
Ring;4261.28;4263.058
Ring;4265.04;4266.798
Ring;4292.06;4293.605
Ring;4296.18;4297.47
Ritt;813.135;814.485
Ritt;816.358;817.5535
Ritt;843.6825;845.1875
Ritt;860.37;861.585
Ritt;2447.142;2447.985
Ritt;2449.395;2450.098
Ritt;2467.306;2468.879
Ritt;2474.986;2476.318
Ritt;2476.886;2478.018
Ritt;2495.58;2497.499
Ritt;2497.501;2499.198
Ritt;2499.2;2501.41
Ritt;2501.413;2502.899
Ritt;2502.9;2504.498
Ritt;2504.5;2506.038
Ritt;2527.399;2528.018
Ritt;2529.072;2529.598
Ritt;2530.639;2531.158
Ritt;2532.279;2532.838
Ritt;3436.25;3437.898
Ritt;3437.9;3439.718
Ritt;3439.72;3441.629
Ritt;3441.63;3443.363
Schicksal;3127.352;3134.417
Schicksal;3138.4;3146.325
Schwert;222.7204;224.3353
Schwert;225.02;226.3453
Schwert;279.52;280.9858
Schwert;323.44;325.3081
Schwert;462.7275;466.4054
Schwert;674.516;676.848
Schwert;961.0975;965.655
Schwert;1522.703;1524.735
Schwert;4498.455;4502.838
Schwert;4530.745;4534.227
Siegfried;766.519;777.7341
Siegfried;787.0738;795.555
Siegfried;834.69;845.1875
Siegfried;1977.174;1994.498
Siegfried;2159.535;2167.291
Siegfried;2189.181;2196.877
Siegfried;2720.905;2732.8
Siegfried;3936.74;3941.178
Siegfried;3965.225;3971.289
Unmuth;2844.812;2851.815
Unmuth;2858.775;2866.517
Unmuth;2906.123;2911.438
Unmuth;2923.16;2928.046
Unmuth;2938.715;2942.129
Unmuth;2943.24;2945.689
Unmuth;3280.443;3287.496
Unmuth;3302.659;3306.05
Unmuth;3307.095;3310.583
Unmuth;3421.265;3425.143
Unmuth;3428.892;3432.92
Unmuth;3465.052;3472.115
Unmuth;3472.446;3477.92
Unmuth;3477.92;3482.272
Vertrag;1505.38;1508.739
Vertrag;1532.62;1537.031
Vertrag;1559.702;1564.538
Vertrag;1581.82;1589.152
Vertrag;1631.48;1639.438
Vertrag;1662.28;1667.478
Vertrag;2164.659;2170.788
Vertrag;2194.305;2201.775
Vertrag;2973.14;2980.516
Vertrag;4498.76;4502.838
Walhall-b;2085.747;2094.142
Walhall-b;2960.91;2962.918
Walhall-b;2969.1;2976.43
Walhall-b;2980.52;2982.607
Walhall-b;2989.2;2997.036
Walhall-b;3021.4;3023.529
Walhall-b;3029.649;3037.487
