Motif;StartSec;EndSec
Feuerzauber;3148.699;3150.958
Feuerzauber;3150.96;3153.118
Feuerzauber;3153.12;3155.318
Feuerzauber;3155.32;3157.698
Feuerzauber;3157.7;3160.754
Feuerzauber;3161.814;3165.15
Feuerzauber;3166.24;3168.538
Feuerzauber;3168.54;3170.658
Feuerzauber;3170.66;3172.758
Feuerzauber;3172.76;3174.738
Feuerzauber;3174.74;3177.237
Feuerzauber;3177.24;3179.458
Feuerzauber;3179.46;3182.157
Feuerzauber;3294.18;3296.338
Feuerzauber;3296.34;3298.559
Feuerzauber;3298.562;3300.618
Feuerzauber;3300.62;3302.918
Feuerzauber;3302.92;3305.8
Feuerzauber;3307.36;3310.26
Feuerzauber;3311.94;3314.198
Feuerzauber;3314.2;3316.338
Feuerzauber;3316.34;3317.43
Feuerzauber;3970.48;3973.45
Feuerzauber;3977.62;3980.459
Feuerzauber;4001.9;4006.39
Feuerzauber;4007.9;4011.575
Feuerzauber;4014.02;4018.37
Feuerzauber;4019.92;4023.435
Feuerzauber;4025.64;4029.255
Feuerzauber;4031.4;4034.297
Feuerzauber;4034.3;4037.157
Feuerzauber;4037.16;4040.696
Feuerzauber;4040.7;4044.077
Feuerzauber;4044.08;4047.497
Feuerzauber;4047.5;4050.922
Feuerzauber;4050.925;4054.656
Feuerzauber;4054.66;4058.097
Feuerzauber;4058.1;4061.756
Feuerzauber;4061.76;4065.276
Feuerzauber;4065.28;4068.677
Feuerzauber;4068.68;4072.276
Feuerzauber;4072.28;4075.816
Feuerzauber;4075.82;4079.157
Feuerzauber;4079.16;4082.876
Feuerzauber;4082.88;4086.576
Feuerzauber;4086.58;4090.296
Feuerzauber;4090.3;4093.936
Feuerzauber;4093.94;4097.526
Feuerzauber;4097.53;4101.476
Feuerzauber;4101.48;4105.016
Feuerzauber;4105.02;4108.477
Feuerzauber;4108.48;4111.986
Feuerzauber;4111.99;4115.736
Feuerzauber;4115.74;4119.45
Feuerzauber;4119.453;4123.085
Feuerzauber;4123.089;4126.656
Feuerzauber;4126.66;4130.236
Feuerzauber;4130.24;4133.697
Feuerzauber;4133.7;4137.197
Feuerzauber;4137.2;4140.657
Feuerzauber;4140.66;4144.097
Feuerzauber;4144.1;4147.616
Feuerzauber;4147.62;4151.136
Feuerzauber;4151.14;4154.597
Feuerzauber;4154.6;4157.977
Feuerzauber;4157.98;4161.457
Feuerzauber;4161.46;4165.036
Feuerzauber;4165.04;4168.616
Feuerzauber;4168.62;4172.536
Feuerzauber;4172.54;4175.897
Feuerzauber;4175.9;4179.876
Feuerzauber;4179.88;4183.556
Feuerzauber;4183.56;4187.156
Feuerzauber;4187.16;4190.577
Feuerzauber;4190.58;4196.274
Feuerzauber;4196.28;4200.636
Geschwisterliebe;463.64;468.4488
Geschwisterliebe;649.03;650.2638
Geschwisterliebe;917.65;919.6058
Geschwisterliebe;920.06;922.2394
Liebe;2785.9;2793.93
Ring;871.64;875.8448
Ritt;12.066;13.38801
Ritt;14.03536;15.32607
Ritt;16.03496;17.44888
Ritt;18.13365;19.49895
Ritt;20.16633;21.497
Ritt;22.14769;23.44506
Ritt;24.13798;25.51992
Ritt;26.15736;27.42809
Ritt;33.93504;35.19411
Ritt;35.82337;37.07812
Ritt;37.70238;38.94713
Ritt;39.58703;40.86307
Ritt;47.40886;48.68858
Ritt;49.34435;50.65204
Ritt;51.23176;52.38727
Ritt;53.00272;54.23015
Ritt;54.90299;56.24498
Ritt;60.65367;61.97303
Ritt;62.58273;63.79818
Ritt;64.46334;65.79001
Ritt;72.44666;73.80995
Ritt;137.1326;138.5579
Ritt;139.2626;140.6679
Ritt;143.4493;144.9078
Ritt;145.616;147.0279
Ritt;147.7293;149.1279
Ritt;209.6793;211.1378
Ritt;211.796;213.108
Ritt;213.7893;215.148
Ritt;215.856;217.2679
Ritt;217.9527;219.3179
Ritt;220.0126;221.3979
Ritt;222.0893;223.4679
Ritt;224.1826;225.6079
Ritt;226.3226;227.7479
Ritt;228.3794;229.6381
Ritt;230.306;231.638
Ritt;232.3293;233.7079
Ritt;234.346;235.6181
Ritt;236.3692;237.8678
Ritt;238.5027;239.7681
Ritt;240.4893;241.9278
Ritt;242.5627;243.8281
Ritt;244.5859;246.0977
Ritt;246.8159;248.2478
Ritt;248.9193;250.258
Ritt;436.4096;437.2487
Ritt;437.6718;438.5154
Ritt;438.9274;439.7488
Ritt;440.1696;441.0087
Ritt;441.3996;442.1788
Ritt;442.6162;443.4887
Ritt;443.8996;444.7188
Ritt;445.083;445.8089
Ritt;446.2429;447.1087
Ritt;447.4996;448.2788
Ritt;448.7029;449.5487
Ritt;449.9629;450.7888
Ritt;451.2296;452.1087
Ritt;452.4597;453.159
Ritt;453.5463;454.3188
Ritt;454.6963;455.4489
Ritt;455.8662;456.6988
Ritt;457.0896;457.8688
Ritt;458.2763;459.0888
Ritt;468.8529;469.6588
Ritt;470.0463;470.8188
Ritt;471.2362;472.0688
Ritt;474.8063;475.5788
Ritt;475.9296;476.629
Ritt;477.1095;478.0686
Ritt;541.28;542.065
Ritt;542.065;542.8484
Ritt;542.85;543.7025
Ritt;543.7025;544.5533
Ritt;544.555;545.3825
Ritt;545.3825;546.2083
Ritt;1781.94;1783.06
Ritt;1783.559;1784.554
Ritt;1785.19;1786.458
Ritt;1787.106;1788.398
Ritt;1790.633;1791.818
Ritt;1792.486;1793.818
Ritt;1794.566;1796.058
Ritt;1798.733;1800.397
Schicksal;2939.92;2950.114
Schicksal;2950.12;2958.958
Schicksal;2988.547;2996.702
Schicksal;3671.534;3681.953
Schicksal;3905.659;3915.049
Schicksal;3915.049;3927.053
Schicksal;4168.62;4174.64
Schicksal;4175.9;4183.556
Schwert;946.6162;947.2996
Schwert;977.6576;981.2575
Schwert;2922.495;2925.375
Siegfried;929.375;939.5384
Siegfried;937.315;946.8486
Siegfried;958.93;964.3989
Siegfried;1003.172;1008.054
Siegfried;2871.947;2879.006
