Motif;StartSec;EndSec
Horn;2304.8;2312.097
Horn;2315.583;2320.374
Horn;2331.09;2335.199
Horn;2398.62;2401.159
Horn;2401.16;2403.479
Horn;2405.658;2407.553
Horn;2419.175;2420.69
Horn;2572.2;2574.439
Horn;2594.355;2596.779
Horn;3868.1;3869.577
Horn;3870.71;3871.838
Horn;3873.13;3874.417
Horn;3875.71;3876.997
Horn;3878.24;3880.72
Horn;3881.96;3884.218
Horn;3885.47;3889.118
Horn;3892.74;3893.958
Horn;3895.14;3896.318
Horn;3897.59;3898.857
Horn;3900.12;3901.377
Horn;3902.66;3903.937
Horn;3905.182;3906.423
Horn;3907.783;3909.137
Horn;3910.327;3911.511
Horn;3912.817;3914.117
Horn;3915.45;3916.777
Horn;3918.38;3919.977
Jugendkraft;1346.899;1348.952
Jugendkraft;1349.46;1351.269
Jugendkraft;1532.46;1533.899
Jugendkraft;1533.9;1535.219
Jugendkraft;1535.22;1536.549
Mime;1591.76;1593.715
Mime;1594.08;1595.1
Mime;1595.44;1596.17
Mime;1596.17;1596.899
Mime;1596.9;1597.6
Mime;1597.6;1598.299
Mime;1598.3;1599.006
Mime;1599.006;1599.711
Mime;1600.444;1601.174
Mime;1601.918;1602.659
Mime;1603.471;1604.28
Mime;1679.8;1680.58
Mime;1680.58;1681.358
Mime;1681.36;1682.17
Mime;1682.17;1682.978
Mime;1682.98;1683.79
Mime;1683.79;1684.598
Mime;1684.6;1685.35
Mime;1685.35;1686.098
Mime;1686.1;1686.92
Mime;1686.92;1687.738
Mime;1687.74;1688.58
Mime;1688.58;1689.418
Mime;1689.42;1690.41
Mime;1690.41;1691.398
Mime;1691.4;1692.52
Mime;1692.52;1693.638
Nibelungen;1357.986;1359.078
Nibelungen;1359.599;1360.638
Nibelungen;1641.789;1643.178
Nibelungen;1643.18;1644.093
Nibelungen;1782.1;1784.519
Nibelungen;1785.24;1787.439
Nibelungen;1787.44;1788.771
Nibelungen;1788.773;1790.074
Nibelungen;1790.075;1791.379
Nibelungen;1791.38;1792.599
Nibelungen;1792.6;1793.839
Nibelungen;3117.74;3118.999
Nibelungen;3123.3;3125.008
Nibelungen;3837.29;3839.118
Nibelungen;3842.3;3844.098
Nibelungen;3844.73;3845.36
Nibelungen;3866.62;3868.47
Nibelungen;3869.58;3870.993
Nibelungen;3871.84;3873.453
Nibelungen;3874.42;3876.033
Nibelungen;3877;3878.55
Nibelungen;3880.72;3881.958
Nibelungen;3884.22;3885.47
Nibelungen;3891.52;3893.045
Nibelungen;3893.96;3895.435
Nibelungen;3896.32;3897.908
Nibelungen;3898.86;3900.435
Nibelungen;3901.38;3902.98
Nibelungen;3903.94;3905.493
Nibelungen;3906.425;3908.122
Nibelungen;3909.14;3910.623
Nibelungen;3911.513;3913.142
Nibelungen;3914.12;3915.783
Nibelungen;3916.78;3918.78
Nibelungen;3986.74;3988.905
Nibelungen;3992.57;3994.575
Nibelungen;4124.452;4126.06
Nibelungen;4128.052;4129.51
Nibelungen;4131.572;4133.359
Nibelungenhass;241.3275;243.6459
Nibelungenhass;243.745;246.0642
Nibelungenhass;246.1662;248.4525
Nibelungenhass;248.5525;250.5743
Nibelungenhass;250.6612;252.8726
Nibelungenhass;252.971;255.1766
Nibelungenhass;255.273;257.1989
Nibelungenhass;257.2816;259.1623
Nibelungenhass;259.2447;261.6829
Nibelungenhass;261.7934;263.5032
Nibelungenhass;263.5728;265.6876
Nibelungenhass;265.7837;267.9526
Nibelungenhass;268.0475;269.8808
Nibelungenhass;325.5533;328.0191
Nibelungenhass;328.1325;330.0194
Nibelungenhass;330.0975;332.7124
Nibelungenhass;332.8325;335.0309
Nibelungenhass;335.1237;337.4554
Nibelungenhass;337.5591;339.8049
Nibelungenhass;339.9026;342.323
Nibelungenhass;342.4304;344.8408
Nibelungenhass;344.9462;347.0093
Nibelungenhass;347.0975;349.3592
Nibelungenhass;452.0556;454.0476
Nibelungenhass;454.1362;456.1618
Nibelungenhass;456.2506;457.7306
Nibelungenhass;457.2969;458.5979
Nibelungenhass;654.66;656.9617
Nibelungenhass;657.0606;659.4167
Nibelungenhass;659.5206;661.6209
Nibelungenhass;678.4325;680.8159
Nibelungenhass;683.1275;685.5075
Nibelungenhass;692.8725;694.8577
Nibelungenhass;694.9413;697.127
Nibelungenhass;697.2247;699.4934
Nibelungenhass;699.5932;701.606
Nibelungenhass;701.6925;703.7659
Nibelungenhass;703.8575;705.5877
Nibelungenhass;705.6612;707.6876
Nibelungenhass;707.7787;709.5661
Nibelungenhass;1270.557;1273.089
Nibelungenhass;1276.51;1278.506
Nibelungenhass;2630.924;2633.849
Nibelungenhass;2634.859;2638.099
Nibelungenhass;2639.134;2641.969
Nibelungenhass;2642.95;2646.115
Nibelungenhass;2647.15;2650.135
Nibelungenhass;2651.104;2653.849
Nibelungenhass;2654.797;2657.842
Nibelungenhass;2658.825;2661.585
Nibelungenhass;2662.483;2665.049
Nibelungenhass;2665.95;2668.935
Nibelungenhass;2669.924;2672.849
Nibelungenhass;2708.582;2711.586
Nibelungenhass;2712.551;2715.225
Nibelungenhass;2716.124;2718.869
Nibelungenhass;2719.797;2722.657
Nibelungenhass;2723.594;2726.314
Nibelungenhass;2727.217;2729.902
Nibelungenhass;2730.822;2733.732
Nibelungenhass;2802.672;2805.737
Nibelungenhass;2805.909;2809.425
Nibelungenhass;2809.577;2813.253
Nibelungenhass;2813.416;2816.766
Nibelungenhass;2816.91;2820.272
Nibelungenhass;2820.42;2823.909
Nibelungenhass;2824.062;2827.302
Nibelungenhass;2827.443;2830.726
Nibelungenhass;2830.87;2834.482
Riesen;2738.18;2740.27
Riesen;2740.27;2742.88
Riesen;2746.52;2748.982
Riesen;2750.46;2753.122
Riesen;2761.88;2763.82
Riesen;2763.82;2765.756
Ring;117.18;125.0188
Ring;139.76;147.3023
Ring;260.8062;265.2113
Ring;265.4975;271.66
Ring;706.965;711.6725
Ring;711.6725;716.1878
Ring;1057.68;1061.258
Ring;1061.26;1064.558
Ring;1118.38;1121.222
Ring;2765.76;2768.655
Ring;2769.62;2772.38
Ring;2773.3;2776.992
Ring;3177.594;3183.224
Ring;3183.56;3188.964
Ring;3189.3;3194.797
Ring;3195.12;3201.299
Ring;3201.7;3207.686
Ring;3962.54;3966.958
Ring;3966.96;3971.338
Ritt;361.7527;362.9183
Ritt;363.4961;364.6483
Ritt;365.2128;366.3383
Ritt;366.8129;367.7586
Ritt;368.2262;369.1586
Ritt;369.6995;370.7784
Ritt;371.2495;372.1886
Ritt;372.6995;373.7185
Ritt;374.1662;375.0587
Ritt;375.5262;376.4586
Ritt;376.9395;377.8986
Ritt;378.3362;379.2087
Ritt;379.7128;380.7185
Ritt;381.2328;382.2585
Ritt;382.7804;383.8211
Ritt;384.2314;385.0488
Ritt;385.5528;386.5585
Ritt;386.9996;387.8787
Ritt;388.4061;389.4584
Ritt;1194.235;1195.225
Ritt;1196.19;1197.13
Ritt;1198.045;1198.935
Ritt;1199.875;1200.865
Ritt;1201.8;1202.68
Ritt;1203.605;1204.575
Ritt;1205.51;1206.41
Ritt;1207.355;1208.345
Ritt;1209.328;1210.303
Ritt;1211.243;1212.148
Ritt;1213.095;1214.085
Ritt;1215.04;1215.96
Ritt;1216.885;1217.815
Ritt;1218.763;1219.729
Ritt;1220.749;1221.823
Ritt;1222.84;1223.8
Schwert;779.93;784.82
Schwert;1054.077;1055.918
Schwert;1184.204;1187.105
Schwert;2132.867;2136.378
Schwert;2415.199;2417.658
Schwert;2560.892;2563.619
Schwert;2611.23;2614.378
Schwert;2796.96;2802.843
Schwert;2919.947;2923.378
Schwert;3258.907;3263.591
Siegfried;2350.191;2361.617
Siegfried;2367.794;2381.307
Siegfried;2686.303;2698.76
Siegfried;2696.93;2706.194
Siegfried;2876.41;2890.488
Siegfried;4321.025;4327.358
Unmuth;805.9275;815.655
Vertrag;588.66;592.868
Vertrag;644.2925;650.555
Waberlohe;1360.64;1364.273
Waberlohe;1367.44;1371.818
Waberlohe;1373.84;1379.017
Waberlohe;1376.52;1381.52
Waberlohe;1379.02;1386.25
Waberlohe;1554.3;1556.61
Waberlohe;1555.9;1557.65
Waberlohe;1557.32;1559.01
Waberlohe;1558.64;1560.505
Waberlohe;4329.945;4334.019
Waberlohe;4332;4335.619
Waberlohe;4335.231;4342.676
Waberlohe;4338.34;4343.09
Waldweben;1697.04;1701.898
