Motif;StartSec;EndSec
Feuerzauber;193.79;195.798
Feuerzauber;198.13;200.0581
Feuerzauber;1582.363;1585.097
Feuerzauber;1587.56;1590.077
Feuerzauber;4217.48;4223.458
Feuerzauber;4225.52;4230.67
Feuerzauber;4233.54;4239.969
Feuerzauber;4241.9;4247.14
Feuerzauber;4293.3;4297.61
Feuerzauber;4303.08;4306.99
Horn;258.54;261.0634
Horn;260.8241;262.9778
Horn;262.98;265.6732
Horn;321.104;323.2379
Horn;323.24;325.4678
Horn;325.47;327.7178
Horn;624.69;628.6782
Horn;638.2475;642.1988
Horn;641.1375;644.9037
Horn;643.9175;645.8874
Horn;646.5425;648.4974
Horn;648.5;650.8776
Horn;650.88;653.3875
Horn;653.39;655.7776
Horn;655.78;658.3125
Horn;658.315;659.4648
Horn;659.4648;660.6124
Horn;660.6147;665.0978
Horn;665.1;671.2459
Horn;672.3993;676.6593
Horn;715.01;719.3176
Horn;719.32;721.5666
Horn;724.5031;726.6492
Horn;729.59;732.0675
Horn;732.38;734.4934
Horn;734.76;737.1132
Horn;741.78;743.929
Horn;746.61;748.8211
Horn;751.3421;753.4359
Horn;753.7;755.6003
Horn;755.84;758.2276
Horn;758.23;760.3279
Horn;760.33;762.5478
Horn;766.73;768.7879
Horn;768.79;770.7261
Horn;2067.24;2069.55
Horn;2079.45;2082.98
Horn;2091.86;2094.497
Horn;2097.839;2100.533
Horn;2107.69;2110.115
Horn;2117.11;2119.635
Horn;2182.22;2184.555
Horn;2190.66;2192.836
Horn;2412.881;2415.135
Horn;2452.78;2455.195
Horn;4293.3;4298.478
Horn;4303.08;4307.719
Horn;4315.7;4323.19
Nibelungen;1095.8;1097.598
Nibelungen;1098.2;1099.998
Nibelungen;1100.605;1102.418
Nibelungen;1102.42;1104.898
Nibelungen;1107.42;1109.798
Nibelungen;1109.8;1112.258
Nibelungen;1123.1;1124.958
Nibelungen;1124.96;1127.577
Nibelungen;1129.88;1132.437
Nibelungen;1135.926;1137.698
Nibelungen;1138.37;1140.377
Nibelungen;1141.055;1143.077
Nibelungen;1174.515;1175.857
Nibelungen;1175.86;1178.597
Nibelungen;1918.156;1920.938
Nibelungen;1933.753;1935.798
Nibelungenhass;2105.26;2110.677
Nibelungenhass;2110.677;2115.213
Nibelungenhass;2115.213;2120.22
Nibelungenhass;4765.065;4767.812
Nibelungenhass;4767.935;4771.082
Nibelungenhass;4771.222;4774.122
Nibelungenhass;4774.247;4778.24
Nibelungenhass;4801.105;4805.306
Nibelungenhass;4812.738;4816.499
Ring;50.381;52.52685
Ring;329.95;334.6876
Ring;334.69;337.3673
Ring;337.37;339.9774
Ring;339.98;345.5572
Ring;774.89;776.6482
Ring;776.65;778.4282
Ring;1178.6;1183.313
Ring;1924.83;1930.225
Ring;2403.11;2411.752
Ring;2417.691;2421.981
Ring;2443.07;2451.57
Ring;2457.625;2461.869
Ring;2680.814;2690.897
Ring;2698.92;2704.253
Ring;2710.98;2717.365
Ring;2718.24;2722.256
Ring;3714.77;3721.286
Ring;3721.286;3727.797
Ring;3908.92;3910.618
Ring;3929.007;3932.558
Ring;3958.5;3960.378
Ring;3960.38;3961.943
Ring;3986.94;3989.278
Ring;3989.28;3991.418
Ring;3991.42;3993.438
Ring;4605.32;4606.858
Ring;4608.68;4610.398
Ring;4633.28;4634.6
Ring;4636.92;4638.225
Ritt;911.4192;912.8775
Ritt;915.0113;916.4131
Ritt;944.3425;945.8475
Ritt;962.22;963.66
Ritt;2790.048;2790.937
Ritt;2792.512;2793.298
Ritt;2811.345;2812.944
Ritt;2818.785;2819.739
Ritt;2820.205;2821.136
Ritt;2836.16;2837.674
Ritt;2837.675;2839.309
Ritt;2839.31;2840.958
Ritt;2840.96;2842.538
Ritt;2842.54;2844.058
Ritt;2844.06;2845.598
Ritt;2865.085;2865.678
Ritt;2866.652;2867.139
Ritt;2868.179;2868.698
Ritt;2869.699;2870.198
Ritt;3795.912;3797.298
Ritt;3797.3;3798.978
Ritt;3798.98;3800.778
Ritt;3800.78;3801.982
Schicksal;3467.832;3474.877
Schicksal;3478.44;3486.525
Schwert;258.2913;260.0612
Schwert;260.8241;262.2599
Schwert;321.104;322.5266
Schwert;369.92;372.1777
Schwert;526.0625;530.4973
Schwert;766.381;768.7879
Schwert;1081.85;1086.785
Schwert;1718.744;1720.6
Schwert;4832.998;4836.998
Schwert;4859.252;4862.168
Siegfried;860.8325;872.2733
Siegfried;882.6762;891.8231
Siegfried;934.13;945.8475
Siegfried;2196.395;2218.336
Siegfried;2424.3;2435.835
Siegfried;2464.294;2476.315
Siegfried;3039.658;3050.865
Siegfried;4287.52;4291.458
Siegfried;4312.04;4317.129
Unmuth;3152.553;3160.312
Unmuth;3167.512;3175.403
Unmuth;3212.052;3218.006
Unmuth;3232.78;3238.448
Unmuth;3249.892;3253.64
Unmuth;3254.9;3257.646
Unmuth;3629.998;3635.837
Unmuth;3648.794;3651.916
Unmuth;3652.84;3657.07
Unmuth;3780.997;3785.283
Unmuth;3788.722;3792.7
Unmuth;3821.602;3828.78
Unmuth;3829.17;3835.51
Unmuth;3835.51;3841.496
Vertrag;1701.74;1705.778
Vertrag;1729.199;1735.106
Vertrag;1760.635;1765.638
Vertrag;1784.18;1792.308
Vertrag;1836.617;1845.278
Vertrag;1868.24;1874.678
Vertrag;2431.94;2440.415
Vertrag;2472.24;2483.245
Vertrag;3288.9;3297.236
Vertrag;4833.249;4836.998
Walhall-b;2332.137;2342.738
Walhall-b;3275.6;3277.68
Walhall-b;3284.255;3292.68
Walhall-b;3297.24;3299.457
Walhall-b;3306.3;3316.195
Walhall-b;3342.88;3345.089
Walhall-b;3351.9;3361.572
