Motif;StartSec;EndSec
Nibelungen;3189.18;3191.757
Nibelungen;3191.76;3193.978
Nibelungen;4115.055;4116.698
Nibelungen;4116.7;4118.186
Nibelungen;4118.188;4119.798
Nibelungen;4119.8;4121.199
Nibelungen;4121.2;4122.798
Nibelungen;4122.8;4124.538
Nibelungen;4126;4127.598
Nibelungen;4127.6;4129.118
Nibelungen;4129.12;4130.878
Nibelungen;4130.88;4132.279
Nibelungen;4132.28;4133.789
Nibelungen;4133.79;4135.418
Nibelungen;4135.42;4136.739
Nibelungen;4136.74;4138.099
Nibelungen;4138.1;4139.559
Nibelungen;4139.56;4141.059
Nibelungen;4141.06;4142.399
Nibelungen;4142.4;4143.918
Nibelungen;4143.92;4145.438
Nibelungen;4145.44;4146.439
Nibelungen;4146.44;4148.298
Nibelungen;4148.3;4149.818
Nibelungen;4149.82;4151.718
Nibelungen;4151.72;4153.458
Nibelungen;4153.46;4155.578
Nibelungen;4155.58;4156.799
Nibelungen;4156.8;4158.298
Nibelungen;4158.3;4160.138
Nibelungen;4160.14;4161.658
Nibelungen;4161.66;4163.178
Nibelungen;4163.18;4164.818
Nibelungen;4164.82;4166.358
Nibelungen;4166.36;4167.962
Nibelungen;4167.964;4169.498
Nibelungen;4169.5;4171.008
Nibelungen;4171.01;4172.598
Nibelungen;4346.44;4348.338
Nibelungen;4348.34;4350.058
Nibelungen;4351.885;4353.658
Nibelungen;4353.66;4355.278
Nibelungen;4355.28;4357.008
Nibelungen;4357.009;4358.658
Nibelungen;4358.66;4360.325
Nibelungen;4360.327;4361.978
Nibelungen;4361.98;4363.698
Nibelungen;4363.7;4365.332
Nibelungen;4365.333;4366.998
Nibelungen;4367;4368.698
Nibelungen;4368.7;4370.378
Nibelungen;4370.38;4372.138
Nibelungen;4372.14;4373.798
Nibelungen;4373.8;4375.398
Nibelungen;4375.4;4377.278
Nibelungen;4377.28;4379.018
Nibelungen;4379.02;4380.938
Nibelungen;4380.94;4382.838
Nibelungen;4390.14;4392.318
Nibelungen;4392.32;4394.421
Nibelungen;4394.423;4396.634
Nibelungen;4472.96;4474.798
Nibelungen;4474.8;4476.658
Nibelungen;4476.66;4478.278
Nibelungen;4478.28;4479.898
Nibelungen;4479.9;4481.608
Nibelungen;4481.61;4483.238
Nibelungen;4483.24;4484.719
Nibelungen;4484.72;4486.438
Nibelungen;4486.44;4488.045
Nibelungen;4488.047;4489.558
Nibelungen;4489.56;4491.238
Nibelungen;4491.24;4492.838
Nibelungen;4492.84;4494.678
Nibelungen;4494.68;4496.218
Nibelungen;4496.22;4497.918
Nibelungen;4497.92;4499.538
Nibelungen;4499.54;4500.939
Nibelungen;4500.94;4502.384
Nibelungen;4502.385;4503.739
Nibelungen;4503.74;4504.979
Nibelungen;4504.98;4506.259
Nibelungen;4506.26;4507.778
Nibelungen;4507.78;4509.079
Nibelungen;4509.08;4510.299
Nibelungen;4510.3;4511.499
Nibelungen;4511.5;4512.799
Nibelungen;4512.8;4513.979
Nibelungen;4513.98;4515.219
Nibelungen;4515.22;4516.479
Nibelungen;4516.48;4517.739
Nibelungen;4517.74;4518.979
Nibelungen;4518.98;4520.099
Nibelungen;4520.1;4521.319
Nibelungen;4521.32;4522.559
Nibelungen;4522.56;4523.679
Nibelungen;4523.68;4525.019
Nibelungen;4525.02;4526.079
Nibelungen;4526.08;4527.319
Nibelungen;4527.32;4528.519
Nibelungen;4528.52;4529.719
Nibelungen;4529.72;4530.971
Nibelungen;4546.85;4548.352
Nibelungen;4553.23;4554.642
Nibelungen;4559.278;4561.58
Nibelungen;4575.79;4577.719
Nibelungen;4670.51;4671.869
Nibelungen;4671.87;4673.209
Nibelungen;4673.21;4674.439
Nibelungen;4674.44;4675.579
Nibelungen;4687.459;4688.819
Nibelungen;4688.82;4690.025
Nibelungen;4690.027;4691.199
Nibelungen;4691.2;4692.394
Nibelungen;4692.395;4693.499
Nibelungen;4693.5;4694.819
Nibelungen;4694.82;4695.959
Nibelungen;4695.96;4697.239
Nibelungen;4697.24;4698.379
Nibelungen;4698.38;4699.559
Nibelungen;4699.56;4700.819
Nibelungen;4700.82;4701.899
Nibelungen;4701.9;4703.239
Nibelungen;4703.24;4704.499
Nibelungen;4704.5;4705.639
Nibelungen;4705.64;4706.939
Nibelungen;4706.94;4708.139
Nibelungen;4708.14;4709.379
