Motif;StartSec;EndSec
Feuerzauber;3597.625;3600.96
Feuerzauber;3603;3606.37
Feuerzauber;3699.22;3703.215
Feuerzauber;3705.42;3708.901
Horn;494.03;495.615
Horn;496.96;498.565
Horn;500;501.0789
Horn;501.08;502.1389
Horn;502.14;502.715
Horn;502.715;503.2889
Horn;503.29;503.805
Horn;503.805;504.319
Horn;504.32;505.88
Horn;508.37;509.5888
Horn;509.59;510.711
Horn;510.7121;512.27
Horn;513.94;514.919
Horn;514.92;516.0888
Horn;516.09;517.1989
Horn;517.2;518.229
Horn;518.23;519.179
Horn;519.18;520.2689
Horn;526.01;526.9491
Horn;526.95;528.1588
Horn;528.16;528.675
Horn;528.675;529.189
Horn;529.19;529.71
Horn;529.71;530.229
Horn;530.23;531.4288
Horn;531.43;532.399
Horn;532.9475;533.4939
Horn;534.0925;534.6888
Horn;553.19;556.8588
Horn;764.13;766.5789
Horn;3909.4;3910.912
Horn;3912.46;3914.17
Horn;3944.98;3946.7
Horn;3953.68;3954.759
Horn;3954.76;3955.959
Horn;3955.96;3957.51
Horn;3960.16;3961.239
Horn;3961.24;3962.299
Horn;3963.44;3965
Horn;3980.931;3984.635
Horn;3986.24;3988.095
Horn;4882.34;4883.919
Horn;4883.38;4884.9
Horn;4885.38;4886.939
Horn;4887.44;4888.999
Jugendkraft;593.25;594.4794
Jugendkraft;594.48;595.7494
Jugendkraft;595.75;596.3194
Jugendkraft;596.32;596.9694
Jugendkraft;596.97;597.5694
Jugendkraft;597.57;598.1594
Jugendkraft;600.65;601.9493
Jugendkraft;603.18;604.4494
Jugendkraft;605.7;606.3893
Jugendkraft;606.39;606.9894
Jugendkraft;606.99;607.5494
Jugendkraft;607.55;608.2793
Jugendkraft;608.28;608.8394
Jugendkraft;608.84;609.4894
Jugendkraft;609.49;610.1394
Jugendkraft;610.14;610.8193
Jugendkraft;610.82;611.4194
Jugendkraft;611.42;612.0494
Jugendkraft;612.05;612.6894
Jugendkraft;612.69;613.3394
Jugendkraft;613.34;614.5294
Jugendkraft;615.78;617.0693
Jugendkraft;617.07;618.3894
Jugendkraft;618.39;619.0793
Jugendkraft;619.08;619.6694
Jugendkraft;631.38;632.8691
Jugendkraft;633.98;635.2894
Jugendkraft;635.29;636.4994
Jugendkraft;636.5;637.0994
Jugendkraft;637.1;637.7094
Jugendkraft;637.71;638.2994
Jugendkraft;638.3;638.8894
Jugendkraft;641.44;642.7193
Jugendkraft;642.72;644.0493
Jugendkraft;644.05;645.3094
Jugendkraft;645.31;646.7592
Jugendkraft;646.76;648.1893
Jugendkraft;648.19;649.5692
Jugendkraft;649.57;651.1491
Jugendkraft;651.15;652.6792
Jugendkraft;679.89;681.3394
Jugendkraft;710.46;711.906
Jugendkraft;854.673;856.0593
Jugendkraft;861.9963;863.4626
Jugendkraft;869.3463;870.7659
Jugendkraft;876.6296;878.0693
Jugendkraft;878.7896;879.5089
Jugendkraft;879.51;880.2692
Jugendkraft;880.27;880.9593
Jugendkraft;880.96;881.6493
Jugendkraft;881.65;882.2894
Jugendkraft;882.29;882.8994
Jugendkraft;882.9;883.5793
Jugendkraft;883.58;884.2993
Jugendkraft;884.3;884.9194
Jugendkraft;884.92;885.6593
Jugendkraft;885.66;886.2794
Jugendkraft;902.97;904.2893
