Motif;StartSec;EndSec
Horn;943.16;944.36
Horn;945.56;946.85
Horn;1446.6;1447.558
Horn;1905.42;1911.277
Horn;1911.28;1916.07
Horn;1926.583;1931.919
Horn;1962.401;1966.695
Horn;1966.696;1971.699
Horn;1972.79;1976.819
Horn;1976.82;1982.819
Liebe;1669.28;1678.36
Ring;878.6933;883.5863
Ring;883.5912;887.7858
Ring;904.86;908.6862
Ring;908.69;912.4163
Ring;912.42;916.3361
Ring;1557.195;1560.96
Ring;1593.42;1595.783
Ring;2152.42;2158.847
Ring;2158.85;2162.097
Ring;2162.1;2165.117
Ring;2165.12;2171.517
Ring;2171.52;2174.797
Ritt;1614.47;1615.678
Ritt;1616.858;1618.034
Ritt;1618.623;1620.378
Ritt;1641.35;1642.61
Ritt;1643.78;1644.86
Ritt;1645.99;1647.17
Ritt;1648.32;1649.998
Ritt;1650;1651.665
Ritt;1652.22;1653.855
Ritt;1654.4;1656.08
Ritt;1656.64;1658.294
Ritt;1658.845;1659.878
Ritt;1664.73;1666.617
Ritt;1669.962;1672.007
Ritt;1677.72;1679.637
Schicksal;82.372;90.86579
Schicksal;122.8605;128.5857
Schicksal;622.61;629.7264
Schicksal;633.0133;639.0713
Schicksal;835.86;843.2166
Schicksal;1005.94;1014.516
Schicksal;1014.52;1022.216
Schicksal;1472.59;1478.398
Schwert;936.71;939.0322
Siegfried;1449.467;1453.848
Siegfried;1451.507;1455.406
Siegfried;1477.204;1481.69
Siegfried;1563.136;1572.138
Vertrag;312.49;317.798
Vertrag;603.81;607.13
Vertrag;717.2774;721.7978
Vertrag;721.8;726.178
Vertrag;748.02;752.1079
Vertrag;752.11;756.218
