Motif;StartSec;EndSec
Horn;2435.59;2440.757
Horn;2444.297;2449.214
Horn;2459.13;2465.578
Horn;2529.76;2532.979
Horn;2532.98;2536.029
Horn;2538.829;2541.379
Horn;2556.115;2557.88
Horn;2707.48;2710.588
Horn;2734.64;2737.818
Horn;3930.52;3931.897
Horn;3933.13;3934.358
Horn;3935.66;3936.957
Horn;3938.24;3939.517
Horn;3940.81;3943.407
Horn;3944.713;3947.158
Horn;3948.45;3952.078
Horn;3955.69;3956.957
Horn;3958.29;3959.617
Horn;3960.76;3961.898
Horn;3963.258;3964.613
Horn;3965.938;3967.257
Horn;3968.53;3969.797
Horn;3971.28;3972.757
Horn;3973.95;3975.138
Horn;3976.46;3977.777
Horn;3979.16;3980.537
Horn;3982.07;3983.597
Jugendkraft;1449.893;1452.319
Jugendkraft;1452.92;1455.019
Jugendkraft;1633.64;1635.139
Jugendkraft;1635.14;1636.499
Jugendkraft;1636.5;1637.639
Mime;1690.773;1692.636
Mime;1693;1694.058
Mime;1694.411;1695.196
Mime;1695.196;1695.978
Mime;1695.98;1696.67
Mime;1696.67;1697.359
Mime;1697.36;1698.09
Mime;1698.09;1698.819
Mime;1699.53;1700.239
Mime;1701.03;1701.818
Mime;1702.662;1703.503
Mime;1778.1;1778.82
Mime;1778.82;1779.539
Mime;1779.54;1780.28
Mime;1780.28;1781.019
Mime;1781.02;1781.835
Mime;1781.835;1782.648
Mime;1782.65;1783.445
Mime;1783.445;1784.238
Mime;1784.24;1785.06
Mime;1785.06;1785.878
Mime;1785.88;1786.66
Mime;1786.66;1787.438
Mime;1787.44;1788.36
Mime;1788.36;1789.278
Mime;1789.28;1790.35
Mime;1790.35;1791.418
Nibelungen;1462.713;1463.978
Nibelungen;1464.599;1465.838
Nibelungen;1743.121;1744.321
Nibelungen;1744.322;1745.527
Nibelungen;1873.46;1875.998
Nibelungen;1876.75;1879.038
Nibelungen;1879.04;1880.499
Nibelungen;1880.5;1881.839
Nibelungen;1881.84;1883.139
Nibelungen;1883.14;1884.439
Nibelungen;1884.44;1885.759
Nibelungen;3267.22;3268.359
Nibelungen;3272.08;3273.211
Nibelungen;3903.815;3905.777
Nibelungen;3908.55;3910.437
Nibelungen;3911.11;3911.78
Nibelungen;3929.14;3930.865
Nibelungen;3931.9;3933.438
Nibelungen;3934.36;3935.985
