Motif;StartSec;EndSec
Nibelungen;3390.32;3392.498
Nibelungen;3392.5;3394.438
Nibelungen;4328.84;4330.458
Nibelungen;4330.46;4332.078
Nibelungen;4332.08;4333.718
Nibelungen;4333.72;4335.218
Nibelungen;4335.22;4336.878
Nibelungen;4336.88;4338.478
Nibelungen;4340.18;4341.838
Nibelungen;4341.84;4343.498
Nibelungen;4343.5;4345.278
Nibelungen;4345.28;4346.719
Nibelungen;4346.72;4348.398
Nibelungen;4348.4;4350.118
Nibelungen;4350.12;4351.818
Nibelungen;4351.82;4353.318
Nibelungen;4353.32;4355.018
Nibelungen;4355.02;4356.73
Nibelungen;4356.732;4358.317
Nibelungen;4358.319;4359.978
Nibelungen;4359.98;4361.638
Nibelungen;4361.64;4363.378
Nibelungen;4363.38;4365.018
Nibelungen;4365.02;4366.638
Nibelungen;4366.64;4368.238
Nibelungen;4368.24;4369.978
Nibelungen;4369.98;4371.658
Nibelungen;4371.66;4373.458
Nibelungen;4373.46;4374.919
Nibelungen;4374.92;4376.698
Nibelungen;4376.7;4378.278
Nibelungen;4378.28;4380.018
Nibelungen;4380.02;4381.618
Nibelungen;4381.62;4383.218
Nibelungen;4383.22;4384.918
Nibelungen;4384.92;4386.458
Nibelungen;4386.46;4388.088
Nibelungen;4388.09;4389.643
Nibelungen;4578.08;4579.878
Nibelungen;4579.88;4581.586
Nibelungen;4583.42;4585.089
Nibelungen;4585.091;4586.698
Nibelungen;4586.7;4588.218
Nibelungen;4588.22;4589.873
Nibelungen;4589.875;4591.458
Nibelungen;4591.46;4593.033
Nibelungen;4593.035;4594.618
Nibelungen;4594.62;4596.158
Nibelungen;4596.16;4597.698
Nibelungen;4597.7;4599.378
Nibelungen;4599.38;4600.859
Nibelungen;4600.86;4602.558
Nibelungen;4602.56;4604.019
Nibelungen;4604.02;4605.618
Nibelungen;4605.62;4607.338
Nibelungen;4607.34;4608.998
Nibelungen;4609;4610.558
Nibelungen;4610.56;4612.218
Nibelungen;4619.5;4621.378
Nibelungen;4621.38;4623.541
Nibelungen;4623.543;4625.694
Nibelungen;4718.42;4720.163
Nibelungen;4720.165;4721.998
Nibelungen;4722;4723.419
Nibelungen;4723.42;4724.958
Nibelungen;4724.96;4726.698
Nibelungen;4726.7;4728.258
Nibelungen;4728.26;4729.938
Nibelungen;4729.94;4731.438
Nibelungen;4731.44;4733.438
Nibelungen;4733.44;4735.118
Nibelungen;4735.12;4736.599
Nibelungen;4736.6;4738.278
Nibelungen;4738.28;4739.938
Nibelungen;4739.94;4741.558
Nibelungen;4741.56;4743.138
Nibelungen;4743.14;4744.798
Nibelungen;4744.8;4746.478
Nibelungen;4746.48;4747.828
Nibelungen;4747.83;4749.299
Nibelungen;4749.3;4750.679
Nibelungen;4750.68;4752.198
Nibelungen;4752.2;4753.679
Nibelungen;4753.68;4755.099
Nibelungen;4755.1;4756.479
Nibelungen;4756.48;4757.919
Nibelungen;4757.92;4759.319
Nibelungen;4759.32;4760.799
Nibelungen;4760.8;4761.999
Nibelungen;4762;4763.498
Nibelungen;4763.5;4765.058
Nibelungen;4765.06;4765.999
Nibelungen;4766;4767.698
Nibelungen;4767.7;4769.009
Nibelungen;4769.01;4770.578
Nibelungen;4770.58;4771.859
Nibelungen;4771.86;4773.214
Nibelungen;4773.215;4774.459
Nibelungen;4774.46;4775.619
Nibelungen;4775.62;4777.019
Nibelungen;4777.02;4778.179
Nibelungen;4778.18;4779.439
Nibelungen;4795.76;4797.242
Nibelungen;4802.705;4804.186
Nibelungen;4809.595;4812.115
Nibelungen;4829.85;4832.258
Nibelungen;4935.52;4936.759
Nibelungen;4936.76;4937.979
Nibelungen;4937.98;4939.059
Nibelungen;4939.06;4940.479
Nibelungen;4952.949;4954.359
Nibelungen;4954.36;4955.619
Nibelungen;4955.62;4956.859
Nibelungen;4956.86;4958.199
Nibelungen;4958.2;4959.459
Nibelungen;4959.46;4960.799
Nibelungen;4960.8;4962.019
Nibelungen;4962.02;4963.279
Nibelungen;4963.28;4964.439
Nibelungen;4964.44;4965.759
Nibelungen;4965.76;4967.099
Nibelungen;4967.1;4968.299
Nibelungen;4968.3;4969.818
Nibelungen;4969.82;4970.899
Nibelungen;4970.9;4972.119
Nibelungen;4972.12;4973.519
Nibelungen;4973.52;4974.739
Nibelungen;4974.74;4975.979
Nibelungen;5082.16;5083.359
Nibelungen;5083.36;5084.599
Nibelungen;5084.6;5085.759
Nibelungen;5085.76;5087.219
Nibelungen;5087.22;5088.519
Nibelungen;5088.52;5089.819
Nibelungen;5089.82;5091.079
Nibelungen;5091.08;5092.219
Nibelungen;5487.893;5490.91
Nibelungen;5491.152;5493.99
Nibelungen;5494.239;5497.11
Nibelungen;5497.359;5500.18
Nibelungen;5525.679;5528.93
Nibelungen;5529.179;5532.28
Nibelungen;5532.566;5535.82
Nibelungen;5536.106;5538.378
Nibelungen;5677.203;5678.619
Nibelungen;5678.62;5680.039
Nibelungen;5941.56;5943.225
Nibelungen;5943.227;5944.938
Nibelungen;5944.94;5946.578
Nibelungen;5946.58;5948.358
Nibelungen;5948.36;5950.068
Nibelungen;5950.07;5951.958
Nibelungen;5951.96;5953.658
Nibelungen;5953.66;5955.318
Nibelungen;5955.32;5956.838
Nibelungen;5956.84;5958.998
Nibelungen;5959;5960.958
Nibelungen;5960.96;5962.658
Nibelungen;5962.66;5964.378
Nibelungen;5964.38;5966.086
Nibelungen;5966.088;5967.818
Nibelungen;5967.82;5969.558
Nibelungen;5969.56;5971.618
Nibelungen;5971.62;5973.498
Nibelungen;5973.5;5974.959
Nibelungen;5974.96;5976.958
Nibelungen;6351.813;6354.397
Nibelungen;6354.4;6356.158
Nibelungen;6356.16;6357.958
Nibelungen;6357.96;6359.718
Nibelungen;6359.72;6361.778
Nibelungen;6361.78;6363.718
Nibelungen;6363.72;6365.463
Nibelungen;6365.465;6367.358
Nibelungen;6367.36;6369.298
Nibelungen;6375.98;6377.818
Nibelungen;6377.82;6379.59
