Motif;StartSec;EndSec
Horn;464.3252;466.9174
Horn;466.92;471.9975
Horn;816.15;819.805
Horn;842.9;844.7382
Horn;844.74;846.768
Horn;846.77;848.6182
Horn;848.62;850.588
Horn;1038.479;1041.858
Horn;1042.563;1045.698
Horn;1046.399;1049.678
Horn;1049.68;1053.458
Horn;1344.86;1347.599
Horn;1350.62;1353.319
Horn;1353.32;1359.439
Horn;3372.9;3374.192
Horn;3900.13;3903.478
Liebe;2876.17;2881.915
Mannen;1224.18;1226.439
Mannen;1226.44;1227.179
Mannen;1227.18;1228.059
Mannen;1228.06;1229.899
Mannen;1229.9;1230.899
Mannen;1230.9;1231.799
Mannen;1231.8;1232.766
Mannen;1232.767;1233.559
Mannen;1233.56;1234.599
Mannen;1234.6;1235.479
Mannen;1235.48;1236.399
Mannen;1236.4;1237.439
Mannen;1237.44;1238.339
Mannen;1238.34;1239.239
Mannen;1239.24;1240.209
Mannen;1240.21;1241.139
Mannen;1241.14;1242.079
Mannen;1242.08;1244.059
Mannen;1244.06;1246.019
Mannen;1246.02;1246.939
Mannen;1246.94;1247.859
Mannen;1247.86;1248.979
Mannen;1248.98;1249.839
Mannen;1250.92;1251.699
Mannen;1252.723;1253.739
Mannen;1253.74;1254.699
Mannen;1254.7;1255.619
Mannen;1307.82;1309.839
Mannen;1309.84;1310.759
Mannen;1310.76;1311.754
Mannen;1311.755;1312.639
Mannen;1312.64;1313.699
Mannen;1313.7;1315.672
Mannen;1321.08;1323.119
Mannen;1323.12;1324.919
Mannen;1324.92;1325.959
Mannen;1325.96;1326.799
Mannen;1326.8;1327.779
Mannen;1327.78;1328.719
Mannen;1328.72;1329.759
Mannen;1329.76;1330.659
Mannen;1360.844;1361.899
Mannen;1361.9;1362.939
Mannen;1362.94;1363.899
Mannen;1363.9;1364.849
Mannen;1364.85;1366.659
Mannen;1366.66;1367.579
Mannen;1367.58;1368.539
Mannen;1384.06;1386.939
Mannen;1386.94;1389.899
Mannen;1402.155;1403.705
Mannen;1405.4;1407.078
Mannen;1424.06;1427.098
Mannen;1427.1;1429.959
Mannen;1430.513;1432.512
Mannen;1447.68;1450.758
Mannen;1550;1552.999
Mannen;1553;1556.198
Mannen;1560.5;1563.419
Mannen;1563.42;1566.119
Mannen;1566.12;1567.059
Mannen;1567.06;1568.039
Mannen;1568.04;1569.039
Mannen;1569.04;1570.079
Mannen;1570.08;1570.999
Mannen;1571;1573.699
Mannen;1574.55;1576.679
Mannen;2400.09;2401.658
Mannen;2401.66;2404.078
Mannen;2404.08;2405.09
Mannen;2405.09;2406.098
Mannen;2406.1;2406.98
Mannen;2406.98;2407.858
Mannen;2407.86;2408.94
Mannen;2410.02;2411.06
Mannen;2412.1;2413.09
Mannen;2414.08;2415.06
Mannen;2442.36;2443.4
Mannen;2444.44;2445.53
Mannen;2587.04;2588.34
Mannen;2588.34;2589.637
Mannen;2589.64;2590.616
Mannen;2590.62;2591.594
Nibelungenhass;2.818798;8.139955
Nibelungenhass;7.527941;12.93593
Nibelungenhass;27.61863;33.83563
Nibelungenhass;59.88547;65.24879
Nibelungenhass;64.68889;69.69942
Nibelungenhass;69.13466;74.29461
Nibelungenhass;73.71916;78.91789
Nibelungenhass;78.331;83.70416
Nibelungenhass;83.09689;88.61474
Nibelungenhass;88.02578;93.11988
Nibelungenhass;92.54174;97.86161
Nibelungenhass;97.28488;102.336
Nibelungenhass;101.7729;106.9007
Nibelungenhass;106.308;111.8077
Nibelungenhass;111.2237;116.2573
Nibelungenhass;115.6645;121.2715
Nibelungenhass;120.6955;125.4695
Nibelungenhass;124.9027;130.0684
Nibelungenhass;189.3738;191.6868
Nibelungenhass;192.1308;194.2466
Nibelungenhass;194.6866;196.9607
Nibelungenhass;197.4116;199.8573
Nibelungenhass;203.15;208.4297
Nibelungenhass;207.84;212.5856
Nibelungenhass;247.334;251.0463
Nibelungenhass;255.78;259.7497
Nibelungenhass;259.2412;264.1985
Nibelungenhass;263.6347;266.2
Nibelungenhass;272.8872;277.1329
Nibelungenhass;277.1329;281.3355
Nibelungenhass;310.364;313.0571
Nibelungenhass;313.3223;316.2168
Nibelungenhass;322.9431;325.8468
Nibelungenhass;326.1317;329.4411
Nibelungenhass;327.5471;332.3669
Nibelungenhass;332.37;335.6908
Nibelungenhass;335.3128;338.6443
Nibelungenhass;338.2394;342.181
Nibelungenhass;341.7593;345.3439
Nibelungenhass;344.9722;348.1234
Nibelungenhass;347.7589;351.2085
Nibelungenhass;350.8097;354.3067
Nibelungenhass;375.0667;377.7586
Nibelungenhass;383.6425;387.9132
Nibelungenhass;397.1267;401.5353
Nibelungenhass;409.9616;414.1455
Nibelungenhass;483.5572;487.0305
Nibelungenhass;486.4394;490.6953
Nibelungenhass;490.0459;495.0263
Nibelungenhass;515.73;518.9258
