Motif;StartSec;EndSec
Feuerzauber;162.73;164.9178
Feuerzauber;166.96;169.1678
Feuerzauber;1484.1;1486.997
Feuerzauber;1489.5;1492.297
Feuerzauber;4237.8;4244.098
Feuerzauber;4246.2;4251.35
Feuerzauber;4254.4;4260.698
Feuerzauber;4262.7;4267.9
Feuerzauber;4317.3;4321.9
Feuerzauber;4328.8;4333.5
Horn;222.93;225.2531
Horn;222.93;228.948
Horn;278.44;284.3479
Horn;580.7175;584.385
Horn;580.7175;588.0274
Horn;588.665;611.9495
Horn;649.79;654.0777
Horn;649.79;656.2378
Horn;663.41;665.3902
Horn;663.41;670.019
Horn;679.49;681.5768
Horn;684.12;686.2512
Horn;684.12;695.4279
Horn;699.55;703.668
Horn;1918.2;1922.0
Horn;1930.4;1932.798
Horn;1935.6;1938.397
Horn;1945.223;1947.941
Horn;1955.857;1958.31
Horn;2024.8;2027.295
Horn;2035.1;2037.595
Horn;2252.477;2254.795
Horn;2291.4;2293.596
Horn;4317.3;4322.898
Horn;4328.8;4334.498
Horn;4344.5;4354.925
Nibelungen;1025.2;1026.998
Nibelungen;1027.6;1029.398
Nibelungen;1029.975;1031.698
Nibelungen;1029.975;1033.998
Nibelungen;1036.4;1041.198
Nibelungen;1052.0;1056.597
Nibelungen;1064.875;1066.897
Nibelungen;1067.6;1069.697
Nibelungen;1070.5;1072.897
Nibelungen;1107.15;1108.697
Nibelungen;1107.15;1111.198
Nibelungen;1775.9;1778.198
Nibelungenhass;1942.5;1948.628
Nibelungenhass;1942.5;1958.95
Nibelungenhass;4823.106;4836.882
Nibelungenhass;4877.288;4882.099
Ring;41.774;43.82894
Ring;287.1;291.7577
Ring;287.1;300.8777
Ring;707.87;711.6481
Ring;1766.15;1772.05
Ring;2242.35;2251.316
Ring;2257.469;2261.999
Ring;2282.15;2290.3
Ring;2296.25;2300.625
Ring;2518.9;2530.596
Ring;2539.2;2544.925
Ring;2552.9;2560.2
Ring;2561.2;2565.795
Ring;3683.627;3691.425
Ring;3683.627;3700.596
Ring;3916.2;3919.898
Ring;3950.1;3951.898
Ring;3950.1;3953.898
Ring;3979.605;3986.898
Ring;4662.9;4664.698
Ring;4691.4;4692.975
Ring;4695.3;4696.575
Ritt;849.56;851.04
Ritt;853.21;854.6371
Ritt;884.1825;885.6475
Ritt;903.21;904.575
Ritt;2635.498;2636.298
Ritt;2637.565;2638.198
Ritt;2655.332;2656.666
Ritt;2662.399;2663.798
Ritt;2664.366;2665.498
Ritt;2682.197;2683.998
Ritt;2682.197;2691.998
Ritt;2714.232;2714.699
Ritt;2715.899;2716.498
Ritt;2717.499;2717.999
Ritt;3771.4;3772.898
Ritt;3771.4;3778.175
Schicksal;3414.6;3425.104
Schwert;222.7141;224.3353
Schwert;225.04;226.3187
Schwert;278.44;279.7187
Schwert;322.56;324.4681
Schwert;468.4675;473.2072
Schwert;699.216;701.6679
Schwert;1012.1;1016.675
Schwert;1600.862;1602.525
Schwert;4902.45;4906.698
Schwert;4935.525;4938.85
Siegfried;796.42;809.865
Siegfried;820.2625;829.6413
Siegfried;873.11;885.6475
Siegfried;2041.575;2064.123
Siegfried;2264.48;2274.795
Siegfried;2302.925;2313.595
Siegfried;2910.388;2924.025
Siegfried;4310.8;4315.198
Siegfried;4340.075;4346.598
Unmuth;3053.363;3062.412
Unmuth;3071.425;3081.562
Unmuth;3121.984;3127.727
Unmuth;3139.571;3144.433
Unmuth;3155.833;3159.714
Unmuth;3160.9;3163.514
Unmuth;3597.396;3604.05
Unmuth;3618.22;3621.464
Unmuth;3622.4;3625.8
Unmuth;3755.787;3760.05
Unmuth;3763.688;3767.85
Unmuth;3798.425;3804.425
Unmuth;3804.738;3810.6
Unmuth;3804.738;3815.43
Vertrag;1609.3;1613.4
Vertrag;1634.35;1638.398
Vertrag;1653.2;1659.321
Vertrag;1693.4;1700.098
Vertrag;1717.9;1722.498
Vertrag;2271.125;2279.595
Vertrag;2309.775;2320.162
Vertrag;3198.0;3207.695
Vertrag;4902.7;4906.698
Walhall-b;2177.0;2185.75
Walhall-b;3181.7;3184.35
Walhall-b;3192.2;3202.55
Walhall-b;3207.7;3210.3
Walhall-b;3218.7;3228.995
Walhall-b;3257.1;3259.55
Walhall-b;3267.6;3278.329
