Motif;StartSec;EndSec
Feuerzauber;2933.155;2935.58
Feuerzauber;2933.155;2944.699
Feuerzauber;2949.72;2951.758
Feuerzauber;2949.72;2964.418
Feuerzauber;3067.46;3078.64
Feuerzauber;3084.6;3086.798
Feuerzauber;3084.6;3090.09
Feuerzauber;3642.573;3645.35
Feuerzauber;3666.24;3670.42
Feuerzauber;3671.84;3675.091
Feuerzauber;3677.165;3681.173
Feuerzauber;3682.487;3685.795
Feuerzauber;3687.82;3691.045
Feuerzauber;3692.98;3695.897
Feuerzauber;3692.98;3845.794
Geschwisterliebe;634.81;636.1662
Geschwisterliebe;895.15;897.0426
Geschwisterliebe;897.4;899.6106
Liebe;2611.3;2618.855
Ring;852.9;856.6415
Ritt;9.007655;10.36197
Ritt;10.95141;12.12624
Ritt;12.80166;14.14898
Ritt;14.78037;16.03911
Ritt;16.67054;17.92961
Ritt;18.54872;19.78315
Ritt;20.39006;21.60018
Ritt;22.26533;23.592
Ritt;30.14234;31.46101
Ritt;32.09969;33.37309
Ritt;33.99139;35.22416
Ritt;35.8627;37.13609
Ritt;43.68439;44.91516
Ritt;45.56402;46.85806
Ritt;47.47572;48.70715
Ritt;49.35602;50.65005
Ritt;51.33365;52.69696
Ritt;57.27169;58.55309
Ritt;59.21068;60.52203
Ritt;61.15437;62.41511
Ritt;68.96103;70.22909
Ritt;131.9726;133.3779
Ritt;134.0693;135.4479
Ritt;138.136;139.5279
Ritt;140.2526;141.6978
Ritt;142.386;143.7579
Ritt;202.8193;204.138
Ritt;204.7927;206.098
Ritt;206.736;208.0081
Ritt;208.6893;210.048
Ritt;210.7127;212.038
Ritt;212.6993;214.018
Ritt;214.6427;215.8881
Ritt;216.5294;217.8081
Ritt;218.4494;219.7281
Ritt;220.386;221.698
Ritt;222.366;223.698
Ritt;224.316;225.5481
Ritt;226.1727;227.4181
Ritt;228.1293;229.5479
Ritt;230.186;231.4581
Ritt;232.1427;233.5079
Ritt;234.1527;235.4381
Ritt;236.1127;237.458
Ritt;238.106;239.3981
Ritt;240.0693;241.408
Ritt;422.9094;424.0683
Ritt;424.5828;425.6085
Ritt;426.0729;426.9986
Ritt;427.4762;428.4286
Ritt;428.9128;429.8786
Ritt;430.3262;431.2187
Ritt;431.6729;432.5786
Ritt;433.0562;434.0086
Ritt;434.4262;435.2588
Ritt;435.7462;436.7185
Ritt;437.1729;438.0786
Ritt;438.5562;439.5086
Ritt;439.9695;440.8886
Ritt;441.3395;442.2387
Ritt;442.7129;443.6586
Ritt;444.1096;445.0087
Ritt;445.4396;446.2987
Ritt;446.7695;447.7086
Ritt;448.1462;449.0187
Ritt;460.3696;461.2287
Ritt;461.6796;462.5787
Ritt;463.0462;463.9786
Ritt;467.2428;468.2086
Ritt;468.6362;469.4887
Ritt;469.9495;470.8686
Ritt;531.51;532.3
Ritt;531.51;536.2284
Ritt;1725.542;1726.785
Ritt;1727.444;1728.758
Ritt;1729.393;1730.658
Ritt;1733.093;1734.358
Ritt;1734.926;1736.058
Ritt;1736.713;1738.018
Ritt;1740.706;1741.998
Schicksal;2748.26;2755.237
Schicksal;2748.26;2762.576
Schicksal;3386.65;3396.014
Schicksal;3578.43;3585.806
Schicksal;3578.43;3595.095
Schicksal;3823.08;3829.457
Schwert;921.6063;922.2163
Schwert;950.0245;953.51
Schwert;2735.15;2737.794
Siegfried;906.205;915.6388
Siegfried;906.205;921.8088
Siegfried;974.21;979.5335
Siegfried;2688.117;2694.892
Siegfried;2710.775;2718.15
Siegfried;2884.895;2892.586
Siegfried;3098.239;3112.356
Siegfried;3721.665;3743.67
Siegfried;3746.925;3771.217
Unmuth;1100.97;1102.155
Unmuth;1159.73;1165.362
Unmuth;1181.7;1187.06
Unmuth;1194.187;1199.788
Unmuth;1206.24;1209.398
Unmuth;1646.37;1652.39
Unmuth;1673.77;1678.253
Unmuth;1779.14;1784.595
Unmuth;1823.73;1829.957
Unmuth;1823.73;1842.72
Unmuth;1934.245;1940.162
Unmuth;1934.245;1948.917
Unmuth;1956.864;1961.786
Unmuth;1976.58;1985.256
Unmuth;2028.42;2032.414
Unmuth;2036.79;2040.859
Unmuth;2104.82;2107.868
Unmuth;2104.82;2111.18
Unmuth;2249.62;2255.365
Vertrag;1495.64;1503.038
Vertrag;1629.72;1632.263
Vertrag;1634.28;1637.178
Vertrag;2921.21;2925.578
Vertrag;3603.64;3611.952
Vertrag;3630.82;3635.88
Waberlohe;2864.551;2866.778
Waberlohe;2864.551;2878.775
Waberlohe;2893.061;2902.709
Waberlohe;2985.963;2990.659
Waberlohe;3027.9;3034.098
Waberlohe;3040.175;3047.098
Waberlohe;3195.84;3258.75
Waberlohe;3287.32;3297.047
Waberlohe;3325.06;3328.501
Waberlohe;3325.06;3330.56
Waberlohe;3345.361;3369.473
Waberlohe;3371.43;3382.463
Waberlohe;3383.16;3391.61
Waberlohe;3480.02;3521.281
Waberlohe;3555.42;3559.47
Waberlohe;3555.42;3559.47
Waberlohe;3561.9;3586.762
Waberlohe;3710.362;3818.543
