Motif;StartSec;EndSec
Feuerzauber;3007.88;3010.737
Feuerzauber;3007.88;3022.54
Feuerzauber;3028.76;3031.218
Feuerzauber;3028.76;3045.838
Feuerzauber;3147.34;3158.47
Feuerzauber;3164.36;3166.358
Feuerzauber;3164.36;3169.42
Feuerzauber;3680.82;3683.585
Feuerzauber;3704.02;3708.767
Feuerzauber;3710.335;3714.07
Feuerzauber;3716.5;3721.05
Feuerzauber;3722.54;3726.455
Feuerzauber;3728.84;3732.685
Feuerzauber;3735.04;3738.027
Feuerzauber;3735.04;3894.958
Geschwisterliebe;624.07;625.4787
Geschwisterliebe;883.23;885.2343
Geschwisterliebe;885.5775;888.0794
Liebe;2661.72;2668.87
Ring;840.27;844.1906
Ritt;11.25509;12.54506
Ritt;13.1414;14.33021
Ritt;14.97768;16.26906
Ritt;16.88705;18.11915
Ritt;18.73389;19.95966
Ritt;20.57539;21.80316
Ritt;22.43104;23.68312
Ritt;24.29405;25.51216
Ritt;31.91073;33.11419
Ritt;33.74171;34.99312
Ritt;35.61904;36.86713
Ritt;37.48472;38.71615
Ritt;45.16141;46.34623
Ritt;46.99136;48.27807
Ritt;48.89738;50.13214
Ritt;50.74371;51.96316
Ritt;52.64498;54.00496
Ritt;58.45766;59.78501
Ritt;60.43202;61.72206
Ritt;62.39932;63.74997
Ritt;70.32233;71.63902
Ritt;130.9593;132.3379
Ritt;133.016;134.368
Ritt;136.9693;138.308
Ritt;138.9827;140.328
Ritt;141.0127;142.3779
Ritt;200.141;201.458
Ritt;202.0694;203.2882
Ritt;203.9693;205.328
Ritt;205.9527;207.1981
Ritt;207.816;209.0481
Ritt;209.6927;210.9781
Ritt;211.5927;212.8182
Ritt;213.4727;214.778
Ritt;215.4027;216.6481
Ritt;217.2661;218.4981
Ritt;219.1327;220.3981
Ritt;221.0161;222.2481
Ritt;222.8727;224.1181
Ritt;224.7694;226.068
Ritt;226.706;227.9781
Ritt;228.6027;229.8481
Ritt;230.4877;231.7631
Ritt;232.4094;233.6981
Ritt;234.326;235.5781
Ritt;236.2493;237.588
Ritt;408.6061;409.7183
Ritt;410.1562;411.0287
Ritt;411.4795;412.3787
Ritt;412.8429;413.7686
Ritt;414.2179;415.1137
Ritt;415.5662;416.4686
Ritt;416.9262;417.8386
Ritt;418.2679;419.1237
Ritt;419.5662;420.4487
Ritt;420.8729;421.7187
Ritt;422.1795;423.0986
Ritt;423.5562;424.4686
Ritt;424.8896;425.7287
Ritt;426.1862;427.0986
Ritt;427.5329;428.3987
Ritt;428.8296;429.6887
Ritt;430.1262;430.9987
Ritt;431.4828;432.4486
Ritt;432.8629;433.6888
Ritt;444.2129;445.0587
Ritt;445.4796;446.3187
Ritt;446.7562;447.6287
Ritt;450.6429;451.4887
Ritt;451.8363;452.529
Ritt;452.9696;453.8487
Ritt;517.93;518.75
Ritt;517.93;522.7584
Ritt;1708.184;1709.353
Ritt;1709.956;1711.158
Ritt;1711.766;1712.978
Ritt;1715.526;1716.778
Ritt;1717.386;1718.598
Ritt;1719.226;1720.477
Ritt;1722.893;1724.398
Schicksal;2805.04;2814.536
Schicksal;2805.04;2820.837
Schicksal;3452.738;3460.175
Schicksal;3620.72;3627.173
Schicksal;3620.72;3635.595
Schicksal;3874.88;3882.757
Schwert;911.598;912.2029
Schwert;941.8264;945.495
Schwert;2791.12;2794.042
Siegfried;895.965;905.8016
Siegfried;895.965;911.769
Siegfried;965.98;971.5218
Siegfried;2742.488;2749.907
Siegfried;2765.987;2773.598
Siegfried;2953.178;2962.08
Siegfried;3177.79;3190.225
Siegfried;3766.405;3791.185
Siegfried;3794.68;3820.517
Unmuth;1093.144;1094.349
Unmuth;1150.75;1156.725
Unmuth;1175.55;1181.368
Unmuth;1191.38;1197.422
Unmuth;1205.22;1208.458
Unmuth;1621.87;1627.845
Unmuth;1653.16;1657.92
Unmuth;1764.34;1771.066
Unmuth;1814.99;1821.337
Unmuth;1814.99;1834.756
Unmuth;1940.011;1945.837
Unmuth;1940.011;1956.272
Unmuth;1964.295;1969.579
Unmuth;1987.68;1997.593
Unmuth;2044.5;2048.942
Unmuth;2054.86;2059.273
Unmuth;2125.72;2129.096
Unmuth;2125.72;2133.334
Unmuth;2282.0;2288.315
Vertrag;1479.44;1486.158
Vertrag;1605.06;1607.538
Vertrag;1609.5;1612.118
Vertrag;2994.98;2999.918
Vertrag;3642.32;3649.687
Vertrag;3669.6;3674.43
Waberlohe;2931.54;2933.372
Waberlohe;2931.54;2947.09
Waberlohe;2962.62;2973.559
Waberlohe;3066.665;3071.184
Waberlohe;3105.8;3112.438
Waberlohe;3119.44;3126.702
Waberlohe;3277.88;3337.65
Waberlohe;3362.52;3371.128
Waberlohe;3397.26;3400.635
Waberlohe;3397.26;3402.655
Waberlohe;3416.06;3437.295
Waberlohe;3439.1;3449.125
Waberlohe;3449.8;3456.801
Waberlohe;3537.41;3573.624
Waberlohe;3602.0;3605.088
Waberlohe;3602.0;3605.088
Waberlohe;3606.94;3627.98
Waberlohe;3753.885;3870.119
