Motif;StartSec;EndSec
Feuerzauber;3268.9;3272.106
Feuerzauber;3274.164;3277.327
Feuerzauber;3364.84;3368.32
Feuerzauber;3370.48;3373.95
Horn;421.77;423.54
Horn;425.49;427.085
Horn;428.78;430.0188
Horn;428.78;435.15
Horn;437.94;441.91
Horn;443.66;450.3289
Horn;456.12;462.6989
Horn;464.45;465.0189
Horn;484.13;487.6589
Horn;678.27;680.279
Horn;3565.52;3567.07
Horn;3568.72;3570.47
Horn;3602.375;3604.13
Horn;3611.54;3612.619
Horn;3611.54;3615.42
Horn;3618.22;3620.544
Horn;3639.36;3641.11
Horn;3642.56;3644.345
Horn;4479.08;4480.733
Horn;4479.08;4481.739
Horn;4484.32;4485.939
Jugendkraft;524.65;525.9593
Jugendkraft;524.65;529.8194
Jugendkraft;535.17;536.4494
Jugendkraft;537.81;538.5093
Jugendkraft;537.81;546.9394
Jugendkraft;548.18;552.0969
Jugendkraft;566.82;568.1894
Jugendkraft;566.82;572.1694
Jugendkraft;574.85;585.5295
Jugendkraft;632.45;633.7393
Jugendkraft;747.9864;749.1394
Jugendkraft;754.503;755.8161
Jugendkraft;760.9797;762.2383
Jugendkraft;767.528;768.7611
Jugendkraft;769.3963;770.069
Jugendkraft;769.3963;776.2594
Jugendkraft;790.68;793.4093
Jugendkraft;1051.379;1052.32
Jugendkraft;1137.46;1138.799
Jugendkraft;1137.46;1141.439
Jugendkraft;1511.92;1521.999
Jugendkraft;1559.013;1560.359
Jugendkraft;1560.986;1562.373
Jugendkraft;1563.06;1564.316
Jugendkraft;1564.963;1565.679
Jugendkraft;2815.0;2816.499
Jugendkraft;2815.0;2831.759
Jugendkraft;3062.64;3065.079
Jugendkraft;3067.08;3070.2
Jugendkraft;3077.56;3078.19
Jugendkraft;3078.82;3080.191
Jugendkraft;3107.06;3107.67
Jugendkraft;3108.28;3108.94
Jugendkraft;3109.6;3110.23
Jugendkraft;3109.6;3110.859
Jugendkraft;3130.135;3132.636
Jugendkraft;3159.75;3161.719
Jugendkraft;3222.26;3222.819
Jugendkraft;3222.26;3224.099
Jugendkraft;3224.72;3226.559
Jugendkraft;3483.02;3488.159
Jugendkraft;3511.02;3512.419
Jugendkraft;3511.02;3513.659
Liebe;1246.401;1265.107
Mime;585.53;586.4691
Mime;585.53;597.8693
Mime;614.34;615.0892
Mime;615.8;616.5792
Mime;615.8;627.7893
Mime;629.39;632.4493
Mime;636.5;646.155
Mime;648.0;648.655
Mime;649.31;649.935
Mime;650.56;651.44
Mime;650.56;652.3182
Mime;655.23;656.187
Mime;657.22;658.169
Mime;659.1075;660.129
Mime;661.06;662.1289
Mime;663.14;663.8493
Mime;664.93;665.8491
Mime;666.84;667.7291
Mime;668.7867;669.6641
Mime;670.67;671.649
Mime;672.58;673.4891
Mime;674.44;675.3791
Mime;676.4;677.2092
Mime;678.27;679.269
Mime;680.28;681.0992
Mime;682.06;683.039
Mime;684.87;685.6392
Mime;684.87;686.7439
Mime;689.43;694.184
Mime;695.95;705.449
Mime;708.29;709.4089
Mime;710.29;711.1691
Mime;710.29;712.3288
Mime;715.5196;716.2389
Mime;715.5196;717.0892
Mime;717.443;718.9392
Mime;721.2963;721.989
Mime;723.433;724.1589
Mime;725.5329;726.3388
Mime;726.8095;727.7486
Mime;749.45;750.459
Mime;749.45;754.1492
Mime;756.12;760.6391
Mime;762.5283;767.209
Mime;777.73;778.4093
Mime;779.02;779.6294
Mime;779.02;790.0859
Mime;850.33;854.1592
Mime;1161.64;1162.4
Mime;1161.64;1169.938
Mime;1171.26;1177.259
Mime;1410.8;1414.099
Mime;2831.76;2837.999
Mime;3137.05;3138.919
Mime;3139.68;3141.619
Mime;3144.145;3145.45
Mime;3200.12;3200.668
Mime;3200.12;3202.659
Mime;3203.86;3207.15
Mime;3214.61;3216.499
Mime;3490.24;3491.339
Mime;3492.04;3496.599
Mime;3503.16;3503.799
Mime;3504.455;3505.079
Mime;3504.455;3510.459
Mime;3514.34;3516.279
Nibelungen;90.29749;93.02829
Nibelungen;90.29749;97.87846
Nibelungen;101.7995;104.4898
Nibelungen;101.7995;109.0886
Nibelungen;115.66;166.9483
Nibelungen;201.1522;231.3584
Nibelungen;234.64;245.3086
Nibelungen;248.3706;254.0478
Nibelungen;280.5095;282.7422
Nibelungen;283.8228;285.9223
Nibelungen;286.46;291.2185
Nibelungen;385.16;398.1984
Nibelungen;401.49;411.1485
Nibelungen;1478.435;1479.856
Nibelungen;1480.838;1482.212
Nibelungen;1483.23;1484.566
Nibelungen;1485.56;1486.859
Nibelungen;1487.74;1489.066
Nibelungen;1490.05;1491.266
Nibelungen;1492.23;1493.586
Nibelungen;1494.48;1496.359
Nibelungen;1497.04;1499.119
Nibelungen;1499.79;1502.333
Nibelungen;1638.24;1640.139
Nibelungen;1642.38;1643.963
Nibelungen;1646.44;1648.338
Nibelungen;1650.14;1651.918
Nibelungen;1653.62;1655.508
Nibelungen;1653.62;1660.498
Nibelungen;1665.22;1666.778
Nibelungen;1668.6;1670.118
Nibelungen;1668.6;1674.978
Nibelungen;1881.045;1882.451
Nibelungen;1882.92;1884.33
Nibelungen;1884.8;1886.06
Nibelungen;1937.253;1938.383
Nibelungen;1982.14;1983.553
Nibelungen;1984.4;1985.665
Nibelungen;2005.464;2007.333
Nibelungen;2038.275;2040.417
Nibelungen;2041.105;2043.157
Nibelungen;2043.832;2045.847
Nibelungen;2046.514;2048.502
Nibelungen;2049.129;2050.998
Nibelungen;2051.665;2053.657
Nibelungen;2054.303;2056.23
Nibelungen;2056.85;2058.698
Nibelungen;2059.285;2061.038
Nibelungen;2061.59;2063.238
Nibelungen;2063.82;2065.558
Nibelungen;2066.11;2067.758
Nibelungen;2068.31;2069.958
Nibelungen;2070.525;2072.218
Nibelungen;2072.786;2074.483
Nibelungen;2075.024;2076.638
Nibelungen;2077.145;2078.658
Nibelungen;2087.12;2088.608
Nibelungen;2089.5;2090.787
Nibelungen;2091.56;2093.608
Nibelungen;2100.418;2101.618
Nibelungen;2104.91;2106.118
Nibelungen;2107.105;2108.087
Nibelungen;2118.205;2119.568
Nibelungen;2224.863;2226.063
Nibelungen;2229.32;2230.221
Nibelungen;2238.3;2239.95
Nibelungen;2358.68;2359.892
Nibelungen;2360.5;2361.66
Nibelungen;2411.995;2413.957
Nibelungen;2511.218;2511.855
Nibelungen;2512.493;2513.128
Nibelungen;2513.703;2515.418
Nibelungen;2520.72;2521.3
Nibelungen;2521.88;2522.458
Nibelungen;2525.535;2526.11
Nibelungen;2526.685;2527.258
Nibelungen;2544.845;2546.598
Nibelungen;2549.4;2550.898
Nibelungen;2553.705;2555.278
Nibelungen;2555.825;2557.458
Nibelungen;2555.825;2559.065
Nibelungen;2622.458;2624.131
Nibelungen;2662.07;2663.598
Nibelungen;2664.09;2665.558
Nibelungen;2672.455;2674.058
Nibelungen;2674.57;2676.098
Nibelungen;2693.36;2694.538
Nibelungen;2695.715;2696.807
Nibelungen;2697.9;2699.07
Nibelungen;2700.24;2701.36
Nibelungen;2702.48;2703.54
Nibelungen;2704.6;2705.786
Nibelungen;2732.83;2734.579
Nibelungen;2732.83;2735.599
Nibelungen;2760.966;2762.899
Nibelungen;2760.966;2768.61
Nibelungen;2796.76;2799.639
Nibelungen;2804.04;2805.079
Nibelungen;2804.04;2807.179
Nibelungen;2807.66;2810.134
Nibelungen;2895.155;2904.798
Nibelungen;3549.02;3550.159
Nibelungen;3555.325;3557.318
Nibelungen;3896.86;3898.418
Nibelungen;3896.86;3912.078
Nibelungen;4104.663;4108.099
Nibelungen;4344.4;4348.299
Nibelungen;4359.0;4359.468
Nibelungen;4360.9;4361.739
Nibelungen;4360.9;4363.639
Nibelungen;4375.2;4375.63
Nibelungen;4377.02;4377.44
Nibelungen;4380.58;4381.07
Nibelungen;4382.395;4382.837
Nibelungen;4384.16;4384.6
Nibelungen;4387.66;4388.479
Nibelungen;4389.4;4389.81
Nibelungen;4435.113;4435.939
Nibelungen;4435.113;4439.439
Riesen;537.81;545.5993
Riesen;2146.983;2191.411
Riesen;2367.48;2368.612
Riesen;2369.18;2370.251
Ring;166.95;169.8783
Ring;166.95;190.9491
Ring;360.41;363.5197
Ring;2058.7;2063.82
Ring;2058.7;2069.958
Ring;2182.647;2191.411
Ring;3685.02;3687.279
Ring;3685.02;3695.419
Ring;3891.34;3895.398
Schwert;264.4439;266.5403
Schwert;264.4439;268.2979
Schwert;273.2944;276.2278
Schwert;354.1275;355.7088
Schwert;364.9491;367.5357
Schwert;367.8907;370.3258
Schwert;370.6658;375.0386
Schwert;1477.671;1482.639
Schwert;1477.671;1487.199
Schwert;1522.465;1523.94
Schwert;1522.465;1530.39
Schwert;2738.686;2741.159
Schwert;2754.136;2756.519
Schwert;2775.296;2777.541
Schwert;2889.506;2892.318
Schwert;2924.993;2928.124
Schwert;3040.205;3043.56
Schwert;3093.471;3096.318
Schwert;3193.412;3195.694
Schwert;3518.78;3522.519
Schwert;3525.816;3528.429
Schwert;3704.243;3708.558
Schwert;3940.483;3943.139
Schwert;3940.483;3947.999
Schwert;3973.88;3979.05
Schwert;4226.075;4230.855
Schwert;4477.586;4479.079
Schwert;4488.326;4489.639
Schwert;4488.326;4492.739
Siegfried;519.7438;522.1388
Siegfried;1083.673;1093.315
Siegfried;1296.333;1304.16
Siegfried;1370.67;1377.05
Siegfried;2648.845;2656.48
Siegfried;2768.963;2776.439
Siegfried;2811.946;2815.205
Siegfried;2953.477;2957.315
Siegfried;3122.165;3126.87
Siegfried;3358.807;3366.91
Siegfried;3668.006;3670.97
Vertrag;1886.48;1892.058
Vertrag;1905.8;1911.638
Vertrag;1962.3;1968.138
Vertrag;1982.14;1986.987
Vertrag;1982.14;1989.185
Vertrag;2087.12;2094.446
Vertrag;2209.88;2215.039
Vertrag;2451.08;2456.07
Vertrag;2464.0;2468.729
Vertrag;2501.745;2506.227
Vertrag;2501.745;2506.227
Waberlohe;3294.06;3296.98
Waberlohe;3298.84;3301.665
Waberlohe;3298.84;3310.34
Waberlohe;3320.52;3335.855
Waberlohe;3342.18;3353.497
Waberlohe;3393.2;3396.625
Waberlohe;3393.2;3399.39
Waberlohe;3420.87;3423.595
Waberlohe;3420.87;3426.51
Waberlohe;3441.26;3452.695
Waberlohe;3457.7;3467.978
