Motif;StartSec;EndSec
Horn;444.87;447.2426
Horn;444.87;451.5279
Horn;785.5;787.2383
Horn;785.5;792.5882
Horn;965.1061;967.9628
Horn;968.5624;971.5382
Horn;968.5624;974.8385
Horn;1248.22;1250.959
Horn;1248.22;1256.699
Horn;3538.81;3541.818
Liebe;2604.54;2609.355
Mannen;1126.7;1128.559
Mannen;1126.7;1151.359
Mannen;1154.243;1155.199
Mannen;1154.243;1157.079
Mannen;1207.35;1215.099
Mannen;1219.72;1229.039
Mannen;1258.204;1265.839
Mannen;1280.36;1286.119
Mannen;1301.22;1302.718
Mannen;1318.84;1321.678
Mannen;1318.84;1324.399
Mannen;1340.7;1343.619
Mannen;1435.96;1438.819
Mannen;1435.96;1441.818
Mannen;1446.12;1458.873
Mannen;2224.286;2225.963
Mannen;2224.286;2231.48
Mannen;2233.9;2234.62
Mannen;2235.34;2236.243
Mannen;2257.76;2258.42
Mannen;2259.08;2259.868
Mannen;2369.199;2370.149
Mannen;2369.199;2372.795
Nibelungenhass;2.453;12.38153
Nibelungenhass;60.40897;66.26204
Nibelungenhass;60.40897;133.3994
Nibelungenhass;194.8663;196.8363
Nibelungenhass;197.2354;199.2471
Nibelungenhass;199.6484;201.8376
Nibelungenhass;204.85;209.9739
Nibelungenhass;204.85;213.686
Nibelungenhass;259.2295;263.3459
Nibelungenhass;259.2295;269.66
Nibelungenhass;276.1872;284.6358
Nibelungenhass;315.4858;320.1676
Nibelungenhass;325.2559;348.0177
Nibelungenhass;369.905;373.0399
Nibelungenhass;381.8147;385.8956
Nibelungenhass;395.0916;399.2755
Nibelungenhass;461.4905;464.8846
Nibelungenhass;461.4905;472.7029
Nibelungenhass;508.0306;509.7475
Nibelungenhass;512.45;515.1635
Nibelungenhass;512.45;526.4749
Nibelungenhass;549.8213;582.8875
Nibelungenhass;615.4157;617.7828
Nibelungenhass;1931.035;1933.496
Nibelungenhass;1935.88;1938.259
Nibelungenhass;1935.88;1945.666
Nibelungenhass;1948.63;1979.894
Nibelungenhass;1982.5;2000.542
Nibelungenhass;2065.622;2068.498
Nibelungenhass;2075.425;2076.678
Nibelungenhass;2154.311;2156.646
Nibelungenhass;2154.311;2159.474
Nibelungenhass;2169.315;2177.135
Nibelungenhass;2383.84;2388.718
Nibelungenhass;2824.52;2829.015
Nibelungenhass;2824.52;2833.156
Nibelungenhass;2839.74;2847.956
Nibelungenhass;2861.142;2866.131
Nibelungenhass;2867.799;2873.065
Nibelungenhass;3165.413;3167.896
Nibelungenhass;3165.413;3181.918
Nibelungenhass;3553.445;3558.358
Ring;170.5331;175.1354
Ring;179.04;183.3357
Ring;187.76;190.132
Ring;187.76;192.3775
Ring;337.79;339.0586
Ring;340.02;341.2662
Ring;425.11;426.455
Ring;428.38;429.55
Ring;428.38;432.6609
Ring;433.05;437.525
Ring;498.73;502.8926
Ring;2023.42;2024.766
Ring;2025.574;2026.978
Ring;2027.82;2028.794
Ring;2030.724;2031.678
Ring;2033.72;2034.798
Ring;2035.445;2036.698
Ring;2037.449;2039.279
Ring;2041.78;2045.517
Ring;2046.367;2050.181
Ring;2099.16;2100.13
Ring;2101.1;2101.948
Ring;2102.795;2103.698
Ring;2102.795;2104.598
Ring;2113.8;2114.76
Ring;3436.09;3440.258
Ring;3436.09;3444.076
Schicksal;1856.535;1864.723
Schicksal;2918.14;2928.472
Schicksal;2928.92;2936.536
Schicksal;2940.34;2947.157
Schicksal;2951.622;2958.197
Schwert;350.36;353.595
Schwert;417.22;420.1194
Schwert;523.7812;527.0901
Schwert;926.7044;930.1286
Schwert;1757.957;1761.2
Schwert;2307.855;2313.178
Schwert;2318.225;2323.718
Schwert;2324.985;2327.97
Schwert;2343.695;2346.389
Schwert;2354.38;2358.756
Schwert;3202.235;3205.615
Siegfried;2079.34;2084.732
Siegfried;3081.242;3085.758
Siegfried;3126.43;3133.817
Siegfried;3140.107;3146.312
Siegfried;3197.069;3201.303
Vertrag;420.1194;424.575
Vertrag;2308.3;2311.598
