Motif;StartSec;EndSec
Feuerzauber;3238.942;3241.378
Feuerzauber;3238.942;3251.8
Feuerzauber;3257.72;3260.158
Feuerzauber;3257.72;3275.057
Feuerzauber;3392.34;3404.73
Feuerzauber;3411.3;3413.558
Feuerzauber;3411.3;3417.07
Feuerzauber;4006.645;4009.99
Feuerzauber;4033.8;4038.73
Feuerzauber;4040.3;4043.945
Feuerzauber;4046.24;4050.624
Feuerzauber;4052.068;4055.675
Feuerzauber;4057.82;4061.38
Feuerzauber;4063.54;4066.357
Feuerzauber;4063.54;4230.536
Geschwisterliebe;654.21;655.6363
Geschwisterliebe;932.2;934.6091
Geschwisterliebe;935.06;937.7192
Liebe;2875.48;2883.185
Ring;885.68;889.9703
Ritt;8.849733;10.0482
Ritt;10.63674;11.81023
Ritt;12.40041;13.57724
Ritt;14.13062;15.23384
Ritt;15.81409;16.97126
Ritt;17.55642;18.72325
Ritt;19.28344;20.40032
Ritt;21.02404;22.26813
Ritt;28.33022;29.54467
Ritt;30.16871;31.41313
Ritt;31.98477;33.1243
Ritt;33.71841;34.90321
Ritt;41.06173;42.26719
Ritt;42.90337;44.1721
Ritt;44.77174;45.96721
Ritt;46.56707;47.76319
Ritt;48.425;49.74502
Ritt;54.08727;55.34811
Ritt;55.96072;57.18217
Ritt;57.80604;59.05013
Ritt;65.34032;66.69896
Ritt;127.966;129.3379
Ritt;130.0093;131.348
Ritt;133.9493;135.288
Ritt;135.9926;137.3979
Ritt;138.0494;139.348
Ritt;200.2893;201.628
Ritt;202.276;203.5681
Ritt;204.216;205.5081
Ritt;206.1394;207.3981
Ritt;208.0494;209.348
Ritt;209.986;211.2581
Ritt;211.8727;213.0982
Ritt;213.756;215.068
Ritt;215.716;217.0081
Ritt;217.6194;218.8382
Ritt;219.4993;220.818
Ritt;221.4827;222.808
Ritt;223.4261;224.6581
Ritt;225.3193;226.638
Ritt;227.326;228.6979
Ritt;229.326;230.5781
Ritt;231.1594;232.3183
Ritt;233.0526;234.5178
Ritt;235.2027;236.5679
Ritt;237.236;238.568
Ritt;418.9594;420.2481
Ritt;420.7162;421.6486
Ritt;422.0995;422.9987
Ritt;423.4429;424.3287
Ritt;424.7596;425.6187
Ritt;426.0263;426.8388
Ritt;427.2729;428.1387
Ritt;428.5696;429.4287
Ritt;429.8462;430.6788
Ritt;431.1062;431.9587
Ritt;432.3762;433.2088
Ritt;433.6562;434.5487
Ritt;434.9496;435.7488
Ritt;436.1729;437.0187
Ritt;437.4529;438.3187
Ritt;438.7163;439.5088
Ritt;439.9129;440.7188
Ritt;441.1696;442.0687
Ritt;442.4596;443.2388
Ritt;453.5496;454.3288
Ritt;454.7579;455.6137
Ritt;456.0529;456.9287
Ritt;459.9063;460.7188
Ritt;461.1329;461.9588
Ritt;462.4095;463.3087
Ritt;531.52;532.425
Ritt;531.52;536.7483
Ritt;1827.887;1829.138
Ritt;1829.699;1830.818
Ritt;1831.399;1832.558
Ritt;1835.017;1836.25
Ritt;1836.821;1837.958
Ritt;1838.546;1839.718
Ritt;1842.473;1843.898
Schicksal;3029.687;3034.937
Schicksal;3029.687;3040.437
Schicksal;3736.26;3745.694
Schicksal;3935.64;3943.42
Schicksal;3935.64;3953.694
Schicksal;4206.48;4214.777
Schwert;959.9146;960.5263
Schwert;990.7806;994.275
Schwert;3016.238;3019.398
Siegfried;944.73;954.0388
Siegfried;944.73;960.1088
Siegfried;1017.28;1022.783
Siegfried;2961.63;2969.135
Siegfried;2987.503;2996.18
Siegfried;3182.668;3191.969
Siegfried;3425.568;3439.198
Siegfried;4095.145;4119.45
Siegfried;4123.03;4148.817
Unmuth;1154.15;1155.71
Unmuth;1216.27;1221.245
Unmuth;1239.51;1244.287
Unmuth;1251.83;1256.903
Unmuth;1264.38;1267.678
Unmuth;1746.65;1752.13
Unmuth;1776.76;1781.081
Unmuth;1882.46;1889.844
Unmuth;1934.89;1941.537
Unmuth;1934.89;1954.333
Unmuth;2050.151;2056.961
Unmuth;2050.151;2066.412
Unmuth;2074.007;2080.209
Unmuth;2098.68;2110.022
Unmuth;2158.48;2163.789
Unmuth;2169.66;2174.986
Unmuth;2247.94;2251.659
Unmuth;2251.98;2255.776
Unmuth;2256.153;2260.013
Unmuth;2440.36;2446.472
Vertrag;1583.12;1591.378
Vertrag;1728.075;1730.419
Vertrag;1733.06;1736.574
Vertrag;3225.645;3230.705
Vertrag;3964.48;3972.149
Vertrag;3993.8;3999.253
Waberlohe;3158.049;3160.415
Waberlohe;3158.049;3175.165
Waberlohe;3192.505;3204.34
Waberlohe;3295.58;3302.135
Waberlohe;3342.74;3349.957
Waberlohe;3357.65;3366.732
Waberlohe;3533.7;3605.34
Waberlohe;3632.86;3642.8
Waberlohe;3670.913;3674.667
Waberlohe;3670.913;3676.914
Waberlohe;3692.269;3717.175
Waberlohe;3719.45;3731.913
Waberlohe;3732.76;3741.245
Waberlohe;3839.2;3879.554
Waberlohe;3912.6;3916.571
Waberlohe;3912.6;3916.571
Waberlohe;3918.954;3944.445
Waberlohe;4082.565;4201.203
