Motif;StartSec;EndSec
Horn;437.57;440.1075
Horn;437.57;445.2175
Horn;832.43;834.2781
Horn;832.43;840.408
Horn;1031.673;1034.922
Horn;1035.562;1038.718
Horn;1035.562;1042.418
Horn;1356.9;1360.218
Horn;1356.9;1367.838
Horn;3934.54;3937.778
Liebe;2894.41;2899.315
Mannen;1212.64;1214.919
Mannen;1212.64;1241.339
Mannen;1244.621;1245.739
Mannen;1244.621;1247.859
Mannen;1306.72;1315.799
Mannen;1321.83;1332.899
Mannen;1369.486;1378.319
Mannen;1396.0;1402.478
Mannen;1420.52;1422.138
Mannen;1442.5;1445.658
Mannen;1442.5;1448.918
Mannen;1468.32;1471.738
Mannen;1576.36;1579.578
Mannen;1576.36;1582.788
Mannen;1587.64;1601.978
Mannen;2456.96;2458.518
Mannen;2456.96;2465.26
Mannen;2468.0;2468.9
Mannen;2469.8;2470.72
Mannen;2495.3;2496.35
Mannen;2497.4;2498.4
Mannen;2630.56;2631.77
Mannen;2630.56;2634.994
Nibelungenhass;0.7015;9.712305
Nibelungenhass;50.82537;55.47733
Nibelungenhass;50.82537;113.2488
Nibelungenhass;172.5591;174.7582
Nibelungenhass;175.1966;177.3708
Nibelungenhass;177.8432;180.6369
Nibelungenhass;184.62;189.2078
Nibelungenhass;184.62;192.5925
Nibelungenhass;236.2095;240.3601
Nibelungenhass;236.2095;246.115
Nibelungenhass;251.9708;260.0157
Nibelungenhass;289.8058;295.0073
Nibelungenhass;300.9817;329.1769
Nibelungenhass;354.215;357.6136
Nibelungenhass;367.0081;371.7349
Nibelungenhass;380.2462;384.7951
Nibelungenhass;457.6121;461.3418
Nibelungenhass;457.6121;471.2287
Nibelungenhass;515.4859;517.5625
Nibelungenhass;520.9;524.3546
Nibelungenhass;520.9;538.3538
Nibelungenhass;566.9447;600.5855
Nibelungenhass;636.5261;639.3075
Nibelungenhass;2137.061;2140.21
Nibelungenhass;2143.02;2145.842
Nibelungenhass;2143.02;2153.609
Nibelungenhass;2156.367;2188.907
Nibelungenhass;2191.88;2211.559
Nibelungenhass;2281.022;2283.918
Nibelungenhass;2292.342;2293.678
Nibelungenhass;2384.52;2386.919
Nibelungenhass;2384.52;2389.77
Nibelungenhass;2398.42;2405.788
Nibelungenhass;2649.16;2655.238
Nibelungenhass;3125.995;3129.556
Nibelungenhass;3125.995;3132.837
Nibelungenhass;3139.1;3145.357
Nibelungenhass;3157.679;3162.573
Nibelungenhass;3164.162;3169.198
Nibelungenhass;3503.45;3506.229
Nibelungenhass;3503.45;3521.288
Nibelungenhass;3951.14;3957.018
Ring;148.2531;152.7355
Ring;156.32;161.1851
Ring;165.47;167.8187
Ring;165.47;169.9283
Ring;315.97;317.6684
Ring;318.975;320.6514
Ring;413.905;415.5788
Ring;417.95;419.29
Ring;417.95;423.104
Ring;426.28;429.01
Ring;503.63;506.2773
Ring;503.63;508.8373
Ring;2234.72;2236.17
Ring;2237.04;2238.39
Ring;2239.2;2240.3
Ring;2242.534;2243.665
Ring;2245.95;2247.294
Ring;2248.1;2249.518
Ring;2250.369;2252.409
Ring;2254.91;2258.907
Ring;2259.787;2263.888
Ring;2321.3;2322.36
Ring;2323.42;2324.57
Ring;2325.72;2326.73
Ring;2325.72;2327.738
Ring;2338.4;2339.42
Ring;3811.132;3816.018
Ring;3811.132;3820.857
Schicksal;2045.168;2054.83
Schicksal;3211.86;3221.436
Schicksal;3221.86;3228.277
Schicksal;3231.706;3238.097
Schicksal;3241.938;3248.697
Schwert;331.855;335.7375
Schwert;404.01;407.585
Schwert;534.955;539.1932
Schwert;988.6225;992.6716
Schwert;1943.28;1946.664
Schwert;2555.753;2562.638
Schwert;2569.234;2576.35
Schwert;2578.083;2582.48
Schwert;2600.105;2603.265
Schwert;2612.707;2618.257
Schwert;3541.891;3545.71
Siegfried;2296.94;2304.365
Siegfried;3406.215;3412.437
Siegfried;3459.108;3466.707
Siegfried;3473.376;3480.365
Siegfried;3536.047;3540.806
Vertrag;407.585;413.2375
Vertrag;2556.31;2560.398
