Motif;StartSec;EndSec
Geschwisterliebe;3.834694;5.264656
Geschwisterliebe;3.834694;12.62732
Geschwisterliebe;15.07701;23.67565
Geschwisterliebe;33.14299;34.56557
Geschwisterliebe;33.14299;36.15248
Geschwisterliebe;39.361;45.40312
Geschwisterliebe;48.81499;55.25148
Geschwisterliebe;74.03;80.60192
Geschwisterliebe;1694.475;1708.9
Geschwisterliebe;2574.25;2584.25
Geschwisterliebe;3323.099;3331.598
Geschwisterliebe;3331.898;3343.909
Geschwisterliebe;3344.4;3353.498
Geschwisterliebe;3370.1;3373.221
Geschwisterliebe;3376.5;3384.376
Geschwisterliebe;3388.1;3391.343
Geschwisterliebe;3394.8;3403.176
Geschwisterliebe;3408.066;3410.665
Geschwisterliebe;3411.899;3414.421
Geschwisterliebe;3423.7;3424.766
Geschwisterliebe;3425.3;3426.898
Geschwisterliebe;3425.3;3428.499
Geschwisterliebe;3428.9;3431.899
Geschwisterliebe;3432.3;3442.722
Geschwisterliebe;3453.266;3456.849
Geschwisterliebe;3484.2;3486.997
Geschwisterliebe;3484.2;3499.797
Geschwisterliebe;3505.2;3525.464
Geschwisterliebe;3565.965;3571.765
Geschwisterliebe;3565.965;3575.397
Geschwisterliebe;3589.631;3593.797
Geschwisterliebe;3602.631;3606.997
Geschwisterliebe;3627.199;3629.397
Geschwisterliebe;3627.199;3631.531
Geschwisterliebe;3903.5;3935.966
Geschwisterliebe;3956.3;3968.0
Geschwisterliebe;4706.35;4707.998
Geschwisterliebe;4706.35;4710.95
Geschwisterliebe;4714.7;4716.35
Geschwisterliebe;4714.7;4717.425
Geschwisterliebe;4766.6;4771.4
Geschwisterliebe;4839.75;4841.425
Geschwisterliebe;4844.1;4845.75
Geschwisterliebe;4869.132;4870.758
Geschwisterliebe;4869.132;4871.825
Geschwisterliebe;4897.9;4899.4
Geschwisterliebe;5033.3;5034.5
Geschwisterliebe;5033.3;5036.9
Geschwisterliebe;5045.9;5052.7
Geschwisterliebe;5059.0;5066.097
Geschwisterliebe;5223.5;5235.188
Geschwisterliebe;5236.65;5243.075
Liebe;393.79;406.5166
Liebe;531.03;548.2098
Liebe;1708.9;1717.175
Liebe;1708.9;1733.097
Liebe;3457.3;3478.697
Liebe;3676.999;3680.133
Liebe;3687.3;3690.899
Liebe;3687.3;3695.065
Liebe;3962.4;3973.896
Liebe;3962.4;4002.993
Liebe;4533.5;4542.45
Liebe;5078.0;5097.195
Nibelungenhass;2719.838;2723.482
Nibelungenhass;2719.838;2748.115
Nibelungenhass;2772.175;2788.662
Riesen;2299.3;2301.496
Ring;815.2;821.3075
Ring;815.2;827.71
Ring;2209.0;2215.7
Ring;2218.1;2224.697
Ring;2239.2;2245.15
Ring;2239.2;2254.475
Ring;2566.975;2569.725
Schicksal;3996.3;4008.375
Schicksal;4017.1;4028.55
Schicksal;4061.4;4072.6
Schicksal;4081.0;4092.7
Schicksal;4151.1;4161.325
Schicksal;4168.0;4177.775
Schicksal;4205.6;4214.5
Schicksal;4217.2;4226.25
Schicksal;4272.8;4282.7
Schicksal;4285.7;4296.55
Schicksal;4299.4;4307.425
Schicksal;4299.4;4310.95
Schicksal;4588.2;4594.425
Schicksal;4608.4;4612.4
Schicksal;4627.7;4631.9
Schicksal;4632.5;4636.625
Schicksal;4658.9;4663.098
Schicksal;4673.8;4677.625
Schicksal;4673.8;4682.098
Schicksal;5065.425;5072.113
Schicksal;5072.5;5082.2
Schicksal;5133.1;5141.996
Schicksal;5469.3;5480.013
Schicksal;5480.6;5492.85
Schicksal;5514.6;5521.475
Schicksal;5523.2;5531.462
Schicksal;5533.3;5550.35
Schwert;0.3735147;3.833084
Schwert;11.76518;15.0754
Schwert;31.38216;34.56557
Schwert;67.40004;70.78337
Schwert;609.13;613.7936
Schwert;785.75;792.795
Schwert;942.52;947.2376
Schwert;1242.6;1246.098
Schwert;2626.512;2631.098
Schwert;2946.7;2950.398
Schwert;3737.5;3740.15
Schwert;3881.825;3884.912
Schwert;4686.95;4692.098
Schwert;4933.676;4936.1
Schwert;5254.676;5256.498
Schwert;5258.3;5260.403
Schwert;5398.863;5402.898
Schwert;5406.975;5410.2
Schwert;5412.675;5415.25
Schwert;5425.45;5431.05
Schwert;5433.988;5435.675
Unmuth;965.845;971.68
Unmuth;975.565;980.9112
Unmuth;984.36;990.3938
Unmuth;994.28;998.665
Unmuth;994.28;1000.755
Unmuth;1119.15;1137.9
Unmuth;1153.25;1167.2
Unmuth;1184.492;1192.35
Unmuth;1207.9;1217.925
Unmuth;1228.337;1232.15
Unmuth;1228.337;1241.65
Unmuth;1485.0;1494.2
Unmuth;1485.0;1506.894
Unmuth;1533.0;1542.325
Unmuth;1549.35;1558.425
Unmuth;1561.55;1571.05
Unmuth;1574.8;1586.396
Unmuth;1859.5;1878.495
Unmuth;1930.825;1936.595
Unmuth;2350.95;2353.525
Unmuth;2367.4;2369.725
Unmuth;2405.5;2407.825
Unmuth;2412.45;2415.157
Unmuth;2430.625;2433.4
Unmuth;2430.625;2440.2
Unmuth;2537.225;2540.363
Unmuth;3108.8;3118.688
Unmuth;3140.85;3153.725
Unmuth;3251.797;3259.235
Unmuth;3292.832;3301.849
Unmuth;5622.35;5631.038
Vertrag;807.13;813.0325
Vertrag;920.59;929.35
Vertrag;1368.8;1376.675
Vertrag;2340.921;2345.65
Vertrag;2985.8;2991.698
Vertrag;5434.1;5439.998
Vertrag;5584.9;5596.775
Walhall-b;4358.8;4364.6
Walhall-b;4365.0;4370.797
Walhall-b;4412.1;4417.186
Walhall-b;4412.1;4421.297
