Motif;StartSec;EndSec
Feuerzauber;3478.6;3481.675
Feuerzauber;3483.7;3486.775
Feuerzauber;3569.5;3572.75
Feuerzauber;3574.7;3577.85
Horn;465.45;467.175
Horn;468.72;470.295
Horn;471.82;472.859
Horn;471.82;477.8
Horn;480.23;483.805
Horn;485.39;491.4089
Horn;496.92;503.3989
Horn;505.08;505.6788
Horn;522.93;526.3789
Horn;720.3;722.299
Horn;3764.7;3766.3
Horn;3767.8;3769.4
Horn;3800.3;3802.0
Horn;3809.0;3809.999
Horn;3809.0;3812.55
Horn;3815.1;3817.199
Horn;3834.2;3835.8
Horn;3837.3;3838.9
Horn;4691.6;4693.17
Horn;4691.6;4694.199
Horn;4696.8;4698.399
Jugendkraft;561.57;562.8094
Jugendkraft;561.57;566.5394
Jugendkraft;571.53;572.7894
Jugendkraft;574.08;574.7094
Jugendkraft;574.08;583.0294
Jugendkraft;584.3;588.1094
Jugendkraft;602.72;604.0494
Jugendkraft;602.72;607.8093
Jugendkraft;610.39;620.9293
Jugendkraft;674.15;675.5593
Jugendkraft;792.5596;793.8994
Jugendkraft;799.4896;800.8694
Jugendkraft;806.5397;807.8394
Jugendkraft;813.483;814.8826
Jugendkraft;815.563;816.229
Jugendkraft;815.563;822.6594
Jugendkraft;839.16;842.0293
Jugendkraft;1105.266;1106.166
Jugendkraft;1190.3;1191.599
Jugendkraft;1190.3;1194.199
Jugendkraft;1564.9;1574.899
Jugendkraft;1611.233;1612.633
Jugendkraft;1613.333;1614.733
Jugendkraft;1615.433;1616.833
Jugendkraft;1617.533;1618.199
Jugendkraft;3011.9;3013.199
Jugendkraft;3011.9;3027.899
Jugendkraft;3265.8;3268.399
Jugendkraft;3270.4;3273.599
Jugendkraft;3285.8;3286.4
Jugendkraft;3287.0;3288.399
Jugendkraft;3313.4;3314.0
Jugendkraft;3314.6;3315.25
Jugendkraft;3315.9;3316.6
Jugendkraft;3315.9;3317.299
Jugendkraft;3337.3;3339.896
Jugendkraft;3367.95;3369.899
Jugendkraft;3432.55;3433.199
Jugendkraft;3432.55;3434.599
Jugendkraft;3435.25;3437.099
Jugendkraft;3683.3;3688.599
Jugendkraft;3711.9;3713.199
Jugendkraft;3711.9;3714.599
Liebe;1296.625;1317.769
Mime;620.93;621.7192
Mime;620.93;634.7791
Mime;654.22;654.9693
Mime;655.71;656.4593
Mime;655.71;668.8391
Mime;670.75;674.1492
Mime;678.32;688.135
Mime;690.16;690.805
Mime;691.45;692.11
Mime;692.77;693.455
Mime;692.77;694.1386
Mime;697.15;698.107
Mime;698.96;699.989
Mime;701.02;701.8691
Mime;702.92;703.7991
Mime;704.82;705.6492
Mime;706.66;707.7189
Mime;708.72;709.769
Mime;710.66;711.649
Mime;712.55;713.549
Mime;714.5;715.4391
Mime;716.43;717.459
Mime;718.46;719.3691
Mime;720.3;721.299
Mime;722.3;723.259
Mime;724.17;725.139
Mime;727.07;728.079
Mime;727.07;729.089
Mime;732.12;736.939
Mime;738.88;748.969
Mime;751.89;752.939
Mime;754.04;754.9491
Mime;754.04;756.1688
Mime;759.7829;760.5888
Mime;759.7829;763.4692
Mime;765.983;766.6889
Mime;768.0863;768.8189
Mime;770.1863;770.859
Mime;771.2296;771.9689
Mime;794.2;795.159
Mime;794.2;799.109
Mime;801.18;806.209
Mime;808.16;813.1291
Mime;823.95;824.6293
Mime;825.27;825.9393
Mime;825.27;838.269
Mime;901.39;905.1993
Mime;1214.4;1215.1
Mime;1214.4;1222.299
Mime;1223.7;1229.64
Mime;1469.2;1472.399
Mime;3027.9;3033.999
Mime;3344.6;3346.699
Mime;3347.4;3349.499
Mime;3352.125;3353.5
Mime;3409.0;3409.65
Mime;3409.0;3411.699
Mime;3413.0;3416.45
Mime;3424.55;3426.499
Mime;3690.7;3691.999
Mime;3692.6;3697.199
Mime;3703.9;3704.599
Mime;3705.3;3705.899
Mime;3705.3;3711.299
Mime;3715.2;3717.299
Nibelungen;109.946;113.0481
Nibelungen;113.3554;114.8882
Nibelungen;113.3554;118.3583
Nibelungen;122.6827;125.7582
Nibelungen;122.6827;131.0182
Nibelungen;138.29;193.6684
Nibelungen;229.7054;261.8484
Nibelungen;265.24;276.2985
Nibelungen;279.57;285.1479
Nibelungen;314.5494;316.7556
Nibelungen;317.8361;320.0555
Nibelungen;320.62;325.6784
Nibelungen;428.69;442.2984
Nibelungen;445.61;455.5384
Nibelungen;1531.9;1533.432
Nibelungen;1534.45;1535.866
Nibelungen;1536.85;1538.199
Nibelungen;1539.2;1540.599
Nibelungen;1541.6;1542.933
Nibelungen;1543.95;1545.199
Nibelungen;1546.1;1547.632
Nibelungen;1548.7;1550.499
Nibelungen;1551.15;1553.099
Nibelungen;1553.75;1556.233
Nibelungen;1689.6;1691.266
Nibelungen;1693.6;1695.266
Nibelungen;1697.5;1699.298
Nibelungen;1700.9;1702.898
Nibelungen;1704.5;1706.398
Nibelungen;1704.5;1710.898
Nibelungen;1715.5;1717.098
Nibelungen;1718.7;1720.298
Nibelungen;1718.7;1724.998
Nibelungen;1946.9;1948.4
Nibelungen;1948.9;1950.475
Nibelungen;1951.0;1952.5
Nibelungen;2005.5;2006.698
Nibelungen;2056.916;2058.656
Nibelungen;2059.7;2061.325
Nibelungen;2084.05;2086.297
Nibelungen;2118.3;2120.697
Nibelungen;2121.45;2123.697
Nibelungen;2124.45;2126.697
Nibelungen;2127.4;2129.497
Nibelungen;2130.175;2132.197
Nibelungen;2132.9;2134.997
Nibelungen;2135.625;2137.497
Nibelungen;2138.225;2140.397
Nibelungen;2141.075;2143.097
Nibelungen;2143.65;2145.298
Nibelungen;2145.975;2147.997
Nibelungen;2148.625;2150.497
Nibelungen;2151.15;2153.097
Nibelungen;2153.8;2155.897
Nibelungen;2156.525;2158.398
Nibelungen;2159.05;2160.997
Nibelungen;2161.6;2163.398
Nibelungen;2174.2;2175.887
Nibelungen;2176.9;2178.525
Nibelungen;2179.5;2181.95
Nibelungen;2189.0;2190.397
Nibelungen;2194.35;2195.697
Nibelungen;2197.0;2198.297
Nibelungen;2209.675;2211.613
Nibelungen;2335.95;2337.397
Nibelungen;2341.55;2342.488
Nibelungen;2351.9;2353.9
Nibelungen;2492.2;2493.599
Nibelungen;2494.3;2495.699
Nibelungen;2554.95;2557.197
Nibelungen;2665.4;2666.1
Nibelungen;2666.8;2667.497
Nibelungen;2668.175;2670.197
Nibelungen;2676.475;2677.15
Nibelungen;2677.825;2678.497
Nibelungen;2682.05;2682.7
Nibelungen;2683.35;2683.997
Nibelungen;2703.55;2705.497
Nibelungen;2708.6;2710.398
Nibelungen;2713.5;2715.298
Nibelungen;2715.9;2717.698
Nibelungen;2715.9;2719.5
Nibelungen;2800.35;2802.297
Nibelungen;2847.125;2848.997
Nibelungen;2849.6;2851.398
Nibelungen;2858.8;2860.598
Nibelungen;2861.175;2862.898
Nibelungen;2881.1;2882.45
Nibelungen;2883.8;2885.1
Nibelungen;2886.4;2887.7
Nibelungen;2889.0;2890.3
Nibelungen;2891.6;2892.85
Nibelungen;2894.1;2895.45
Nibelungen;2924.9;2926.799
Nibelungen;2924.9;2927.999
Nibelungen;2954.799;2956.899
Nibelungen;2954.799;2962.9
Nibelungen;2992.4;2995.599
Nibelungen;3000.3;3001.399
Nibelungen;3000.3;3003.499
Nibelungen;3004.05;3006.799
Nibelungen;3092.575;3103.798
Nibelungen;3748.9;3749.999
Nibelungen;3754.85;3756.778
Nibelungen;4103.7;4105.198
Nibelungen;4103.7;4119.798
Nibelungen;4323.799;4327.398
Nibelungen;4550.0;4553.899
Nibelungen;4564.3;4564.8
Nibelungen;4566.2;4567.099
Nibelungen;4566.2;4568.899
Nibelungen;4580.2;4580.65
Nibelungen;4582.0;4582.45
Nibelungen;4585.3;4585.85
Nibelungen;4587.3;4587.7
Nibelungen;4588.9;4589.3
Nibelungen;4592.3;4593.199
