Motif;StartSec;EndSec
Horn;922.37;923.46
Horn;924.55;925.66
Horn;1411.45;1412.398
Horn;1855.5;1863.695
Horn;1855.5;1868.15
Horn;1912.2;1916.199
Horn;1912.2;1921.099
Horn;1922.0;1931.699
Ring;854.46;859.2264
Ring;854.46;863.2674
Ring;881.62;892.8863
Ring;1553.2;1555.55
Ring;2094.7;2100.797
Ring;2094.7;2116.197
Ritt;1575.532;1576.656
Ritt;1577.194;1578.798
Ritt;1596.95;1598.05
Ritt;1599.1;1600.1
Ritt;1601.1;1602.1
Ritt;1603.1;1604.598
Ritt;1603.1;1606.175
Ritt;1608.7;1610.125
Ritt;1610.6;1612.1
Ritt;1612.6;1613.6
Ritt;1617.728;1619.311
Ritt;1622.23;1624.117
Ritt;1629.556;1631.223
Schicksal;75.63299;85.94069
Schicksal;117.3275;122.6559
Schicksal;600.89;609.5458
Schicksal;613.2;620.3374
Schicksal;811.94;819.5447
Schicksal;988.27;996.9556
Schicksal;988.27;1005.496
Schwert;915.56;918.1088
Siegfried;1414.15;1418.398
Siegfried;1414.15;1419.775
Siegfried;1524.95;1533.498
Vertrag;296.95;301.6694
Vertrag;581.1125;584.355
Vertrag;696.43;700.538
Vertrag;696.43;704.4481
Vertrag;724.93;732.9181
