Motif;StartSec;EndSec
Nibelungen;3010.625;3012.678
Nibelungen;3010.625;3014.478
Nibelungen;3853.4;3862.059
Nibelungen;3863.54;3907.243
Nibelungen;4074.7;4077.879
Nibelungen;4079.52;4106.859
Nibelungen;4113.632;4119.175
Nibelungen;4200.24;4258.016
Nibelungen;4278.08;4279.512
Nibelungen;4284.365;4286.75
Nibelungen;4301.69;4303.539
Nibelungen;4390.44;4391.719
Nibelungen;4390.44;4394.779
Nibelungen;4405.559;4425.659
Nibelungen;4510.931;4519.999
Nibelungen;4887.006;4899.55
Nibelungen;4922.118;4928.83
Nibelungen;4929.152;4934.754
Nibelungen;5061.56;5064.319
Nibelungen;5305.74;5335.859
Nibelungen;5672.46;5692.478
Nibelungen;5699.32;5765.498
Nibelungen;5770.02;5791.578
Nibelungen;6742.8;6745.03
Nibelungen;6747.25;6749.45
Nibelungen;6750.54;6752.698
Nibelungen;6750.54;6757.073
Nibelungen;6765.98;6768.158
Nibelungen;6765.98;6782.46
Nibelungen;6807.042;6811.438
Nibelungen;6839.48;6849.187
Nibelungen;6941.48;6945.838
Nibelungen;7511.898;7513.118
Nibelungen;7514.25;7515.378
Nibelungen;7516.663;7517.944
Nibelungen;7521.72;7523.017
Nibelungen;7524.27;7525.518
Nibelungenhass;6135.068;6138.186
Nibelungenhass;6142.38;6145.766
Nibelungenhass;6149.7;6152.436
Nibelungenhass;6149.7;6162.574
Nibelungenhass;6217.45;6253.536
Nibelungenhass;6472.765;6482.914
Nibelungenhass;7215.74;7228.178
Nibelungenhass;7543.472;7548.378
Nibelungenhass;7637.883;7659.482
Riesen;1872.32;1873.877
Riesen;1872.32;1875.214
Riesen;1918.66;1919.71
Riesen;1920.06;1921.08
Riesen;1921.42;1922.575
Riesen;1922.96;1924.055
Riesen;1950.38;1962.589
Riesen;1950.38;1979.356
Riesen;1995.76;2014.796
Riesen;2245.88;2249.237
Riesen;2245.88;2252.137
Riesen;2340.66;2345.738
Riesen;2353.03;2355.478
Riesen;2392.76;2394.838
Riesen;2396.86;2399.038
Riesen;2640.273;2642.957
Riesen;2640.273;2645.577
Riesen;3260.44;3263.557
Riesen;3274.86;3279.11
Riesen;3290.58;3294.315
Riesen;5349.62;5352.637
Riesen;5349.62;5361.297
Riesen;5370.12;5381.788
Riesen;5393.96;5395.71
Riesen;5396.76;5399.537
Riesen;5396.76;5403.35
Riesen;5407.56;5410.137
Riesen;5407.56;5412.478
Riesen;6389.82;6466.727
Riesen;6696.24;6699.157
Riesen;6696.24;6709.717
Riesen;6727.62;6728.75
Riesen;6729.88;6731.08
Riesen;6732.28;6733.52
Riesen;6759.52;6761.698
Riesen;6759.52;6768.158
Riesen;6809.012;6810.226
Riesen;6811.44;6812.54
Riesen;7507.78;7509.228
Riesen;7510.676;7511.898
Riesen;7513.12;7514.25
Riesen;7515.38;7516.663
Riesen;7517.946;7520.418
Riesen;7517.946;7530.658
Riesen;7659.485;7664.538
Ring;1004.98;1007.355
Ring;1064.72;1069.106
Ring;1146.84;1150.232
Ring;1150.88;1154.312
Ring;1155.0;1159.063
Ring;1155.0;1163.997
Ring;1332.9;1340.156
Ring;1347.64;1355.516
Ring;1362.718;1371.735
Ring;1362.718;1381.54
Ring;1481.62;1487.293
Ring;1684.16;1689.537
Ring;1692.0;1701.476
Ring;2836.457;2840.563
Ring;2836.457;2844.436
Ring;2954.4;2957.081
Ring;2957.82;2959.698
Ring;2961.7;2965.638
Ring;2961.7;2982.678
Ring;3040.3;3049.438
Ring;3061.98;3070.138
Ring;3158.067;3161.718
Ring;3158.067;3165.398
Ring;3350.7;3353.555
Ring;3353.96;3357.418
Ring;3686.8;3693.324
Ring;3752.94;3758.537
Ring;3847.76;3849.179
Ring;3850.6;3852.096
Ring;4054.1;4056.639
Ring;4054.1;4058.939
Ring;4308.26;4310.799
Ring;4308.26;4313.079
Ring;4314.24;4318.699
Ring;4365.52;4370.299
Ring;4502.613;4503.819
Ring;4502.613;4510.93
Ring;4676.54;4681.099
Ring;4912.233;4918.598
Ring;5284.4;5285.999
Ring;5284.4;5301.381
Ring;5647.64;5656.417
Ring;5821.475;5827.19
Ring;5827.52;5832.365
Ring;5827.52;5840.156
Ring;5957.44;5964.049
Ring;6094.84;6106.875
Ring;6203.42;6210.665
Ring;6203.42;6217.04
Ring;6991.46;6997.058
Ring;7548.38;7550.718
Ring;7548.38;7555.015
Ring;7557.245;7561.538
Ring;7672.345;7678.77
Ring;7672.345;7685.36
Ring;8041.6;8046.666
Ring;8041.6;8062.317
Ring;8173.66;8177.506
Ring;8177.86;8181.646
Ring;8182.0;8184.276
Ring;8182.0;8189.445
Schwert;8102.175;8110.105
Vertrag;1603.28;1611.783
Vertrag;1620.335;1628.365
Vertrag;1630.915;1636.3
Vertrag;1817.271;1822.95
Vertrag;1976.12;1985.63
Vertrag;2059.16;2066.153
Vertrag;2093.485;2098.588
Vertrag;2107.94;2114.06
Vertrag;2142.196;2148.349
Vertrag;2414.671;2418.715
Vertrag;2567.358;2571.904
Vertrag;6035.403;6040.0
Vertrag;7440.08;7444.538
Walhall-b;1401.94;1405.476
Walhall-b;1409.08;1412.534
Walhall-b;1409.08;1433.676
Walhall-b;1444.16;1448.073
Walhall-b;1487.62;1490.717
Walhall-b;1487.62;1493.757
Walhall-b;1527.4;1530.457
Walhall-b;1527.4;1547.477
Walhall-b;1556.2;1559.128
Walhall-b;1562.271;1565.117
Walhall-b;1780.772;1782.998
Walhall-b;1780.772;1786.998
Walhall-b;2025.896;2030.699
Walhall-b;2033.62;2037.488
Walhall-b;2232.385;2234.088
Walhall-b;2476.32;2477.805
Walhall-b;2481.18;2482.68
Walhall-b;2506.66;2508.978
Walhall-b;2511.62;2513.838
Walhall-b;2511.62;2518.858
Walhall-b;3296.4;3298.797
Walhall-b;4759.353;4761.957
Walhall-b;4759.353;4770.02
Walhall-b;4783.28;4790.836
Walhall-b;7735.603;7737.738
Walhall-b;7739.02;7741.045
Walhall-b;7742.26;7746.076
Walhall-b;7957.44;7960.437
Walhall-b;7963.38;7966.257
Walhall-b;7963.38;7983.437
Walhall-b;7992.0;7995.237
Walhall-b;8000.888;8003.597
Walhall-b;8000.888;8011.957
Walhall-b;8020.877;8023.557
Walhall-b;8020.877;8029.617
Walhall-b;8142.16;8144.797
Walhall-b;8142.16;8159.398
Walhall-b;8252.286;8254.837
Walhall-b;8252.286;8282.098
Walhall-b;8325.96;8345.597
