Motif;StartSec;EndSec
Feuerzauber;159.84;161.7581
Feuerzauber;163.96;165.8648
Feuerzauber;1431.68;1434.657
Feuerzauber;1437.54;1440.366
Feuerzauber;4093.973;4099.418
Feuerzauber;4101.3;4105.92
Feuerzauber;4108.46;4114.01
Feuerzauber;4115.94;4120.444
Feuerzauber;4164.7;4169.099
Feuerzauber;4175.54;4179.91
Horn;221.07;223.2894
Horn;221.07;227.1337
Horn;276.404;281.9081
Horn;555.6625;559.5163
Horn;555.6625;563.4072
Horn;564.045;588.7027
Horn;626.93;631.0477
Horn;626.93;632.9488
Horn;639.8633;641.7873
Horn;639.8633;646.489
Horn;655.17;657.0259
Horn;659.575;661.4975
Horn;659.575;670.098
Horn;674.21;677.8971
Horn;1901.614;1904.335
Horn;1910.28;1912.418
Horn;1914.3;1916.238
Horn;1921.24;1923.356
Horn;1930.17;1932.216
Horn;1999.472;2001.775
Horn;2009.186;2011.781
Horn;2247.867;2250.415
Horn;2292.34;2294.735
Horn;4164.7;4169.916
Horn;4175.54;4180.818
Horn;4190.095;4199.587
Nibelungen;983.2025;985.1274
Nibelungen;985.7725;987.6974
Nibelungen;988.35;990.2974
Nibelungen;988.35;992.7575
Nibelungen;995.54;1000.737
Nibelungen;1011.55;1016.058
Nibelungen;1024.24;1026.217
Nibelungen;1026.852;1028.744
Nibelungen;1029.39;1031.317
Nibelungen;1063.455;1064.937
Nibelungen;1063.455;1067.617
Nibelungen;1755.433;1757.338
Nibelungenhass;1919.12;1923.955
Nibelungenhass;1919.12;1932.833
Nibelungenhass;4651.993;4665.065
Nibelungenhass;4703.773;4708.309
Ring;38.762;40.78698
Ring;283.85;287.8981
Ring;283.85;296.4079
Ring;682.01;685.6282
Ring;1746.11;1751.675
Ring;2237.312;2246.591
Ring;2253.52;2258.503
Ring;2281.32;2291.14
Ring;2297.465;2302.362
Ring;2535.843;2545.637
Ring;2552.931;2557.935
Ring;2564.56;2570.89
Ring;2571.82;2575.656
Ring;3572.36;3579.45
Ring;3572.36;3589.336
Ring;3800.653;3804.56
Ring;3837.2;3839.218
Ring;3837.2;3841.198
Ring;3866.83;3873.217
Ring;4494.488;4496.118
Ring;4521.78;4523.205
Ring;4525.549;4527.042
Ritt;806.1175;807.5325
Ritt;809.65;811.0572
Ritt;839.0575;840.4725
Ritt;857.34;858.73
Ritt;2644.458;2645.457
Ritt;2646.939;2647.678
Ritt;2665.912;2667.473
Ritt;2673.686;2675.178
Ritt;2675.68;2676.678
Ritt;2692.92;2694.519
Ritt;2692.92;2702.958
Ritt;2725.419;2725.819
Ritt;2727.152;2727.818
Ritt;2728.819;2729.319
Ritt;3661.985;3663.498
Ritt;3661.985;3668.27
Schicksal;3332.98;3342.004
Schwert;220.7952;222.4114
Schwert;223.0841;224.3161
Schwert;276.404;277.5741
Schwert;316.815;318.788
Schwert;459.1325;463.2376
Schwert;673.8727;675.9982
Schwert;969.305;974.01
Schwert;1572.244;1574.0
Schwert;4730.055;4734.158
Schwert;4760.84;4764.13
Siegfried;760.781;771.2841
Siegfried;780.44;788.83
Siegfried;829.37;840.4725
Siegfried;2015.306;2037.543
Siegfried;2261.013;2272.715
Siegfried;2305.256;2316.515
Siegfried;2908.471;2919.075
Siegfried;4158.76;4162.738
Siegfried;4185.945;4192.049
Unmuth;3031.89;3040.102
Unmuth;3047.035;3055.128
Unmuth;3091.491;3095.963
Unmuth;3105.906;3110.21
Unmuth;3119.523;3122.873
Unmuth;3123.825;3125.998
Unmuth;3489.353;3495.127
Unmuth;3508.803;3512.137
Unmuth;3513.061;3516.5
Unmuth;3647.627;3651.74
Unmuth;3655.177;3658.83
Unmuth;3688.512;3694.66
Unmuth;3688.512;3704.342
Vertrag;1581.0;1585.195
Vertrag;1608.82;1613.378
Vertrag;1629.46;1636.096
Vertrag;1673.86;1680.87
Vertrag;1698.68;1703.438
Vertrag;2268.655;2278.434
Vertrag;2312.785;2323.15
Vertrag;3153.287;3160.716
Vertrag;4730.309;4734.158
Walhall-b;2162.6;2174.247
Walhall-b;3141.29;3143.235
Walhall-b;3148.98;3156.711
Walhall-b;3160.72;3162.757
Walhall-b;3169.34;3178.31
Walhall-b;3204.02;3206.307
Walhall-b;3213.148;3221.537
