Motif;StartSec;EndSec
Feuerzauber;1963.6;1966.299
Feuerzauber;1967.7;1970.466
Feuerzauber;1971.8;1974.333
Feuerzauber;1975.6;1978.399
Feuerzauber;3704.9;3711.802
Feuerzauber;3714.1;3720.562
Feuerzauber;3743.5;3753.199
Feuerzauber;3743.5;3760.85
Feuerzauber;4639.9;4644.2
Feuerzauber;4657.0;4660.538
Feuerzauber;4701.6;4705.775
Horn;1.2078;6.762351
Horn;1.2078;10.76937
Horn;90.21;94.16323
Horn;372.12;375.3685
Horn;1231.0;1234.669
Horn;1238.8;1243.499
Horn;1280.4;1285.398
Horn;1280.4;1312.298
Horn;1334.25;1336.987
Horn;1377.2;1378.998
Horn;1377.2;1380.95
Horn;1386.6;1393.898
Horn;2985.5;2987.2
Horn;3006.427;3007.963
Horn;3012.4;3013.825
Horn;3015.25;3016.525
Horn;3184.9;3185.95
Horn;3187.0;3188.15
Horn;3307.5;3308.75
Liebe;2675.3;2687.675
Liebe;2675.3;2701.0
Nibelungen;790.51;794.8378
Nibelungen;1573.9;1575.698
Nibelungen;1573.9;1580.698
Nibelungen;1595.9;1599.198
Nibelungen;1603.9;1607.098
Nibelungen;1618.361;1626.7
Nibelungen;1825.8;1835.297
Ring;503.72;512.6977
Ring;680.98;690.7076
Ring;710.43;715.2377
Ring;738.24;740.8152
Ring;741.14;743.5731
Ring;743.88;746.4552
Ring;746.78;749.6272
Ring;751.115;755.5071
Ring;751.115;758.3771
Ring;770.4381;775.8974
Ring;862.17;870.5678
Ring;893.47;897.7392
Ring;898.72;905.1389
Ring;980.85;983.2387
Ring;980.85;986.0329
Ring;1063.3;1085.498
Ring;3393.9;3396.412
Ring;3397.6;3399.698
Ring;3397.6;3401.559
Ring;3413.9;3419.681
Ring;4277.9;4283.897
Ring;4382.4;4388.597
Schicksal;823.89;831.21
Schicksal;2132.4;2141.31
Schicksal;2175.5;2187.494
Schicksal;2192.2;2203.394
Schicksal;2327.8;2336.696
Schicksal;2448.1;2461.594
Schicksal;3056.6;3065.196
Schicksal;3474.448;3483.824
Schicksal;3491.3;3499.995
Schicksal;3613.0;3621.796
Schicksal;3627.4;3635.596
Schicksal;3639.5;3649.295
Schicksal;4017.493;4025.997
Schicksal;4033.7;4038.475
Schicksal;4043.8;4051.025
Schicksal;4052.9;4056.45
Schicksal;4059.45;4063.15
Schicksal;4059.45;4066.297
Schicksal;4090.8;4099.696
Schicksal;4104.0;4114.395
Schwert;908.3358;911.3109
Schwert;1637.55;1639.398
Schwert;2731.615;2742.9
Schwert;3429.227;3437.269
Schwert;3887.352;3893.297
Siegfried;900.9825;905.1389
Siegfried;2103.233;2108.497
Siegfried;2364.465;2369.032
Siegfried;2374.105;2378.332
Siegfried;2383.405;2391.234
Siegfried;2393.452;2398.795
Siegfried;2768.787;2797.493
Siegfried;2809.125;2830.093
Siegfried;3189.013;3193.461
Siegfried;3709.504;3731.938
Siegfried;3752.565;3771.812
Siegfried;4535.821;4540.507
Siegfried;4542.117;4553.201
Siegfried;4616.875;4631.925
Siegfried;4847.3;4852.198
Vertrag;875.4664;878.7
Vertrag;4407.625;4415.202
Waberlohe;2015.004;2020.55
Waberlohe;2015.004;2048.296
Waldweben;1702.3;1753.097
Waldweben;1764.3;1813.598
Waldweben;1909.2;1929.797
Walhall-b;4838.0;4843.798
Walhall-b;4838.0;4852.198
