Motif;StartSec;EndSec
Geschwisterliebe;3.582292;5.011366
Geschwisterliebe;3.582292;12.19844
Geschwisterliebe;14.51701;23.14515
Geschwisterliebe;32.8;34.10856
Geschwisterliebe;32.8;35.76446
Geschwisterliebe;39.201;45.59856
Geschwisterliebe;49.40601;56.33238
Geschwisterliebe;75.261;81.35704
Geschwisterliebe;1542.921;1554.135
Geschwisterliebe;2372.99;2382.495
Geschwisterliebe;3099.298;3118.878
Geschwisterliebe;3119.36;3127.698
Geschwisterliebe;3144.08;3147.259
Geschwisterliebe;3150.89;3160.057
Geschwisterliebe;3164.26;3167.832
Geschwisterliebe;3171.64;3182.047
Geschwisterliebe;3188.053;3190.732
Geschwisterliebe;3191.999;3194.397
Geschwisterliebe;3203.68;3204.566
Geschwisterliebe;3205.011;3206.795
Geschwisterliebe;3205.011;3208.356
Geschwisterliebe;3208.74;3211.961
Geschwisterliebe;3212.38;3224.084
Geschwisterliebe;3235.833;3239.592
Geschwisterliebe;3272.603;3275.277
Geschwisterliebe;3272.603;3289.297
Geschwisterliebe;3294.82;3318.157
Geschwisterliebe;3362.972;3367.472
Geschwisterliebe;3362.972;3370.877
Geschwisterliebe;3383.712;3387.647
Geschwisterliebe;3395.665;3399.957
Geschwisterliebe;3421.006;3423.177
Geschwisterliebe;3421.006;3425.285
Geschwisterliebe;3720.62;3747.813
Geschwisterliebe;3765.2;3775.55
Geschwisterliebe;4612.204;4614.552
Geschwisterliebe;4612.204;4617.89
Geschwisterliebe;4622.34;4624.387
Geschwisterliebe;4622.34;4625.712
Geschwisterliebe;4679.78;4685.12
Geschwisterliebe;4760.18;4762.125
Geschwisterliebe;4765.295;4767.223
Geschwisterliebe;4794.84;4796.82
Geschwisterliebe;4794.84;4798.15
Geschwisterliebe;4830.142;4831.915
Geschwisterliebe;4977.24;4978.485
Geschwisterliebe;4977.24;4980.65
Geschwisterliebe;4989.12;4997.595
Geschwisterliebe;5005.26;5014.996
Geschwisterliebe;5170.34;5182.392
Geschwisterliebe;5184.11;5191.488
Liebe;401.73;413.277
Liebe;527.9262;544.7685
Liebe;1554.135;1561.644
Liebe;1554.135;1576.377
Liebe;3240.02;3266.316
Liebe;3475.805;3479.159
Liebe;3486.86;3490.625
Liebe;3486.86;3495.018
Liebe;3770.8;3781.396
Liebe;3770.8;3809.714
Liebe;4392.86;4404.088
Liebe;5028.98;5046.795
Nibelungenhass;2506.217;2509.189
Nibelungenhass;2506.217;2531.326
Nibelungenhass;2553.685;2569.42
Riesen;2077.255;2078.937
Ring;794.328;800.3695
Ring;794.328;807.01
Ring;1992.12;1998.26
Ring;2000.72;2007.657
Ring;2022.21;2027.393
Ring;2022.21;2034.755
Ring;2365.43;2368.425
Schicksal;3803.969;3814.595
Schicksal;3820.8;3830.44
Schicksal;3858.88;3868.57
Schicksal;3874.88;3884.58
Schicksal;3940.76;3951.995
Schicksal;3959.597;3970.15
Schicksal;3999.28;4008.949
Schicksal;4012.14;4021.6
Schicksal;4069.68;4077.332
Schicksal;4079.706;4087.675
Schicksal;4089.64;4095.685
Schicksal;4089.64;4098.32
Schicksal;4461.18;4469.015
Schicksal;4487.78;4492.634
Schicksal;4509.9;4515.067
Schicksal;4515.783;4521.305
Schicksal;4550.846;4556.377
Schicksal;4569.18;4574.785
Schicksal;4575.16;4581.237
Schicksal;4708.064;4711.73
Schicksal;5014.049;5023.623
Schicksal;5024.38;5032.515
Schicksal;5081.06;5090.376
Schicksal;5410.92;5417.49
Schicksal;5417.94;5425.625
Schicksal;5446.914;5451.515
Schicksal;5452.4;5457.608
Schicksal;5458.8;5472.285
Schwert;0.299;3.580847
Schwert;11.38068;14.51552
Schwert;30.87025;34.10856
Schwert;68.73752;72.10446
Schwert;599.74;604.2377
Schwert;765.4874;772.263
Schwert;909.28;914.1373
Schwert;1164.44;1168.458
Schwert;2420.47;2424.998
Schwert;2726.9;2730.798
Schwert;3539.744;3542.54
Schwert;3695.668;3698.87
Schwert;4587.472;4593.578
Schwert;4873.991;4876.895
Schwert;5203.925;5206.138
Schwert;5208.54;5211.044
Schwert;5344.43;5348.078
Schwert;5351.957;5355.43
Schwert;5358.203;5361.045
Schwert;5371.46;5376.972
Schwert;5380.48;5382.545
Unmuth;931.285;937.0289
Unmuth;940.465;945.54
Unmuth;949.075;954.1963
Unmuth;957.34;961.58
Unmuth;957.34;963.492
Unmuth;1061.59;1074.35
Unmuth;1086.681;1097.378
Unmuth;1111.43;1116.958
Unmuth;1130.38;1138.561
Unmuth;1149.13;1153.237
Unmuth;1149.13;1163.49
Unmuth;1366.64;1373.42
Unmuth;1366.64;1381.655
Unmuth;1403.214;1410.285
Unmuth;1416.47;1423.715
Unmuth;1425.889;1432.92
Unmuth;1435.127;1443.696
Unmuth;1678.68;1693.276
Unmuth;1731.899;1736.66
Unmuth;2126.215;2129.235
Unmuth;2145.444;2148.225
Unmuth;2185.205;2187.955
Unmuth;2193.745;2197.014
Unmuth;2216.51;2219.997
Unmuth;2216.51;2228.217
Unmuth;2335.095;2337.923
Unmuth;2888.81;2897.844
Unmuth;2915.36;2926.101
Unmuth;3022.996;3031.12
Unmuth;3062.732;3073.466
Unmuth;5525.343;5532.01
Vertrag;786.63;792.2895
Vertrag;890.13;896.5025
Vertrag;1271.407;1279.274
Vertrag;2115.553;2120.307
Vertrag;2766.73;2772.518
Vertrag;5380.62;5387.158
Vertrag;5498.26;5505.542
Walhall-b;4149.06;4157.29
Walhall-b;4157.872;4166.832
Walhall-b;4224.464;4231.818
Walhall-b;4224.464;4237.476
