Motif;StartSec;EndSec
Horn;487.0652;489.4077
Horn;487.0652;493.558
Horn;894.08;895.5785
Horn;894.08;900.9283
Horn;1059.686;1062.25
Horn;1062.821;1065.399
Horn;1062.821;1068.478
Horn;1365.18;1368.179
Horn;1365.18;1375.099
Horn;3726.557;3729.538
Liebe;2786.705;2791.278
Mannen;1228.5;1230.699
Mannen;1228.5;1255.639
Mannen;1258.783;1259.919
Mannen;1258.783;1261.919
Mannen;1318.45;1326.859
Mannen;1332.22;1342.859
Mannen;1376.676;1384.799
Mannen;1401.72;1407.998
Mannen;1425.2;1426.659
Mannen;1444.52;1447.678
Mannen;1444.52;1450.699
Mannen;1468.3;1471.558
Mannen;1569.34;1572.418
Mannen;1569.34;1575.379
Mannen;1579.96;1593.119
Mannen;2377.36;2378.938
Mannen;2377.36;2385.48
Mannen;2388.28;2389.17
Mannen;2390.06;2390.92
Mannen;2414.5;2415.42
Mannen;2416.339;2417.21
Mannen;2527.659;2528.669
Mannen;2527.659;2531.534
Nibelungenhass;3.802;13.50697
Nibelungenhass;63.27287;69.36171
Nibelungenhass;63.27287;144.1044
Nibelungenhass;211.2851;213.2426
Nibelungenhass;213.6301;215.5376
Nibelungenhass;215.9466;218.3374
Nibelungenhass;221.88;226.8585
Nibelungenhass;221.88;232.1843
Nibelungenhass;283.9895;288.9908
Nibelungenhass;283.9895;296.59
Nibelungenhass;303.8;313.4953
Nibelungenhass;348.9657;354.3933
Nibelungenhass;360.5491;385.1676
Nibelungenhass;407.8975;411.0821
Nibelungenhass;420.8613;425.6349
Nibelungenhass;435.52;440.2749
Nibelungenhass;503.8353;508.1189
Nibelungenhass;503.8353;519.337
Nibelungenhass;555.9615;557.7884
Nibelungenhass;560.62;563.3651
Nibelungenhass;560.62;575.2206
Nibelungenhass;599.251;636.5268
Nibelungenhass;675.1977;678.2325
Nibelungenhass;2077.405;2080.329
Nibelungenhass;2083.185;2086.186
Nibelungenhass;2083.185;2094.239
Nibelungenhass;2097.055;2132.921
Nibelungenhass;2135.72;2156.111
Nibelungenhass;2215.817;2218.538
Nibelungenhass;2225.305;2226.378
Nibelungenhass;2301.465;2303.716
Nibelungenhass;2301.465;2306.155
Nibelungenhass;2317.024;2324.377
Nibelungenhass;2543.66;2548.738
Nibelungenhass;2982.12;2985.317
Nibelungenhass;2982.12;2987.977
Nibelungenhass;2993.98;2999.697
Nibelungenhass;3010.29;3014.899
Nibelungenhass;3016.232;3021.315
Nibelungenhass;3344.388;3346.906
Nibelungenhass;3344.388;3360.042
Nibelungenhass;3742.14;3747.698
Ring;186.3931;190.8156
Ring;194.6;199.605
Ring;203.8867;206.3208
Ring;203.8867;208.6875
Ring;374.37;375.7839
Ring;376.921;378.3561
Ring;467.49;468.87
Ring;470.76;471.975
Ring;470.76;475.024
Ring;477.81;479.8663
Ring;546.46;548.9075
Ring;546.46;550.7343
Ring;2177.18;2178.418
Ring;2179.16;2180.335
Ring;2181.04;2181.82
Ring;2183.77;2184.938
Ring;2186.76;2187.823
Ring;2188.46;2189.515
Ring;2190.149;2191.996
Ring;2194.2;2197.517
Ring;2198.224;2201.899
Ring;2248.72;2249.63
Ring;2250.54;2251.53
Ring;2252.52;2253.36
Ring;2252.52;2254.198
Ring;2263.1;2264.034
Ring;3620.78;3625.657
Ring;3620.78;3630.018
Schicksal;2002.69;2011.396
Schicksal;3062.9;3073.065
Schicksal;3073.531;3079.917
Schicksal;3083.96;3091.556
Schicksal;3096.34;3102.858
Schwert;387.62;390.825
Schwert;459.06;461.9975
Schwert;572.411;575.8913
Schwert;1025.459;1028.645
Schwert;1903.565;1906.836
Schwert;2466.98;2472.059
Schwert;2477.365;2482.61
Schwert;2483.878;2487.174
Schwert;2501.955;2504.619
Schwert;2512.705;2517.738
Schwert;3379.515;3383.488
Siegfried;2228.795;2234.021
Siegfried;3247.436;3253.937
Siegfried;3301.735;3309.625
Siegfried;3316.329;3322.997
Siegfried;3374.436;3378.582
Vertrag;461.9975;466.935
Vertrag;2467.42;2470.783
