Motif;StartSec;EndSec
Geschwisterliebe;421.41;432.6973
Geschwisterliebe;688.11;698.6889
Geschwisterliebe;702.3;706.335
Geschwisterliebe;713.3254;723.4943
Geschwisterliebe;713.3254;724.8009
Geschwisterliebe;2012.52;2021.025
Geschwisterliebe;2028.42;2037.393
Geschwisterliebe;2028.42;2044.757
Geschwisterliebe;3310.02;3313.466
Geschwisterliebe;3319.58;3326.353
Geschwisterliebe;3337.76;3340.679
Geschwisterliebe;3344.86;3348.355
Geschwisterliebe;3344.86;3350.275
Liebe;433.19;441.505
Liebe;672.59;678.455
Liebe;672.59;686.215
Liebe;777.64;793.0198
Liebe;902.03;913.7933
Liebe;1184.216;1194.396
Liebe;1476.48;1483.549
Liebe;2222.098;2226.457
Liebe;2231.407;2236.47
Liebe;2941.68;2946.897
Liebe;2941.68;2952.097
Liebe;2961.98;2982.018
Liebe;2999.06;3001.999
Liebe;3008.232;3012.045
Liebe;3043.56;3047.958
Liebe;3043.56;3051.725
Liebe;3087.56;3091.185
Liebe;3113.5;3116.515
Liebe;3170.798;3174.278
Liebe;3170.798;3177.974
Liebe;3199.06;3204.916
Liebe;3623.63;3628.158
Liebe;3623.63;3631.53
Liebe;3658.1;3660.646
Liebe;3674.36;3677.223
Schwert;2044.319;2058.796
Schwert;2129.54;2132.444
Schwert;2150.54;2153.542
Schwert;2161.1;2164.235
Schwert;2168.7;2173.812
Schwert;2285.358;2290.058
Schwert;2302.364;2306.458
Schwert;2314.4;2319.098
Schwert;2329.307;2334.12
Schwert;2346.983;2351.638
Schwert;2346.983;2356.617
Schwert;2395.98;2400.817
Schwert;2419.062;2424.457
Schwert;2511.477;2515.658
Schwert;2616.889;2622.339
Schwert;2616.889;2637.552
Schwert;2682.74;2690.196
Schwert;3357.703;3360.779
Schwert;3357.703;3364.153
Schwert;3487.0;3489.232
Schwert;3493.186;3495.13
Schwert;3495.955;3500.101
Schwert;3558.12;3563.261
Schwert;3563.761;3568.836
Schwert;3610.722;3615.535
Schwert;3668.608;3671.585
Schwert;3668.608;3674.359
Vertrag;2185.94;2190.9
Vertrag;3496.12;3500.101
Walhall-b;1454.727;1464.259
Walhall-b;2555.168;2558.237
Walhall-b;2561.28;2564.417
Walhall-b;2561.28;2582.357
Walhall-b;2591.288;2594.024
Walhall-b;2697.64;2700.277
Walhall-b;2702.88;2704.865
Walhall-b;2707.02;2709.358
Walhall-b;2711.633;2713.778
Walhall-b;3242.02;3244.917
Walhall-b;3247.7;3250.697
Walhall-b;3247.7;3263.376
Walhall-b;3370.784;3372.978
Walhall-b;3374.98;3376.918
Walhall-b;3379.24;3381.238
Walhall-b;3382.535;3384.474
Walhall-b;3386.138;3388.018
Walhall-b;3389.675;3391.353
Walhall-b;3441.345;3442.431
Walhall-b;3441.345;3445.243
