Motif;StartSec;EndSec
Horn;2365.88;2371.838
Horn;2374.073;2377.739
Horn;2387.74;2392.339
Horn;2456.5;2459.219
Horn;2456.5;2461.439
Horn;2478.789;2480.45
Horn;2626.96;2629.199
Horn;2647.44;2649.844
Horn;3894.89;3896.676
Horn;3898.335;3899.987
Horn;3901.705;3903.417
Horn;3905.02;3906.617
Horn;3908.16;3911.21
Horn;3912.72;3915.457
Horn;3916.97;3921.177
Horn;3925.03;3926.297
Horn;3927.75;3929.197
Horn;3930.56;3931.917
Horn;3933.22;3934.517
Horn;3935.99;3937.457
Horn;3938.74;3940.017
Horn;3941.55;3943.077
Horn;3944.29;3945.498
Horn;3946.9;3948.297
Horn;3949.73;3951.157
Horn;3952.66;3954.157
Jugendkraft;1395.973;1398.146
Jugendkraft;1398.68;1400.599
Jugendkraft;1586.74;1588.358
Jugendkraft;1586.74;1591.199
Mime;1649.6;1650.654
Mime;1651.005;1651.783
Mime;1651.005;1655.599
Mime;1657.93;1658.659
Mime;1659.472;1660.283
Mime;1734.74;1735.56
Mime;1734.74;1748.198
Nibelungen;1409.313;1410.378
Nibelungen;1697.481;1698.921
Nibelungen;1697.481;1700.046
Nibelungen;1834.72;1837.178
Nibelungen;1834.72;1844.878
Nibelungen;3186.68;3188.208
Nibelungen;3865.99;3868.057
Nibelungen;3871.057;3873.204
Nibelungen;3873.86;3874.513
Nibelungen;3893.1;3895.337
Nibelungen;3896.68;3898.749
Nibelungen;3899.99;3902.134
Nibelungen;3903.42;3905.42
Nibelungen;3906.62;3908.545
Nibelungen;3911.21;3912.717
Nibelungen;3915.46;3916.97
Nibelungen;3923.76;3925.348
Nibelungen;3926.3;3928.113
Nibelungen;3929.2;3930.9
Nibelungen;3931.92;3933.545
Nibelungen;3934.52;3936.358
Nibelungen;3937.46;3939.06
Nibelungen;3940.02;3941.932
Nibelungen;3943.08;3944.592
Nibelungen;3945.5;3947.25
Nibelungen;3948.3;3950.088
Nibelungen;3951.16;3953.035
Nibelungen;4026.54;4028.68
Nibelungen;4032.41;4034.62
Nibelungen;4164.058;4165.91
Nibelungen;4168.132;4169.718
Nibelungen;4172.01;4174.079
Nibelungenhass;211.2337;214.4455
Nibelungenhass;211.2337;247.9816
Nibelungenhass;302.5365;328.8275
Nibelungenhass;429.9227;437.4073
Nibelungenhass;647.8963;655.5158
Nibelungenhass;679.055;681.8024
Nibelungenhass;692.1363;694.6708
Nibelungenhass;692.1363;711.4226
Nibelungenhass;1328.672;1331.172
Nibelungenhass;2686.125;2689.785
Nibelungenhass;2690.932;2693.932
Nibelungenhass;2694.985;2698.465
Nibelungenhass;2699.632;2703.172
Nibelungenhass;2704.32;2707.575
Nibelungenhass;2708.685;2712.165
Nibelungenhass;2713.304;2716.589
