Motif;StartSec;EndSec
Feuerzauber;3507.175;3510.05
Feuerzauber;3512.06;3515.275
Feuerzauber;3607.34;3610.85
Feuerzauber;3613.04;3616.47
Horn;439.85;441.535
Horn;443.08;444.705
Horn;446.17;447.3788
Horn;446.17;452.3
Horn;455.06;458.74
Horn;460.38;466.9689
Horn;472.93;479.809
Horn;481.72;482.3687
Horn;499.59;502.899
Horn;712.37;714.6988
Horn;3821.64;3823.39
Horn;3825.06;3826.81
Horn;3864.06;3866.005
Horn;3873.98;3875.239
Horn;3873.98;3878.3
Horn;3881.26;3883.739
Horn;3904.04;3905.936
Horn;3907.54;3909.46
Horn;4858.28;4859.959
Horn;4858.28;4861.039
Horn;4863.66;4865.329
Jugendkraft;539.89;541.1394
Jugendkraft;539.89;545.0593
Jugendkraft;550.26;551.5394
Jugendkraft;552.92;553.5494
Jugendkraft;552.92;562.5693
Jugendkraft;563.92;568.1093
Jugendkraft;583.92;585.3492
Jugendkraft;583.92;589.5393
Jugendkraft;592.27;603.9494
Jugendkraft;661.74;663.1393
Jugendkraft;791.6897;792.9294
Jugendkraft;798.9496;800.316
Jugendkraft;806.253;807.6726
Jugendkraft;813.3663;814.786
Jugendkraft;815.5163;816.2689
Jugendkraft;815.5163;823.1194
Jugendkraft;840.39;843.2093
Jugendkraft;1108.159;1109.086
Jugendkraft;1195.12;1196.679
Jugendkraft;1195.12;1199.319
Jugendkraft;1595.72;1606.319
Jugendkraft;1645.666;1647.133
Jugendkraft;1647.836;1649.343
Jugendkraft;1650.106;1651.439
Jugendkraft;1652.12;1652.879
Jugendkraft;3026.87;3027.919
Jugendkraft;3026.87;3043.879
Jugendkraft;3279.9;3282.459
Jugendkraft;3284.7;3288.179
Jugendkraft;3296.0;3296.66
Jugendkraft;3297.32;3298.918
Jugendkraft;3329.3;3330.02
Jugendkraft;3330.74;3331.36
Jugendkraft;3331.98;3332.68
Jugendkraft;3331.98;3333.379
Jugendkraft;3355.4;3358.276
Jugendkraft;3388.95;3391.019
Jugendkraft;3459.26;3459.919
Jugendkraft;3459.26;3461.279
Jugendkraft;3462.05;3464.039
Jugendkraft;3729.36;3734.959
Jugendkraft;3760.64;3762.093
Jugendkraft;3760.64;3763.479
Liebe;1309.655;1330.913
Mime;603.95;604.8891
Mime;603.95;618.5989
Mime;638.86;639.7391
Mime;640.43;641.3791
Mime;640.43;655.5989
Mime;657.76;661.7391
Mime;666.0;676.345
Mime;678.41;679.07
Mime;679.73;680.46
Mime;681.19;681.905
Mime;681.19;682.6186
Mime;686.05;687.1389
Mime;688.19;689.189
Mime;690.34;691.3124
Mime;692.5;693.6189
Mime;694.57;695.7388
Mime;696.93;698.0289
Mime;698.94;700.1987
Mime;701.26;702.3889
Mime;703.47;704.6288
Mime;705.66;706.7489
Mime;708.09;709.099
Mime;710.26;711.289
Mime;712.37;713.4889
Mime;714.7;715.729
Mime;716.8;717.829
Mime;720.2167;721.259
Mime;720.2167;722.4788
Mime;725.66;731.3888
Mime;733.3;744.5089
Mime;747.77;749.1486
Mime;750.33;751.309
Mime;750.33;752.4489
Mime;756.453;757.1589
Mime;756.453;758.2289
Mime;758.5896;760.4489
Mime;763.0063;763.7589
Mime;765.3196;766.0589
Mime;767.3796;768.2187
Mime;768.6862;769.6186
Mime;793.24;794.3589
Mime;793.24;798.5889
Mime;800.64;805.9088
Mime;808.04;813.009
Mime;824.65;825.3893
Mime;826.05;826.8292
Mime;826.05;839.429
Mime;903.5218;907.5489
Mime;1221.84;1222.69
Mime;1221.84;1230.878
Mime;1232.4;1239.039
Mime;1487.12;1490.339
Mime;3043.88;3050.539
Mime;3363.22;3365.478
Mime;3366.3;3368.499
Mime;3371.49;3372.93
Mime;3433.8;3434.475
Mime;3433.8;3436.599
Mime;3438.08;3441.64
Mime;3450.42;3452.519
Mime;3737.08;3738.579
Mime;3739.32;3744.299
Mime;3751.9;3752.659
Mime;3753.42;3754.119
Mime;3753.42;3759.919
Mime;3764.14;3766.419
Nibelungen;85.00912;87.7883
Nibelungen;85.00912;93.00833
Nibelungen;97.10613;100.0981
Nibelungen;100.4021;101.9182
Nibelungen;100.4021;105.2183
Nibelungen;112.7993;168.9987
Nibelungen;206.2222;238.8984
Nibelungen;242.72;254.5983
Nibelungen;257.9106;263.9879
Nibelungen;294.416;296.8888
