Motif;StartSec;EndSec
Feuerzauber;1865.66;1868.453
Feuerzauber;1869.84;1872.493
Feuerzauber;1873.74;1876.539
Feuerzauber;1877.86;1880.399
Feuerzauber;3334.92;3340.17
Feuerzauber;3341.88;3346.812
Feuerzauber;3362.32;3369.296
Feuerzauber;3362.32;3374.99
Feuerzauber;4075.22;4078.875
Feuerzauber;4090.0;4093.318
Feuerzauber;4129.06;4132.644
Horn;0.1096858;5.158337
Horn;0.1096858;9.715303
Horn;79.36701;83.42841
Horn;336.47;340.7278
Horn;1126.12;1129.516
Horn;1132.68;1138.759
Horn;1175.72;1180.918
Horn;1175.72;1209.837
Horn;1232.84;1235.747
Horn;1279.945;1281.818
Horn;1279.945;1283.905
Horn;1290.0;1298.077
Horn;2718.005;2719.742
Horn;2740.447;2741.953
Horn;2746.254;2747.537
Horn;2748.82;2750.13
Horn;2900.04;2901.05
Horn;2902.06;2903.21
Horn;2998.98;3000.12
Liebe;2430.69;2443.043
Liebe;2430.69;2455.407
Nibelungen;732.81;736.7681
Nibelungen;1484.297;1486.318
Nibelungen;1484.297;1491.645
Nibelungen;1507.96;1511.578
Nibelungen;1516.82;1520.278
Nibelungen;1531.941;1541.47
Nibelungen;1736.42;1746.057
Ring;465.73;473.9379
Ring;631.995;640.6078
Ring;659.03;663.4278
Ring;684.46;686.7866
Ring;684.46;694.6674
Ring;696.01;702.6174
Ring;713.9181;719.2773
Ring;799.0;807.168
Ring;826.25;829.6513
Ring;830.45;836.1776
Ring;897.77;899.8262
Ring;897.77;902.6075
Ring;971.7886;992.4779
Ring;3075.057;3077.715
Ring;3078.874;3080.698
Ring;3078.874;3082.559
Ring;3094.22;3099.9
Ring;3777.06;3781.438
Ring;3858.96;3864.297
Schicksal;762.67;768.87
Schicksal;1997.728;2003.818
Schicksal;2032.2;2043.095
Schicksal;2047.52;2055.516
Schicksal;2161.02;2168.65
Schicksal;2253.205;2260.477
Schicksal;2787.18;2794.557
Schicksal;3147.748;3153.397
Schicksal;3159.66;3165.358
Schicksal;3260.52;3267.037
Schicksal;3270.8;3277.484
Schicksal;3281.6;3289.116
Schicksal;3569.9;3576.457
Schicksal;3581.06;3583.955
Schicksal;3587.4;3592.876
Schicksal;3594.135;3596.952
Schicksal;3599.2;3602.068
Schicksal;3599.2;3604.298
Schicksal;3624.38;3632.057
Schicksal;3636.24;3645.055
Schwert;839.1208;841.6314
Schwert;1553.888;1555.958
Schwert;2483.495;2494.105
Schwert;3108.47;3115.057
Schwert;3474.496;3479.218
Siegfried;832.4781;836.1776
Siegfried;1976.379;1980.931
Siegfried;2191.482;2195.052
Siegfried;2198.919;2202.086
Siegfried;2206.013;2211.8
Siegfried;2213.364;2217.625
Siegfried;2520.078;2547.334
Siegfried;2558.809;2578.294
Siegfried;2904.073;2908.421
Siegfried;3338.46;3354.023
Siegfried;3368.85;3382.843
Siegfried;3987.62;3991.635
Siegfried;3992.935;4002.372
Siegfried;4055.975;4069.095
Siegfried;4243.125;4246.878
Vertrag;812.0189;814.945
Vertrag;3878.735;3884.978
Waberlohe;1909.264;1914.12
Waberlohe;1909.264;1934.611
Waldweben;1621.8;1668.537
Waldweben;1678.86;1724.358
Waldweben;1814.327;1833.198
Walhall-b;4235.986;4240.478
Walhall-b;4235.986;4246.878
