Motif;StartSec;EndSec
Nibelungen;3284.82;3287.258
Nibelungen;3284.82;3289.298
Nibelungen;4163.78;4173.698
Nibelungen;4175.32;4221.698
Nibelungen;4416.46;4420.258
Nibelungen;4422.12;4452.838
Nibelungen;4460.792;4466.515
Nibelungen;4551.535;4610.798
Nibelungen;4634.11;4635.459
Nibelungen;4640.435;4642.85
Nibelungen;4657.55;4659.619
Nibelungen;4753.62;4755.079
Nibelungen;4753.62;4758.839
Nibelungen;4771.5;4795.539
Nibelungen;4902.34;4912.009
Nibelungen;5291.226;5302.54
Nibelungen;5323.152;5333.978
Nibelungen;5453.023;5455.924
Nibelungen;5693.84;5725.778
Nibelungen;6067.16;6083.558
Nibelungen;6090.12;6147.727
Nibelungen;6151.42;6170.518
Nibelungen;7108.72;7111.14
Nibelungen;7113.56;7115.997
Nibelungen;7117.235;7119.518
Nibelungen;7117.235;7124.288
Nibelungen;7134.22;7136.698
Nibelungen;7134.22;7152.39
Nibelungen;7181.34;7186.318
Nibelungen;7218.18;7228.269
Nibelungen;7313.56;7317.878
Nibelungen;7872.55;7873.798
Nibelungen;7874.99;7876.178
Nibelungen;7877.35;7878.518
Nibelungen;7882.353;7883.538
Nibelungen;7884.72;7885.898
Nibelungenhass;6528.82;6531.479
Nibelungenhass;6536.227;6539.239
Nibelungenhass;6542.958;6546.069
Nibelungenhass;6542.958;6555.222
Nibelungenhass;6608.105;6641.347
Nibelungenhass;6851.412;6861.258
Nibelungenhass;7586.888;7598.877
Nibelungenhass;7902.877;7908.217
Nibelungenhass;7995.644;8017.177
Riesen;2038.52;2040.217
Riesen;2038.52;2041.953
Riesen;2093.48;2094.485
Riesen;2094.82;2096.065
Riesen;2096.48;2097.8
Riesen;2098.24;2099.35
Riesen;2129.6;2140.622
Riesen;2129.6;2155.176
Riesen;2170.64;2188.786
Riesen;2449.62;2452.397
Riesen;2449.62;2455.377
Riesen;2545.488;2550.418
Riesen;2558.26;2560.777
Riesen;2602.34;2604.917
Riesen;2607.54;2610.417
Riesen;2887.72;2890.777
Riesen;2887.72;2893.887
Riesen;3552.14;3555.197
Riesen;3566.48;3570.91
Riesen;3584.08;3587.88
Riesen;5740.32;5743.876
Riesen;5740.32;5752.707
Riesen;5763.34;5774.697
Riesen;5787.66;5789.21
Riesen;5790.14;5792.553
Riesen;5790.14;5796.12
Riesen;5799.96;5802.298
Riesen;5799.96;5804.698
Riesen;6779.62;6846.337
Riesen;7061.7;7064.597
Riesen;7061.7;7074.498
Riesen;7092.08;7093.33
Riesen;7094.58;7095.92
Riesen;7097.26;7098.67
Riesen;7126.965;7129.378
Riesen;7126.965;7136.698
Riesen;7183.9;7185.11
Riesen;7186.32;7187.49
Riesen;7868.66;7869.98
Riesen;7871.3;7872.55
Riesen;7873.8;7874.99
Riesen;7876.18;7877.35
Riesen;7878.52;7881.164
Riesen;7878.52;7890.848
Riesen;8017.18;8022.577
Ring;1119.42;1122.697
Ring;1183.26;1188.413
Ring;1276.92;1280.785
Ring;1281.58;1285.503
Ring;1286.36;1290.956
Ring;1286.36;1297.207
Ring;1487.74;1494.197
Ring;1501.86;1508.516
Ring;1515.638;1523.276
Ring;1515.638;1531.704
Ring;1627.72;1634.406
Ring;1842.449;1849.476
Ring;1852.8;1863.976
Ring;3087.06;3091.538
Ring;3087.06;3095.806
Ring;3222.68;3226.168
Ring;3227.12;3229.617
Ring;3232.1;3236.898
Ring;3232.1;3256.453
Ring;3315.42;3324.758
Ring;3341.8;3351.642
Ring;3442.0;3445.838
Ring;3442.0;3450.498
Ring;3644.8;3647.821
Ring;3648.22;3651.958
Ring;3971.639;3978.005
Ring;4043.92;4049.537
Ring;4157.02;4158.698
Ring;4160.64;4162.218
Ring;4392.06;4394.979
Ring;4392.06;4397.738
Ring;4665.0;4667.879
Ring;4665.0;4670.299
Ring;4671.68;4677.039
Ring;4723.52;4728.919
Ring;4892.32;4893.599
Ring;4892.32;4902.339
Ring;5073.82;5078.449
Ring;5315.06;5320.198
Ring;5671.52;5673.144
Ring;5671.52;5689.718
Ring;6040.24;6049.557
Ring;6196.855;6201.929
Ring;6202.287;6206.6
Ring;6202.287;6212.956
Ring;6342.24;6349.238
Ring;6487.92;6498.681
Ring;6594.75;6601.345
Ring;6594.75;6607.71
Ring;7367.04;7373.518
Ring;7908.22;7910.591
Ring;7908.22;7915.277
Ring;7917.86;7922.738
Ring;8030.25;8036.03
Ring;8030.25;8041.878
Ring;8397.34;8402.546
Ring;8397.34;8418.017
Ring;8529.351;8533.837
Ring;8534.2;8538.316
Ring;8538.72;8541.038
Ring;8538.72;8546.692
Schwert;8460.72;8468.445
Vertrag;1758.315;1766.682
Vertrag;1776.565;1784.997
Vertrag;1788.145;1794.46
Vertrag;1976.57;1982.61
Vertrag;2152.3;2160.932
Vertrag;2234.016;2241.987
Vertrag;2275.465;2281.865
Vertrag;2292.7;2299.588
Vertrag;2332.36;2339.49
Vertrag;2630.113;2634.891
Vertrag;2805.18;2810.62
Vertrag;6426.875;6432.258
Vertrag;7801.885;7806.645
Walhall-b;1550.9;1554.377
Walhall-b;1557.97;1561.394
Walhall-b;1557.97;1581.217
Walhall-b;1590.76;1594.041
Walhall-b;1634.84;1638.516
Walhall-b;1634.84;1641.897
Walhall-b;1679.68;1682.777
Walhall-b;1679.68;1701.254
Walhall-b;1711.264;1714.537
Walhall-b;1717.74;1720.997
Walhall-b;1938.68;1941.058
Walhall-b;1938.68;1945.658
Walhall-b;2199.756;2204.665
Walhall-b;2207.5;2211.428
Walhall-b;2435.145;2436.875
Walhall-b;2704.94;2706.65
Walhall-b;2710.56;2712.335
Walhall-b;2739.06;2741.418
Walhall-b;2744.088;2746.617
Walhall-b;2744.088;2751.717
Walhall-b;3589.92;3592.37
Walhall-b;5162.42;5164.558
Walhall-b;5162.42;5171.26
Walhall-b;5183.029;5189.356
Walhall-b;8085.92;8087.832
Walhall-b;8088.98;8090.622
Walhall-b;8091.607;8094.701
