Motif;StartSec;EndSec
Geschwisterliebe;8.437426;9.978801
Geschwisterliebe;8.437426;17.86256
Geschwisterliebe;20.31501;29.05055
Geschwisterliebe;38.78499;40.32
Geschwisterliebe;38.78499;42.09547
Geschwisterliebe;45.772;52.143
Geschwisterliebe;55.55499;62.4343
Geschwisterliebe;81.05;87.12376
Geschwisterliebe;1589.2;1602.425
Geschwisterliebe;2454.23;2463.775
Geschwisterliebe;3132.429;3152.005
Geschwisterliebe;3152.5;3160.558
Geschwisterliebe;3177.48;3181.192
Geschwisterliebe;3185.29;3194.459
Geschwisterliebe;3198.66;3202.172
Geschwisterliebe;3206.04;3215.123
Geschwisterliebe;3220.213;3222.932
Geschwisterliebe;3224.106;3226.676
Geschwisterliebe;3236.3;3237.373
Geschwisterliebe;3237.911;3239.677
Geschwisterliebe;3237.911;3241.33
Geschwisterliebe;3241.74;3244.894
Geschwisterliebe;3245.3;3256.8
Geschwisterliebe;3267.983;3271.448
Geschwisterliebe;3300.4;3303.317
Geschwisterliebe;3300.4;3314.331
Geschwisterliebe;3318.555;3333.596
Geschwisterliebe;3373.372;3377.932
Geschwisterliebe;3373.372;3380.938
Geschwisterliebe;3392.005;3395.237
Geschwisterliebe;3401.412;3404.458
Geschwisterliebe;3418.926;3420.677
Geschwisterliebe;3418.926;3421.839
Geschwisterliebe;3682.32;3706.753
Geschwisterliebe;3721.74;3730.72
Geschwisterliebe;4507.74;4509.657
Geschwisterliebe;4507.74;4512.905
Geschwisterliebe;4517.0;4518.673
Geschwisterliebe;4517.0;4519.823
Geschwisterliebe;4573.065;4578.23
Geschwisterliebe;4643.08;4644.879
Geschwisterliebe;4647.763;4649.588
Geschwisterliebe;4675.737;4677.405
Geschwisterliebe;4675.737;4678.591
Geschwisterliebe;4707.74;4709.425
Geschwisterliebe;4852.44;4853.708
Geschwisterliebe;4852.44;4856.13
Geschwisterliebe;4865.28;4872.985
Geschwisterliebe;4879.66;4886.533
Geschwisterliebe;5017.506;5028.7
Geschwisterliebe;5030.14;5036.374
Liebe;406.4986;420.3028
Liebe;547.39;564.1367
Liebe;1602.425;1610.39
Liebe;1602.425;1624.977
Liebe;3271.86;3294.557
Liebe;3467.062;3470.006
Liebe;3476.88;3480.319
Liebe;3476.88;3484.458
Liebe;3726.34;3735.397
Liebe;3726.34;3768.713
