Motif;StartSec;EndSec
Horn;2334.23;2338.319
Horn;2342.693;2348.241
Horn;2356.939;2361.456
Horn;2418.88;2421.605
Horn;2418.88;2424.099
Horn;2443.04;2444.81
Horn;2588.672;2591.179
Horn;2610.685;2613.099
Horn;3732.27;3733.657
Horn;3734.92;3736.177
Horn;3737.512;3738.842
Horn;3740.193;3741.537
Horn;3742.8;3745.37
Horn;3746.68;3749.038
Horn;3750.37;3754.058
Horn;3757.57;3758.798
Horn;3760.07;3761.337
Horn;3762.64;3763.937
Horn;3765.248;3766.554
Horn;3767.873;3769.187
Horn;3770.425;3771.658
Horn;3773.18;3774.697
Horn;3775.96;3777.217
Horn;3778.62;3780.017
Horn;3781.46;3782.897
Horn;3784.27;3785.637
Jugendkraft;1378.039;1380.425
Jugendkraft;1381.02;1383.022
Jugendkraft;1570.03;1571.578
Jugendkraft;1570.03;1574.139
Mime;1628.92;1629.91
Mime;1630.24;1631.05
Mime;1630.24;1634.579
Mime;1636.7;1637.478
Mime;1638.152;1638.823
Mime;1706.595;1707.258
Mime;1706.595;1718.518
Nibelungen;1392.293;1393.438
Nibelungen;1671.63;1672.978
Nibelungen;1671.63;1673.899
Nibelungen;1792.95;1795.358
Nibelungen;1792.95;1802.259
Nibelungen;3082.9;3084.109
Nibelungen;3703.105;3704.918
Nibelungen;3708.255;3710.277
Nibelungen;3710.92;3711.56
Nibelungen;3730.88;3732.617
Nibelungen;3733.66;3735.235
Nibelungen;3736.18;3737.846
Nibelungen;3738.845;3740.529
Nibelungen;3741.54;3743.115
Nibelungen;3745.37;3746.677
Nibelungen;3749.04;3750.37
Nibelungen;3756.34;3757.878
Nibelungen;3758.8;3760.388
Nibelungen;3761.34;3762.965
Nibelungen;3763.94;3765.575
Nibelungen;3766.556;3768.202
Nibelungen;3769.19;3770.734
Nibelungen;3771.66;3773.56
Nibelungen;3774.7;3776.275
Nibelungen;3777.22;3778.97
Nibelungen;3780.02;3781.82
Nibelungen;3782.9;3784.613
Nibelungen;3860.06;3862.28
Nibelungen;3866.04;3868.31
Nibelungen;3989.725;3991.37
Nibelungen;3993.419;3994.91
Nibelungen;3997.225;3999.079
Nibelungenhass;210.2788;213.124
Nibelungenhass;210.2788;248.8805
Nibelungenhass;305.5916;333.9574
Nibelungenhass;436.7126;444.1078
Nibelungenhass;657.2025;664.6975
Nibelungenhass;688.1925;691.3623
Nibelungenhass;701.0625;703.6541
Nibelungenhass;701.0625;720.9259
Nibelungenhass;1314.9;1317.484
Nibelungenhass;2644.887;2647.482
Nibelungenhass;2648.317;2650.639
Nibelungenhass;2651.404;2653.642
Nibelungenhass;2654.437;2657.117
Nibelungenhass;2657.967;2660.255
Nibelungenhass;2661.043;2663.56
Nibelungenhass;2664.38;2666.731
Nibelungenhass;2667.507;2669.786
Nibelungenhass;2670.541;2672.781
Nibelungenhass;2673.536;2675.846
Nibelungenhass;2676.669;2679.459
Nibelungenhass;2706.897;2709.176
Nibelungenhass;2709.942;2712.279
Nibelungenhass;2713.054;2715.349
Nibelungenhass;2716.149;2718.759
Nibelungenhass;2719.602;2721.972
Nibelungenhass;2722.772;2725.227
Nibelungenhass;2726.106;2729.111
Nibelungenhass;2789.784;2792.529
Nibelungenhass;2789.784;2817.677
Riesen;2733.25;2737.332
Riesen;2743.4;2745.45
Riesen;2753.24;2754.93
Riesen;2753.24;2756.617
Ring;120.34;126.6891
Ring;236.03;242.7262
Ring;243.1475;251.095
Ring;717.815;723.53
Ring;717.815;729.0969
Ring;1102.94;1110.058
Ring;2756.62;2759.38
Ring;2760.3;2762.755
Ring;2763.573;2766.537
Ring;3134.4;3138.845
Ring;3134.4;3157.042
Ring;3833.545;3844.092
Ritt;350.5827;351.8281
Ritt;352.496;353.828
Ritt;354.3128;355.2785
Ritt;355.8161;356.8884
Ritt;357.4727;358.6382
Ritt;359.1395;360.1385
Ritt;360.6795;361.7584
Ritt;362.2728;363.2985
Ritt;363.8594;364.9783
Ritt;365.5045;366.5534
Ritt;367.1094;368.2183
Ritt;368.7162;369.7085
Ritt;370.2661;371.3783
Ritt;371.9827;373.1882
Ritt;373.6962;374.7085
Ritt;375.2927;376.4582
Ritt;376.9595;377.9585
Ritt;378.4982;379.5745
Ritt;1240.12;1241.12
Ritt;1242.1;1243.06
Ritt;1243.995;1244.905
Ritt;1245.8;1246.68
Ritt;1247.6;1248.56
Ritt;1249.566;1250.619
Ritt;1251.619;1252.566
Ritt;1253.51;1254.45
Ritt;1255.433;1256.458
Ritt;1257.448;1258.403
Ritt;1259.405;1260.455
Ritt;1261.46;1262.42
Ritt;1263.36;1264.28
Ritt;1265.192;1266.096
Ritt;1267.116;1268.252
Ritt;1269.41;1270.59
Schwert;800.13;804.8725
Schwert;1099.155;1101.111
Schwert;1230.544;1233.3
Schwert;2138.634;2142.513
Schwert;2438.543;2441.178
Schwert;2576.504;2579.489
Schwert;2626.28;2628.819
Schwert;2784.74;2789.938
Schwert;2890.764;2894.318
Schwert;3198.475;3202.358
Siegfried;2375.704;2384.153
Siegfried;2387.901;2401.203
Siegfried;2689.546;2698.966
Siegfried;2689.546;2704.879
Siegfried;4196.41;4203.253
Unmuth;827.3375;836.5275
Vertrag;588.98;593.4979
Vertrag;645.7925;652.7725
Waberlohe;1393.44;1397.239
Waberlohe;1400.34;1405.118
Waberlohe;1407.32;1412.617
Waberlohe;1407.32;1418.75
Waberlohe;1591.14;1597.205
Waberlohe;4205.845;4215.426
Waldweben;1720.86;1728.123
Waldweben;1742.22;1785.487
Waldweben;1812.28;1832.506
Waldweben;1844.34;1862.077
Waldweben;2001.62;2067.597
Waldweben;2070.28;2096.938
Waldweben;2248.18;2275.138
Waldweben;2898.3;2981.118
Waldweben;3212.68;3298.79
Waldweben;4072.68;4115.098
Waldweben;4145.52;4177.058
Waldweben;4205.32;4228.337
