Motif;StartSec;EndSec
Feuerzauber;1925.14;1927.753
Feuerzauber;1929.14;1931.549
Feuerzauber;1932.78;1935.513
Feuerzauber;1936.92;1939.579
Feuerzauber;3454.05;3459.75
Feuerzauber;3461.68;3467.392
Feuerzauber;3486.38;3494.796
Feuerzauber;3486.38;3501.113
Feuerzauber;4269.3;4273.02
Feuerzauber;4284.08;4287.042
Feuerzauber;4322.88;4326.835
Horn;2.644;6.579515
Horn;2.644;10.1887
Horn;79.12701;83.30075
Horn;359.06;363.1079
Horn;1208.12;1211.649
Horn;1214.9;1220.599
Horn;1257.56;1262.518
Horn;1257.56;1289.323
Horn;1311.14;1313.955
Horn;1354.465;1356.397
Horn;1354.465;1358.485
Horn;1364.1;1371.778
Horn;2782.66;2784.61
Horn;2803.687;2805.173
Horn;2809.16;2810.535
Horn;2811.91;2813.355
Horn;2970.22;2971.33
Horn;2972.44;2973.68
Horn;3082.76;3083.9
Liebe;2532.95;2542.09
Liebe;2532.95;2552.082
Nibelungen;782.15;786.338
Nibelungen;1554.44;1556.258
Nibelungen;1554.44;1561.459
Nibelungen;1576.58;1580.018
Nibelungen;1585.16;1588.538
Nibelungen;1600.46;1609.164
Nibelungen;1800.6;1810.117
Ring;497.63;506.4577
Ring;672.86;681.8579
Ring;701.28;705.9276
Ring;728.48;730.8154
Ring;728.48;739.2271
Ring;740.78;748.2569
Ring;761.14;767.1771
Ring;854.25;862.528
Ring;883.07;886.8475
Ring;887.68;893.4814
Ring;956.73;959.0138
Ring;956.73;961.8475
Ring;1039.66;1061.918
Ring;3159.937;3162.485
Ring;3163.46;3165.458
Ring;3163.46;3167.279
Ring;3178.573;3184.181
Ring;3940.04;3945.117
Ring;4029.46;4034.218
Schicksal;814.82;822.61
Schicksal;2070.64;2077.315
Schicksal;2108.005;2117.435
Schicksal;2122.8;2129.309
Schicksal;2237.46;2245.676
Schicksal;2352.458;2363.775
Schicksal;2847.98;2854.677
Schicksal;3231.687;3239.616
Schicksal;3247.56;3254.337
Schicksal;3371.46;3379.536
Schicksal;3384.04;3391.436
Schicksal;3395.38;3403.796
Schicksal;3722.593;3730.416
Schicksal;3735.94;3739.998
Schicksal;3744.5;3750.815
Schicksal;3752.54;3755.956
Schicksal;3758.84;3762.25
Schicksal;3758.84;3765.297
Schicksal;3788.38;3795.657
Schicksal;3798.92;3806.606
Schwert;896.5508;899.0079
Schwert;1621.019;1623.118
Schwert;2578.878;2588.35
Schwert;3192.773;3200.536
Schwert;3609.5;3614.898
Siegfried;889.7275;893.4814
Siegfried;2040.476;2045.797
Siegfried;2272.755;2277.085
Siegfried;2281.666;2285.685
Siegfried;2290.336;2297.43
Siegfried;2299.352;2305.024
Siegfried;2611.62;2634.815
Siegfried;2645.215;2663.594
Siegfried;2974.61;2979.238
Siegfried;3457.82;3476.745
Siegfried;3494.244;3510.685
Siegfried;4170.233;4174.904
Siegfried;4176.309;4187.06
Siegfried;4245.79;4261.67
Siegfried;4444.95;4449.058
Vertrag;867.3225;870.4925
Vertrag;4051.365;4058.097
Waberlohe;1969.287;1974.2
Waberlohe;1969.287;1994.437
Waldweben;1685.58;1732.118
Waldweben;1742.62;1788.138
Waldweben;1873.6;1892.238
Walhall-b;4437.62;4442.258
Walhall-b;4437.62;4449.058
