Motif;StartSec;EndSec
Geschwisterliebe;6.502292;8.108961
Geschwisterliebe;6.502292;15.81144
Geschwisterliebe;18.21701;27.17831
Geschwisterliebe;37.02;38.32856
Geschwisterliebe;37.02;40.01599
Geschwisterliebe;43.756;50.1852
Geschwisterliebe;53.92601;61.02084
Geschwisterliebe;79.81;86.31696
Geschwisterliebe;1625.611;1637.975
Geschwisterliebe;2475.415;2484.79
Geschwisterliebe;3157.052;3173.191
Geschwisterliebe;3173.585;3180.198
Geschwisterliebe;3193.86;3196.796
Geschwisterliebe;3199.98;3207.241
Geschwisterliebe;3210.56;3213.799
Geschwisterliebe;3216.66;3224.384
Geschwisterliebe;3228.738;3230.919
Geschwisterliebe;3231.966;3234.232
Geschwisterliebe;3242.68;3243.606
Geschwisterliebe;3244.071;3245.713
Geschwisterliebe;3244.071;3247.101
Geschwisterliebe;3247.44;3250.446
Geschwisterliebe;3250.802;3260.984
Geschwisterliebe;3274.983;3279.388
Geschwisterliebe;3313.44;3316.337
Geschwisterliebe;3313.44;3329.477
Geschwisterliebe;3334.68;3354.172
Geschwisterliebe;3395.925;3401.645
Geschwisterliebe;3395.925;3405.357
Geschwisterliebe;3420.491;3425.157
Geschwisterliebe;3434.858;3439.596
Geschwisterliebe;3456.179;3457.897
Geschwisterliebe;3456.179;3459.537
Geschwisterliebe;3700.5;3731.812
Geschwisterliebe;3750.72;3760.85
Geschwisterliebe;4577.747;4579.803
Geschwisterliebe;4577.747;4583.11
Geschwisterliebe;4587.76;4589.598
Geschwisterliebe;4587.76;4590.838
Geschwisterliebe;4645.38;4650.69
Geschwisterliebe;4720.914;4722.74
Geschwisterliebe;4725.705;4727.433
Geschwisterliebe;4752.137;4753.805
Geschwisterliebe;4752.137;4755.001
Geschwisterliebe;4783.0;4784.57
Geschwisterliebe;4916.46;4917.645
Geschwisterliebe;4916.46;4919.82
Geschwisterliebe;4928.06;4935.175
Geschwisterliebe;4942.7;4951.197
Geschwisterliebe;5129.966;5145.075
Geschwisterliebe;5147.1;5156.517
Liebe;412.85;424.6573
Liebe;550.67;567.4467
Liebe;1637.975;1646.07
Liebe;1637.975;1660.458
Liebe;3279.86;3306.356
Liebe;3501.966;3504.793
Liebe;3510.68;3513.562
Liebe;3510.68;3516.839
Liebe;3756.52;3766.036
Liebe;3756.52;3796.714
Liebe;4372.38;4383.638
Liebe;4964.8;4986.993
Nibelungenhass;2605.43;2608.602
Nibelungenhass;2605.43;2630.182
Nibelungenhass;2651.72;2666.58
Riesen;2203.956;2205.816
Ring;819.6;825.7425
Ring;819.6;832.425
Ring;2116.0;2122.86
Ring;2125.44;2131.877
Ring;2145.72;2151.427
Ring;2145.72;2160.012
Ring;2468.956;2471.265
Schicksal;3790.582;3801.825
Schicksal;3809.04;3819.84
Schicksal;3859.52;3870.23
Schicksal;3877.62;3888.635
Schicksal;3942.88;3950.887
Schicksal;3956.34;3965.495
Schicksal;3998.94;4006.599
Schicksal;4009.069;4016.705
Schicksal;4068.94;4079.121
Schicksal;4082.543;4092.035
Schicksal;4094.78;4102.64
Schicksal;4094.78;4106.32
Schicksal;4442.48;4448.785
Schicksal;4464.64;4469.187
Schicksal;4485.785;4490.102
Schicksal;4490.729;4495.74
Schicksal;4521.875;4526.958
Schicksal;4539.72;4544.333
Schicksal;4544.652;4549.498
Schicksal;4672.712;4676.333
Schicksal;4950.369;4959.093
Schicksal;4959.64;4969.28
Schicksal;5026.7;5037.096
Schicksal;5373.66;5382.565
Schicksal;5383.1;5392.835
Schicksal;5414.1;5421.826
Schicksal;5423.39;5430.593
Schicksal;5432.4;5449.617
Schwert;2.844;6.50072
